MID_WU_C_1_IN_#001	Ehiii, eccomi qua.\x0E\x04\x00\x00
MID_WU_A_1_SOON_#001	Siete svegli\x0E\x0A\x00\x08\x02o\x02a! Buongiorno!\x0E\x04\x00\x00
MID_WU_A_1_SOON_#002	Ormai siete bravissim\x0E\x0A\x00\x08\x02o\x02a a svegliarvi!\x0E\x04\x00\x00
MID_WU_A_1_SOON_#003	Nessuno in tutto l'Elyos sa svegliarsi come voi!\x0E\x04\x00\x00
MID_WU_A_1_WAKEUP_#001	Sono così contenta di poter tornare\na fare il tifo per voi.\x0E\x04\x00\x00
MID_WU_A_1_WAKEUP_#002	D'ora in avanti, ci metterò anima e cuore.\x0E\x04\x00\x00
MID_WU_A_1_WAKEUP_#003	Oi oi oi! Drago Divino svegliatevi per noi!\x0E\x04\x00\x00
MID_WU_A_1_HELLO_#001	Aaah! Che bel risveglio!\x0E\x04\x00\x00
MID_WU_A_1_HELLO_#002	La vostra fan numero uno approva!\x0E\x04\x00\x00
MID_WU_A_1_HELLO_#003	Faccio il tifo per voi!\x0E\x04\x00\x00
MID_WU_A_2_IN_#001	Buongiorno...\x0E\x04\x00\x00
MID_WU_A_2_IN_#002	State dormendo? Sul serio?\x0E\x04\x00\x00
MID_WU_A_2_SOON_#001	Bu- Siete svegli\x0E\x0A\x00\x08\x02o\x02a!\x0E\x04\x00\x00
MID_WU_A_2_SOON_#002	Stavo per farvi un bello scherzetto...\x0E\x04\x00\x00
MID_WU_A_2_SOON_#003	Eh eh... Ehm, dimenticate quello che ho detto.\x0E\x04\x00\x00
MID_WU_A_2_WAKEUP_#001	Facciamo un bello scherzetto\na quest\x0E\x0A\x00\x08\x02o\x02a dormiglion\x0E\x0A\x00\x08\x02e\x02a...\x0E\x04\x00\x00
MID_WU_A_2_WAKEUP_#002	\x0E\x0A\x00\x0E\x06Gli\x04Le farò il solletico al naso con questo...\x0E\x04\x00\x00
MID_WU_A_2_WAKEUP_#003	Mh?! Non funziona, che strano...\x0E\x04\x00\x00
MID_WU_A_2_HELLO_#001	Drago Divino, non starnutite mai?\x0E\x04\x00\x00
MID_WU_A_2_HELLO_#002	Di solito basta solleticare un po' il naso, così...\x0E\x04\x00\x00
MID_WU_A_2_HELLO_#003	E... e... ecciù!\x0E\x04\x00\x00
MID_WU_S_1_IN_#001	Sono venuta a svegliarvi.\x0E\x04\x00\x00
MID_WU_S_1_SOON_#001	Ah! Siete già svegli\x0E\x0A\x00\x08\x02o\x02a.\x0E\x04\x00\x00
MID_WU_S_1_SOON_#002	Mi stavate aspettando, eh?\x0E\x04\x00\x00
MID_WU_S_1_SOON_#003	Ah ah, ora non si torna certo a dormire!\x0E\x04\x00\x00
MID_WU_S_1_WAKEUP_#001	Drago Divino, forza, è ora di svegliarsi.\nDormiglion\x0E\x0A\x00\x08\x02e\x02a!\x0E\x04\x00\x00
MID_WU_S_1_WAKEUP_#002	Adesso faccio un urlo!\x0E\x04\x00\x00
MID_WU_S_1_WAKEUP_#003	Ihihih!\x0E\x04\x00\x00
MID_WU_S_1_WAKEUP_#004	Sapete che c'è, non importa.\x0E\x04\x00\x00
MID_WU_S_1_WAKEUP_#005	Continuate pure a dormire.\x0E\x04\x00\x00
MID_WU_S_1_WAKEUP_#006	Vi rimbocco le coperte e vi lascio in pace.\x0E\x04\x00\x00
MID_WU_S_1_HELLO_#001	Buongiorno, mio Drago Divino.\x0E\x04\x00\x00
MID_WU_S_1_HELLO_#002	So che è difficile tenere quegli occhi pieni di\nsonno aperti.\x0E\x04\x00\x00
MID_WU_S_1_HELLO_#003	Però vi prometto che ci attende una giornata\nfantastica!\x0E\x04\x00\x00
MID_WU_S_2_IN_#001	Sapevo di trovarvi qui.\x0E\x04\x00\x00
MID_WU_S_2_IN_#002	Non avete segreti per me.\x0E\x04\x00\x00
MID_WU_S_2_SOON_#001	Non sarete mica in imbarazzo perché\nvi ho vist\x0E\x0A\x00\x08\x02o\x02a dormire, vero?\x0E\x04\x00\x00
MID_WU_S_2_SOON_#002	Oooh...\x0E\x04\x00\x00
MID_WU_S_2_SOON_#003	Sono la vostra fan numero uno.\nNon dovete vergognarvi con me.\x0E\x04\x00\x00
MID_WU_S_2_WAKEUP_#001	Dorme profondamente.\x0E\x04\x00\x00
MID_WU_S_2_WAKEUP_#002	Vedendovi così, mi ricordo di quando\nvegliavo su di voi.\x0E\x04\x00\x00
MID_WU_S_2_WAKEUP_#003	Voglio dirvi una cosa.\x0E\x04\x00\x00
MID_WU_S_2_WAKEUP_#004	Durante il vostro lungo sonno...\x0E\x04\x00\x00
MID_WU_S_2_WAKEUP_#005	Dentro di me sapevo che saremmo stat\x0E\x0A\x00\x08\x02i\x02e\nalleat\x0E\x0A\x00\x08\x02i\x02e per sempre.\x0E\x04\x00\x00
MID_WU_S_2_HELLO_#001	Eheheh... Buongiorno.\x0E\x04\x00\x00
MID_WU_S_2_HELLO_#002	Volevo lasciarvi dormire ancora un po', ma ho\ncambiato idea...\x0E\x04\x00\x00
MID_WU_S_2_HELLO_#003	La vostra fan numero uno vi aspetta!\x0E\x04\x00\x00
MID_WU_S_2_HELLO_#004	È ora di iniziare la giornata!\x0E\x04\x00\x00
