MID_RELIANCE_C_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0E\x08セリーヌ\x021\n\x0E\x03\x00\x0C\x06ラピス\x022\n\x0E\x03\x02\x0A\x08セリーヌ\nOh, cosa bevi di buono, Lapis? Ha un ottimo\nprofumo.\x0E\x04\x00\x00
MID_RELIANCE_A_#003	\x0E\x03\x02\x0A\x08セリーヌ\nE queste foglie fanno una tisana molto\ninteressante...\x0E\x04\x00\x00
MID_RELIANCE_A_#004	\x0E\x03\x00\x0C\x06ラピス\x022\n\x0E\x03\x02\x08\x06ラピス\nPrincipessa Céline? Cosa state scrivendo?\x0E\x04\x00\x00
MID_RELIANCE_A_#005	\x0E\x03\x02\x0A\x08セリーヌ\nOh, ciao, Lapis. Stavo segnandomi le cose che\nmi hai insegnato finora in questo diario.\x0E\x04\x00\x00
MID_RELIANCE_A_#006	\x0E\x03\x02\x0A\x08セリーヌ\nVorrei che lo leggessi e mi dicessi se ho\ndimenticato qualcosa.\x0E\x04\x00\x00
MID_RELIANCE_A_#007	\x0E\x03\x02\x08\x06ラピス\nD'accordo, con piacere. Ma posso chiedervi\nil motivo di questo diario, principessa Céline?\x0E\x04\x00\x00
MID_RELIANCE_A_#008	\x0E\x03\x02\x0A\x08セリーヌ\nÈ per prepararmi al peggio, credo.\x0E\x04\x00\x00
MID_RELIANCE_A_#009	\x0E\x03\x02\x08\x06ラピス\nIn che senso? Abbiamo ancora scorte di cibo\ne medicinali...\x0E\x04\x00\x00
MID_RELIANCE_A_#010	\x0E\x03\x02\x0A\x08セリーヌ\nOh, non è per noi, ma per la mia gente.\x0E\x04\x00\x00
MID_RELIANCE_A_#011	\x0E\x03\x02\x08\x06ラピス\nE perché dovrebbero averne bisogno?\x0E\x04\x00\x00
MID_RELIANCE_A_#012	\x0E\x03\x02\x0A\x08セリーヌ\nIl Firene è una nazione fertile, ma non possiamo\nsperare che sia sempre così.\x0E\x04\x00\x00
MID_RELIANCE_A_#013	\x0E\x03\x02\x0A\x08セリーヌ\nChissà quali calamità potrebbero abbattersi sui\nnostri terreni.\x0E\x04\x00\x00
MID_RELIANCE_A_#014	\x0E\x03\x02\x0A\x08セリーヌ\nSe ciò dovesse accadere, penso che quello\nche mi hai insegnato potrebbe tornare utile.\x0E\x04\x00\x00
MID_RELIANCE_A_#015	\x0E\x03\x02\x08\x06ラピス\nAh... Non pensavo che aveste piani così\nimponenti per le informazioni che vi ho dato.\x0E\x04\x00\x00
MID_RELIANCE_A_#016	\x0E\x03\x02\x0A\x08セリーヌ\nMa non approfitterò troppo della tua\ngentilezza. Chiederò anche l'aiuto di altri.\x0E\x04\x00\x00
MID_RELIANCE_A_#017	\x0E\x03\x02\x0A\x08セリーヌ\nHai anche i tuoi compiti a cui dedicarti.\nNon voglio rubare troppo del tuo tempo.\x0E\x04\x00\x00
MID_RELIANCE_A_#018	\x0E\x03\x02\x08\x06ラピス\nNon c'è problema. Per me è un piacere aiutarvi\ncome posso. Permettetemi di rendermi utile.\x0E\x04\x00\x00
MID_RELIANCE_A_#019	\x0E\x03\x02\x08\x06ラピス\nSe essere sopravvissuta in una terra ostile\npuò rivelarsi utile a qualcosa...\x0E\x04\x00\x00
MID_RELIANCE_A_#020	\x0E\x03\x02\x08\x06ラピス\n... allora che sia!\x0E\x04\x00\x00
MID_RELIANCE_A_#021	\x0E\x03\x02\x0A\x08セリーヌ\nGrazie, Lapis.\x0E\x04\x00\x00
MID_RELIANCE_A_#022	\x0E\x03\x02\x0A\x08セリーヌ\nMa... credevo lo avessi imparato dai tuoi amici.\x0E\x04\x00\x00
MID_RELIANCE_A_#023	\x0E\x03\x02\x08\x06ラピス\nAh!\x0E\x04\x00\x00
MID_RELIANCE_A_#024	\x0E\x03\x02\x08\x06ラピス\nChiedo scusa. Vi ho mentito. In realtà sono\nconoscenze di prima mano.\x0E\x04\x00\x00
MID_RELIANCE_A_#025	\x0E\x03\x02\x0A\x08セリーヌ\nDavvero? Beh, allora non hai niente di cui\nscusarti. Le conoscenze di prima mano hanno\nun valore ancora più grande per me.\x0E\x04\x00\x00
MID_RELIANCE_A_#026	\x0E\x03\x02\x0A\x08セリーヌ\nGrazie per l'onestà. Il tuo aiuto è importante\nper me, Lapis.\x0E\x04\x00\x00
MID_RELIANCE_A_#027	\x0E\x03\x02\x08\x06ラピス\nGrazie a voi, principessa Céline. Sono lieta di\nessere utile a voi e al vostro popolo!\x0E\x04\x00\x00
