MID_GR_El_C_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0A\x04エル\x021\n\x0E\x03\x00\x0C\x06カミラ\x022\n\x0E\x03\x02\x08\x06カミラ\nFaresti di tutto per tuo fratello, vero? Anche io\nsono molto protettiva nei confronti della mia\nfamiglia.\x0E\x04\x00\x00
MID_GR_Selestia_B_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x12\x0Cセレスティア\x021\n\x0E\x03\x00\x0C\x06カミラ\x022\n\x0E\x03\x02\x0E\x0Cセレスティア\nVolevo solo scaldare le sue mani, non era il caso\nche fuggisse. Immagino che i Draghi Magici\npossano fare paura.\x0E\x04\x00\x00
MID_GR_Selestia_B_#002	\x0E\x03\x02\x08\x06カミラ\nNon scoraggiarti. Non c'è nulla di spaventoso\nin te, sei gentile. La prossima volta prova a\ncomunicare prima le tue intenzioni.\x0E\x04\x00\x00
MID_GR_Selestia_A_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x12\x0Cセレスティア\x021\n\x0E\x03\x00\x0C\x06カミラ\x022\n\x0E\x03\x02\x0E\x0Cセレスティア\nÈ difficile convincere la gente a farsi coccolare\nda me. C'è un trucco, che tu sappia?\x0E\x04\x00\x00
MID_GR_Selestia_A_#002	\x0E\x03\x02\x08\x06カミラ\nContinua a mostrarti gentile e calorosa. Ci sono\nlegami che devono seguire il loro corso naturale.\x0E\x04\x00\x00
MID_GR_Selestia_A_#003	\x0E\x03\x02\x08\x06カミラ\nÈ adorabile il modo in cui ti prendi cura degli\naltri, Zelestia. Non perdiamo l'abitudine di\nconfidarci, va bene?\x0E\x04\x00\x00
MID_GR_Selestia_A_#004	\x0E\x03\x02\x0E\x0Cセレスティア\nMi fa piacere poterti parlare di tutto quello che\nvoglio. E se vuoi che ti scaldi le mani, sono a\ntua disposizione.\x0E\x04\x00\x00
MID_GR_Gregory_C_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x10\nグレゴリー\x021\n\x0E\x03\x00\x0C\x06カミラ\x022\n\x0E\x03\x02\x08\x06カミラ\nI tuoi abiti sono una vera ispirazione. Vestirsi\nin modo minaccioso per intimidire i nemici...\nAdoro.\x0E\x04\x00\x00
MID_GR_Gregory_C_#002	\x0E\x03\x02\x0C\nグレゴリー\nGrazie. Anche la tua armatura mette soggezione.\nCon te al mio fianco, nessuno oserà avvicinarsi!\x0E\x04\x00\x00
MID_GR_Gregory_B_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x10\nグレゴリー\x021\n\x0E\x03\x00\x0C\x06カミラ\x022\n\x0E\x03\x02\x08\x06カミラ\nSbaglio o le battaglie non sono il tuo forte?\nMa allora perché insisti a presentarti in campo?\x0E\x04\x00\x00
MID_GR_Gregory_B_#002	\x0E\x03\x02\x0C\nグレゴリー\nIo e Mauvier non avevamo legami di sangue, ma\nera come un fratello per me. Vorrei che fosse\norgoglioso di me, ora che occupo il suo ruolo.\x0E\x04\x00\x00
MID_GR_Gregory_A_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x10\nグレゴリー\x021\n\x0E\x03\x00\x0C\x06カミラ\x022\n\x0E\x03\x02\x08\x06カミラ\nCapisco cosa significhi tenere a qualcuno come\nse fosse parte della tua famiglia. Cerca di non\nesagerare, però. Dovrai pur riposarti, ogni tanto.\x0E\x04\x00\x00
MID_GR_Gregory_A_#002	\x0E\x03\x02\x0C\nグレゴリー\nPrometto di non strafare. In fondo, so di essere\nun codardo capace solo di fuggire a gambe\nlevate. Non sono un guerriero.\x0E\x04\x00\x00
MID_GR_Gregory_A_#003	\x0E\x03\x02\x08\x06カミラ\nMa tu scappi per sopravvivere e poter affrontare\nla prossima battaglia. Ciò fa di te un guerriero\nfantastico.\x0E\x04\x00\x00
MID_GR_Gregory_A_#004	\x0E\x03\x02\x0C\nグレゴリー\nMi fa piacere ricevere questi incoraggiamenti\nda un emblema come te. Grazie, Camilla.\x0E\x04\x00\x00
MID_GR_Madeline_C_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x10\nマデリーン\x021\n\x0E\x03\x00\x0C\x06カミラ\x022\n\x0E\x03\x02\x08\x06カミラ\nEra da un po' che non avevamo l'occasione di\nchiacchierare. Non sei cambiata, sei sempre\nforte e carina.\x0E\x04\x00\x00
MID_GR_Madeline_C_#002	\x0E\x03\x02\x0C\nマデリーン\nLady Camilla, ti ringrazio. Oh... ma è meglio che\ntorni ad allenarmi, se voglio diventare forte sul\nserio.\x0E\x04\x00\x00
MID_GR_Madeline_B_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x10\nマデリーン\x021\n\x0E\x03\x00\x0C\x06カミラ\x022\n\x0E\x03\x02\x0C\nマデリーン\nApprezzo le attenzioni, ma preferirei che non mi\ntrattassi come una bambina.\x0E\x04\x00\x00
MID_GR_Madeline_B_#002	\x0E\x03\x02\x08\x06カミラ\nOh, mi dispiace, non volevo. Non riesco a\ntrattenermi quando cerchi di fare la dura. Sei\ntroppo adorabile.\x0E\x04\x00\x00
MID_GR_Madeline_A_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x10\nマデリーン\x021\n\x0E\x03\x00\x0C\x06カミラ\x022\n\x0E\x03\x02\x08\x06カミラ\nSento il bisogno di prendermi cura delle ragazze\nsolerti come te. Soprattutto se sono eroiche e\ncoraggiose.\x0E\x04\x00\x00
MID_GR_Madeline_A_#002	\x0E\x03\x02\x0C\nマデリーン\nLavorare sodo fa parte dei doveri di noi\ncavalieri. Il mio compito consiste nel dare il\nmeglio in battaglia, per il bene di chi servo.\x0E\x04\x00\x00
MID_GR_Madeline_A_#003	\x0E\x03\x02\x08\x06カミラ\nMa certo. Sei davvero forte, Madeline, ma\nnon c'è niente di male a mostrare il lato tenero.\x0E\x04\x00\x00
MID_GR_Madeline_A_#004	\x0E\x03\x02\x0C\nマデリーン\nVa contro il mio spirito cavalleresco. Anche\nse a volte fa piacere lasciarsi coccolare... giusto\nun pochino.\x0E\x04\x00\x00
