MID_RELIANCE_C_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0E\x08リュール\x021\n\x0E\x03\x00\x10\nザフィーア\x022\n\x0E\x03\x02\x0A\x08リュール\nGrazie per l'allenamento, Saphir.\x0E\x04\x00\x00
MID_RELIANCE_B_#013	\x0E\x03\x02\x0C\nザフィーア\nCosì decisi di onorare il suo desiderio di\ndiventare la più forte.\x0E\x04\x00\x00
MID_RELIANCE_B_#014	\x0E\x03\x02\x0A\x08リュール\nMi dispiace per la tua perdita.\x0E\x04\x00\x00
MID_RELIANCE_B_#015	\x0E\x03\x02\x0A\x08リュール\nMa non posso fare a meno di pensare che non\nsia questa l'unica ragione per cui ti alleni così\ntanto.\x0E\x04\x00\x00
MID_RELIANCE_B_#016	\x0E\x03\x02\x0C\nザフィーア\nCosa ve lo fa pensare?\x0E\x04\x00\x00
MID_RELIANCE_B_#017	\x0E\x03\x02\x0A\x08リュール\nLa tua furia... non sembra dettata dal dolore.\nTrasuda vendetta.\x0E\x04\x00\x00
MID_RELIANCE_B_#018	\x0E\x03\x02\x0C\nザフィーア\n...\x0E\x04\x00\x00
MID_RELIANCE_B_#019	\x0E\x03\x02\x0C\nザフィーア\nDevo andare. I muscoli si irrigidiscono se resto\nferma troppo a lungo.\x0E\x04\x00\x00
MID_RELIANCE_B_#020	\x0E\x03\x02\x0C\nザフィーア\nGrazie per la chiacchierata. A presto.\x0E\x04\x00\x00
MID_RELIANCE_B_#021	\x0E\x03\x02\x0A\x08リュール\nSaphir...\x0E\x04\x00\x00
MID_RELIANCE_B_#022	\x0E\x03\x02\x0A\x08リュール\nForse ho esagerato. Dovrei chiederle scusa...\x0E\x04\x00\x00
MID_RELIANCE_A_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0E\x08リュール\x021\n\x0E\x03\x00\x10\nザフィーア\x022\n\x0E\x03\x02\x0C\nザフィーア\nDrago Divino. Chiedo scusa per come ho\nreagito quando abbiamo parlato del mio stile\ndi combattimento.\x0E\x04\x00\x00
MID_RELIANCE_A_#002	\x0E\x03\x02\x0A\x08リュール\nSono io che ti devo delle scuse. Ho insistito\ntroppo con le mie insinuazioni.\x0E\x04\x00\x00
MID_RELIANCE_A_#003	\x0E\x03\x02\x0C\nザフィーア\nMa non avevate torto. Provo ancora molto odio\nper l'Elusia.\x0E\x04\x00\x00
MID_RELIANCE_A_#004	\x0E\x03\x02\x0C\nザフィーア\nMa ciò che faccio più fatica a perdonarmi\nè l'essere sopravvissuta.\x0E\x04\x00\x00
MID_RELIANCE_A_#005	\x0E\x03\x02\x0C\nザフィーア\nSe la mia amica fosse sopravvissuta al posto\nmio, la Brodia avrebbe una cavaliera ancora più\nforte.\x0E\x04\x00\x00
MID_RELIANCE_A_#006	\x0E\x03\x02\x0C\nザフィーア\nEcco perché mi impegno tanto in battaglia.\nCerco di compensare la sua perdita.\x0E\x04\x00\x00
MID_RELIANCE_A_#007	\x0E\x03\x02\x0A\x08リュール\nTi ringrazio per esserti confidata.\x0E\x04\x00\x00
MID_RELIANCE_A_#008	\x0E\x03\x02\x0A\x08リュール\nOra che so queste cose mi sento meglio.\x0E\x04\x00\x00
MID_RELIANCE_A_#009	\x0E\x03\x02\x0C\nザフィーア\nIn che senso?\x0E\x04\x00\x00
MID_RELIANCE_A_#010	\x0E\x03\x02\x0A\x08リュール\nSe fossi guidata solo dalla sete di vendetta,\nmi vedrei costrett\x0E\x0A\x00\x08\x02o\x02a a dissuaderti.\x0E\x04\x00\x00
MID_RELIANCE_A_#011	\x0E\x03\x02\x0A\x08リュール\nPerché una forza puramente dettata dalla\nvendetta non porta nulla di buono.\x0E\x04\x00\x00
MID_RELIANCE_A_#012	\x0E\x03\x02\x0A\x08リュール\nMa ora so che lo fai per esaudire il desiderio\ndi una tua cara amica.\x0E\x04\x00\x00
MID_RELIANCE_A_#013	\x0E\x03\x02\x0A\x08リュール\nSono sicur\x0E\x0A\x00\x08\x02o\x02a che apprezzerebbe, ma non so\nse vale la pena soffrire così.\x0E\x04\x00\x00
MID_RELIANCE_A_#014	\x0E\x03\x02\x0A\x08リュール\nAl posto suo... vorrei che tu fossi felice.\x0E\x04\x00\x00
MID_RELIANCE_A_#015	\x0E\x03\x02\x0C\nザフィーア\nNon ho mai visto le cose da questa angolazione.\x0E\x04\x00\x00
MID_RELIANCE_A_#016	\x0E\x03\x02\x0C\nザフィーア\nForse non avete tutti i torti. In fondo siete la\npersona più gentile che conosca.\x0E\x04\x00\x00
MID_RELIANCE_A_#017	\x0E\x03\x02\x0C\nザフィーア\nMa come fate a essere sicur\x0E\x0A\x00\x08\x02o\x02a di cosa\npenserebbe lei in questa situazione, Drago\nDivino?\x0E\x04\x00\x00
MID_RELIANCE_A_#018	\x0E\x03\x02\x0A\x08リュール\nNon è difficile sapere certe cose, quando si\ntiene a qualcuno.\x0E\x04\x00\x00
MID_RELIANCE_A_#019	\x0E\x03\x02\x0C\nザフィーア\nAh...\x0E\x04\x00\x00
MID_RELIANCE_A_#020	\x0E\x03\x02\x0A\x08リュール\nHo detto qualcosa che non avrei dovuto?\x0E\x04\x00\x00
MID_RELIANCE_A_#021	\x0E\x03\x02\x0C\nザフィーア\nNo, macché. Sono delle parole... gentili.\x0E\x04\x00\x00
MID_RELIANCE_A_#022	\x0E\x03\x02\x0C\nザフィーア\nGrazie, Drago Divino. Significano molto per me.\x0E\x04\x00\x00
MID_RELIANCE_S_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0E\x08リュール\x021\n\x0E\x03\x00\x10\nザフィーア\x022\n\x0E\x03\x02\x0A\x08リュール\nGhyaaah!
MID_RELIANCE_S_#002	\x0E\x03\x02\x0C\nザフィーア\nUmpf. Complimenti. Mi arrendo.\x0E\x04\x00\x00
MID_RELIANCE_S_#003	\x0E\x03\x02\x0A\x08リュール\nÈ stato un bell'incontro.\x0E\x04\x00\x00
MID_RELIANCE_S_#004	\x0E\x03\x02\x0A\x08リュール\nPer oggi direi che può bastare. Mi hai dato\ndel filo da torcere, sono esaust\x0E\x0A\x00\x08\x02o\x02a.\x0E\x04\x00\x00
MID_RELIANCE_S_#005	\x0E\x03\x02\x0C\nザフィーア\nOggi avete proprio superato voi stess\x0E\x0A\x00\x08\x02o\x02a, Drago\nDivino. Che sudata.\x0E\x04\x00\x00
MID_RELIANCE_S_#006	\x0E\x03\x02\x0C\nザフィーア\nSapevo che avevate potenziale da vendere, ma\nnon mi aspettavo dei progressi così rapidi!\x0E\x04\x00\x00
MID_RELIANCE_S_#007	\x0E\x03\x02\x0A\x08リュール\nLi devo a te, in tutti i sensi. E non parlo solo\ndei tuoi incoraggiamenti.\x0E\x04\x00\x00
MID_RELIANCE_S_#008	\x0E\x03\x02\x0A\x08リュール\nQuesta forza deriva dal desiderio di proteggerti.\x0E\x04\x00\x00
MID_RELIANCE_S_#009	\x0E\x03\x02\x0C\nザフィーア\nProteggermi?\x0E\x04\x00\x00
MID_RELIANCE_S_#010	\x0E\x03\x02\x0A\x08リュール\nEheh... non ti avevo mai vista arrossire.\x0E\x04\x00\x00
MID_RELIANCE_S_#011	\x0E\x03\x02\x0C\nザフィーア\nNessuno mi aveva mai detto tali parole.\nNon so proprio cosa rispondere.\x0E\x04\x00\x00
MID_RELIANCE_S_#012	\x0E\x03\x02\x0A\x08リュール\nPer quanto feroce tu sia, hai comunque un\ncuore tenero.\x0E\x04\x00\x00
MID_RELIANCE_S_#013	\x0E\x03\x02\x0A\x08リュール\nMi piace questo tuo lato.\x0E\x04\x00\x00
MID_RELIANCE_S_#014	\x0E\x03\x02\x0A\x08リュール\nEcco perché vorrei darti l'anello del patto.\x0E\x04\x00\x00
MID_RELIANCE_S_#015	\x0E\x03\x02\x0C\nザフィーア\nOh...\x0E\x04\x00\x00
MID_RELIANCE_S_#016	\x0E\x03\x02\x0A\x08リュール\nSei la persona più importante per me e questo\nanello simboleggia i sentimenti che provo.\x0E\x04\x00\x00
MID_RELIANCE_S_#017	\x0E\x03\x02\x0A\x08リュール\nAllora? Vuoi essere per sempre la mia\ncompagna di allenamento?\x0E\x04\x00\x00
MID_RELIANCE_S_#018	\x0E\x03\x02\x0C\nザフィーア\nAh...\x0E\x04\x00\x00
MID_RELIANCE_S_#019	\x0E\x03\x02\x0C\nザフィーア\nMi è permesso davvero... essere così felice?\x0E\x04\x00\x00
MID_RELIANCE_S_#020	\x0E\x03\x02\x0A\x08リュール\nCapisco che ti sembri impossibile. Hai passato\nmolte esperienze dolorose.\x0E\x04\x00\x00
MID_RELIANCE_S_#021	\x0E\x03\x02\x0A\x08リュール\nMa è proprio per questo motivo che hai diritto\na un po' di felicità.\x0E\x04\x00\x00
MID_RELIANCE_S_#022	\x0E\x03\x02\x0C\nザフィーア\nAvete ragione, \x0E\x06\x03\x00. Grazie.\x0E\x04\x00\x00
MID_RELIANCE_S_#023	\x0E\x03\x02\x0C\nザフィーア\nAccetto l'anello e la vostra offerta con piacere.\x0E\x04\x00\x00
MID_RELIANCE_S_#024	\x0E\x03\x02\x0A\x08リュール\nBenissimo. Sappi che sarò qui per te fino alla\nfine.\x0E\x04\x00\x00
MID_RELIANCE_S_#025	\x0E\x03\x02\x0C\nザフィーア\nLo stesso vale per me. Combatterò con tutta\nme stessa per proteggervi... e rendervi felice.\x0E\x04\x00\x00
