MID_RELIANCE_C_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0E\x08リュール\x021\n\x0E\x03\x00\x0C\x06クロエ\x022\n\x0E\x03\x02\x0A\x08リュール\n...\x0E\x04\x00\x00
MID_RELIANCE_B_#013	\x0E\x03\x02\x08\x06クロエ\nOh. Chiedo scusa, mi sono lasciata trascinare\ndal mio desiderio per una vita da fiaba.\x0E\x04\x00\x00
MID_RELIANCE_B_#014	\x0E\x03\x02\x08\x06クロエ\nAvrei dovuto provare a mettermi nei panni\ndi chi una vita così la vive ogni giorno.\x0E\x04\x00\x00
MID_RELIANCE_B_#015	\x0E\x03\x02\x0A\x08リュール\nNon devi scusarti, Chloé. So che non era tua\nintenzione.\x0E\x04\x00\x00
MID_RELIANCE_B_#016	\x0E\x03\x02\x08\x06クロエ\nSono rammaricata.\x0E\x04\x00\x00
MID_RELIANCE_B_#017	\x0E\x03\x02\x08\x06クロエ\nAh, ho un'idea! Vi porterò qualcosa di buono\nper farmi perdonare!\x0E\x04\x00\x00
MID_RELIANCE_B_#018	\x0E\x03\x02\x08\x06クロエ\nUltimamente vado matta per del pesce sottaceto\ncosì aspro da fare accapponare la pelle!\x0E\x04\x00\x00
MID_RELIANCE_B_#019	\x0E\x03\x02\x08\x06クロエ\nVado subito a prendervelo. Vi piacerà!\x0E\x04\x00\x00
MID_RELIANCE_B_#020	\x0E\x03\x02\x0A\x08リュール\nNo, grazie! Non è il caso! Mi basta immaginarlo!\x0E\x04\x00\x00
MID_RELIANCE_A_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0E\x08リュール\x021\n\x0E\x03\x00\x0C\x06クロエ\x022\n\x0E\x03\x02\x0A\x08リュール\nHo notato quante volte parli del tuo desiderio\ndi vivere una vita da favola...\x0E\x04\x00\x00
MID_RELIANCE_A_#002	\x0E\x03\x02\x08\x06クロエ\nMh mh. È il mio sogno sin da quando ero\npiccola.\x0E\x04\x00\x00
MID_RELIANCE_A_#003	\x0E\x03\x02\x08\x06クロエ\nVengo da una famiglia nobile, dove la mia vita\nera già stata programmata dai miei genitori.\x0E\x04\x00\x00
MID_RELIANCE_A_#004	\x0E\x03\x02\x08\x06クロエ\nAvrei dovuto adempiere al mio ruolo: sposarmi\ne dedicarmi a formare una famiglia.\x0E\x04\x00\x00
MID_RELIANCE_A_#005	\x0E\x03\x02\x08\x06クロエ\nNon mi lasciavano neanche mangiare il cibo\nda strada che amo tanto.\x0E\x04\x00\x00
MID_RELIANCE_A_#006	\x0E\x03\x02\x08\x06クロエ\nNon ero come le altre ragazze della nobiltà.\nDetestavo quella vita.\x0E\x04\x00\x00
MID_RELIANCE_A_#007	\x0E\x03\x02\x0A\x08リュール\nNon lo immaginavo.\x0E\x04\x00\x00
MID_RELIANCE_A_#008	\x0E\x03\x02\x08\x06クロエ\nLa vita che sognavo era libera, eccitante e\nil più possibile fuori dall'ordinario.\x0E\x04\x00\x00
MID_RELIANCE_A_#009	\x0E\x03\x02\x0A\x08リュール\nScusa se ti ho fatto risvegliare questi ricordi\ndolorosi, Chloé.\x0E\x04\x00\x00
MID_RELIANCE_A_#010	\x0E\x03\x02\x08\x06クロエ\nOh, non importa. Appartengono al passato. Il\nmio sogno si è avverato diventando cavaliera.\x0E\x04\x00\x00
MID_RELIANCE_A_#011	\x0E\x03\x02\x08\x06クロエ\nAvere nella mia vita la principessa Céline... e\nvoi... mi permette di vivere il mio sogno.\x0E\x04\x00\x00
MID_RELIANCE_A_#012	\x0E\x03\x02\x08\x06クロエ\nCombattere al fianco del Drago Divino e della\nfamiglia reale non è forse meglio di una fiaba?\x0E\x04\x00\x00
MID_RELIANCE_A_#013	\x0E\x03\x02\x0A\x08リュール\nSe la metti così, forse hai ragione.\x0E\x04\x00\x00
MID_RELIANCE_A_#014	\x0E\x03\x02\x08\x06クロエ\nMi domando se in futuro scriveranno delle storie\nsu questa guerra.\x0E\x04\x00\x00
MID_RELIANCE_A_#015	\x0E\x03\x02\x0A\x08リュール\nProbabile. E quando lo faranno...\x0E\x04\x00\x00
MID_RELIANCE_A_#016	\x0E\x03\x02\x0A\x08リュール\n... non mi sorprenderebbe se tu fossi uno dei\npersonaggi principali.\x0E\x04\x00\x00
MID_RELIANCE_A_#017	\x0E\x03\x02\x08\x06クロエ\nCosa?! Questa poi...! Sarebbe bello, in effetti.\x0E\x04\x00\x00
MID_RELIANCE_A_#018	\x0E\x03\x02\x08\x06クロエ\nVoglio diventare una fonte di ispirazione per i\nbambini che leggeranno quelle storie.\x0E\x04\x00\x00
MID_RELIANCE_A_#019	\x0E\x03\x02\x0A\x08リュール\nSei già sulla buona strada, Chloé.\x0E\x04\x00\x00
MID_RELIANCE_A_#020	\x0E\x03\x02\x08\x06クロエ\nAhah. Grazie per la fiducia, Drago Divino.\x0E\x04\x00\x00
MID_RELIANCE_S_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0E\x08リュール\x021\n\x0E\x03\x00\x0C\x06クロエ\x022\n\x0E\x03\x02\x0A\x08リュール\nA quanto pare sei contagiosa, Chloé.\x0E\x04\x00\x00
MID_RELIANCE_S_#002	\x0E\x03\x02\x08\x06クロエ\nPerché dite questo?\x0E\x04\x00\x00
MID_RELIANCE_S_#003	\x0E\x03\x02\x0A\x08リュール\nTu vorresti una vita come nelle favole e da\nun po' di tempo ho cominciato a sognare una\nvita così anche per me.\x0E\x04\x00\x00
MID_RELIANCE_S_#004	\x0E\x03\x02\x08\x06クロエ\nOh, ma è fantastico!\x0E\x04\x00\x00
MID_RELIANCE_S_#005	\x0E\x03\x02\x08\x06クロエ\nOra che avete un'idea del vostro sogno, potete\ncominciare a farlo diventare realtà.\x0E\x04\x00\x00
MID_RELIANCE_S_#006	\x0E\x03\x02\x0A\x08リュール\nNon credo sia così facile...\x0E\x04\x00\x00
MID_RELIANCE_S_#007	\x0E\x03\x02\x0A\x08リュール\nAlcune parti di questo sogno non posso\navverarle da sol\x0E\x0A\x00\x08\x02o\x02a.\x0E\x04\x00\x00
MID_RELIANCE_S_#008	\x0E\x03\x02\x08\x06クロエ\nDi cos'altro avete bisogno?\x0E\x04\x00\x00
MID_RELIANCE_S_#009	\x0E\x03\x02\x0A\x08リュール\nDi te, Chloé.\x0E\x04\x00\x00
MID_RELIANCE_S_#010	\x0E\x03\x02\x08\x06クロエ\nDi me?!\x0E\x04\x00\x00
MID_RELIANCE_S_#011	\x0E\x03\x02\x0A\x08リュール\nSe penso alla vita che voglio dopo la guerra...\nmi sembra così vuota senza di te.\x0E\x04\x00\x00
MID_RELIANCE_S_#012	\x0E\x03\x02\x0A\x08リュール\nLa tua vita è una fiaba di cui sei la protagonista,\nma vorrei starti accanto e farne parte anch'io.\x0E\x04\x00\x00
MID_RELIANCE_S_#013	\x0E\x03\x02\x08\x06クロエ\nOh, caspita...\x0E\x04\x00\x00
MID_RELIANCE_S_#014	\x0E\x03\x02\x0A\x08リュール\nSe anche tu la pensi così, allora spero che\naccetterai questo regalo...\x0E\x04\x00\x00
MID_RELIANCE_S_#015	\x0E\x03\x02\x0A\x08リュール\nL'ho tenuto da parte per te.\x0E\x04\x00\x00
MID_RELIANCE_S_#016	\x0E\x03\x02\x08\x06クロエ\nMa è l'anello del patto...\x0E\x04\x00\x00
MID_RELIANCE_S_#017	\x0E\x03\x02\x0A\x08リュール\nCome hai detto tu, la mia è una vita fuori\ndall'ordinario.\x0E\x04\x00\x00
MID_RELIANCE_S_#018	\x0E\x03\x02\x0A\x08リュール\nForse è troppo chiederti di prenderne parte.\x0E\x04\x00\x00
MID_RELIANCE_S_#019	\x0E\x03\x02\x0A\x08リュール\nMa tentar non nuoce.\x0E\x04\x00\x00
MID_RELIANCE_S_#020	\x0E\x03\x02\x08\x06クロエ\nVi bastava chiederlo, \x0E\x06\x03\x00.\x0E\x04\x00\x00
MID_RELIANCE_S_#021	\x0E\x03\x02\x08\x06クロエ\nNon ho mai voluto una vita ordinaria, e\nse mi permettete di fare parte della vostra\nstoria...\x0E\x04\x00\x00
MID_RELIANCE_S_#022	\x0E\x03\x02\x08\x06クロエ\n... sarebbe il lieto fine che ho sempre sognato.\x0E\x04\x00\x00
MID_RELIANCE_S_#023	\x0E\x03\x02\x0A\x08リュール\nQuindi?\x0E\x04\x00\x00
MID_RELIANCE_S_#024	\x0E\x03\x02\x08\x06クロエ\nAccetto l'anello, ovviamente. Voglio restare\nal vostro fianco e realizzare il vostro sogno\ninsieme a voi.\x0E\x04\x00\x00
MID_RELIANCE_S_#025	\x0E\x03\x02\x0A\x08リュール\nGrazie, Chloé.\x0E\x04\x00\x00
MID_RELIANCE_S_#026	\x0E\x03\x02\x08\x06クロエ\nQuesto è il primo capitolo della favola del\nDrago Divino e Chloé. Una favola memorabile!\x0E\x04\x00\x00
