MID_GR_Lueur_C_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0E\x08リュール\x021\n\x0E\x03\x00\x10\nヴェロニカ\x022\n\x0E\x03\x02\x0C\nヴェロニカ\nNon ho mai visto un potere come il tuo, il potere\ndi evocare gli emblemi... Vorrei farlo mio.\x0E\x04\x00\x00
MID_GR_Clan_B_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0C\x06クラン\x021\n\x0E\x03\x00\x10\nヴェロニカ\x022\n\x0E\x03\x02\x08\x06クラン\nSe non è un problema, vorrei che mi raccontassi\ndi te. Cosa ti piace? Cosa fai nel tempo libero?\x0E\x04\x00\x00
MID_GR_Clan_B_#002	\x0E\x03\x02\x0C\nヴェロニカ\nTi interessa? Beh, se proprio vuoi saperlo...\x0E\x04\x00\x00
MID_GR_Clan_A_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0C\x06クラン\x021\n\x0E\x03\x00\x10\nヴェロニカ\x022\n\x0E\x03\x02\x0C\nヴェロニカ\nClanne, ho notato... che mi rivolgi spesso la\nparola. Lo fai con piacere?\x0E\x04\x00\x00
MID_GR_Clan_A_#002	\x0E\x03\x02\x08\x06クラン\nMa certo! Amo ascoltare le tue storie e\nmi rilassa trascorrere del tempo con te.\x0E\x04\x00\x00
MID_GR_Clan_A_#003	\x0E\x03\x02\x08\x06クラン\nCosa ne pensi tu? Ti irrita parlare con me?\x0E\x04\x00\x00
MID_GR_Clan_A_#004	\x0E\x03\x02\x0C\nヴェロニカ\nNo, non mi irrita. Stranamente, attendo sempre\ncon ansia i momenti insieme. Mi piacerebbe\ncontinuare così.\x0E\x04\x00\x00
MID_GR_Fram_C_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0C\x06フラン\x021\n\x0E\x03\x00\x10\nヴェロニカ\x022\n\x0E\x03\x02\x08\x06フラン\nLady Veronica! Ti serve aiuto? Sappi che farò\ndel mio meglio per fornirti il mio appoggio.\x0E\x04\x00\x00
MID_GR_Fram_C_#002	\x0E\x03\x02\x0C\nヴェロニカ\nNon mi serve niente, ora come ora. Però... se hai\ntempo, ti va di parlare un po'?\x0E\x04\x00\x00
MID_GR_Fram_B_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0C\x06フラン\x021\n\x0E\x03\x00\x10\nヴェロニカ\x022\n\x0E\x03\x02\x08\x06フラン\nDovrei ridecorare questo posto. Penso che un\nambiente più vivace sarebbe più adatto a te.\x0E\x04\x00\x00
MID_GR_Fram_B_#002	\x0E\x03\x02\x0C\nヴェロニカ\nAh, sul serio? Non ho mai dato importanza\nall'arredamento. Ma se davvero ci tieni, posso\nguardarti mentre lavori.\x0E\x04\x00\x00
MID_GR_Fram_A_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0C\x06フラン\x021\n\x0E\x03\x00\x10\nヴェロニカ\x022\n\x0E\x03\x02\x0C\nヴェロニカ\nSei proprio interessante. Corri sempre di qua e\ndi là, fai grandi capitomboli, ma ti rimetti subito\nin piedi.\x0E\x04\x00\x00
MID_GR_Fram_A_#002	\x0E\x03\x02\x08\x06フラン\nNon mi arrendo mai, già. Spesso cado, ma poi\nmi rialzo sempre a testa alta!\x0E\x04\x00\x00
MID_GR_Fram_A_#003	\x0E\x03\x02\x0C\nヴェロニカ\nSei più forte di quanto sembri e hai energia da\nvendere. Dove la trovi tutta questa vitalità?\x0E\x04\x00\x00
MID_GR_Fram_A_#004	\x0E\x03\x02\x08\x06フラン\nÈ difficile non scoppiare di energia con tutte le\ncose divertenti che facciamo! E insieme a te\nmi sento sempre emozionata!\x0E\x04\x00\x00
MID_GR_Alfred_C_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x12\x0Cアルフレッド\x021\n\x0E\x03\x00\x10\nヴェロニカ\x022\n\x0E\x03\x02\x0C\nヴェロニカ\nTi alzi presto, tu. Cosa ti spinge a farlo?\x0E\x04\x00\x00
MID_GR_Alfred_C_#002	\x0E\x03\x02\x0E\x0Cアルフレッド\nCosì ho più tempo per allenarmi! L'esercizio\nfisico è fondamentale. Vuoi venire a fare una\ncorsa?\x0E\x04\x00\x00
MID_GR_Alfred_B_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x12\x0Cアルフレッド\x021\n\x0E\x03\x00\x10\nヴェロニカ\x022\n\x0E\x03\x02\x0E\x0Cアルフレッド\nAaaah, oggi sarà un'ottima giornata. Non ti senti\npiena di gioia?\x0E\x04\x00\x00
MID_GR_Alfred_B_#002	\x0E\x03\x02\x0C\nヴェロニカ\nGioia... Prima d'ora non l'avevo mai provata.\nMa ora sì, credo. Almeno un po'...\x0E\x04\x00\x00
MID_GR_Alfred_A_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x12\x0Cアルフレッド\x021\n\x0E\x03\x00\x10\nヴェロニカ\x022\n\x0E\x03\x02\x0E\x0Cアルフレッド\nUn'altra ottima giornata è giunta a termine.\nSono grato per la mia salute e per tutti gli amici\nattorno a me...\x0E\x04\x00\x00
MID_GR_Alfred_A_#002	\x0E\x03\x02\x0C\nヴェロニカ\nSei sempre così... ottimista. Hai tante cose che\nio non ho. Non è giusto.\x0E\x04\x00\x00
MID_GR_Alfred_A_#003	\x0E\x03\x02\x0E\x0Cアルフレッド\nNon dire così. Viviamo nello stesso posto e\nabbiamo gli stessi amici, dopo tutto.\x0E\x04\x00\x00
MID_GR_Alfred_A_#004	\x0E\x03\x02\x0C\nヴェロニカ\nGià. Ho degli alleati e un posto a cui mi sento\ndi appartenere. Se solo fosse sempre così...\x0E\x04\x00\x00
MID_GR_Boucheron_C_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x10\nブシュロン\x021\n\x0E\x03\x00\x10\nヴェロニカ\x022\n\x0E\x03\x02\x0C\nヴェロニカ\nTi piace leggere, dico bene? Cosa stai leggendo\ndi bello?\x0E\x04\x00\x00
MID_GR_Boucheron_C_#002	\x0E\x03\x02\x0C\nブシュロン\nUno dei miei libri preferiti. Se anche a te piace\nleggere, posso consigliartene qualcuno.\x0E\x04\x00\x00
MID_GR_Boucheron_B_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x10\nブシュロン\x021\n\x0E\x03\x00\x10\nヴェロニカ\x022\n\x0E\x03\x02\x0C\nヴェロニカ\nCosa stai leggendo oggi? Vuoi che ti faccia\ncompagnia?\x0E\x04\x00\x00
MID_GR_Boucheron_B_#002	\x0E\x03\x02\x0C\nブシュロン\nCon piacere. L'ho appena iniziato. Dimmi\nquando vuoi che giri la pagina.\x0E\x04\x00\x00
MID_GR_Boucheron_A_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x10\nブシュロン\x021\n\x0E\x03\x00\x10\nヴェロニカ\x022\n\x0E\x03\x02\x0C\nヴェロニカ\nAbbiamo letto molti libri assieme. Ho paura che\npresto non ci resterà più nulla di nuovo da\nleggere.\x0E\x04\x00\x00
MID_GR_Boucheron_A_#002	\x0E\x03\x02\x0C\nブシュロン\nIl mondo è pieno di libri. Non basterebbe una\nvita intera a leggerli tutti.\x0E\x04\x00\x00
MID_GR_Boucheron_A_#003	\x0E\x03\x02\x0C\nブシュロン\nI racconti sono una fonte inesauribile. Potremo\ncontinuare a leggerne quanti ne vuoi, non\ntemere.\x0E\x04\x00\x00
MID_GR_Boucheron_A_#004	\x0E\x03\x02\x0C\nヴェロニカ\nMeno male. Le cose che finiscono mi\nspaventano... ma ora non vedo l'ora di scoprire\nquale sarà il nostro prossimo libro!\x0E\x04\x00\x00
MID_GR_Etie_C_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x10\nエーティエ\x021\n\x0E\x03\x00\x10\nヴェロニカ\x022\n\x0E\x03\x02\x0C\nヴェロニカ\nSei sempre in movimento. Come mai? Non sei\nmai stanca?\x0E\x04\x00\x00
MID_GR_Etie_C_#002	\x0E\x03\x02\x0C\nエーティエ\nL'allenamento non mi stanca. E ti dirò di più...\nMi riempie di gioia! Mi aiuta a fare chiarezza\nnei miei pensieri.\x0E\x04\x00\x00
MID_GR_Etie_B_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x10\nエーティエ\x021\n\x0E\x03\x00\x10\nヴェロニカ\x022\n\x0E\x03\x02\x0C\nエーティエ\nPenso che un po' di ginnastica ti farebbe bene.\nTi va di venire a correre con me?\x0E\x04\x00\x00
MID_GR_Etie_B_#002	\x0E\x03\x02\x0C\nヴェロニカ\nNon è nella mia natura... ma se mi aiuterà\na diventare una buona imperatrice, potrei\npensarci su.\x0E\x04\x00\x00
MID_GR_Etie_A_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x10\nエーティエ\x021\n\x0E\x03\x00\x10\nヴェロニカ\x022\n\x0E\x03\x02\x0C\nエーティエ\nMi sa che farò una pausa tra poco. Vuoi unirti a\nme per un tè?\x0E\x04\x00\x00
MID_GR_Etie_A_#002	\x0E\x03\x02\x0C\nヴェロニカ\nMi piace il tè. Io e mio fratello ne bevevamo\nspesso, ai tempi.\x0E\x04\x00\x00
MID_GR_Etie_A_#003	\x0E\x03\x02\x0C\nエーティエ\nAh, sì? Raccontami.\x0E\x04\x00\x00
MID_GR_Etie_A_#004	\x0E\x03\x02\x0C\nヴェロニカ\nTi racconterò tutto davanti a una tazza di tè.\nSono curiosa di scoprire quali varietà ci sono\nqui.\x0E\x04\x00\x00
MID_GR_Celine_C_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0E\x08セリーヌ\x021\n\x0E\x03\x00\x10\nヴェロニカ\x022\n\x0E\x03\x02\x0A\x08セリーヌ\nVorrei tanto conoscerti meglio. Sei la\nprincipessa di Embla, ricopriamo ruoli simili.\x0E\x04\x00\x00
MID_GR_Celine_C_#002	\x0E\x03\x02\x0C\nヴェロニカ\nProprio così. Anch'io sono curiosa di sentire\ncos'hai da dirmi. Com'è chi governa il tuo\npaese?\x0E\x04\x00\x00
MID_GR_Celine_B_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0E\x08セリーヌ\x021\n\x0E\x03\x00\x10\nヴェロニカ\x022\n\x0E\x03\x02\x0A\x08セリーヌ\nStavamo per prendere un tè. Vuoi unirti a noi?\x0E\x04\x00\x00
MID_GR_Celine_B_#002	\x0E\x03\x02\x0C\nヴェロニカ\nSe posso sedermi e ascoltare... volentieri.\nNon ho niente contro le conversazioni animate.\x0E\x04\x00\x00
MID_GR_Celine_A_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0E\x08セリーヌ\x021\n\x0E\x03\x00\x10\nヴェロニカ\x022\n\x0E\x03\x02\x0C\nヴェロニカ\nDev'essere bello avere un fratello sempre al tuo\nfianco...\x0E\x04\x00\x00
MID_GR_Celine_A_#002	\x0E\x03\x02\x0A\x08セリーヌ\nTuo fratello è in viaggio, vero? Sono sicura che,\novunque si trovi, pensa a te.\x0E\x04\x00\x00
MID_GR_Celine_A_#003	\x0E\x03\x02\x0A\x08セリーヌ\nD'altronde non è sempre così, tra fratelli?\nE scommetto che anche tu pensi sempre a lui.\x0E\x04\x00\x00
MID_GR_Celine_A_#004	\x0E\x03\x02\x0C\nヴェロニカ\nSì, hai ragione. Grazie... Ora che ho parlato con\nte, mi sento meglio.\x0E\x04\x00\x00
MID_GR_Louis_C_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0A\x04ルイ\x021\n\x0E\x03\x00\x10\nヴェロニカ\x022\n\x0E\x03\x02\x06\x04ルイ\nSul campo di battaglia, la tua forza è\ncarismatica. Rimango sempre a bocca aperta\nquando combatto accanto a te.\x0E\x04\x00\x00
MID_GR_Louis_C_#002	\x0E\x03\x02\x0C\nヴェロニカ\nAnche tu sei forte. Vorrei che mi appartenessi.\x0E\x04\x00\x00
MID_GR_Louis_B_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0A\x04ルイ\x021\n\x0E\x03\x00\x10\nヴェロニカ\x022\n\x0E\x03\x02\x0C\nヴェロニカ\nFratello mio... mi manchi tanto...\x0E\x04\x00\x00
MID_GR_Louis_B_#002	\x0E\x03\x02\x06\x04ルイ\nOh, hai un fratello? Mi piacerebbe incontrarlo.\x0E\x04\x00\x00
MID_GR_Louis_A_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0A\x04ルイ\x021\n\x0E\x03\x00\x10\nヴェロニカ\x022\n\x0E\x03\x02\x06\x04ルイ\nA casa preparavo sempre il tè per la mia\nfamiglia. A te piace il tè?\x0E\x04\x00\x00
MID_GR_Louis_A_#002	\x0E\x03\x02\x0C\nヴェロニカ\nSì, certo. Anche io e mio fratello lo bevevamo\nassieme, quando era a casa.\x0E\x04\x00\x00
MID_GR_Louis_A_#003	\x0E\x03\x02\x06\x04ルイ\nAllora metto su l'acqua. Ho qui una miscela che\nti piacerà.\x0E\x04\x00\x00
MID_GR_Louis_A_#004	\x0E\x03\x02\x0C\nヴェロニカ\nOttima idea. E ho proprio voglia di ascoltare\ni tuoi racconti.\x0E\x04\x00\x00
MID_GR_Chloe_C_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0C\x06クロエ\x021\n\x0E\x03\x00\x10\nヴェロニカ\x022\n\x0E\x03\x02\x08\x06クロエ\nMa è fantastico! Una principessa uscita da un\nbracciale magico! Raccontami del mondo da\ndove vieni, ti prego.\x0E\x04\x00\x00
MID_GR_Chloe_C_#002	\x0E\x03\x02\x0C\nヴェロニカ\nIn Embla non c'è niente. Il nulla. Il Firene,\na confronto, è il regno dell'abbondanza.\x0E\x04\x00\x00
MID_GR_Chloe_B_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0C\x06クロエ\x021\n\x0E\x03\x00\x10\nヴェロニカ\x022\n\x0E\x03\x02\x08\x06クロエ\nLe principesse non hanno molte occasioni di\nassaggiare il cibo delle bancarelle. Vorrei tanto\ndividerlo con te.\x0E\x04\x00\x00
MID_GR_Chloe_B_#002	\x0E\x03\x02\x0C\nヴェロニカ\nNon ne ho interesse. In compenso, mi piace\nil tè nero.\x0E\x04\x00\x00
MID_GR_Chloe_A_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0C\x06クロエ\x021\n\x0E\x03\x00\x10\nヴェロニカ\x022\n\x0E\x03\x02\x08\x06クロエ\nHai detto che ti piace il tè nero, se non erro.\nAl villaggio ho trovato un'ottima miscela, non\npotevo non comprarla.\x0E\x04\x00\x00
MID_GR_Chloe_A_#002	\x0E\x03\x02\x0C\nヴェロニカ\nAaah, che buon profumo. Ne puoi preparare\nun po'?\x0E\x04\x00\x00
MID_GR_Chloe_A_#003	\x0E\x03\x02\x08\x06クロエ\nMa certo. Non potrai berlo, ma almeno ti godrai\nl'aroma. E nessuno ci vieta di fare due\nchiacchiere!\x0E\x04\x00\x00
MID_GR_Chloe_A_#004	\x0E\x03\x02\x0C\nヴェロニカ\nMi sembra una buona idea. Ho proprio voglia di\nconoscerti meglio davanti a una tazza di tè.\x0E\x04\x00\x00
MID_GR_Diamand_C_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x12\x0Cディアマンド\x021\n\x0E\x03\x00\x10\nヴェロニカ\x022\n\x0E\x03\x02\x0C\nヴェロニカ\nNell'altro mondo, il mio bracciale era in Brodia.\nForse era scritto nel destino che ci saremmo\nrivisti...\x0E\x04\x00\x00
MID_GR_Diamand_C_#002	\x0E\x03\x02\x0E\x0Cディアマンド\nAllora hai un legame speciale con il mio regno.\nMi fa ancora più piacere incontrarti.\x0E\x04\x00\x00
MID_GR_Diamand_B_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x12\x0Cディアマンド\x021\n\x0E\x03\x00\x10\nヴェロニカ\x022\n\x0E\x03\x02\x0C\nヴェロニカ\nNel mio mondo dovetti affrontare un re che\ncontrollava le fiamme. Da allora detesto il fuoco.\x0E\x04\x00\x00
MID_GR_Diamand_B_#002	\x0E\x03\x02\x0E\x0Cディアマンド\nNon posso darti torto. Una volta provai a usare\nla magia del fuoco e me ne pentii amaramente.\x0E\x04\x00\x00
MID_GR_Diamand_A_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x12\x0Cディアマンド\x021\n\x0E\x03\x00\x10\nヴェロニカ\x022\n\x0E\x03\x02\x0E\x0Cディアマンド\nVeronica, il tuo uso della magia è straordinario.\nDevi esserti allenata parecchio per ottenere\nquesti risultati.\x0E\x04\x00\x00
MID_GR_Diamand_A_#002	\x0E\x03\x02\x0C\nヴェロニカ\nIn realtà, no. Mi viene naturale.\x0E\x04\x00\x00
MID_GR_Diamand_A_#003	\x0E\x03\x02\x0E\x0Cディアマンド\nPerò hai imparato a controllare la tua forza.\nSto imparando molto osservandoti.\x0E\x04\x00\x00
MID_GR_Diamand_A_#004	\x0E\x03\x02\x0C\nヴェロニカ\nAnche io voglio imparare da te. Potresti\ninsegnarmi le qualità di un buon capo di stato.\x0E\x04\x00\x00
MID_GR_Umber_C_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0E\x08アンバー\x021\n\x0E\x03\x00\x10\nヴェロニカ\x022\n\x0E\x03\x02\x0A\x08アンバー\nUn emblema uscito da un bracciale... È così\nromantico. Dimmi tutto di te!\x0E\x04\x00\x00
MID_GR_Umber_C_#002	\x0E\x03\x02\x0C\nヴェロニカ\nSe proprio ti interessa... forse possiamo parlare.\nMa... cosa ci trovi di speciale?\x0E\x04\x00\x00
MID_GR_Umber_B_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0E\x08アンバー\x021\n\x0E\x03\x00\x10\nヴェロニカ\x022\n\x0E\x03\x02\x0A\x08アンバー\nVeronica, conosci gli alpaca? Sono delle bestiole\npelosissime e carine!\x0E\x04\x00\x00
MID_GR_Umber_B_#002	\x0E\x03\x02\x0C\nヴェロニカ\nNo, non li conosco... Ma se sono così carini\ne pelosi come dici... sono curiosa.\x0E\x04\x00\x00
MID_GR_Umber_A_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0E\x08アンバー\x021\n\x0E\x03\x00\x10\nヴェロニカ\x022\n\x0E\x03\x02\x0C\nヴェロニカ\nAmber, tu sei uno che ride molto. Come si fa\na ridere...? Mi puoi insegnare?\x0E\x04\x00\x00
MID_GR_Umber_A_#002	\x0E\x03\x02\x0A\x08アンバー\nVediamo... Di solito viene da ridere quando ci si\ndiverte. Ah, prova a guardarmi in faccia.\nPronta... Vai!\x0E\x04\x00\x00
MID_GR_Umber_A_#003	\x0E\x03\x02\x0C\nヴェロニカ\nEheh... Che faccia buffa... Complimenti, ci sei\nriuscito.\x0E\x04\x00\x00
MID_GR_Umber_A_#004	\x0E\x03\x02\x0A\x08アンバー\nBrava, così! Hai una bella risata. Se vuoi ridere\nancora, basta che tu me lo chieda. Ti aiuterò io!\x0E\x04\x00\x00
MID_GR_Jade_C_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0E\x08ジェーデ\x021\n\x0E\x03\x00\x10\nヴェロニカ\x022\n\x0E\x03\x02\x0C\nヴェロニカ\nJade, sei una che adempie ai suoi doveri con\nlealtà. È una qualità apprezzabile. Vorrei che\nmi appartenessi.\x0E\x04\x00\x00
MID_GR_Jade_C_#002	\x0E\x03\x02\x0A\x08ジェーデ\nGrazie, i tuoi complimenti mi onorano.\nSarò il tuo Muro di Ferro.\x0E\x04\x00\x00
MID_GR_Jade_B_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0E\x08ジェーデ\x021\n\x0E\x03\x00\x10\nヴェロニカ\x022\n\x0E\x03\x02\x0A\x08ジェーデ\nVorrei prendere spunto da te per uno dei miei\npersonaggi. Posso?\x0E\x04\x00\x00
MID_GR_Jade_B_#002	\x0E\x03\x02\x0C\nヴェロニカ\nSì. Sono proprio curiosa di vedere cosa\nscriverai. Quando hai finito... mi faresti leggere\ntutto?\x0E\x04\x00\x00
MID_GR_Jade_A_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0E\x08ジェーデ\x021\n\x0E\x03\x00\x10\nヴェロニカ\x022\n\x0E\x03\x02\x0A\x08ジェーデ\nHo finito la storia ispirata a te. Mi daresti il tuo\nonesto parere?\x0E\x04\x00\x00
MID_GR_Jade_A_#002	\x0E\x03\x02\x0C\nヴェロニカ\nCerto, sono pronta. Metti qui il manoscritto, così\nlo leggiamo insieme.\x0E\x04\x00\x00
MID_GR_Jade_A_#003	\x0E\x03\x02\x0A\x08ジェーデ\nDunque, il personaggio ispirato a te è una\nragazza di città. Ecco, appare per la prima volta\nin questa pagina.\x0E\x04\x00\x00
MID_GR_Jade_A_#004	\x0E\x03\x02\x0C\nヴェロニカ\nChe strano... Questa sarei io... E come prosegue\nla storia? Sono proprio curiosa.\x0E\x04\x00\x00
MID_GR_Staluke_C_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x10\nスタルーク\x021\n\x0E\x03\x00\x10\nヴェロニカ\x022\n\x0E\x03\x02\x0C\nヴェロニカ\nC'è un motivo per cui te ne stai nascosto\nnell'ombra? Se vuoi qualcosa da me... avvicinati.\x0E\x04\x00\x00
MID_GR_Staluke_C_#002	\x0E\x03\x02\x0C\nスタルーク\nChiedo scusa! Volevo salutarvi, ma mi è venuto\nil dubbio che non voleste avere a che fare con\nme...\x0E\x04\x00\x00
MID_GR_Staluke_B_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x10\nスタルーク\x021\n\x0E\x03\x00\x10\nヴェロニカ\x022\n\x0E\x03\x02\x0C\nヴェロニカ\nLa tua maestria con l'arco è sopraffina.\nSei molto dotato, checché tu ne dica.\x0E\x04\x00\x00
MID_GR_Staluke_B_#002	\x0E\x03\x02\x0C\nスタルーク\nN-No, non è vero. Non c'è nulla di lodevole in\nme! Sto solo cercando di proteggervi, tutto qui!\x0E\x04\x00\x00
MID_GR_Staluke_A_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x10\nスタルーク\x021\n\x0E\x03\x00\x10\nヴェロニカ\x022\n\x0E\x03\x02\x0C\nスタルーク\nAvete il portamento di una vera sovrana.\nAl confronto, io... Oh...\x0E\x04\x00\x00
MID_GR_Staluke_A_#002	\x0E\x03\x02\x0C\nヴェロニカ\nTi prendi cura dei tuoi sudditi. È questo che\nconta.\x0E\x04\x00\x00
MID_GR_Staluke_A_#003	\x0E\x03\x02\x0C\nヴェロニカ\nIo ho ancora molta strada da fare.\nMa tu hai già le idee chiare su come diventare\nun buon sovrano... Insegnami...\x0E\x04\x00\x00
MID_GR_Staluke_A_#004	\x0E\x03\x02\x0C\nスタルーク\nN-Non saprei davvero cosa insegnarvi. Ma se vi\nfa piacere... sarei contento di parlare con voi.\x0E\x04\x00\x00
MID_GR_Lapis_C_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0C\x06ラピス\x021\n\x0E\x03\x00\x10\nヴェロニカ\x022\n\x0E\x03\x02\x08\x06ラピス\nUna principessa imperiale come te non troverà\nnulla di speciale in una ragazza comune come\nme.\x0E\x04\x00\x00
MID_GR_Lapis_C_#002	\x0E\x03\x02\x0C\nヴェロニカ\nAl contrario. Raccontami qualcosa di te. Sono\ncuriosa.\x0E\x04\x00\x00
MID_GR_Lapis_B_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0C\x06ラピス\x021\n\x0E\x03\x00\x10\nヴェロニカ\x022\n\x0E\x03\x02\x08\x06ラピス\nLe patate sono fantastiche, non trovi? Crescono\ndappertutto... Cioè... l'ho letto su un libro!\x0E\x04\x00\x00
