MID_RELIANCE_C_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x10\nスタルーク\x021\n\x0E\x03\x00\x10\nザフィーア\x022\n\x0E\x03\x02\x0C\nザフィーア\nBene, bene! Abbiamo fatto man bassa, eh?\x0E\x04\x00\x00
MID_RELIANCE_C_#017	\x0E\x03\x02\x0C\nザフィーア\nCosì mi piacete. Bene, allora la prossima\nvolta che andrò a pesca vi chiamerò.\x0E\x04\x00\x00
MID_RELIANCE_C_#018	\x0E\x03\x02\x0C\nスタルーク\nSì, grazie, Saphir.\x0E\x04\x00\x00
MID_RELIANCE_B_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x10\nスタルーク\x021\n\x0E\x03\x00\x10\nザフィーア\x022\n\x0E\x03\x02\x0C\nザフィーア\nComplimenti, principe Alcryst! Non ho mai visto\ncosì tanti pesci tutti insieme!\x0E\x04\x00\x00
MID_RELIANCE_B_#002	\x0E\x03\x02\x0C\nスタルーク\nGià. Mi stupisco da solo.\x0E\x04\x00\x00
MID_RELIANCE_B_#003	\x0E\x03\x02\x0C\nザフィーア\nAvete un talento naturale. Quei pesci non\nsi sono neanche accorti di essere pescati.\x0E\x04\x00\x00
MID_RELIANCE_B_#004	\x0E\x03\x02\x0C\nスタルーク\nSaphir, pensate che ce ne siano abbastanza\nper cucinarli?\x0E\x04\x00\x00
MID_RELIANCE_B_#005	\x0E\x03\x02\x0C\nザフィーア\nMa certo, bastano e avanzano!\x0E\x04\x00\x00
MID_RELIANCE_B_#006	\x0E\x03\x02\x0C\nスタルーク\nEvviva! Non vedo l'ora di imparare... Cuciniamoli\noggi stesso.\x0E\x04\x00\x00
MID_RELIANCE_B_#007	\x0E\x03\x02\x0C\nザフィーア\nD'accordo.\x0E\x04\x00\x00
MID_RELIANCE_B_#008	\x0E\x03\x02\x0C\nザフィーア\nMa come mai questo entusiasmo? C'è qualcuno\na cui volete servire questo piatto?\x0E\x04\x00\x00
MID_RELIANCE_B_#009	\x0E\x03\x02\x0C\nスタルーク\nEheh, si capisce così tanto?\x0E\x04\x00\x00
MID_RELIANCE_B_#010	\x0E\x03\x02\x0C\nザフィーア\nQuando fate qualcosa per qualcun altro\nvi si legge in faccia.\x0E\x04\x00\x00
MID_RELIANCE_B_#011	\x0E\x03\x02\x0C\nスタルーク\nSarebbe per mia madre.\x0E\x04\x00\x00
MID_RELIANCE_B_#012	\x0E\x03\x02\x0C\nスタルーク\nÈ una grande amante dei piatti a base di pesce\ne vorrei cucinarle qualcosa quando la guerra\nsarà finita.\x0E\x04\x00\x00
MID_RELIANCE_B_#013	\x0E\x03\x02\x0C\nザフィーア\nCapisco.\x0E\x04\x00\x00
MID_RELIANCE_B_#014	\x0E\x03\x02\x0C\nスタルーク\nSi è rifugiata lontano dal castello non appena\nabbiamo appreso del ritorno del Drago\nMaligno...\x0E\x04\x00\x00
MID_RELIANCE_B_#015	\x0E\x03\x02\x0C\nスタルーク\nNon so quando la rivedrò, ma so per certo che\nle preparerò qualcosa di speciale.\x0E\x04\x00\x00
MID_RELIANCE_B_#016	\x0E\x03\x02\x0C\nスタルーク\nÈ il minimo che possa fare. Sicuramente le sarà\ngiunta voce... di cosa è successo a mio padre.\x0E\x04\x00\x00
MID_RELIANCE_B_#017	\x0E\x03\x02\x0C\nザフィーア\n...\x0E\x04\x00\x00
MID_RELIANCE_B_#018	\x0E\x03\x02\x0C\nザフィーア\nContate su di me, Vostra Altezza.\x0E\x04\x00\x00
MID_RELIANCE_B_#019	\x0E\x03\x02\x0C\nザフィーア\nIl pesce non avrà segreti per voi.\x0E\x04\x00\x00
MID_RELIANCE_B_#020	\x0E\x03\x02\x0C\nザフィーア\nImparerete a tagliarlo, marinarlo e conservarlo.\nE chi più ne ha più ne metta!\x0E\x04\x00\x00
MID_RELIANCE_B_#021	\x0E\x03\x02\x0C\nザフィーア\nVi avverto, però... sono un'insegnante molto\npignola su queste cose.\x0E\x04\x00\x00
MID_RELIANCE_B_#022	\x0E\x03\x02\x0C\nスタルーク\nEheh, vi servirà tanta pazienza con me.\x0E\x04\x00\x00
MID_RELIANCE_A_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x10\nスタルーク\x021\n\x0E\x03\x00\x10\nザフィーア\x022\n\x0E\x03\x02\x0C\nスタルーク\nGrazie davvero, Saphir.\x0E\x04\x00\x00
MID_RELIANCE_A_#002	\x0E\x03\x02\x0C\nスタルーク\nOra so come cucinare tanti buoni piatti a base\ndi pesce.\x0E\x04\x00\x00
MID_RELIANCE_A_#003	\x0E\x03\x02\x0C\nスタルーク\nNon vedo l'ora di farli assaggiare a mia madre,\nquando la situazione sarà abbastanza sicura\ne lei potrà tornare.\x0E\x04\x00\x00
MID_RELIANCE_A_#004	\x0E\x03\x02\x0C\nザフィーア\nÈ un piacere rendermi utile.\x0E\x04\x00\x00
MID_RELIANCE_A_#005	\x0E\x03\x02\x0C\nザフィーア\nLe cose che so le ho imparate dai miei genitori.\x0E\x04\x00\x00
MID_RELIANCE_A_#006	\x0E\x03\x02\x0C\nザフィーア\nSarebbero contenti di sapere che le loro\nconoscenze tornano utili addirittura\na un principe.\x0E\x04\x00\x00
MID_RELIANCE_A_#007	\x0E\x03\x02\x0C\nザフィーア\nSe sapessero di quella volta che ho cucinato\nper re Morion...\x0E\x04\x00\x00
MID_RELIANCE_A_#008	\x0E\x03\x02\x0C\nスタルーク\nHai cucinato per mio padre?\x0E\x04\x00\x00
MID_RELIANCE_A_#009	\x0E\x03\x02\x0C\nスタルーク\nEheh. Se fosse ancora vivo avrebbe sicuramente\nfatto il bis dei nostri piatti.\x0E\x04\x00\x00
MID_RELIANCE_A_#010	\x0E\x03\x02\x0C\nザフィーア\nOh. Non volevo tirare fuori l'argomento...\x0E\x04\x00\x00
MID_RELIANCE_A_#011	\x0E\x03\x02\x0C\nスタルーク\nNon importa. Sono sicuro che è un ricordo\na voi caro...\x0E\x04\x00\x00
MID_RELIANCE_A_#012	\x0E\x03\x02\x0C\nスタルーク\nSono contento che ci siano ancora storie su\ndi lui che non avevo mai sentito.\x0E\x04\x00\x00
MID_RELIANCE_A_#013	\x0E\x03\x02\x0C\nザフィーア\n...\x0E\x04\x00\x00
MID_RELIANCE_A_#014	\x0E\x03\x02\x0C\nスタルーク\nSaphir? Ho detto qualcosa che non dovevo?\x0E\x04\x00\x00
MID_RELIANCE_A_#015	\x0E\x03\x02\x0C\nザフィーア\nSoffro anch'io. Mi manca il re.\x0E\x04\x00\x00
MID_RELIANCE_A_#016	\x0E\x03\x02\x0C\nザフィーア\nQuando rimasi al castello di Brodia... ero certa\nche il re avrebbe fatto ritorno.\x0E\x04\x00\x00
MID_RELIANCE_A_#017	\x0E\x03\x02\x0C\nザフィーア\nE invece non potremo mai più rivederlo.\x0E\x04\x00\x00
MID_RELIANCE_A_#018	\x0E\x03\x02\x0C\nザフィーア\nPosso solo tenermi stretti i ricordi che ho...\x0E\x04\x00\x00
MID_RELIANCE_A_#019	\x0E\x03\x02\x0C\nスタルーク\nNon sapete quanto vi capisco.\x0E\x04\x00\x00
MID_RELIANCE_A_#020	\x0E\x03\x02\x0C\nザフィーア\nPerdonatemi, principe.\x0E\x04\x00\x00
MID_RELIANCE_A_#021	\x0E\x03\x02\x0C\nザフィーア\nSo che il mio dolore non è niente paragonato a\nquello che provate voi e vostro fratello...\x0E\x04\x00\x00
MID_RELIANCE_A_#022	\x0E\x03\x02\x0C\nスタルーク\nIl dolore non è qualcosa che si possa misurare\no paragonare...\x0E\x04\x00\x00
MID_RELIANCE_A_#023	\x0E\x03\x02\x0C\nスタルーク\nCapisco il legame che vi legava a mio padre,\nin quanto parte dell'armata reale.\x0E\x04\x00\x00
MID_RELIANCE_A_#024	\x0E\x03\x02\x0C\nスタルーク\nDobbiamo accettare il dolore. Io lo sto facendo,\ne spero che ci riuscirai anche tu.\x0E\x04\x00\x00
MID_RELIANCE_A_#025	\x0E\x03\x02\x0C\nザフィーア\nGrazie per le vostre parole gentili.\x0E\x04\x00\x00
MID_RELIANCE_A_#026	\x0E\x03\x02\x0C\nスタルーク\nDovremmo cucinare qualcosa per mio padre.\nNon gli abbiamo ancora eretto una lapide, ma...\x0E\x04\x00\x00
MID_RELIANCE_A_#027	\x0E\x03\x02\x0C\nスタルーク\n... penso che apprezzerebbe un buon pasto\nlasciato sul luogo in cui riposerà... dopotutto,\namava mangiare.\x0E\x04\x00\x00
MID_RELIANCE_A_#028	\x0E\x03\x02\x0C\nザフィーア\nOttima idea.\x0E\x04\x00\x00
MID_RELIANCE_A_#029	\x0E\x03\x02\x0C\nザフィーア\nSì, facciamo così. Gli prepareremo un banchetto\ndegno di un re.\x0E\x04\x00\x00
MID_RELIANCE_A_#030	\x0E\x03\x02\x0C\nザフィーア\nGrazie, principe. Mi sento già meglio.\x0E\x04\x00\x00
