MID_RELIANCE_C_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x12\x0Cディアマンド\x021\n\x0E\x03\x00\x10\nスタルーク\x022\n\x0E\x03\x02\x0C\nスタルーク\nGrazie per il permesso di allenarmi con voi,\nDiamant. Significa molto per me.\x0E\x04\x00\x00
MID_RELIANCE_C_#013	\x0E\x03\x02\x0E\x0Cディアマンド\nTe la cavi bene con l'arco, o sbaglio?\x0E\x04\x00\x00
MID_RELIANCE_C_#014	\x0E\x03\x02\x0C\nスタルーク\nC'è chi dice così, sì... Ma non sono nulla\ndi che.\x0E\x04\x00\x00
MID_RELIANCE_C_#015	\x0E\x03\x02\x0E\x0Cディアマンド\nFermo lì. Ecco di nuovo la mancanza di\nsicurezza. Allora non hai sentito cosa dicevo?\x0E\x04\x00\x00
MID_RELIANCE_C_#016	\x0E\x03\x02\x0C\nスタルーク\nVoi non avete debolezze, Diamant?\x0E\x04\x00\x00
MID_RELIANCE_C_#017	\x0E\x03\x02\x0E\x0Cディアマンド\nUhm. Bella domanda. Secondo te?\x0E\x04\x00\x00
MID_RELIANCE_C_#018	\x0E\x03\x02\x0C\nスタルーク\nNon me ne viene in mente una. Siete perfetto.\x0E\x04\x00\x00
MID_RELIANCE_C_#019	\x0E\x03\x02\x0E\x0Cディアマンド\nDi sicuro non ne troverai se te ne stai lì\nimpalato. Forza, alleniamoci! Per la Brodia!\x0E\x04\x00\x00
MID_RELIANCE_C_#020	\x0E\x03\x02\x0C\nスタルーク\nSì, Diamant...\x0E\x04\x00\x00
MID_RELIANCE_C_#021	\x0E\x03\x02\x0C\nスタルーク\nPer il futuro della Brodia. Cercherò di fare del\nmio meglio...\x0E\x04\x00\x00
MID_RELIANCE_B_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x12\x0Cディアマンド\x021\n\x0E\x03\x02\x0E\x0Cディアマンド\n...\x0E\x04\x00\x00
MID_RELIANCE_B_#002	\x0E\x03\x02\x0E\x0Cディアマンド\nNgh... Non basta. Puff... Non è abbastanza per\nproteggere il regno...\x0E\x04\x00\x00
MID_RELIANCE_B_#003	\x0E\x03\x00\x10\nスタルーク\x022\n\x0E\x03\x02\x0C\nスタルーク\nDiamant?! Tutto bene? Siete madido di sudore!\nCos'è successo?\x0E\x04\x00\x00
MID_RELIANCE_B_#004	\x0E\x03\x02\x0E\x0Cディアマンド\nAlcryst... Non voglio che tu mi veda così.\x0E\x04\x00\x00
MID_RELIANCE_B_#005	\x0E\x03\x02\x0E\x0Cディアマンド\nSto bene, non temere. È solo un allenamento\nintensivo con alcuni dei nostri maghi.\x0E\x04\x00\x00
MID_RELIANCE_B_#006	\x0E\x03\x02\x0C\nスタルーク\nNon vi avevo mai visto così sfinito prima d'ora...\x0E\x04\x00\x00
MID_RELIANCE_B_#007	\x0E\x03\x02\x0C\nスタルーク\nDovete essere malato, non è possibile. Vado a\ncercare un dotto-\x0E\x04\x00\x00
MID_RELIANCE_B_#008	\x0E\x03\x02\x0E\x0Cディアマンド\nNon ho niente.\x0E\x04\x00\x00
MID_RELIANCE_B_#009	\x0E\x03\x02\x0E\x0Cディアマンド\nAlcryst... Ricordi quando mi hai domandato se\navessi delle debolezze?\x0E\x04\x00\x00
MID_RELIANCE_B_#010	\x0E\x03\x02\x0E\x0Cディアマンド\nEccola. È questa la mia debolezza.\x0E\x04\x00\x00
MID_RELIANCE_B_#011	\x0E\x03\x02\x0C\nスタルーク\nLa vostra debolezza è... l'allenamento con\ni maghi? Non capisco.\x0E\x04\x00\x00
MID_RELIANCE_B_#012	\x0E\x03\x02\x0E\x0Cディアマンド\nDa bambino ebbi un incidente per colpa di\nun incantesimo e rimasi ferito gravemente.\x0E\x04\x00\x00
MID_RELIANCE_B_#013	\x0E\x03\x02\x0E\x0Cディアマンド\nE da quel momento... ho sempre avuto terrore\ndegli incantesimi.\x0E\x04\x00\x00
MID_RELIANCE_B_#014	\x0E\x03\x02\x0C\nスタルーク\nPaura? Voi?\x0E\x04\x00\x00
MID_RELIANCE_B_#015	\x0E\x03\x02\x0E\x0Cディアマンド\nProprio così. Ora ogni giorno mi impegno a\nsuperarla e a conquistare le mie debolezze.\x0E\x04\x00\x00
MID_RELIANCE_B_#016	\x0E\x03\x02\x0E\x0Cディアマンド\nEcco perché per me è importante allenarmi con\nquei maghi.\x0E\x04\x00\x00
MID_RELIANCE_B_#017	\x0E\x03\x02\x0C\nスタルーク\nVi ho sempre creduto senza difetti...\x0E\x04\x00\x00
MID_RELIANCE_B_#018	\x0E\x03\x02\x0E\x0Cディアマンド\nNessuno è perfetto. Devo allenarmi così ogni\nsanto giorno.\x0E\x04\x00\x00
MID_RELIANCE_B_#019	\x0E\x03\x02\x0E\x0Cディアマンド\nAlcryst, non dirlo a nessuno. Hai capito?\x0E\x04\x00\x00
MID_RELIANCE_B_#020	\x0E\x03\x02\x0C\nスタルーク\nSarò muto come un pesce.\x0E\x04\x00\x00
MID_RELIANCE_B_#021	\x0E\x03\x02\x0E\x0Cディアマンド\nOra torno ad allenarmi. Non mi piace fare\naspettare quei maghi.\x0E\x04\x00\x00
MID_RELIANCE_B_#022	\x0E\x03\x02\x0C\nスタルーク\nDiamant, non c'è bisogno di esagerare...\x0E\x04\x00\x00
MID_RELIANCE_B_#023	\x0E\x03\x02\x0E\x0Cディアマンド\nSiamo i protettori della Brodia. È nostro dovere\ndiventare più forti che possiamo.\x0E\x04\x00\x00
MID_RELIANCE_B_#024	\x0E\x03\x02\x0C\nスタルーク\nOh...\x0E\x04\x00\x00
MID_RELIANCE_B_#025	\x0E\x03\x02\x0E\x0Cディアマンド\nParlare con te mi ha calmato i nervi. Non\npreoccuparti per me, è tutto sotto controllo.\x0E\x04\x00\x00
MID_RELIANCE_B_#026	\x0E\x03\x01\x0E\x0Cディアマンド\n\x0E\x03\x02\x0C\nスタルーク\nMa Diamant...\x0E\x04\x00\x00
MID_RELIANCE_B_#027	\x0E\x03\x02\x0C\nスタルーク\nE così Diamant ha paura... Non riesco a credere\nche abbia anche lui delle debolezze...\x0E\x04\x00\x00
MID_RELIANCE_A_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x10\nスタルーク\x022\n\x0E\x03\x02\x0C\nスタルーク\nWah!\x0E\x04\x00\x00
MID_RELIANCE_A_#002	\x0E\x03\x02\x0C\nスタルーク\nAh! Ho fatto centro. Molto bene, me ne\nmancano 50...\x0E\x04\x00\x00
MID_RELIANCE_A_#003	\x0E\x03\x00\x12\x0Cディアマンド\x021\n\x0E\x03\x02\x0E\x0Cディアマンド\nHai talento con l'arco, sai?\x0E\x04\x00\x00
MID_RELIANCE_A_#004	\x0E\x03\x02\x0C\nスタルーク\nDiamant? Mi stavate osservando da molto?\x0E\x04\x00\x00
MID_RELIANCE_A_#005	\x0E\x03\x02\x0E\x0Cディアマンド\nAbbastanza per constatare che l'arco è il tuo\nforte.\x0E\x04\x00\x00
MID_RELIANCE_A_#006	\x0E\x03\x02\x0C\nスタルーク\nGrazie... anche se ho ancora molta strada da\nfare...\x0E\x04\x00\x00
MID_RELIANCE_A_#007	\x0E\x03\x02\x0C\nスタルーク\nVoglio allenarmi di più e diventare più forte...\x0E\x04\x00\x00
MID_RELIANCE_A_#008	\x0E\x03\x02\x0E\x0Cディアマンド\nCosì mi piaci! Ora hai l'atteggiamento giusto.\nSapevo che lo avresti tirato fuori.\x0E\x04\x00\x00
MID_RELIANCE_A_#009	\x0E\x03\x02\x0C\nスタルーク\nFiuuu...\x0E\x04\x00\x00
MID_RELIANCE_A_#010	\x0E\x03\x02\x0C\nスタルーク\nDiamant, posso sfidarvi a una gara di tiro con\nl'arco? Sempre se avete tempo...\x0E\x04\x00\x00
MID_RELIANCE_A_#011	\x0E\x03\x02\x0E\x0Cディアマンド\nD'accordo! Sembra pane per i miei denti.\x0E\x04\x00\x00
MID_RELIANCE_A_#012	\x0E\x03\x02\x0E\x0Cディアマンド\nChe regole mettiamo? Chi fa più volte centro\nsu dieci tentativi?\x0E\x04\x00\x00
MID_RELIANCE_A_#013	\x0E\x03\x02\x0C\nスタルーク\nPerfetto. Cominciamo!\x0E\x04\x00\x00
MID_RELIANCE_A_#014	\x0E\x04\x03\x04
MID_RELIANCE_A_#015	\x0E\x03\x02\x0E\x0Cディアマンド\nAlcryst... È impressionante... Sapevo che eri\nun bravo arciere, ma...\x0E\x04\x00\x00
MID_RELIANCE_A_#016	\x0E\x03\x02\x0C\nスタルーク\nChe state dicendo? Avete fatto nove punti,\ncontro i miei miseri otto...\x0E\x04\x00\x00
MID_RELIANCE_A_#017	\x0E\x03\x02\x0C\nスタルーク\nNon è bello prendermi in giro così, dopo che\nho perso.\x0E\x04\x00\x00
MID_RELIANCE_A_#018	\x0E\x03\x02\x0E\x0Cディアマンド\nTsk. Non ti lascio vincere tanto facilmente.\nSe vuoi battermi, devi guadagnartelo.\x0E\x04\x00\x00
MID_RELIANCE_A_#019	\x0E\x03\x02\x0C\nスタルーク\nEheh, parole degne del principe ereditario\ndi Brodia.\x0E\x04\x00\x00
MID_RELIANCE_A_#020	\x0E\x03\x02\x0C\nスタルーク\nVorrei che sapeste quanto è confortante avervi\ncome fratello, Diamant. Sono proprio fortunato.\x0E\x04\x00\x00
MID_RELIANCE_A_#021	\x0E\x03\x02\x0E\x0Cディアマンド\nAnche io sono fortunato ad averti come fratello,\nAlcryst.\x0E\x04\x00\x00
MID_RELIANCE_A_#022	\x0E\x03\x02\x0E\x0Cディアマンド\nNon esiste nessuno più gentile e più abile\ncon l'arco di te.\x0E\x04\x00\x00
MID_RELIANCE_A_#023	\x0E\x03\x02\x0C\nスタルーク\nMi allenerò ancora e quando sarò pronto voglio\nla rivincita.\x0E\x04\x00\x00
MID_RELIANCE_A_#024	\x0E\x03\x02\x0E\x0Cディアマンド\nAggiudicato. Ma anche io continuerò ad\nallenarmi, non credere.\x0E\x04\x00\x00
MID_RELIANCE_A_#025	\x0E\x03\x02\x0C\nスタルーク\nNon ne dubito, Diamant.\x0E\x04\x00\x00
MID_RELIANCE_A_#026	\x0E\x03\x02\x0C\nスタルーク\nOra sono indietro, ma cercherò di mettermi in\npari. Anzi, vi supererò!\x0E\x04\x00\x00
MID_RELIANCE_A_#027	\x0E\x03\x02\x0C\nスタルーク\nE vi proteggerò sempre, qualunque cosa accada.\x0E\x04\x00\x00
MID_RELIANCE_A_#028	\x0E\x03\x02\x0E\x0Cディアマンド\nMh? Cos'hai detto, Alcryst?\x0E\x04\x00\x00
MID_RELIANCE_A_#029	\x0E\x03\x02\x0C\nスタルーク\nNiente. Parlavo da solo.\x0E\x04\x00\x00
