MID_RELIANCE_C_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0C\x06モーヴ\x021\n\x0E\x03\x00\x10\nラファール\x022\n\x0E\x03\x02\x08\x06モーヴ\nFatto. Ora bisogna solo impacchettare questi e\nmetterli via.\x0E\x04\x00\x00
MID_RELIANCE_B_#003	\x0E\x03\x02\x08\x06モーヴ\nApprezzo l'intenzione, lord Rafal, ma posso\nfarcela da solo.\x0E\x04\x00\x00
MID_RELIANCE_B_#004	\x0E\x03\x02\x0C\nラファール\nAnche se non sembra, possiedo un'adeguata\nforza fisica per questo compito.\x0E\x04\x00\x00
MID_RELIANCE_B_#005	\x0E\x03\x02\x08\x06モーヴ\nNon lo metto in dubbio.\x0E\x04\x02\x00
MID_RELIANCE_B_#006	Ma perché sembrate così impaziente di\noffrirmi il vostro servizio?\x0E\x04\x00\x00
MID_RELIANCE_B_#007	\x0E\x03\x02\x0C\nラファール\nTi sto forse disturbando?\x0E\x04\x00\x00
MID_RELIANCE_B_#008	\x0E\x03\x02\x08\x06モーヴ\nNo, mi lasciate solo perplesso.\x0E\x04\x02\x00
MID_RELIANCE_B_#009	Se mi spiegaste la motivazione che c'è dietro,\nforse sarei più propenso ad accettare il vostro\naiuto.\x0E\x04\x00\x00
MID_RELIANCE_B_#010	\x0E\x03\x02\x0C\nラファール\n...\x0E\x04\x00\x00
MID_RELIANCE_B_#011	\x0E\x03\x02\x08\x06モーヴ\nA quanto pare ho preteso troppo.\x0E\x04\x02\x00
MID_RELIANCE_B_#012	Non voglio forzarvi. Quando sarete pronto a\nspiegarmi, io vi ascolterò volentieri.\x0E\x04\x02\x00
MID_RELIANCE_B_#013	Per ora, tornerò al mio lavoro.\x0E\x04\x00\x00
MID_RELIANCE_B_#014	\x0E\x03\x02\x0C\nラファール\nLo sapevo che se ne sarebbe accorto.\x0E\x04\x02\x00
MID_RELIANCE_B_#015	Devo ponderare quanto rivelargli.\x0E\x04\x02\x00
MID_RELIANCE_B_#016	Non è una decisione facile, ma la prossima\nvolta che gli parlerò dovrò essere pronto\ne avere le idee chiare.\x0E\x04\x00\x00
MID_RELIANCE_A_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0C\x06モーヴ\x021\n\x0E\x03\x00\x10\nラファール\x022\n\x0E\x03\x02\x0C\nラファール\nMauvier. Devo parlarti.\x0E\x04\x00\x00
MID_RELIANCE_A_#002	\x0E\x03\x02\x08\x06モーヴ\nVa bene. Riguardo a cosa?\x0E\x04\x00\x00
MID_RELIANCE_A_#003	\x0E\x03\x02\x0C\nラファール\nTornando alla nostra conversazione dell'altra\nvolta, c'è qualcosa che dovresti sapere.\x0E\x04\x00\x00
MID_RELIANCE_A_#004	\x0E\x03\x02\x08\x06モーヴ\nSi tratta del motivo che vi spinge a offrirmi\nil vostro aiuto?\x0E\x04\x00\x00
MID_RELIANCE_A_#005	\x0E\x03\x02\x0C\nラファール\nSì. Nel mio mondo c'era un uomo di nome\nMauvier, che ti somigliava incredibilmente.\x0E\x04\x02\x00
MID_RELIANCE_A_#006	Ed è morto a causa mia.\x0E\x04\x00\x00
MID_RELIANCE_A_#007	\x0E\x03\x02\x08\x06モーヴ\nAllora è una questione di espiazione.\x0E\x04\x00\x00
MID_RELIANCE_A_#008	\x0E\x03\x02\x0C\nラファール\nNon è quello che... mpf!\x0E\x04\x02\x00
MID_RELIANCE_A_#009	Forse hai colto nel segno. Il senso di colpa\nmi affligge.\x0E\x04\x00\x00
MID_RELIANCE_A_#010	\x0E\x03\x02\x08\x06モーヴ\nNon sono io la persona a cui avete fatto del\nmale, lord Rafal, per quanto ci somigliamo.\x0E\x04\x02\x00
MID_RELIANCE_A_#011	Indipendentemente dai vostri sentimenti,\nnon sono nella posizione per accettare le vostre\nscuse o offrirvi il mio perdono.\x0E\x04\x00\x00
MID_RELIANCE_A_#012	\x0E\x03\x02\x0C\nラファール\nHai ragione. Per te, la mia storia non è che\nil racconto di uno sconosciuto.\x0E\x04\x00\x00
MID_RELIANCE_A_#013	\x0E\x03\x02\x08\x06モーヴ\nPrecisamente. Tutto ciò che posso offrirvi\nsarebbero solo parole vuote.\x0E\x04\x02\x00
MID_RELIANCE_A_#014	Dovreste concentrare i vostri sforzi in un'altra\ndirezione.\x0E\x04\x00\x00
MID_RELIANCE_A_#015	\x0E\x03\x02\x0C\nラファール\nParole sagge.\x0E\x04\x02\x00
MID_RELIANCE_A_#016	Non c'è nulla che io possa dire, per rimediare\nal male che ho fatto.\x0E\x04\x02\x00
MID_RELIANCE_A_#017	I miei miseri approcci non sono che tentativi\ndi consolare il mio ego.\x0E\x04\x00\x00
MID_RELIANCE_A_#018	\x0E\x03\x02\x08\x06モーヴ\nSe può sollevarvi, io comprendo bene quello\nche provate.\x0E\x04\x02\x00
MID_RELIANCE_A_#019	Anche io ho molto da espiare.\x0E\x04\x00\x00
MID_RELIANCE_A_#020	\x0E\x03\x02\x0C\nラファール\nSpero che riuscirai a farlo.\x0E\x04\x00\x00
MID_RELIANCE_A_#021	\x0E\x03\x02\x08\x06モーヴ\nNessuno di noi due può cambiare il passato,\nma possiamo migliorare il futuro.\x0E\x04\x02\x00
MID_RELIANCE_A_#022	Se riusciamo a rendere il mondo un posto\nmigliore rispetto a prima che lo danneggiassimo,\nsarebbe già un inizio.\x0E\x04\x00\x00
MID_RELIANCE_A_#023	\x0E\x03\x02\x0C\nラファール\nIl tuo è un comportamento esemplare.\nSeguirti mi aiuterà ad alleggerire il mio\nfardello, forse.\x0E\x04\x00\x00
MID_RELIANCE_A_#024	\x0E\x03\x02\x08\x06モーヴ\nCiò mi rallegrerebbe.\x0E\x04\x02\x00
MID_RELIANCE_A_#025	Adesso ho altre casse da spostare che mi\naspettano. Volete darmi una mano?\x0E\x04\x00\x00
MID_RELIANCE_A_#026	\x0E\x03\x02\x0C\nラファール\nCertamente.\x0E\x04\x00\x00
