MID_RELIANCE_C_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0E\x08ゼルコバ\x021\n\x0E\x03\x00\x0C\x06ユナカ\x022\n\x0E\x03\x02\x08\x06ユナカ\nNon mi interessa giocare al vostro gioco,\nZelkov. Ditemi cosa volete e facciamola finita.\x0E\x04\x00\x00
MID_RELIANCE_C_#015	\x0E\x03\x02\x0A\x08ゼルコバ\nA quanto*pare* si direbbe di sì.\x0E\x04\x00\x00
MID_RELIANCE_C_#016	\x0E\x03\x02\x08\x06ユナカ\nFantastico. Non parliamone più, va bene?\x0E\x04\x00\x00
MID_RELIANCE_C_#017	\x0E\x03\x02\x08\x06ユナカ\nIl mio lavoro fa parte del passato. Sono... in\npensione, ora.\x0E\x04\x00\x00
MID_RELIANCE_C_#018	\x0E\x03\x02\x0A\x08ゼルコバ\nAnche io mi sono *liberato* di quella vita.\x0E\x04\x00\x00
MID_RELIANCE_C_#019	\x0E\x03\x02\x08\x06ユナカ\nE così abbiamo anche questo in comune, eh?\nVabbè, lasciamo perdere.\x0E\x04\x00\x00
MID_RELIANCE_C_#020	\x0E\x03\x02\x08\x06ユナカ\nSto lasciando perdere, vedi? Me ne vado.\x0E\x04\x00\x00
MID_RELIANCE_B_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0E\x08ゼルコバ\x021\n\x0E\x03\x00\x0C\x06ユナカ\x022\n\x0E\x03\x02\x0A\x08ゼルコバ\nTornando al nostro discorso *dell'altra volta*,\nYunaka...\x0E\x04\x00\x00
MID_RELIANCE_B_#002	\x0E\x03\x02\x08\x06ユナカ\nStrano. Mi sembrava avessimo deciso di lasciar\nperdere... E invece eccoti qui.\x0E\x04\x00\x00
MID_RELIANCE_B_#003	\x0E\x03\x02\x0A\x08ゼルコバ\nIl messaggio era chiaro. Ma avrei ancora *un\ndettaglio* da discutere.\x0E\x04\x00\x00
MID_RELIANCE_B_#004	\x0E\x03\x02\x0A\x08ゼルコバ\nHai detto che l'istinto omicida *trasuda* dai\nmiei pori.\x0E\x04\x00\x00
MID_RELIANCE_B_#005	\x0E\x03\x02\x0A\x08ゼルコバ\nCosa te lo fa pensare?\x0E\x04\x00\x00
MID_RELIANCE_B_#006	\x0E\x03\x02\x08\x06ユナカ\n...\x0E\x04\x00\x00
MID_RELIANCE_B_#007	\x0E\x03\x02\x0A\x08ゼルコバ\nÈ cruciale per il mio *benessere* curare\nl'immagine con cui mi presento agli altri.\x0E\x04\x00\x00
MID_RELIANCE_B_#008	\x0E\x03\x02\x08\x06ユナカ\nE va bene.\x0E\x04\x00\x00
MID_RELIANCE_B_#009	\x0E\x03\x02\x08\x06ユナカ\nSei un cacciatore. Tutto quello che fai e che\ndici ruota intorno alla violenza.\x0E\x04\x00\x00
MID_RELIANCE_B_#010	\x0E\x03\x02\x0A\x08ゼルコバ\nPotresti fornirmi un *esempio*?\x0E\x04\x00\x00
MID_RELIANCE_B_#011	\x0E\x03\x02\x08\x06ユナカ\nCerto. I tuoi occhi? Sono glaciali. Calcolatori.\x0E\x04\x00\x00
MID_RELIANCE_B_#012	\x0E\x03\x02\x08\x06ユナカ\nLa gente normale non se ne va in giro a valutare\nquanto valga una vita altrui. È roba da assassini.\x0E\x04\x00\x00
MID_RELIANCE_B_#013	\x0E\x03\x02\x08\x06ユナカ\nE poi studi le debolezze degli altri. Stai\ncercando un punto debole per attaccare?\x0E\x04\x00\x00
MID_RELIANCE_B_#014	\x0E\x03\x02\x0A\x08ゼルコバ\nTi sbagli, io *non*...\x0E\x04\x00\x00
MID_RELIANCE_B_#015	\x0E\x03\x02\x08\x06ユナカ\nMi prendi in giro? Lo stai facendo anche adesso!\x0E\x04\x00\x00
MID_RELIANCE_B_#016	\x0E\x03\x02\x08\x06ユナカ\nGuardati. Dimmi che non sei in guardia per\nbloccare una coltellata dalla mia mano\ndominante.\x0E\x04\x00\x00
MID_RELIANCE_B_#017	\x0E\x03\x02\x08\x06ユナカ\nTi riposizioni sempre per essere in vantaggio\nin caso di un attacco. Non credere che non me\nne sia accorta.\x0E\x04\x00\x00
MID_RELIANCE_B_#018	\x0E\x03\x02\x0A\x08ゼルコバ\nPerspicace...\x0E\x04\x00\x00
MID_RELIANCE_B_#019	\x0E\x03\x02\x08\x06ユナカ\nLe persone normali non pensano alla violenza\nla maggior parte del loro tempo. Ecco cosa\nintendevo.\x0E\x04\x00\x00
MID_RELIANCE_B_#020	\x0E\x03\x02\x0A\x08ゼルコバ\nNon avrei mai pensato di essere così\n*trasparente* agli occhi di qualcuno...\x0E\x04\x00\x00
MID_RELIANCE_B_#021	\x0E\x03\x02\x08\x06ユナカ\nCome ben saprai, il mio lavoro richiedeva\nuno sguardo attento.\x0E\x04\x00\x00
MID_RELIANCE_B_#022	\x0E\x03\x02\x0A\x08ゼルコバ\nApprezzo la tua analisi approfondita.\nVedrò di *riflettere* sulle tue parole.\x0E\x04\x00\x00
MID_RELIANCE_B_#023	\x0E\x03\x02\x08\x06ユナカ\nNon parliamone più.\x0E\x04\x00\x00
MID_RELIANCE_A_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0E\x08ゼルコバ\x021\n\x0E\x03\x00\x0C\x06ユナカ\x022\n\x0E\x03\x02\x08\x06ユナカ\nEhi, Zelkov. Sarebbe un problema parlare\nancora un po' delle nostre attività?\x0E\x04\x00\x00
MID_RELIANCE_A_#002	\x0E\x03\x02\x0A\x08ゼルコバ\nA cosa devo questo cambio di *programma*?\nMi era sembrato che non volessi più discuterne.\x0E\x04\x00\x00
MID_RELIANCE_A_#003	\x0E\x03\x02\x08\x06ユナカ\nCerto, certo. Ricordo cosa ho detto. Ero lì\npresente.\x0E\x04\x00\x00
MID_RELIANCE_A_#004	\x0E\x03\x02\x08\x06ユナカ\nTemevo solo che se ne avessimo parlato troppo\nsarebbe stato... troppo. Ma non è andata così.\x0E\x04\x00\x00
MID_RELIANCE_A_#005	\x0E\x03\x02\x08\x06ユナカ\nAnzi, parlarne mi ha aiutata a prenderne le\ndistanze. Una prospettiva differente, e cose\ncosì.\x0E\x04\x00\x00
MID_RELIANCE_A_#006	\x0E\x03\x02\x0A\x08ゼルコバ\nPotresti darmi delucidazioni?\x0E\x04\x00\x00
MID_RELIANCE_A_#007	\x0E\x03\x02\x08\x06ユナカ\nVedi, la gente come noi di solito non ha molte\noccasioni per parlare apertamente. Potrebbe\nfarci bene.\x0E\x04\x00\x00
MID_RELIANCE_A_#008	\x0E\x03\x02\x0A\x08ゼルコバ\nForse hai ragione. Ma cosa rimarrebbe ancora\nda *dire* a tale riguardo, esattamente?\x0E\x04\x00\x00
MID_RELIANCE_A_#009	\x0E\x03\x02\x0A\x08ゼルコバ\nNon *muoio* dalla voglia di raccontare come\nio sia arrivato a quella professione.\x0E\x04\x00\x00
MID_RELIANCE_A_#010	\x0E\x03\x02\x0A\x08ゼルコバ\nÈ un retroscena piuttosto tragico, non adatto\na una *piacevole* conversazione.\x0E\x04\x00\x00
MID_RELIANCE_A_#011	\x0E\x03\x02\x08\x06ユナカ\nGià. Quel capitolo della mia vita è stato\norribile.\x0E\x04\x00\x00
MID_RELIANCE_A_#012	\x0E\x03\x02\x0A\x08ゼルコバ\nAnche per me. Nemmeno le *sfide* più difficili\nche dobbiamo affrontare di questi tempi vi si\navvicinano lontanamente.\x0E\x04\x00\x00
MID_RELIANCE_A_#013	\x0E\x03\x02\x0A\x08ゼルコバ\nOserei supporre che tu non abbia *scelto* di\nabbracciare codesta vita di violenza.\x0E\x04\x00\x00
MID_RELIANCE_A_#014	\x0E\x03\x02\x08\x06ユナカ\nCome fai a dirlo?\x0E\x04\x00\x00
MID_RELIANCE_A_#015	\x0E\x03\x02\x0A\x08ゼルコバ\nMi basta osservarti per vedere che non hai\n*rimpianti*.\x0E\x04\x00\x00
MID_RELIANCE_A_#016	\x0E\x03\x02\x0A\x08ゼルコバ\nE da questo deduco che non devi essere\nstata *responsabile* delle tue circostanze.\x0E\x04\x00\x00
MID_RELIANCE_A_#017	\x0E\x03\x02\x08\x06ユナカ\nChe intuito...\x0E\x04\x00\x00
MID_RELIANCE_A_#018	\x0E\x03\x02\x0A\x08ゼルコバ\nInoltre quella che sei adesso è un *risultato* del\ntuo distacco dal passato.\x0E\x04\x00\x00
MID_RELIANCE_A_#019	\x0E\x03\x02\x0A\x08ゼルコバ\nSei un po' come un fiore *nutrito* dal\nfertilizzante del passato.\x0E\x04\x00\x00
MID_RELIANCE_A_#020	\x0E\x03\x02\x08\x06ユナカ\nInteressante, non ci avevo mai pensato.\x0E\x04\x00\x00
MID_RELIANCE_A_#021	\x0E\x03\x02\x08\x06ユナカ\nOgni parola ha il suo peso, Zelkov. Le tue\nsono pesantissime.\x0E\x04\x00\x00
MID_RELIANCE_A_#022	\x0E\x03\x02\x08\x06ユナカ\nPerò è buffo. Quando le ascolto mi sento più\nleggera. Magari dipende dal nostro legame.\x0E\x04\x00\x00
MID_RELIANCE_A_#023	\x0E\x03\x02\x0A\x08ゼルコバ\nQuanti complimenti.\x0E\x04\x00\x00
MID_RELIANCE_A_#024	\x0E\x03\x02\x08\x06ユナカ\nSpesso mi domando cosa farò quando tutto\nquesto sarà finito e il mondo avrà ritrovato la\npace.\x0E\x04\x00\x00
MID_RELIANCE_A_#025	\x0E\x03\x02\x08\x06ユナカ\nCiò che più vorrei è spaparanzarmi da qualche\nparte e non fare niente. Godermi la vita!\x0E\x04\x00\x00
MID_RELIANCE_A_#026	\x0E\x03\x02\x0A\x08ゼルコバ\nAmmetto che *suona* bene.\x0E\x04\x00\x00
MID_RELIANCE_A_#027	\x0E\x03\x02\x08\x06ユナカ\nSe e quando succederà, vieni a trovarmi\nqualche volta.\x0E\x04\x00\x00
MID_RELIANCE_A_#028	\x0E\x03\x02\x0A\x08ゼルコバ\nVolentieri. Potremo conversare di cose che\n*solo* noi due sappiamo.\x0E\x04\x00\x00
MID_RELIANCE_A_#029	\x0E\x03\x02\x08\x06ユナカ\nOooh, evviva! Potremo acconciarci i capelli,\nparlare di armi... Quello che ci pare!\x0E\x04\x00\x00
MID_RELIANCE_A_#030	\x0E\x03\x02\x0A\x08ゼルコバ\nVa bene... Facciamo in modo che questo diventi\nil nostro obiettivo *comune* d'ora in avanti.\x0E\x04\x00\x00
MID_RELIANCE_A_#031	\x0E\x03\x02\x08\x06ユナカ\nPromesso, allora. Proveniamo dallo stesso\npassato oscuro, ma nulla ci vieta di condividere\nun futuro luminoso.\x0E\x04\x00\x00
