MID_RELIANCE_C_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0C\x06クロエ\x021\n\x0E\x03\x00\x0E\x08アンバー\x022\n\x0E\x03\x02\x0A\x08アンバー\nChloé! Senti qua! Ho scoperto una cosa\ninteressantissima!\x0E\x04\x00\x00
MID_RELIANCE_B_#014	\x0E\x03\x02\x0A\x08アンバー\nDici davvero?! Sei grande, Chloé! Non ti lasci\ncogliere impreparata!\x0E\x04\x00\x00
MID_RELIANCE_B_#015	\x0E\x03\x02\x0A\x08アンバー\nUn buon pranzetto e un panorama sublime!\nMa allora è una gita!\x0E\x04\x00\x00
MID_RELIANCE_B_#016	\x0E\x03\x02\x0A\x08アンバー\nEvviva!\x0E\x04\x00\x00
MID_RELIANCE_B_#017	\x0E\x03\x02\x0A\x08アンバー\nUh?! Un momento.\x0E\x04\x00\x00
MID_RELIANCE_B_#018	\x0E\x03\x02\x0A\x08アンバー\nNon è che questa era la tua intenzione fin\ndall'inizio? Sapevi già che sarebbe stata\nuna missione fallimentare.\x0E\x04\x00\x00
MID_RELIANCE_B_#019	\x0E\x03\x02\x08\x06クロエ\nEheh, che ci importa?\x0E\x04\x00\x00
MID_RELIANCE_B_#020	\x0E\x03\x02\x0A\x08アンバー\nNiente, ho troppa fame per pensarci.\nSi mangiaaa!\x0E\x04\x00\x00
MID_RELIANCE_B_#021	\x0E\x03\x02\x08\x06クロエ\nEcco, prendi pure. Un piatto di occhi di pesce\nsecchi tutto per te!\x0E\x04\x00\x00
MID_RELIANCE_B_#022	\x0E\x03\x02\x0A\x08アンバー\nAaaaaargh, è una di quelle schifezze particolari\nche piacciono a te?! Ora sì che il fallimento è\ncompleto.\x0E\x04\x00\x00
MID_RELIANCE_A_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0C\x06クロエ\x021\n\x0E\x03\x00\x0E\x08アンバー\x022\n\x0E\x03\x02\x0A\x08アンバー\nEhiii! Chloé!\x0E\x04\x00\x00
MID_RELIANCE_A_#002	\x0E\x03\x02\x08\x06クロエ\nCiao, Amber. Sei di buon umore oggi, eh?\x0E\x04\x00\x00
MID_RELIANCE_A_#003	\x0E\x03\x02\x0A\x08アンバー\nProprio così! Grandi notizie!\x0E\x04\x00\x00
MID_RELIANCE_A_#004	\x0E\x03\x02\x0A\x08アンバー\nHo trovato un'altra mappa! Porta a un labirinto\nproibito!\x0E\x04\x00\x00
MID_RELIANCE_A_#005	\x0E\x03\x02\x0A\x08アンバー\nSi tratta di una serie di tunnel che portano\nfino all'altro capo del mondo.\x0E\x04\x00\x00
MID_RELIANCE_A_#006	\x0E\x03\x02\x08\x06クロエ\nDa non crederci... E dove avresti trovato questa\nmappa, stavolta?\x0E\x04\x00\x00
MID_RELIANCE_A_#007	\x0E\x03\x02\x0A\x08アンバー\nUn gentile venditore ambulante me l'ha\nvenduta. Dice che era, reggiti forte, DESTINO\nche la comprassi.\x0E\x04\x00\x00
MID_RELIANCE_A_#008	\x0E\x03\x02\x0A\x08アンバー\nNon smetteva di sorridere. Scommetto che ha\ncapito subito quanto sono appassionato di\nleggende!\x0E\x04\x00\x00
MID_RELIANCE_A_#009	\x0E\x03\x02\x08\x06クロエ\nEheh, ne sono sicura.\x0E\x04\x00\x00
MID_RELIANCE_A_#010	\x0E\x03\x02\x0A\x08アンバー\nMa non preoccuparti. Non ti chiederò di venire\ncon me.\x0E\x04\x00\x00
MID_RELIANCE_A_#011	\x0E\x03\x02\x08\x06クロエ\nAh no? Non ti è piaciuto il pranzo dell'altra\nvolta?\x0E\x04\x00\x00
MID_RELIANCE_A_#012	\x0E\x03\x02\x0A\x08アンバー\nMa no, non è per questo! Era buono, davvero...\na parte il cibo esotico!\x0E\x04\x00\x00
MID_RELIANCE_A_#013	\x0E\x03\x02\x0A\x08アンバー\nPerò la volta scorsa ti ho trascinata alla ricerca\ndi una fonte inesistente, no?\x0E\x04\x00\x00
MID_RELIANCE_A_#014	\x0E\x03\x02\x0A\x08アンバー\nQuesta volta sono sicuro che la mappa sia\nautentica, ma nel dubbio preferirei prima\naccertarmene da solo.\x0E\x04\x00\x00
MID_RELIANCE_A_#015	\x0E\x03\x02\x08\x06クロエ\nPeccato. Mi avrebbe fatto piacere venire con\nte.\x0E\x04\x00\x00
MID_RELIANCE_A_#016	\x0E\x03\x02\x0A\x08アンバー\nEh? Dici davvero?\x0E\x04\x00\x00
MID_RELIANCE_A_#017	\x0E\x03\x02\x08\x06クロエ\nMa certo!\x0E\x04\x00\x00
MID_RELIANCE_A_#018	\x0E\x03\x02\x08\x06クロエ\nD'altronde non stiamo davvero andando in\ncerca di qualche rovina mitologica, no?\x0E\x04\x00\x00
MID_RELIANCE_A_#019	\x0E\x03\x02\x08\x06クロエ\nStiamo partendo per una scampagnata mentre\ncerchiamo le rovine! Come fanno gli eroi nelle\nstorie!\x0E\x04\x00\x00
MID_RELIANCE_A_#020	\x0E\x03\x02\x0A\x08アンバー\nEcco, sì! Un'avventura! Sapevo che ci saremmo\ncapiti!\x0E\x04\x00\x00
MID_RELIANCE_A_#021	\x0E\x03\x02\x08\x06クロエ\nHo visto come ti brillano gli occhi quando\nci avviciniamo alla X sulla tua mappa.\x0E\x04\x00\x00
MID_RELIANCE_A_#022	\x0E\x03\x02\x0A\x08アンバー\nAllora vuoi venire anche questa volta?\x0E\x04\x00\x00
MID_RELIANCE_A_#023	\x0E\x03\x02\x08\x06クロエ\nCertamente. E porterò anche qualcosa di\nspeciale da mangiare.\x0E\x04\x00\x00
MID_RELIANCE_A_#024	\x0E\x03\x02\x0A\x08アンバー\nGrazie, solo... nulla di troppo particolare,\nd'accordo?\x0E\x04\x00\x00
