MID_RELIANCE_C_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x12\x0Cゴルドマリー\x021\n\x0E\x03\x00\x0E\x08パネトネ\x022\n\x0E\x03\x02\x0A\x08パネトネ\nGoldmary, se non erro siete famosa per\ni vostri manicaretti, di grazia.\x0E\x04\x00\x00
MID_RELIANCE_B_#013	\x0E\x03\x02\x0E\x0Cゴルドマリー\nBeh, devo dire che per essere tagliate fini\nsono fini...\x0E\x04\x00\x00
MID_RELIANCE_B_#014	\x0E\x03\x02\x0A\x08パネトネ\nQuanti complimenti, Goldmary! Se non dovesse\nbastare, sarei lieta di andare avanti a tagliare.\x0E\x04\x00\x00
MID_RELIANCE_B_#015	\x0E\x03\x02\x0E\x0Cゴルドマリー\nOh, non ce n'è bisogno. A meno che tu non\nvoglia fare una poltiglia...\x0E\x04\x00\x00
MID_RELIANCE_B_#016	\x0E\x03\x02\x0E\x0Cゴルドマリー\nNon hai risparmiato neanche il tagliere, vedo...\nFacciamo finta che non sia successo niente.\x0E\x04\x00\x00
MID_RELIANCE_B_#017	\x0E\x03\x02\x0E\x0Cゴルドマリー\nOra puoi mettere il ripieno che hai appena\npreparato dentro al pollo. Poi infila lo spiedo,\ne direi che abbiamo terminato.\x0E\x04\x00\x00
MID_RELIANCE_B_#018	\x0E\x03\x02\x0A\x08パネトネ\nMaestra, Lorsignora. Avrei una domanda.\x0E\x04\x00\x00
MID_RELIANCE_B_#019	\x0E\x03\x02\x0E\x0Cゴルドマリー\nDimmi pure.\x0E\x04\x00\x00
MID_RELIANCE_B_#020	\x0E\x03\x02\x0A\x08パネトネ\nAdesso si può mangiare?\x0E\x04\x00\x00
MID_RELIANCE_B_#021	\x0E\x03\x02\x0E\x0Cゴルドマリー\nNo... Prima va arrostito.\x0E\x04\x00\x00
MID_RELIANCE_A_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x12\x0Cゴルドマリー\x021\n\x0E\x03\x00\x0E\x08パネトネ\x022\n\x0E\x03\x02\x0A\x08パネトネ\nSentite grazie per la lezione culinaria, Goldmary!\x0E\x04\x00\x00
MID_RELIANCE_A_#002	\x0E\x03\x02\x0A\x08パネトネ\nHo infine preparato il pollo arrosto al capo,\nseguendo alla lettera i vostri passaggi.\x0E\x04\x00\x00
MID_RELIANCE_A_#003	\x0E\x03\x02\x0A\x08パネトネ\nEra al settimo cielo, se mi posso permettere.\nNon la finiva più di tessere le lodi della vostra\nricetta.\x0E\x04\x00\x00
MID_RELIANCE_A_#004	\x0E\x03\x02\x0E\x0Cゴルドマリー\nNe sono lieta.\x0E\x04\x00\x00
MID_RELIANCE_A_#005	\x0E\x03\x02\x0E\x0Cゴルドマリー\nMa allora... sono anche perfetta come\ninsegnante?\x0E\x04\x00\x00
MID_RELIANCE_A_#006	\x0E\x03\x02\x0E\x0Cゴルドマリー\nLe mie lezioni erano impeccabili, lo so.\x0E\x04\x00\x00
MID_RELIANCE_A_#007	\x0E\x03\x02\x0A\x08パネトネ\nUn piccolo inconveniente c'è stato, ahimè.\nPare che sia stata un'esperienza dolorosa.\x0E\x04\x00\x00
MID_RELIANCE_A_#008	\x0E\x03\x02\x0E\x0Cゴルドマリー\nIn che senso?\x0E\x04\x00\x00
MID_RELIANCE_A_#009	\x0E\x03\x02\x0A\x08パネトネ\nC'era qualcosa di duro nel pollo. Forse della\ncartilagine, di grazia?\x0E\x04\x00\x00
MID_RELIANCE_A_#010	\x0E\x03\x02\x0E\x0Cゴルドマリー\nOppure schegge del tagliere, ci metterei la\nmano sul fuoco.\x0E\x04\x00\x00
MID_RELIANCE_A_#011	\x0E\x03\x02\x0E\x0Cゴルドマリー\nLa prossima volta mettici meno foga quando\ntagli le erbe.\x0E\x04\x00\x00
MID_RELIANCE_A_#012	\x0E\x03\x02\x0A\x08パネトネ\nVa bene, Lorsignora!\x0E\x04\x00\x00
MID_RELIANCE_A_#013	\x0E\x03\x02\x0E\x0Cゴルドマリー\nNell'insieme la lezione di cucina si può\ncomunque considerare un successo. Sei\nsoddisfatta?\x0E\x04\x00\x00
MID_RELIANCE_A_#014	\x0E\x03\x02\x0A\x08パネトネ\nIndubbiamente, un successo eclatante! Grazie\ndi tutto l'appoggio, Lorsignora maestra.\x0E\x04\x00\x00
MID_RELIANCE_A_#015	\x0E\x03\x02\x0A\x08パネトネ\nHo persino ricevuto il mio primo incarico\nculinario, cosa che senza il vostro appoggio\nsarebbe stata inverosimile.\x0E\x04\x00\x00
MID_RELIANCE_A_#016	\x0E\x03\x02\x0E\x0Cゴルドマリー\nCioè farai la cuoca?\x0E\x04\x00\x00
MID_RELIANCE_A_#017	\x0E\x03\x02\x0A\x08パネトネ\nVedete, il capo ha trovato molto interessante\nil modo in cui taglio le erbe.\x0E\x04\x00\x00
MID_RELIANCE_A_#018	\x0E\x03\x02\x0A\x08パネトネ\nConta addirittura di invitare dei luminari\nper una dimostrazione al palazzo di Solm,\na guerra conclusa.\x0E\x04\x00\x00
MID_RELIANCE_A_#019	\x0E\x03\x02\x0E\x0Cゴルドマリー\nUna dimostrazione? Davanti a tutte\nle personalità del regno!?\x0E\x04\x00\x00
MID_RELIANCE_A_#020	\x0E\x03\x02\x0A\x08パネトネ\nNon è incredibile? Ma non temete, mi premurerò\ndi menzionarvi come mia maestra. Ho imparato\ntutto da voi, non dimentichiamolo.\x0E\x04\x00\x00
MID_RELIANCE_A_#021	\x0E\x03\x02\x0E\x0Cゴルドマリー\nOh, no. Ecco...\x0E\x04\x00\x00
MID_RELIANCE_A_#022	\x0E\x03\x02\x0E\x0Cゴルドマリー\nHo sentito che in Solm la gente è piuttosto\ninformale, ma ci sarà qualcuno di serio lì in\nmezzo...\x0E\x04\x00\x00
MID_RELIANCE_A_#023	\x0E\x03\x02\x0E\x0Cゴルドマリー\nForse è meglio se riprendiamo le nostre lezioni.\nCredo che tu debba ripassare come maneggiare\ni coltelli.\x0E\x04\x00\x00
MID_RELIANCE_A_#024	\x0E\x03\x02\x0A\x08パネトネ\nMa come? Pensavo di essere già stata promossa\na pieni voti!\x0E\x04\x00\x00
MID_RELIANCE_A_#025	\x0E\x03\x02\x0E\x0Cゴルドマリー\nMa se vuoi fare il mio nome dovrai ripassare\nle basi o temo che dovrò dire alla principessa\nTimerra che ti sei tirata indietro.\x0E\x04\x00\x00
MID_RELIANCE_A_#026	\x0E\x03\x02\x0A\x08パネトネ\nUrgh...\x0E\x04\x00\x00
MID_RELIANCE_A_#027	\x0E\x03\x02\x0E\x0Cゴルドマリー\nDovresti essere riconoscente di ricevere\nun'altra lezione da una maestra così brava.\x0E\x04\x00\x00
MID_RELIANCE_A_#028	\x0E\x03\x02\x0A\x08パネトネ\nInvero. Grazie infinite, Goldmary.\x0E\x04\x00\x00
