MID_RELIANCE_C_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x12\x0Cアルフレッド\x021\n\x0E\x03\x00\x0E\x08セリーヌ\x022\n\x0E\x03\x02\x0E\x0Cアルフレッド\nNhg! Guah! Puff!\x0E\x04\x00\x00
MID_RELIANCE_A_#033	\x0E\x03\x02\x0A\x08セリーヌ\nSe il Firene fosse caduto, se nostra madre fosse\nmorta, se ti avessimo perso... Come avrei fatto?\x0E\x04\x00\x00
MID_RELIANCE_A_#034	\x0E\x03\x02\x0A\x08セリーヌ\nE ora anche questa. Se la tua salute peggiorasse\ne ti perdessi... Come farei...? Cosa farei...?\x0E\x04\x00\x00
MID_RELIANCE_A_#035	\x0E\x03\x02\x0A\x08セリーヌ\n...\x0E\x04\x00\x00
MID_RELIANCE_A_#036	\x0E\x03\x02\x0E\x0Cアルフレッド\nEhi, ti prometto che non andrò da nessuna\nparte. Rinforzando il fisico con gli allenamenti,\nvedrai che starò meglio.\x0E\x04\x00\x00
MID_RELIANCE_A_#037	\x0E\x03\x02\x0A\x08セリーヌ\nHai la mente di un barbaro. Se solo ne avessi\nanche il corpo...\x0E\x04\x00\x00
MID_RELIANCE_A_#038	\x0E\x03\x02\x0E\x0Cアルフレッド\nDammi tempo e ci arriverò! Mi alleno\nper questo.\x0E\x04\x00\x00
MID_RELIANCE_A_#039	\x0E\x03\x02\x0E\x0Cアルフレッド\nOooh, Céline, guarda. Un quadrifoglio!\x0E\x04\x00\x00
MID_RELIANCE_A_#040	\x0E\x03\x02\x0A\x08セリーヌ\nEh? Dove?\x0E\x04\x00\x00
MID_RELIANCE_A_#041	\x0E\x03\x02\x0E\x0Cアルフレッド\nVicino al tuo piede. Ecco qua. Saremo fortunati.\x0E\x04\x00\x00
MID_RELIANCE_A_#042	\x0E\x03\x02\x0A\x08セリーヌ\nQuanti ricordi... Li cercavamo sempre\nda bambini.\x0E\x04\x00\x00
MID_RELIANCE_A_#043	\x0E\x03\x02\x0A\x08セリーヌ\nNe trovavo sempre più di te.\nMa adesso mi hai superata.\x0E\x04\x00\x00
MID_RELIANCE_A_#044	\x0E\x03\x02\x0E\x0Cアルフレッド\nFiuuu... Parlare con te mi fa stare meglio. Dai,\ncerca un altro quadrifoglio per me!\x0E\x04\x00\x00
MID_RELIANCE_A_#045	\x0E\x03\x02\x0A\x08セリーヌ\nNon so se funziona, ma mi rallegra sapere che\nti senti un po' meglio.\x0E\x04\x00\x00
MID_RELIANCE_A_#046	\x0E\x03\x02\x0E\x0Cアルフレッド\nMi farò perdonare, Céline. Te ne porto un mazzo\nintero.\x0E\x04\x00\x00
MID_RELIANCE_A_#047	\x0E\x03\x02\x0E\x0Cアルフレッド\nNon posso prometterti che starò sempre bene,\nma possiamo continuare a sostenerci a vicenda.\nPer il Firene.\x0E\x04\x00\x00
MID_RELIANCE_A_#048	\x0E\x03\x02\x0A\x08セリーヌ\nCerto, Alfred. Farò tutto il possibile.\x0E\x04\x00\x00
MID_RELIANCE_A_#049	\x0E\x03\x02\x0A\x08セリーヌ\nQualunque cosa accada, torneremo in Firene.\nInsieme.\x0E\x04\x00\x00
