MID_RELIANCE_C_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x10\nブシュロン\x021\n\x0E\x03\x00\x0E\x08リンデン\x022\n\x0E\x03\x02\x0C\nブシュロン\nGh... Sniff.\x0E\x04\x00\x00
MID_RELIANCE_C_#019	\x0E\x03\x02\x0C\nブシュロン\nLo farò.\x0E\x04\x00\x00
MID_RELIANCE_C_#020	\x0E\x03\x02\x0A\x08リンデン\nTieni pure il fazzoletto.\x0E\x04\x00\x00
MID_RELIANCE_B_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x10\nブシュロン\x021\n\x0E\x03\x00\x0E\x08リンデン\x022\n\x0E\x03\x02\x0A\x08リンデン\nAllora, come procede la lettura?\x0E\x04\x00\x00
MID_RELIANCE_B_#002	\x0E\x03\x02\x0A\x08リンデン\nOh, ma dove ho la testa? Volevo darti\nuna cosa, prima di tutto.\x0E\x04\x00\x00
MID_RELIANCE_B_#003	\x0E\x03\x02\x0C\nブシュロン\nMmmh, dei dolcetti? Sembrano buonissimi.\x0E\x04\x00\x00
MID_RELIANCE_B_#004	\x0E\x03\x02\x0A\x08リンデン\nLi ho preparati con le mie mani. Il ripieno\nè alla mela.\x0E\x04\x00\x00
MID_RELIANCE_B_#005	\x0E\x03\x02\x0C\nブシュロン\nSiete bravo a fare dolci, ser Lindon?\x0E\x04\x00\x00
MID_RELIANCE_B_#006	\x0E\x03\x02\x0A\x08リンデン\nEh, sì, me la cavo. E per cuocere i dolcetti non\nc'è niente di meglio di un bell'incantesimo del\ntuono. Ma assaggia, assaggia pure.\x0E\x04\x00\x00
MID_RELIANCE_B_#007	\x0E\x03\x02\x0C\nブシュロン\nNon me lo farò ripetere.\x0E\x04\x00\x00
MID_RELIANCE_B_#008	\x0E\x03\x02\x0C\nブシュロン\nWow! Non avrei mai detto che un fulmine\npotesse cuocere così bene i dolci.\x0E\x04\x00\x00
MID_RELIANCE_B_#009	\x0E\x03\x02\x0A\x08リンデン\nGrandioso, eh? Ma ora perché non mi racconti\nun po' del tuo libro?\x0E\x04\x00\x00
MID_RELIANCE_B_#010	\x0E\x03\x02\x0C\nブシュロン\nCerto. L'ultima volta eravamo rimasti a quando\nil principe abbandona il castello.\x0E\x04\x00\x00
MID_RELIANCE_B_#011	\x0E\x03\x02\x0C\nブシュロン\nA quel punto il protagonista incontra una\ndonna, che lavora anche lei come guardia\nreale.\x0E\x04\x00\x00
MID_RELIANCE_B_#012	\x0E\x03\x02\x0C\nブシュロン\nI due si sposano e vivono una vita tranquilla\ne felice.\x0E\x04\x00\x00
MID_RELIANCE_B_#013	\x0E\x03\x02\x0C\nブシュロン\nÈ qui che sono arrivato a leggere.\x0E\x04\x00\x00
MID_RELIANCE_B_#014	\x0E\x03\x02\x0A\x08リンデン\nChe storia interessante. Mi sta conquistando.\nAnch'io ero un soldato reale, sai?\x0E\x04\x00\x00
MID_RELIANCE_B_#015	\x0E\x03\x02\x0A\x08リンデン\nOggi vedo che non stai piangendo.\x0E\x04\x00\x00
MID_RELIANCE_B_#016	\x0E\x03\x02\x0C\nブシュロン\nNon senza qualche sforzo. La moglie di L\nfarebbe qualsiasi cosa per lui...\x0E\x04\x00\x00
MID_RELIANCE_B_#017	\x0E\x03\x02\x0C\nブシュロン\nSe non piango è solo perché mi vergognerei\na farmi vedere sempre così mollaccione.\x0E\x04\x00\x00
MID_RELIANCE_B_#018	\x0E\x03\x02\x0A\x08リンデン\nOh, ma non devi trattenerti solo per me!\x0E\x04\x00\x00
MID_RELIANCE_B_#019	\x0E\x03\x02\x0A\x08リンデン\nNon c'è nulla di cui vergognarsi. Forza, sfogati\npure.\x0E\x04\x00\x00
MID_RELIANCE_B_#020	\x0E\x03\x02\x0C\nブシュロン\nNe siete sicuro? Me lo avete detto voi, eh.\x0E\x04\x00\x00
MID_RELIANCE_B_#021	\x0E\x03\x02\x0C\nブシュロン\nUWAAAA...\x0E\x04\x00\x00
MID_RELIANCE_B_#022	\x0E\x03\x02\x0A\x08リンデン\nTi cola il naso. Ecco, usa questo.\x0E\x04\x00\x00
MID_RELIANCE_B_#023	\x0E\x03\x02\x0C\nブシュロン\nG-Grazie...\x0E\x04\x00\x00
MID_RELIANCE_A_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x10\nブシュロン\x021\n\x0E\x03\x00\x0E\x08リンデン\x022\n\x0E\x03\x02\x0A\x08リンデン\nBoucheron, oggi ho portato dei biscotti!\nCotti con un fulmine, come sempre. Serviti\npure, non fare complimenti.\x0E\x04\x00\x00
MID_RELIANCE_A_#002	\x0E\x03\x02\x0C\nブシュロン\nOooh, non so resistere. E hanno l'uvetta. Gnam!\x0E\x04\x00\x00
MID_RELIANCE_A_#003	\x0E\x03\x02\x0A\x08リンデン\nAllora, a che punto sei arrivato questa volta?\x0E\x04\x00\x00
MID_RELIANCE_A_#004	\x0E\x03\x02\x0C\nブシュロン\nL'ho finito.\x0E\x04\x00\x00
MID_RELIANCE_A_#005	\x0E\x03\x02\x0A\x08リンデン\nAh, ma pensa! Raccontami tutto, allora.\x0E\x04\x00\x00
MID_RELIANCE_A_#006	\x0E\x03\x02\x0C\nブシュロン\nDunque... dopo il matrimonio il protagonista\nvisse molti anni felici e tranquilli.\x0E\x04\x00\x00
MID_RELIANCE_A_#007	\x0E\x03\x02\x0C\nブシュロン\nNon mancarono alcune difficoltà, ma la coppia\nle superò insieme. Ebbero anche dei figli.\x0E\x04\x00\x00
MID_RELIANCE_A_#008	\x0E\x03\x02\x0C\nブシュロン\nMa quando ormai i figli erano cresciuti e\nla coppia avrebbe potuto godersi la vecchiaia\nin pace sua moglie morì.\x0E\x04\x00\x00
MID_RELIANCE_A_#009	\x0E\x03\x02\x0C\nブシュロン\nSenza poter neanche assaggiare l'ultimo\ndolcetto che il marito le aveva preparato...\ncon un incantesimo del tuono.\x0E\x04\x00\x00
MID_RELIANCE_A_#010	\x0E\x03\x02\x0C\nブシュロン\n...\x0E\x04\x00\x00
MID_RELIANCE_A_#011	\x0E\x03\x02\x0C\nブシュロン\n...\x0E\x04\x00\x00
MID_RELIANCE_A_#012	\x0E\x03\x02\x0A\x08リンデン\nNon piangere, Boucheron... Sob. Ecco. Sto\npiangendo anch'io ora...\x0E\x04\x00\x00
MID_RELIANCE_A_#013	\x0E\x03\x02\x0C\nブシュロン\nÈ in quel pezzo, che ho capito che... la storia\nparlava di voi. Avevo ragione?\x0E\x04\x00\x00
MID_RELIANCE_A_#014	\x0E\x03\x02\x0A\x08リンデン\nEh, sì. La "L" è l'iniziale del mio nome.\x0E\x04\x00\x00
MID_RELIANCE_A_#015	\x0E\x03\x02\x0C\nブシュロン\nMa come mai c'è un libro su di voi?\x0E\x04\x00\x00
MID_RELIANCE_A_#016	\x0E\x03\x02\x0A\x08リンデン\nNon manca molto prima che io raggiunga\nla mia adorata moglie. Ma prima che ciò accada\nho pensato di scrivere le mie memorie.\x0E\x04\x00\x00
MID_RELIANCE_A_#017	\x0E\x03\x02\x0A\x08リンデン\nPurtroppo avevo perso il manoscritto.\x0E\x04\x00\x00
MID_RELIANCE_A_#018	\x0E\x03\x02\x0C\nブシュロン\nLo avete scritto voi? Allora vi chiedo\ndi perdonarmi se l'ho letto senza il vostro\npermesso.\x0E\x04\x00\x00
MID_RELIANCE_A_#019	\x0E\x03\x02\x0A\x08リンデン\nNon c'è problema. Sono contento che tu l'abbia\ntrovato e che ti sia piaciuta la storia.\x0E\x04\x00\x00
MID_RELIANCE_A_#020	\x0E\x03\x02\x0C\nブシュロン\nÈ scritto molto bene, a mio modesto parere.\x0E\x04\x00\x00
MID_RELIANCE_A_#021	\x0E\x03\x02\x0A\x08リンデン\nDovremmo passare più tempo insieme, no?\nPossiamo conoscerci meglio, almeno fino\nall'ultima pagina della mia vita...\x0E\x04\x00\x00
MID_RELIANCE_A_#022	\x0E\x03\x02\x0C\nブシュロン\nCon piacere.\x0E\x04\x00\x00
MID_RELIANCE_A_#023	\x0E\x03\x02\x0A\x08リンデン\nMi sento proprio dell'umore giusto per preparare\nqualcosa di buono!\x0E\x04\x00\x00
MID_RELIANCE_A_#024	\x0E\x03\x02\x0A\x08リンデン\nMa è un lavoro che richiede il suo tempo, quindi\nperché non mi racconti qualcosa di te nel\nmentre?\x0E\x04\x00\x00
MID_RELIANCE_A_#025	\x0E\x03\x02\x0C\nブシュロン\nDa dove posso cominciare? Forse dal giorno\nin cui i miei genitori si incontrarono...\x0E\x04\x00\x00
