MID_RELIANCE_C_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x10\nスタルーク\x021\n\x0E\x03\x00\x0E\x08アイビー\x022\n\x0E\x03\x02\x0A\x08アイビー\n...\x0E\x04\x00\x00
MID_RELIANCE_A_#002	\x0E\x03\x02\x0C\nスタルーク\nNella scorsa conversazione che abbiamo avuto,\navete reso palese il vostro risentimento verso\nla Brodia...\x0E\x04\x00\x00
MID_RELIANCE_A_#003	\x0E\x03\x02\x0A\x08アイビー\nSì.\x0E\x04\x00\x00
MID_RELIANCE_A_#004	\x0E\x03\x02\x0C\nスタルーク\nForse non dovrei permettermi, ma lasciate\nche vi dica una cosa...\x0E\x04\x00\x00
MID_RELIANCE_A_#005	\x0E\x03\x02\x0C\nスタルーク\nLe relazioni tra la Brodia e l'Elusia non sono\nmai state civili... almeno non da quando sono\nnato.\x0E\x04\x00\x00
MID_RELIANCE_A_#006	\x0E\x03\x02\x0C\nスタルーク\nMa, come avete detto voi, ora i nostri regni\ncombattono dalla stessa parte.\x0E\x04\x00\x00
MID_RELIANCE_A_#007	\x0E\x03\x02\x0A\x08アイビー\nEsatto.\x0E\x04\x00\x00
MID_RELIANCE_A_#008	\x0E\x03\x02\x0C\nスタルーク\nQuesta alleanza è stata tanto imprevedibile\nquanto grandiosa.\x0E\x04\x00\x00
MID_RELIANCE_A_#009	\x0E\x03\x02\x0C\nスタルーク\nFarò quanto in mio potere per assicurarmi\nche continui anche a guerra terminata.\x0E\x04\x00\x00
MID_RELIANCE_A_#010	\x0E\x03\x02\x0C\nスタルーク\nForse non sono al livello di mio fratello,\nil principe ereditario...\x0E\x04\x00\x00
MID_RELIANCE_A_#011	\x0E\x03\x02\x0C\nスタルーク\nMa pensavo perlomeno di dovervi delle\nspiegazioni riguardo alle mie intenzioni.\x0E\x04\x00\x00
MID_RELIANCE_A_#012	\x0E\x03\x02\x0A\x08アイビー\n...\x0E\x04\x00\x00
MID_RELIANCE_A_#013	\x0E\x03\x02\x0A\x08アイビー\nLa prima impressione che ho avuto di te è che\neri privo di spina dorsale e senza un briciolo\ndi carisma.\x0E\x04\x00\x00
MID_RELIANCE_A_#014	\x0E\x03\x02\x0A\x08アイビー\nMa ora ho cambiato idea.\x0E\x04\x00\x00
MID_RELIANCE_A_#015	\x0E\x03\x02\x0C\nスタルーク\nDavvero?\x0E\x04\x00\x00
MID_RELIANCE_A_#016	\x0E\x03\x02\x0A\x08アイビー\nNon hai paura di dire ciò che pensi, riguardo\nalle cose che ritieni importanti. E usi parole\ngentili e ponderate.\x0E\x04\x00\x00
MID_RELIANCE_A_#017	\x0E\x03\x02\x0A\x08アイビー\nQueste sono qualità che considero senza\nprezzo.\x0E\x04\x00\x00
MID_RELIANCE_A_#018	\x0E\x03\x02\x0C\nスタルーク\nOh, vi prego, non fatevi un'idea troppo elevata\ndi me. Voi siete più regale e competente...\x0E\x04\x00\x00
MID_RELIANCE_A_#019	\x0E\x03\x02\x0A\x08アイビー\nStai forse insinuando che io, principessa\nereditaria del mio regno, non sia in grado\ndi dare un giudizio appropriato?\x0E\x04\x00\x00
MID_RELIANCE_A_#020	\x0E\x03\x02\x0C\nスタルーク\nC-Certo che no! Non mi permetterei mai...\x0E\x04\x00\x00
MID_RELIANCE_A_#021	\x0E\x03\x02\x0C\nスタルーク\nAh. Era un altro dei vostri scherzi?\x0E\x04\x00\x00
MID_RELIANCE_A_#022	\x0E\x03\x02\x0A\x08アイビー\nSì. Cominci a capire.\x0E\x04\x00\x00
MID_RELIANCE_A_#023	\x0E\x03\x02\x0C\nスタルーク\nEheh. Lo prendo come un buon segno. Significa\nche siamo sulla buona strada verso un rapporto\npiù disteso.\x0E\x04\x00\x00
MID_RELIANCE_A_#024	\x0E\x03\x02\x0A\x08アイビー\nConcordo. Spero che i nostri rapporti\nmigliorino ancora andando avanti.\x0E\x04\x00\x00
MID_RELIANCE_A_#025	\x0E\x03\x02\x0A\x08アイビー\nIn onore dei nostri padri... e per il futuro dei\nnostri regni.\x0E\x04\x00\x00
MID_RELIANCE_A_#026	\x0E\x03\x02\x0C\nスタルーク\nSì. Per un futuro migliore!\x0E\x04\x00\x00
