MID_OP1_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x18\x12E005_Boss\x021\n\x0E\x03\x02\x14\x12E005_Boss\nSfiderai il destino, spazzerai via le angosce\ne forgerai legami con i tuoi alleati?\x0E\x04\x02\x00
MID_OP4_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x14\x0EE005_エル\x021\n\x0E\x03\x00\x18\x12E005_Boss\x022\n\x0E\x03\x02\x10\x0EE005_エル\nSiamo finiti in Solm. Chissà che intenzioni ha\nil Drago Divino.\x0E\x04\x00\x00
MID_OP4_#002	\x0E\x03\x02\x14\x12E005_Boss\nQui vicino. In effetti, la scia del mio incantesimo\nfinisce proprio... in questo punto.\x0E\x04\x00\x00
MID_OP4_#003	\x0E\x03\x02\x10\x0EE005_エル\nSembra un tempio.\x0E\x04\x00\x00
MID_OP4_#004	\x0E\x03\x02\x14\x12E005_Boss\nEntriamo.\x0E\x04\x00\x00
MID_OP5_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x14\x0EE005_エル\x021\n\x0E\x03\x00\x18\x12E005_Boss\x022\n\x0E\x03\x00\x1C\x16E004_セレスティア\x023\n\x0E\x03\x00\x1E\x18E005_異形兵_セイジ\x024\n\x0E\x03\x02\x10\x0EE005_エル\nÈ buio, fate attenzione a dove mettete i piedi.\x0E\x04\x02\x00
MID_OP5_#002	Sei sicuro che il Drago Divino si trovi qui\ndentro?\x0E\x04\x00\x00
MID_OP5_#003	\x0E\x03\x02\x14\x12E005_Boss\nRagionevolmente sicuro.\x0E\x04\x02\x00
MID_OP5_#004	Attenzione, dietro di voi!\x0E\x04\x00\x00
MID_OP5_#005	\x0E\x03\x02\x1A\x18E005_異形兵_セイジ\nGrrrrr...\x0E\x04\x00\x00
MID_OP5_#006	\x0E\x03\x02\x18\x16E004_セレスティア\nAberrazioni?!\x0E\x04\x00\x00
MID_OP5_#007	\x0E\x03\x00\x1A\x14E004_グレゴリー\x024\n\x0E\x03\x02\x16\x14E004_グレゴリー\nOh, mamma! Sono tantissime!\x0E\x04\x00\x00
MID_OP5_#008	\x0E\x03\x02\x10\x0EE005_エル\nLe affronteremo. Resta dietro di me, Nil.\x0E\x04\x00\x00
MID_OP5_#009	\x0E\x03\x02\x14\x12E005_Boss\n...\x0E\x04\x00\x00
MID_OP5_#010	\x0E\x03\x02\x10\x0EE005_エル\nNil?\x0E\x04\x00\x00
MID_OP5_#011	\x0E\x03\x02\x14\x12E005_Boss\nApprezzo le premure, cara sorellina, ma non\nmi serve la tua protezione.\x0E\x04\x02\x00
MID_OP5_#012	Confesso che ho sempre disprezzato questo\nlato di te. La tua aria di superiorità.\x0E\x04\x00\x00
MID_OP5_#013	\x0E\x03\x02\x10\x0EE005_エル\nCosa?\x0E\x04\x00\x00
MID_OP5_#014	\x0E\x03\x02\x14\x12E005_Boss\nAhahah. Ma guardati. Sveglia, Nel! Qui non c'è\nnessun Drago Divino!\x0E\x04\x00\x00
MID_OP5_#015	\x0E\x03\x02\x10\x0EE005_エル\nNon capisco cosa intendi dire.\x0E\x04\x00\x00
MID_OP5_#016	\x0E\x03\x02\x18\x16E004_セレスティア\nLord Nil, sono opera vostra quelle aberrazioni?!\x0E\x04\x00\x00
MID_OP5_#017	\x0E\x03\x00\x1A\x14E004_マデリーン\x024\n\x0E\x03\x02\x16\x14E004_マデリーン\nNo... Dev'esserci un errore. Lord Nil non sapeva\ndove ci stava portando.\x0E\x04\x00\x00
MID_OP5_#018	\x0E\x03\x02\x14\x12E005_Boss\nNe sei proprio sicura? Forse questo ti farà\ncambiare idea.\x0E\x04\x00\x00
MID_OP5_#019	\x0E\x03\x02\x10\x0EE005_エル\nMa è l'emblema Chrom. Dovrebbe essere\naddormentato.\x0E\x04\x00\x00
MID_OP5_#020	\x0E\x03\x02\x14\x12E005_Boss\nVi serve un disegnino? Il vostro malfattore\nmisterioso ha il potere di risvegliare gli emblemi.\x0E\x04\x02\x00
MID_OP5_#021	Ed è proprio qui davanti a voi.\x0E\x04\x02\x00
MID_OP5_#022	Non sono un fallito senza poteri. Porterò a\ncompimento i piani di lord Sombron!\x0E\x04\x00\x00
MID_OP5_#023	\x0E\x03\x02\x10\x0EE005_エル\nMa tu sei mio fratello.\x0E\x04\x02\x00
MID_OP5_#024	Siamo sempre stati assieme, come due metà di\nun intero! Non puoi essere tu il nostro nemico.\x0E\x04\x00\x00
MID_OP5_#025	\x0E\x03\x02\x14\x12E005_Boss\nE chi potrebbe essere, se non io? Non rimane\nnessuno. I nostri fratelli e sorelle sono tutti\nmorti.\x0E\x04\x02\x00
MID_OP5_#026	Li ho eliminati personalmente. Con un'unica\neccezione, naturalmente.\x0E\x04\x00\x00
MID_OP5_#027	\x0E\x03\x02\x10\x0EE005_エル\n...!\x0E\x04\x00\x00
MID_OP5_#028	\x0E\x03\x02\x14\x12E005_Boss\nTutto chiaro, ora? Bene.\x0E\x04\x02\x00
MID_OP5_#029	Addio, cara sorella. Sarai sepolta assieme ai\ntuoi quattro amichetti.\x0E\x04\x02\x00
MID_OP5_#030	Nel mentre, mi godrò uno spuntino a base\ndel Drago Divino che tanto ami.\x0E\x04\x00\x00
MID_OP5_#031	\x0E\x03\x02\x10\x0EE005_エル\nNil... Come puoi fare questo?\x0E\x04\x00\x00
MID_OP5_#032	\x0E\x03\x00\x16\x10M011_モーヴ\x024\n\x0E\x03\x02\x12\x10M011_モーヴ\nLady Nel, vi scongiuro... Non è il momento di\nfarsi domande!\x0E\x04\x00\x00
MID_OP5_#033	\x0E\x03\x00\x1A\x14E004_グレゴリー\x024\n\x0E\x03\x02\x16\x14E004_グレゴリー\nSiamo confusi anche noi, ma le aberrazioni\nnon saranno così gentili da aspettarci mentre\nraccogliamo le idee!\x0E\x04\x00\x00
MID_OP5_#034	\x0E\x03\x02\x10\x0EE005_エル\nSono tante, ma noi siamo forti. Devo solo\ntrasformarmi...\x0E\x04\x02\x00
MID_OP5_#035	Nil ha la mia pietra drago.\x0E\x04\x02\x00
MID_OP5_#036	E il Drago Divino è in pericolo mentre noi siamo\nbloccati qui.\x0E\x04\x00\x00
MID_OP5_#037	\x0E\x03\x02\x18\x16E004_セレスティア\nLady Nel, lasciate fare a noi.\x0E\x04\x00\x00
MID_OP5_#038	\x0E\x03\x02\x10\x0EE005_エル\nNo, Zelestia.\x0E\x04\x00\x00
MID_OP5_#039	\x0E\x03\x02\x18\x16E004_セレスティア\nForse non ne usciremo tutti vivi, ma vi apriremo\nla strada per fuggire.\x0E\x04\x02\x00
MID_OP5_#040	Presto! Scappate via da questo tempio e andate\ndal Drago Divino!\x0E\x04\x00\x00
MID_OP5_#041	\x0E\x03\x02\x10\x0EE005_エル\nNo. Non posso lasciarvi qui!\x0E\x04\x00\x00
MID_OP5_#042	\x0E\x03\x00\x16\x10M011_モーヴ\x024\n\x0E\x03\x02\x12\x10M011_モーヴ\nZelestia ha ragione. Dovete andare. Siete l'unica\nin grado di fermare lord Nil.\x0E\x04\x00\x00
MID_OP5_#043	\x0E\x03\x00\x1A\x14E004_グレゴリー\x022\n\x0E\x03\x02\x16\x14E004_グレゴリー\nSiamo sempre stati famosi per le nostre fughe.\nLasciaci fare gli eroi, per una volta.\x0E\x04\x00\x00
MID_OP5_#044	\x0E\x03\x00\x1A\x14E004_マデリーン\x023\n\x0E\x03\x02\x16\x14E004_マデリーン\nSarà un onore liberarvi la strada.\x0E\x04\x00\x00
MID_OP5_#045	\x0E\x03\x00\x1C\x16E004_セレスティア\x023\n\x0E\x03\x02\x18\x16E004_セレスティア\nLady Nel, è il momento. Andate!\x0E\x04\x00\x00
MID_OP5_#046	\x0E\x03\x02\x10\x0EE005_エル\nE sia.\x0E\x04\x02\x00
MID_OP5_#047	Quattro Venti, ascoltate attentamente i miei\nordini.\x0E\x04\x02\x00
MID_OP5_#048	Dovrete sopravvivere finché non ci ritroveremo!\nIntesi?\x0E\x04\x00\x00
MID_OP5_#049	\x0E\x03\x02\x18\x16E004_セレスティア\nSissignora!\x0E\x04\x00\x00
MID_OP6_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x18\x12E005_Boss\x021\n\x0E\x03\x00\x0E\x08リュール\x022\n\x0E\x03\x00\x14\x0EE005_エル\x023\n\x0E\x03\x02\x0A\x08リュール\n...\x0E\x04\x00\x00
MID_OP6_#002	\x0E\x03\x02\x14\x12E005_Boss\nEccomi qui, Drago Divino.\x0E\x04\x00\x00
MID_OP6_#003	\x0E\x03\x02\x0A\x08リュール\nNil.\x0E\x04\x00\x00
MID_OP6_#004	\x0E\x03\x02\x14\x12E005_Boss\nMia sorella e i Quattro Venti sono stati sistemati\nper le feste.\x0E\x04\x00\x00
MID_OP6_#005	\x0E\x03\x02\x0A\x08リュール\nNo...\x0E\x04\x02\x00
MID_OP6_#006	Se le cose stanno così... uccidimi. Ma dubito\nche tu te la senta.\x0E\x04\x00\x00
MID_OP6_#007	\x0E\x03\x02\x14\x12E005_Boss\nSu questo ti sbagli. Tuttavia, ho ancora un\nlavoretto per te. Vieni qui.\x0E\x04\x00\x00
MID_OP6_#008	\x0E\x03\x02\x0A\x08リュール\nNon vengo da nessuna parte.\x0E\x04\x00\x00
MID_OP6_#009	\x0E\x03\x02\x14\x12E005_Boss\nMa davvero?\x0E\x04\x00\x00
MID_OP6_#010	\x0E\x03\x02\x0A\x08リュール\nHai detto di avere un lavoretto per me. E se\nmi rifiutassi di collaborare?\x0E\x04\x02\x00
MID_OP6_#011	Non farò nulla che possa aiutarti a vincere.\x0E\x04\x00\x00
MID_OP6_#012	\x0E\x03\x02\x14\x12E005_Boss\nOh, che crudeltà! L'amore di mia sorella non\nconta niente per te?\x0E\x04\x02\x00
MID_OP6_#013	E io che già cominciavo a vederti come un\x0E\x0A\x00\x08\x02o\x02a di\nfamiglia. Mi hai proprio deluso.\x0E\x04\x00\x00
MID_OP6_#014	\x0E\x03\x02\x0A\x08リュール\nRisparmiati la sceneggiata.\x0E\x04\x00\x00
MID_OP6_#015	\x0E\x03\x02\x14\x12E005_Boss\nAhah. Non ti sfugge proprio nulla. Comunque,\nsappi che se rifiuti di collaborare, ti obbligherò\ncon la forza.\x0E\x04\x00\x00
MID_OP6_#016	\x0E\x03\x02\x0A\x08リュール\nProvaci pure. Non mi piegherò al tuo volere.\x0E\x04\x00\x00
MID_OP6_#017	\x0E\x03\x02\x14\x12E005_Boss\nC'è solo un modo per scoprirlo.\nSei curios\x0E\x0A\x00\x08\x02o\x02a?\x0E\x04\x00\x00
MID_OP6_#018	\x0E\x03\x02\x0A\x08リュール\n...\x0E\x04\x00\x00
MID_OP6_#019	\x0E\x03\x02\x14\x12E005_Boss\nNel? Come è possibile?\x0E\x04\x00\x00
MID_OP6_#020	\x0E\x03\x02\x10\x0EE005_エル\nDrago Divino! Per fortuna sei viv\x0E\x0A\x00\x08\x02o\x02a!\x0E\x04\x00\x00
MID_OP6_#021	\x0E\x03\x02\x0A\x08リュール\nNel!\x0E\x04\x00\x00
MID_OP6_#022	\x0E\x03\x02\x14\x12E005_Boss\nDavvero hai abbandonato i Quattro Venti al\nloro destino? Avrei dovuto immaginarlo.\x0E\x04\x00\x00
MID_OP6_#023	\x0E\x03\x02\x10\x0EE005_エル\nNil. Fermati, prima che sia troppo tardi.\x0E\x04\x02\x00
MID_OP6_#024	Nostro padre è morto. Non v'è motivo di\ncontinuare a perseguire i suoi piani.\x0E\x04\x02\x00
MID_OP6_#025	I suoi progetti non devono per forza essere\nanche i tuoi. Non ha alcun senso combattere tra\ndi noi!\x0E\x04\x00\x00
MID_OP6_#026	\x0E\x03\x02\x14\x12E005_Boss\nNon ha senso? Non sai niente tu dei miei\nprogetti.\x0E\x04\x02\x00
MID_OP6_#027	Fatevi avanti, aberrazioni!\x0E\x04\x00\x00
MID_OP6_#028	\x0E\x03\x02\x0A\x08リュール\nMa sono...\x0E\x04\x00\x00
MID_OP6_#029	\x0E\x03\x02\x10\x0EE005_エル\nGli assassini del castello di Lythos. Allora c'eri\ntu dietro quell'attacco.\x0E\x04\x00\x00
MID_OP6_#030	\x0E\x03\x02\x14\x12E005_Boss\nOvvio. Hai osato criticare le ambizioni del\nnostro nobile padre. Sei tu la fallita, e ho il\ndovere di ucciderti.\x0E\x04\x02\x00
MID_OP6_#031	Ma basta chiacchiere. Sfodera le armi.\x0E\x04\x02\x00
MID_OP6_#032	Te lo farò vedere io se questo scontro ha senso\noppure no!\x0E\x04\x00\x00
MID_OP6_#033	\x0E\x03\x02\x10\x0EE005_エル\nTorna in te, Nil!\x0E\x04\x00\x00
MID_EV1_#001	\x0E\x02\x01\x00\n\x0E\x03\x00\x18\x12E005_Boss\x02b\n\x0E\x05\x01 \x12E005_Boss\nSmile\n\x0E\x03\x02\x14\x12E005_Boss\nNon muoverti, Drago Divino. Voglio che tu\nassista alla morte di tutti i tuoi alleati.\x0E\x04\x00\x00
MID_EV2_#001	\x0E\x02\x01\x00\n\x0E\x03\x00\x18\x12E005_Boss\x02b\n\x0E\x05\x01 \x12E005_Boss\nSmile\n\x0E\x03\x02\x14\x12E005_Boss\nNon sottovalutate le mie viverne aberranti.\nNon vedono l'ora di dilaniare il caro Drago\nDivino.\x0E\x04\x00\x00
MID_EV3_#001	\x0E\x02\x01\x00\n\x0E\x03\x00\x18\x12E005_Boss\x02b\n\x0E\x05\x01"\x12E005_Boss\x0CNormal\n\x0E\x03\x02\x14\x12E005_Boss\nMa quando muoiono questi insetti? Basta così.\nUccideteli!\x0E\x04\x00\x00
MID_EV4_#001	\x0E\x02\x01\x00\n\x0E\x03\x00\x1A\x14E005_Hide2\x02b\n\x0E\x05\x01"\x14E005_Hide2\nSmile\n\x0E\x03\x02\x16\x14E005_Hide2\nSembra divertente! Ho proprio voglia di\nspargere un po' di sangue! Mi serviranno delle\npedine.\x0E\x04\x00\x00
MID_BT1_#001	\x0E\x02\x01\x00\n\x0E\x03\x00\x18\x12E005_Boss\x02b\n\x0E\x05\x01\x1C\x12E005_Boss\x06Shy\n\x0E\x03\x02\x14\x12E005_Boss\nVuoi uccidermi? E io che credevo fossimo amici.\x0E\x04\x00\x00
MID_BT2_#001	\x0E\x02\x01\x00\n\x0E\x03\x00\x18\x12E005_Boss\x02b\n\x0E\x05\x01"\x12E005_Boss\x0CNormal\n\x0E\x03\x02\x14\x12E005_Boss\nAh... Alla fine mi hai colpito sul serio...\x0E\x04\x00\x00
MID_BT3_#001	\x0E\x02\x01\x00\n\x0E\x03\x00\x1A\x14E005_Hide1\x02b\n\x0E\x05\x01$\x14E005_Hide1\x0CNormal\n\x0E\x03\x02\x16\x14E005_Hide1\nNon ho pietà con i nemici...\x0E\x04\x00\x00
MID_BT4_#001	\x0E\x02\x01\x00\n\x0E\x03\x00\x1A\x14E005_Hide1\x02b\n\x0E\x05\x01$\x14E005_Hide1\x0CStatus\n\x0E\x03\x02\x16\x14E005_Hide1\nNon è nulla il mio dolore... al confronto di ciò\nche ha provato papà...\x0E\x04\x00\x00
MID_BT5_#001	\x0E\x02\x01\x00\n\x0E\x03\x00\x1A\x14E005_Hide2\x02b\n\x0E\x05\x01\x1E\x14E005_Hide2\x06Shy\n\x0E\x03\x02\x16\x14E005_Hide2\nNon ci siamo già incontrati al castello di\nLythos? Scusami sai, faccio fatica a ricordarmi\ntutto, di questi tempi.\x0E\x04\x00\x00
MID_BT6_#001	\x0E\x02\x01\x00\n\x0E\x03\x00\x1A\x14E005_Hide2\x02b\n\x0E\x05\x01$\x14E005_Hide2\x0CStatus\n\x0E\x03\x02\x16\x14E005_Hide2\nOps, mi hai sconfitto. Ahah. Ho perso il conto di\nquante volte mi è successo...\x0E\x04\x00\x00
MID_BT7_#001	\x0E\x02\x01\x00\n\x0E\x03\x00\x14\x0EE005_エル\x02t\n\x0E\x05\x01\x1A\x0EE005_エル\x08Pain\n\x0E\x03\x02\x10\x0EE005_エル\nNon siamo costretti a combattere, Nil. Siamo\nancora in tempo.\x0E\x04\x00\x00
MID_BT7_#002	\x0E\x03\x00\x18\x12E005_Boss\x02b\n\x0E\x05\x01 \x12E005_Boss\nAngry\n\x0E\x03\x02\x14\x12E005_Boss\nIn tempo per cosa? Parlare? Abbiamo già\nsuperato quella fase.\x0E\x04\x02\x00
MID_BT7_#003	O ti aspetti forse che abbandoni i miei piani\ne mi arrenda come se nulla fosse? A che pro?\nDevo tornare a essere un fallimento?\x0E\x04\x00\x00
MID_BT7_#004	\x0E\x03\x02\x10\x0EE005_エル\nNon è troppo tardi. Possiamo trovare una\nsoluzione. Spiegami i tuoi piani, aiutami a\ncapire.\x0E\x04\x00\x00
MID_BT7_#005	\x0E\x03\x02\x14\x12E005_Boss\nHo intenzione di diventare potente e di\nucciderti. Non ti serve sapere altro, perché ora\nmorirai!\x0E\x04\x00\x00
MID_BT8_#001	\x0E\x02\x01\x00\n\x0E\x03\x00\x18\x12E005_Boss\x02b\n\x0E\x05\x01 \x12E005_Boss\nSmile\n\x0E\x03\x02\x14\x12E005_Boss\nAh, Drago Divino! Scusami per l'interruzione\ndi prima.\x0E\x04\x02\x00
MID_BT8_#002	Se non vuoi combattere, una scelta ce l'hai.\nPassa dalla mia parte.\x0E\x04\x00\x00
MID_BT8_#003	\x0E\x03\x00\x0E\x08リュール\x02t\n\x0E\x05\x01\x16\x08リュール\nAngry\n\x0E\x03\x02\x0A\x08リュール\nLasciami indovinare: vuoi anche che ti dia i\nsei bracciali.\x0E\x04\x02\x00
MID_BT8_#004	Scommetto che non vedi l'ora di completare\nla tua collezione, visto che hai il settimo.\x0E\x04\x02\x00
MID_BT8_#005	Ma non succederà. Te lo impedirò io.\x0E\x04\x00\x00
MID_BT8_#006	\x0E\x05\x01\x1C\x12E005_Boss\x06Die\n\x0E\x03\x02\x14\x12E005_Boss\nAl posto tuo direi le stesse cose.\nChe scocciatura...\x0E\x04\x02\x00
