MID_OP1_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0A\x04不明\x021\n\x0E\x03\x02\x06\x04不明\nDesiderate mantenere l'innocenza, tenendo\nfede agli insegnamenti ricevuti?\x0E\x04\x02\x00
MID_OP2_#060	\x0E\x03\x02\x0A\x08リュール\nQuindi io posso rimuovere il sigillo.\x0E\x04\x00\x00
MID_OP2_#061	\x0E\x03\x02\x14\x12E005_Boss\nPuoi e lo farai, se non vuoi che uccida Nel.\x0E\x04\x00\x00
MID_OP2_#062	\x0E\x03\x02\x10\x0EE006_エル\nNon farlo, Drago Divino.\x0E\x04\x00\x00
MID_OP2_#063	\x0E\x03\x02\x0A\x08リュール\nNon ho scelta. Lo faccio per te, Nel.\x0E\x04\x02\x00
MID_OP2_#064	Ecco. Sei contento, ora?\x0E\x04\x00\x00
MID_OP2_#065	\x0E\x03\x02\x14\x12E005_Boss\nEheh... Ahahahah!\x0E\x04\x02\x00
MID_OP2_#066	L'ultimo bracciale è finalmente nelle mie mani!\x0E\x04\x02\x00
MID_OP2_#067	Risvegliatevi, emblemi! Esaudite il mio\ndesiderio!\x0E\x04\x02\x00
MID_OP2_#068	Ce l'ho fatta, padre... Ce l'ho fatta!\x0E\x04\x02\x00
MID_OP2_#069	Grooooaaaaarrrrr!!!\x0E\x04\x00\x00
MID_OP2_#070	\x0E\x03\x02\x0A\x08リュール\nTi ho accontentato. Ora, lascia andare Nel.\x0E\x04\x00\x00
MID_OP2_#071	\x0E\x03\x00\x18\x12E006_Boss\x022\n\x0E\x03\x02\x14\x12E006_Boss\nE perché dovrei, ora che ho ciò che volevo?\x0E\x04\x00\x00
MID_OP2_#072	\x0E\x03\x02\x0A\x08リュール\nSei un mostro!\x0E\x04\x00\x00
MID_OP2_#073	\x0E\x03\x02\x14\x12E006_Boss\nMuahahah! Addio vile sorella!\x0E\x04\x00\x00
MID_OP2_#074	\x0E\x03\x02\x0A\x08リュール\nNel!\x0E\x04\x00\x00
MID_OP2_#075	\x0E\x03\x02\x18\x16E006_セレスティア\nOra basta!\x0E\x04\x00\x00
MID_OP2_#076	\x0E\x03\x02\x14\x12E006_Boss\nMa cosa...?\x0E\x04\x00\x00
MID_OP2_#077	\x0E\x03\x02\x0A\x08リュール\nZelestia! Gregory! Madeline!\x0E\x04\x00\x00
MID_OP2_#078	\x0E\x03\x02\x18\x16E006_セレスティア\nSiete ferita, lady Nel?!\x0E\x04\x00\x00
MID_OP2_#079	\x0E\x03\x02\x10\x0EE006_エル\nI miei Quattro Venti! Non ho parole per\nesprimere il sollievo che provo.\x0E\x04\x02\x00
MID_OP2_#080	E state tutti bene!\x0E\x04\x00\x00
MID_OP2_#081	\x0E\x03\x02\x0A\x08リュール\nUn momento. Dov'è Mauvier?\x0E\x04\x00\x00
MID_OP2_#082	\x0E\x03\x02\x18\x16E006_セレスティア\nDrago Divino, lady Nel... sono desolata.\nMauvier...\x0E\x04\x02\x00
MID_OP2_#083	Mauvier è...\x0E\x04\x00\x00
MID_OP2_#084	\x0E\x03\x02\x10\x0EE006_エル\nCos'è successo?\x0E\x04\x00\x00
MID_OP3_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x1C\x16E004_セレスティア\x021\n\x0E\x03\x00\x1A\x14E004_グレゴリー\x022\n\x0E\x03\x00\x16\x10M011_モーヴ\x023\n\x0E\x03\x00\x1A\x14E004_マデリーン\x024\n\x0E\x03\x02\x18\x16E004_セレスティア\nLe colonne sono state distrutte. Il tempio\ndovrebbe crollare da un momento all'altro.\x0E\x04\x02\x00
MID_OP3_#002	Addio, mia cara famiglia...\x0E\x04\x02\x00
MID_OP3_#003	Eh?\x0E\x04\x00\x00
MID_OP3_#004	\x0E\x03\x02\x16\x14E004_グレゴリー\nMauvier?! Ma... quello è un bastone del\nteletrasporto?\x0E\x04\x02\x00
MID_OP3_#005	Dov'è Zelestia? L'hai teletrasportata fuori?\x0E\x04\x00\x00
MID_OP3_#006	\x0E\x03\x02\x12\x10M011_モーヴ\nEra il mio piano fin dall'inizio.\x0E\x04\x02\x00
MID_OP3_#007	Perché dovremmo morire tutti, se basta che\nsolo uno di noi rimanga qui dentro?\x0E\x04\x00\x00
MID_OP3_#008	\x0E\x03\x02\x16\x14E004_グレゴリー\nRazza di idiota che non sei altro! Non puoi\nteletrasportarti da solo! Dallo a me. Se c'è\nqualcuno che deve rimanere, sono io.\x0E\x04\x00\x00
MID_OP3_#009	\x0E\x03\x02\x12\x10M011_モーヴ\nGregory, ora sei tu il vicecomandante di\nZelestia. Fai onore al tuo nuovo ruolo.\x0E\x04\x00\x00
MID_OP3_#010	\x0E\x03\x02\x16\x14E004_マデリーン\nPerché non ci hai detto niente, Mauvier?\x0E\x04\x00\x00
MID_OP3_#011	\x0E\x03\x02\x12\x10M011_モーヴ\nMadeline, ti auguro tanta felicità.\nOra so che proteggerti era il mio...\x0E\x04\x00\x00
MID_OP3_#012	\x0E\x03\x02\x16\x14E004_マデリーン\nSmettila! Non voglio dirti addio! Credevo che ce\nne saremmo andati insieme, e non avrei avuto\nbisogno di dirti che...\x0E\x04\x02\x00
MID_OP3_#013	Mauvier, io ti...\x0E\x04\x00\x00
MID_OP3_#014	\x0E\x03\x02\x12\x10M011_モーヴ\nBene. È fatta.\x0E\x04\x02\x00
MID_OP3_#015	Scusatemi se vi ho ingannati.\x0E\x04\x02\x00
MID_OP3_#016	Eravate la mia famiglia e sono riconoscente\nper il tempo che ho potuto passare con voi.\x0E\x04\x02\x00
MID_OP3_#017	Ma quel tempo è finito. Ora dovrete fare a meno\ndi me.\x0E\x04\x02\x00
MID_OP3_#018	Lady Veyle... Sto arrivando.\x0E\x04\x00\x00
MID_OP4_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x14\x0EE006_エル\x021\n\x0E\x03\x00\x18\x12E006_Boss\x022\n\x0E\x03\x00\x0E\x08リュール\x023\n\x0E\x03\x00\x1C\x16E006_セレスティア\x024\n\x0E\x03\x02\x10\x0EE006_エル\nNo... Mauvier...\x0E\x04\x00\x00
MID_OP4_#002	\x0E\x03\x02\x0A\x08リュール\nNon ci credo.\x0E\x04\x00\x00
MID_OP4_#003	\x0E\x03\x02\x18\x16E006_セレスティア\nIl suo è stato un sacrificio eroico e altruista.\nSi è dimostrato un vero cavaliere fino alla fine.\x0E\x04\x00\x00
MID_OP4_#004	\x0E\x03\x02\x14\x12E006_Boss\nSono riuscito a eliminare solo una di voi quattro\nnullità... Ma come fate a essere ancora vivi?!\x0E\x04\x02\x00
MID_OP4_#005	Inutile pensarci. Agli occhi di lord Sombron\nsiete degli esseri deplorevoli e morirete qui!\x0E\x04\x00\x00
MID_OP4_#006	\x0E\x03\x02\x0A\x08リュール\nNo, Nil! Non ti permetteremo di seguire le\norme di Sombron!\x0E\x04\x02\x00
MID_OP4_#007	Non diventerai il suo erede! Ti fermeremo,\ncosti quel che costi! Venti! Nel!\x0E\x04\x00\x00
MID_OP4_#008	\x0E\x03\x02\x18\x16E006_セレスティア\nGiusto... Avrai anche eliminato uno di noi,\nma siamo ancora una tempesta rabbiosa!\x0E\x04\x00\x00
MID_OP4_#009	\x0E\x03\x00\x1A\x14E006_グレゴリー\x023\n\x0E\x03\x02\x16\x14E006_グレゴリー\nNon mi tirerò indietro. Mauvier mi direbbe di\nmostrarmi coraggioso ora che sono il nuovo\nvicecomandante.\x0E\x04\x00\x00
MID_OP4_#010	\x0E\x03\x00\x1A\x14E006_マデリーン\x024\n\x0E\x03\x02\x16\x14E006_マデリーン\nSe il mio signore prende una strada sbagliata,\nè mio dovere fermarlo. Sono pronta.\x0E\x04\x00\x00
MID_OP4_#011	\x0E\x03\x02\x10\x0EE006_エル\nNon voglio perdervi, non voglio più perdere\nnessuno.\x0E\x04\x02\x00
MID_OP4_#012	Questa sarà la nostra battaglia finale.\x0E\x04\x02\x00
MID_OP4_#013	Fratello mio.\x0E\x04\x00\x00
MID_EV1_#001	\x0E\x02\x01\x00\n\x0E\x03\x00\x10\n青リュール\x02b\n\x0E\x06\x00&\n青リュール\x18MPID_Unknown\n\x0E\x03\x04\x0C\n青リュール\n\x0E\x05\x01\x18\n青リュール\nAngry\n\x0E\x03\x02\x0C\n青リュール\nTi prego, fermalo. Prendi tutto ciò che resta\ndel mio potere.\x0E\x04\x00\x00
MID_EV1_#002	\x0E\x03\x01\x0C\n青リュール\n\x0E\x03\x00\x0E\x08リュール\x02t\n\x0E\x05\x01\x1C\x08リュール\x10Surprise\n\x0E\x03\x02\x0A\x08リュール\nMa è... incredibile.\x0E\x04\x02\x00
MID_EV1_#003	\x0E\x05\x01\x16\x08リュール\nAngry\nGrazie, ne farò buon uso!\x0E\x04\x00\x00
MID_EV2_#001	\x0E\x02\x01\x00\n\x0E\x03\x00\x14\x0EE006_エル\x02t\n\x0E\x05\x01\x1C\x0EE006_エル\nAngry\n\x0E\x03\x02\x10\x0EE006_エル\nIl terreno non è stabile. Sarà meglio procedere\nverso quell'isolotto a nord-ovest.\x0E\x04\x00\x00
MID_EV3_#001	\x0E\x02\x01\x00\n\x0E\x03\x00\x14\x0EE006_エル\x02t\n\x0E\x05\x01\x1C\x0EE006_エル\nAngry\n\x0E\x03\x02\x10\x0EE006_エル\nDa quel vortice compariranno rinforzi nemici.\nBlocchiamo tutti quelli che troviamo.\x0E\x04\x00\x00
MID_EV4_#001	\x0E\x02\x01\x00\n\x0E\x03\x00\x14\x0EE006_エル\x02t\n\x0E\x05\x01"\x0EE006_エル\x10Surprise\n\x0E\x03\x02\x10\x0EE006_エル\nInquietante. Se mi fossi trovata lì sopra, sarei\nsicuramente morta.\x0E\x04\x02\x00
MID_EV4_#002	\x0E\x05\x01\x1A\x0EE006_エル\x08Pain\nNil assorbe potere da quelli che uccide così,\na quanto pare.\x0E\x04\x02\x00
MID_EV4_#003	\x0E\x05\x01\x1C\x0EE006_エル\nAngry\nPrima che un isolotto sprofondi, è meglio\nridurre il numero di nemici che vi sono sopra.\x0E\x04\x00\x00
MID_EV5_#001	\x0E\x02\x01\x00\n\x0E\x03\x00\x14\x0EE006_エル\x02t\n\x0E\x05\x01"\x0EE006_エル\x10Surprise\n\x0E\x03\x02\x10\x0EE006_エル\nLà è rimasto qualcosa. Sembra innocuo, ma è\nmeglio indagare.\x0E\x04\x00\x00
MID_BT1_#001	\x0E\x02\x01\x00\n\x0E\x03\x00\x18\x12E005_Boss\x02b\n\x0E\x06\x00.\x12E005_Boss\x18MPID_Il_E006\n\x0E\x05\x01 \x12E005_Boss\nSmile\n\x0E\x03\x02\x14\x12E005_Boss\nTi manca il tuo mondo? Peccato. Non ci\ntornerai mai più! Non dopo aver osato sfidarmi!\x0E\x04\x00\x00
MID_BT2_#001	\x0E\x02\x01\x00\n\x0E\x03\x00\x18\x12E005_Boss\x02b\n\x0E\x06\x00.\x12E005_Boss\x18MPID_Il_E006\n\x0E\x05\x01\x1E\x12E005_Boss\x08Pain\n\x0E\x03\x02\x14\x12E005_Boss\nHo perso? Non è possibile. Padre... Padre!\x0E\x04\x00\x00
MID_BT3_#001	\x0E\x02\x01\x00\n\x0E\x03\x00\x1A\x14E006_Hide1\x02b\n\x0E\x05\x01"\x14E006_Hide1\nSmile\n\x0E\x03\x02\x16\x14E006_Hide1\nChe bello... Siamo tutti qui, come ai vecchi\ntempi. Non ho mai smesso di sperarci...\x0E\x04\x00\x00
MID_BT4_#001	\x0E\x02\x01\x00\n\x0E\x03\x00\x1A\x14E006_Hide1\x02b\n\x0E\x05\x01"\x14E006_Hide1\nSmile\n\x0E\x03\x02\x16\x14E006_Hide1\nFinalmente potrò riunirmi ai miei amici... in quel\nbel prato fiorito... Drago Divino, sono...\x0E\x04\x00\x00
MID_BT5_#001	\x0E\x02\x01\x00\n\x0E\x03\x00\x1A\x14E006_Hide2\x02b\n\x0E\x05\x01"\x14E006_Hide2\nSmile\n\x0E\x03\x02\x16\x14E006_Hide2\nEvviva! Non ho più responsabilità né pressioni!\nDevo solo estirpare queste erbacce.\x0E\x04\x00\x00
MID_BT6_#001	\x0E\x02\x01\x00\n\x0E\x03\x00\x1A\x14E006_Hide2\x02b\n\x0E\x05\x01\x1E\x14E006_Hide2\x06Shy\n\x0E\x03\x02\x16\x14E006_Hide2\nMuoio dignitosamente, mantenendo alto\nl'orgoglio della famiglia reale firenese. Mamma,\nsappi che sono stata felice...\x0E\x04\x00\x00
MID_BT7_#001	\x0E\x02\x01\x00\n\x0E\x03\x00\x1A\x14E006_Hide3\x02b\n\x0E\x05\x01\x1E\x14E006_Hide3\x06Sad\n\x0E\x03\x02\x16\x14E006_Hide3\nOrmai, la speranza della pace è una prospettiva\ntroppo flebile. Chi rimarrà a ereditare il trono?\x0E\x04\x00\x00
MID_BT8_#001	\x0E\x02\x01\x00\n\x0E\x03\x00\x1A\x14E006_Hide3\x02b\n\x0E\x05\x01\x1E\x14E006_Hide3\x06Sad\n\x0E\x03\x02\x16\x14E006_Hide3\nGrazie... Ora... non dovrò più combattere.\nBrodia, mia amata patria, sono stato un sovrano\ndebole...\x0E\x04\x00\x00
MID_BT9_#001	\x0E\x02\x01\x00\n\x0E\x03\x00\x1A\x14E006_Hide4\x02b\n\x0E\x05\x01 \x14E006_Hide4\x08Pain\n\x0E\x03\x02\x16\x14E006_Hide4\nSono morto? Io, il futuro re? Non è possibile,\nero così promettente. E tu cosa vuoi?\x0E\x04\x00\x00
MID_BT10_#001	\x0E\x02\x01\x00\n\x0E\x03\x00\x1A\x14E006_Hide4\x02b\n\x0E\x05\x01\x1E\x14E006_Hide4\x06Sad\n\x0E\x03\x02\x16\x14E006_Hide4\nPreferisco porre fine al mio imbarazzo. Diamant,\nsono stato un pessimo fratello, mi dispiace...\x0E\x04\x00\x00
MID_BT11_#001	\x0E\x02\x01\x00\n\x0E\x03\x00\x1A\x14E006_Hide5\x02b\n\x0E\x05\x01 \x14E006_Hide5\x08Pain\n\x0E\x03\x02\x16\x14E006_Hide5\nDovrei gioire che un figlio del Drago Maligno si\nsia risvegliato. E allora perché mi sento così\nvuota?\x0E\x04\x00\x00
MID_BT12_#001	\x0E\x02\x01\x00\n\x0E\x03\x00\x1A\x14E006_Hide5\x02b\n\x0E\x05\x01\x1E\x14E006_Hide5\x06Sad\n\x0E\x03\x02\x16\x14E006_Hide5\nSo che è tardi per i rincrescimenti... ma vorrei\ntanto scusarmi con Hortensia...\x0E\x04\x00\x00
MID_BT13_#001	\x0E\x02\x01\x00\n\x0E\x03\x00\x1A\x14E006_Hide6\x02b\n\x0E\x05\x01$\x14E006_Hide6\x0CNormal\n\x0E\x03\x02\x16\x14E006_Hide6\nSono tutti morti, anche il Drago Divino...\nNon torneranno più...\x0E\x04\x00\x00
MID_BT14_#001	\x0E\x02\x01\x00\n\x0E\x03\x00\x1A\x14E006_Hide6\x02b\n\x0E\x05\x01"\x14E006_Hide6\nSmile\n\x0E\x03\x02\x16\x14E006_Hide6\nÈ la fine... Forse ora potremo stare tutti insieme.\nE magari Ivy sarà meno dura con me...\x0E\x04\x00\x00
MID_BT24_#001	\x0E\x02\x01\x00\n\x0E\x03\x00\x1A\x14E005_Hide1\x02b\n\x0E\x05\x01(\x14E005_Hide1\x10Surprise\n\x0E\x03\x02\x16\x14E005_Hide1\nDrago Divino... Anche tu sei stat\x0E\x0A\x00\x08\x02o\x02a riportat\x0E\x0A\x00\x08\x02o\x02a in\nvita come è successo a me?\x0E\x04\x00\x00
MID_BT24_#002	\x0E\x03\x00\x0E\x08リュール\x02t\n\x0E\x05\x01\x16\x08リュール\nAngry\n\x0E\x03\x02\x0A\x08リュール\nNon proprio. Aspetta, stai dicendo che sai di\nessere un'aberrazione?\x0E\x04\x00\x00
MID_BT24_#003	\x0E\x05\x01$\x14E005_Hide1\x0CNormal\n\x0E\x03\x02\x16\x14E005_Hide1\nRicordo di essere morta in Elusia, eppure sono\nancora qui, come vedi.\x0E\x04\x02\x00
MID_BT24_#004	Se hanno riportato in vita anche te, forse potrò\nrivedere tutte le persone care.\x0E\x04\x02\x00
MID_BT24_#005	\x0E\x05\x01$\x14E005_Hide1\x0CStatus\nSei dalla mia parte, Drago Divino? Non può\nessere altrimenti. Ma allora perché vuoi\nostacolarmi?\x0E\x04\x00\x00
MID_BT15_#001	\x0E\x02\x01\x00\n\x0E\x03\x00\x1A\x14E006_Hide7\x02b\n\x0E\x05\x01\x1E\x14E006_Hide7\x06Sad\n\x0E\x03\x02\x16\x14E006_Hide7\nNon lo faccio con cattiveria. Ma ho un compito\nda onorare, in quanto ultima regina di Solm.\x0E\x04\x00\x00
MID_BT16_#001	\x0E\x02\x01\x00\n\x0E\x03\x00\x1A\x14E006_Hide7\x02b\n\x0E\x05\x01\x1E\x14E006_Hide7\x06Shy\n\x0E\x03\x02\x16\x14E006_Hide7\nLo sento. Il sole del deserto sul mio viso...\nMamma, finalmente torno a casa.\x0E\x04\x00\x00
MID_BT17_#001	\x0E\x02\x01\x00\n\x0E\x03\x00\x1A\x14E006_Hide8\x02b\n\x0E\x05\x01\x1E\x14E006_Hide8\x06Shy\n\x0E\x03\x02\x16\x14E006_Hide8\nNon ho paura, sono già morto due volte...\nChe differenza fa una in più?\x0E\x04\x00\x00
MID_BT18_#001	\x0E\x02\x01\x00\n\x0E\x03\x00\x1A\x14E006_Hide8\x02b\n\x0E\x05\x01$\x14E006_Hide8\x0CStatus\n\x0E\x03\x02\x16\x14E006_Hide8\nArgh, ho come l'impressione che questa sia\nla volta buona...\x0E\x04\x00\x00
MID_BT25_#001	\x0E\x02\x01\x00\n\x0E\x03\x00\x1A\x14E005_Hide2\x02b\n\x0E\x05\x01"\x14E005_Hide2\nSmile\n\x0E\x03\x02\x16\x14E005_Hide2\nDrago Divino, che piacere! L'ultima volta che\nci siamo visti, era in quella schermaglia al\ncastello di Lythos.\x0E\x04\x02\x00
MID_BT25_#002	\x0E\x05\x01"\x14E005_Hide2\nRelax\nLa persona incappucciata? Ero io. Ero solo un\npo' confuso, perché Nil mi aveva appena\ntrasformato in un'aberrazione.\x0E\x04\x00\x00
MID_BT25_#003	\x0E\x03\x00\x0E\x08リュール\x02t\n\x0E\x05\x01\x16\x08リュール\nAngry\n\x0E\x03\x02\x0A\x08リュール\nSei consapevole di cosa ti ha fatto Nil, eppure\nvuoi ancora combattere per lui? Perché?\x0E\x04\x00\x00
MID_BT25_#004	\x0E\x03\x02\x16\x14E005_Hide2\nÈ la mia ultima occasione per vivere tutte\nle esperienze che mi sono perso da vivo.\x0E\x04\x02\x00
MID_BT25_#005	\x0E\x05\x01"\x14E005_Hide2\nSmile\nNon è poi così male essere un'aberrazione.\nI desideri hanno la meglio su tutto il resto.\x0E\x04\x02\x00
MID_BT25_#006	\x0E\x05\x01\x1E\x14E005_Hide2\x06Shy\nNiente empatia, niente vergogna... Posso\nucciderti senza provare il benché minimo\nrimorso!\x0E\x04\x00\x00
MID_BT19_#001	\x0E\x02\x01\x00\n\x0E\x03\x00\x14\x0EE006_エル\x02t\n\x0E\x05\x01\x18\x0EE006_エル\x06Sad\n\x0E\x03\x02\x10\x0EE006_エル\nMi ricordi Sombron, in questa forma.\x0E\x04\x02\x00
