MID_RELIANCE_C_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0E\x08リュール\x021\n\x0E\x03\x00\x0C\x06クラン\x022\n\x0E\x03\x02\x08\x06クラン\nDrago Divino, cosa state facendo?\x0E\x04\x00\x00
MID_RELIANCE_A_#009	\x0E\x03\x02\x08\x06クラン\nSono desolato.\x0E\x04\x00\x00
MID_RELIANCE_A_#010	\x0E\x03\x02\x0A\x08リュール\nE perché mai? Stai facendo un ottimo lavoro,\nClanne.\x0E\x04\x00\x00
MID_RELIANCE_A_#011	\x0E\x03\x02\x0A\x08リュール\nMi si scalda il cuore a vederti lavorare così\nsodo.\x0E\x04\x00\x00
MID_RELIANCE_A_#012	\x0E\x03\x02\x08\x06クラン\nDavvero?\x0E\x04\x00\x00
MID_RELIANCE_A_#013	\x0E\x03\x02\x0A\x08リュール\nSì. E non è tutto.\x0E\x04\x00\x00
MID_RELIANCE_A_#014	\x0E\x03\x02\x0A\x08リュール\nSo che mi hai sempre sostenut\x0E\x0A\x00\x08\x02o\x02a fin da prima\ndel mio risveglio.\x0E\x04\x00\x00
MID_RELIANCE_A_#015	\x0E\x03\x02\x0A\x08リュール\nLe tue cure nei miei riguardi sono commoventi.\x0E\x04\x00\x00
MID_RELIANCE_A_#016	\x0E\x03\x02\x08\x06クラン\nCertamente... Io...\x0E\x04\x00\x00
MID_RELIANCE_A_#017	\x0E\x03\x02\x08\x06クラン\n...\x0E\x04\x00\x00
MID_RELIANCE_A_#018	\x0E\x03\x02\x0A\x08リュール\nStai piangendo?\x0E\x04\x00\x00
MID_RELIANCE_A_#019	\x0E\x03\x02\x08\x06クラン\nÈ solo che... sono felice!\x0E\x04\x00\x00
MID_RELIANCE_A_#020	\x0E\x03\x02\x08\x06クラン\nIl Drago Divino pensa che stia facendo un buon\nlavoro...\x0E\x04\x00\x00
MID_RELIANCE_A_#021	\x0E\x03\x02\x08\x06クラン\nContinuerò a fare tutto il possibile per aiutarvi!\x0E\x04\x00\x00
MID_RELIANCE_A_#022	\x0E\x03\x02\x0A\x08リュール\nGrazie, davvero, ma...\x0E\x04\x00\x00
MID_RELIANCE_A_#023	\x0E\x03\x02\x08\x06クラン\nLo so, lo so. Cercherò di non esagerare.\x0E\x04\x00\x00
MID_RELIANCE_A_#024	\x0E\x03\x02\x0A\x08リュール\nEheh. Mi fa piacere sentirtelo dire.\x0E\x04\x00\x00
MID_RELIANCE_S_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0E\x08リュール\x021\n\x0E\x03\x00\x0C\x06クラン\x022\n\x0E\x03\x02\x08\x06クラン\nDrago Divino, potrei parlarvi un attimo?\nSi tratta di una faccenda seria.\x0E\x04\x00\x00
MID_RELIANCE_S_#002	\x0E\x03\x02\x0A\x08リュール\nDimmi pure. Che succede?\x0E\x04\x00\x00
MID_RELIANCE_S_#003	\x0E\x03\x02\x08\x06クラン\nVedete... Mi sono sempre domandato che tipo\ndi persona foste.\x0E\x04\x00\x00
MID_RELIANCE_S_#004	\x0E\x03\x02\x08\x06クラン\nAvevo così tante ipotesi su di voi. Tante\naspettative, su come sareste stat\x0E\x0A\x00\x08\x02o\x02a.\x0E\x04\x00\x00
MID_RELIANCE_S_#005	\x0E\x03\x02\x0A\x08リュール\nEheh. Di' un po', sono come mi immaginavi?\x0E\x04\x00\x00
MID_RELIANCE_S_#006	\x0E\x03\x02\x08\x06クラン\nIn realtà... Vorrei non avervi mai incontrat\x0E\x0A\x00\x08\x02o\x02a.\x0E\x04\x00\x00
MID_RELIANCE_S_#007	\x0E\x03\x02\x0A\x08リュール\nEh?\x0E\x04\x00\x00
MID_RELIANCE_S_#008	\x0E\x03\x02\x08\x06クラン\nEhm...\x0E\x04\x00\x00
MID_RELIANCE_S_#009	\x0E\x03\x02\x08\x06クラン\nSe mi fossi limitato a vedervi addormentat\x0E\x0A\x00\x08\x02o\x02a,\ncome hanno fatto gli altri valletti prima di me,\nora forse non mi sentirei così... così...\x0E\x04\x00\x00
MID_RELIANCE_S_#010	\x0E\x03\x02\x0A\x08リュール\nIn che senso?\x0E\x04\x00\x00
MID_RELIANCE_S_#011	\x0E\x03\x02\x08\x06クラン\nIn quanto vostro valletto non dovrei dire una\ncosa del genere, lo so bene...\x0E\x04\x00\x00
MID_RELIANCE_S_#012	\x0E\x03\x02\x08\x06クラン\nMa... io...\x0E\x04\x00\x00
MID_RELIANCE_S_#013	\x0E\x03\x02\x08\x06クラン\nVorrei essere quel valletto che immaginavo\ndi diventare dopo il vostro risveglio!\x0E\x04\x00\x00
MID_RELIANCE_S_#014	\x0E\x03\x02\x08\x06クラン\nVorrei essere colui che chiamate nel momento\ndel bisogno... ma so che non posso ambire\na tanto. Non sono abbastanza forte.\x0E\x04\x00\x00
MID_RELIANCE_S_#015	\x0E\x03\x02\x0A\x08リュール\nClanne...\x0E\x04\x00\x00
MID_RELIANCE_S_#016	\x0E\x03\x02\x0A\x08リュール\nTi ho sempre ritenuto un ottimo valletto.\x0E\x04\x00\x00
MID_RELIANCE_S_#017	\x0E\x03\x02\x08\x06クラン\nAll'inizio forse lo ero, fintanto che dormivate.\nMa ora...\x0E\x04\x00\x00
MID_RELIANCE_S_#018	\x0E\x03\x02\x08\x06クラン\nNon faccio altro che sentirmi in difetto.\nMi sembra di non fare mai abbastanza per\nassistervi.\x0E\x04\x00\x00
MID_RELIANCE_S_#019	\x0E\x03\x02\x0A\x08リュール\nClanne...\x0E\x04\x00\x00
MID_RELIANCE_S_#020	\x0E\x03\x02\x0A\x08リュール\nSu una cosa hai ragione. Dovresti aiutarmi\npiù di quanto non stia facendo ora.\x0E\x04\x00\x00
MID_RELIANCE_S_#021	\x0E\x03\x02\x08\x06クラン\nEcco... visto?\x0E\x04\x00\x00
MID_RELIANCE_S_#022	\x0E\x03\x02\x0A\x08リュール\nÈ ora che affrontiamo questo discorso.\x0E\x04\x00\x00
MID_RELIANCE_S_#023	\x0E\x03\x02\x08\x06クラン\nMh?\x0E\x04\x00\x00
MID_RELIANCE_S_#024	\x0E\x03\x02\x0A\x08リュール\nIn quanto valletto hai molti compiti, tra cui\nquello di essere il mio braccio destro. Ma non\nlo sei.\x0E\x04\x00\x00
MID_RELIANCE_S_#025	\x0E\x03\x02\x08\x06クラン\nOh, mamma! In che senso? Ma faccio del mio\nmeglio... Cioè... Non ho mica capito bene, mi sa.\nPotreste spiegarvi meglio?\x0E\x04\x00\x00
MID_RELIANCE_S_#026	\x0E\x03\x02\x0A\x08リュール\nIl mio valletto non potrà mai rispondere\npienamente alle mie esigenze fintanto che non\nsarà promosso a una posizione più alta.\x0E\x04\x00\x00
MID_RELIANCE_S_#027	\x0E\x03\x02\x0A\x08リュール\nTieni. È l'anello del patto. Solo una persona può\nriceverlo e quella persona sei proprio tu. Te lo\nsei guadagnato.\x0E\x04\x00\x00
MID_RELIANCE_S_#028	\x0E\x03\x02\x0A\x08リュール\nSai quello che significa, vero?\x0E\x04\x00\x00
MID_RELIANCE_S_#029	\x0E\x03\x02\x08\x06クラン\n...!\x0E\x04\x00\x00
MID_RELIANCE_S_#030	\x0E\x03\x02\x08\x06クラン\nU-Un momento... Stento a credere alle mie\norecchie... Mi gira la testa...\x0E\x04\x00\x00
MID_RELIANCE_S_#031	\x0E\x03\x02\x0A\x08リュール\nAttenzione, forse è meglio se ti siedi un attimo.\x0E\x04\x00\x00
MID_RELIANCE_S_#032	\x0E\x03\x02\x08\x06クラン\nVolete dare a me l'anello del patto? Non\nscherziamo, su... Lo dite solo per farmi\ncontento.\x0E\x04\x00\x00
MID_RELIANCE_S_#033	\x0E\x03\x02\x0A\x08リュール\nIl patto può avvenire solo con l'alleato con cui\nho il legame più forte. Accetti?\x0E\x04\x00\x00
MID_RELIANCE_S_#034	\x0E\x03\x02\x08\x06クラン\nUhm... Va bene, mi avete convinto... Ora\nso che non sto sognando.\x0E\x04\x00\x00
MID_RELIANCE_S_#035	\x0E\x03\x02\x0A\x08リュール\nNon tutti riescono a voler bene a qualcuno\ncon tutto il loro cuore.\x0E\x04\x00\x00
MID_RELIANCE_S_#036	\x0E\x03\x02\x0A\x08リュール\nMa tu sì, e non posso che esserti grat\x0E\x0A\x00\x08\x02o\x02a per il tuo\nlavoro e per la tua amicizia.\x0E\x04\x00\x00
MID_RELIANCE_S_#037	\x0E\x03\x02\x08\x06クラン\nAnch'io!\x0E\x04\x00\x00
MID_RELIANCE_S_#038	\x0E\x03\x02\x08\x06クラン\nDrago Divino \x0E\x06\x03\x00, accetto questo\nnuovo incarico con onore! Sarò il vostro\nvalletto per tutta la vita.\x0E\x04\x00\x00
