MID_RELIANCE_C_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x10\nミスティラ\x021\n\x0E\x03\x02\x0C\nミスティラ\nLalalà...\x0E\x04\x00\x00
MID_RELIANCE_C_#017	\x0E\x03\x02\x0A\x08セアダス\nInfatti me ne vado! Me ne andrò lontanissimo,\npiù lontano che posso! Vincerò questa battaglia!\x0E\x04\x00\x00
MID_RELIANCE_C_#018	\x0E\x03\x02\x0A\x08セアダス\nLuna e stelle, vi supplico... aiutatemi a superare\nquesta tentazione!\x0E\x04\x00\x00
MID_RELIANCE_C_#019	\x0E\x03\x01\x0A\x08セアダス\n\x0E\x03\x02\x0C\nミスティラ\nMamma mia... che strambo.\x0E\x04\x00\x00
MID_RELIANCE_B_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x10\nミスティラ\x021\n\x0E\x03\x02\x0C\nミスティラ\n♪ Lalalà... Carne, carne deliziosa...\nCosì buona e succosa... ♪\x0E\x04\x00\x00
MID_RELIANCE_B_#002	\x0E\x03\x00\x0E\x08セアダス\x022\n\x0E\x03\x02\x0A\x08セアダス\nGaaaah?!\x0E\x04\x00\x00
MID_RELIANCE_B_#003	\x0E\x03\x02\x0C\nミスティラ\nOh no, non ricominciare.\x0E\x04\x00\x00
MID_RELIANCE_B_#004	\x0E\x03\x02\x0A\x08セアダス\nAncora? State di nuovo infrangendo la vostra\npromessa?!\x0E\x04\x00\x00
MID_RELIANCE_B_#005	\x0E\x03\x02\x0A\x08セアダス\nSento l'odore! State grigliando una delle vostre\nirresistibili specialità. E lo sfrigolio del fuoco è\nmusica per le mie orecchie!\x0E\x04\x00\x00
MID_RELIANCE_B_#006	\x0E\x03\x02\x0C\nミスティラ\nDatti una calmata... ti stai di nuovo\ncomportando in modo strano.\x0E\x04\x00\x00
MID_RELIANCE_B_#007	\x0E\x03\x02\x0C\nミスティラ\nSei un danzatore di fama mondiale e anche\nun famoso indovino!\x0E\x04\x00\x00
MID_RELIANCE_B_#008	\x0E\x03\x02\x0C\nミスティラ\nTutti parlano della tua compostezza e cortesia,\ne io sognavo di incontrarti, Seadall.\x0E\x04\x00\x00
MID_RELIANCE_B_#009	\x0E\x03\x02\x0A\x08セアダス\nSiete delusa?\x0E\x04\x00\x00
MID_RELIANCE_B_#010	\x0E\x03\x02\x0C\nミスティラ\nNo. La maggior parte del tempo sei all'altezza\ndella tua fama, tranne quando si tratta di cibo.\x0E\x04\x00\x00
MID_RELIANCE_B_#011	\x0E\x03\x02\x0A\x08セアダス\nChiedo scusa, principessa Timerra.\nÈ colpa della carne.\x0E\x04\x00\x00
MID_RELIANCE_B_#012	\x0E\x03\x02\x0A\x08セアダス\nIl modo in cui preparate le vostre pietanze,\ni sapori che riuscite a creare... È tutto\nuna delizia.\x0E\x04\x00\x00
MID_RELIANCE_B_#013	\x0E\x03\x02\x0C\nミスティラ\nLo so benissimo anche io.\x0E\x04\x00\x00
MID_RELIANCE_B_#014	\x0E\x03\x02\x0A\x08セアダス\nPrincipessa Timerra...\x0E\x04\x00\x00
MID_RELIANCE_B_#015	\x0E\x03\x02\x0A\x08セアダス\nMa perché vi mettete sempre a grigliare la\ncarne quando ci sono io?\x0E\x04\x00\x00
MID_RELIANCE_B_#016	\x0E\x03\x02\x0C\nミスティラ\nNon è proprio così, a dire il vero. Pensaci bene.\x0E\x04\x00\x00
MID_RELIANCE_B_#017	\x0E\x03\x02\x0C\nミスティラ\nLa verità è che appena mi metto ai fornelli,\ntu mi scovi e ti vieni a impicciare.\x0E\x04\x00\x00
MID_RELIANCE_B_#018	\x0E\x03\x02\x0A\x08セアダス\nVolete dire che sto facendo tutto da solo?\x0E\x04\x00\x00
MID_RELIANCE_B_#019	\x0E\x03\x02\x0C\nミスティラ\nGià!\x0E\x04\x00\x00
MID_RELIANCE_B_#020	\x0E\x03\x02\x0A\x08セアダス\nCapisco...\x0E\x04\x00\x00
MID_RELIANCE_B_#021	\x0E\x03\x02\x0A\x08セアダス\nVi chiedo scusa, principessa Timerra.\nNon avete infranto alcuna promessa.\x0E\x04\x00\x00
MID_RELIANCE_B_#022	\x0E\x03\x02\x0A\x08セアダス\nLa verità è che manco di forza di volontà.\nLa colpa è mia, non vostra.\x0E\x04\x00\x00
MID_RELIANCE_B_#023	\x0E\x03\x02\x0A\x08セアダス\nCercherò di non venire più a cercarvi mentre\nstate cucinando i vostri piatti forti.\x0E\x04\x00\x00
MID_RELIANCE_B_#024	\x0E\x03\x02\x0A\x08セアダス\nE ora, vogliate scusarmi.\x0E\x04\x00\x00
MID_RELIANCE_B_#025	\x0E\x03\x01\x0A\x08セアダス\n\x0E\x03\x02\x0C\nミスティラ\nSeadall, aspetta!\x0E\x04\x00\x00
MID_RELIANCE_A_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x10\nミスティラ\x021\n\x0E\x03\x02\x0C\nミスティラ\n♪ Friggi, friggi, friggi!\nDiventa bella croccante... ♪\x0E\x04\x00\x00
MID_RELIANCE_A_#002	\x0E\x03\x00\x0E\x08セアダス\x022\n\x0E\x03\x02\x0A\x08セアダス\nOh... oh, no...\x0E\x04\x00\x00
MID_RELIANCE_A_#003	\x0E\x03\x02\x0A\x08セアダス\nL'odore mi ha attirato di nuovo.\x0E\x04\x00\x00
MID_RELIANCE_A_#004	\x0E\x03\x02\x0A\x08セアダス\nNon sono riuscito a trattenermi! Perdonatemi,\nprincipessa Timerra!\x0E\x04\x00\x00
MID_RELIANCE_A_#005	\x0E\x03\x02\x0C\nミスティラ\nRilassati, Seadall.\x0E\x04\x00\x00
MID_RELIANCE_A_#006	\x0E\x03\x02\x0C\nミスティラ\nTi ho attirato qui apposta.\x0E\x04\x00\x00
MID_RELIANCE_A_#007	\x0E\x03\x02\x0A\x08セアダス\nMi avete attirato?\x0E\x04\x00\x00
MID_RELIANCE_A_#008	\x0E\x03\x02\x0C\nミスティラ\nSì, ho fatto delle ricerche e ho scoperto che\nla carne ti piace fritta.\x0E\x04\x00\x00
MID_RELIANCE_A_#009	\x0E\x03\x02\x0A\x08セアダス\nE perché lo avete fatto?\x0E\x04\x00\x00
MID_RELIANCE_A_#010	\x0E\x03\x02\x0C\nミスティラ\nGuarda qua, Seadall! Un panino con carne\nfritta!\x0E\x04\x00\x00
MID_RELIANCE_A_#011	\x0E\x03\x02\x0A\x08セアダス\nOh, no! Il mio cibo preferito!\x0E\x04\x00\x00
MID_RELIANCE_A_#012	\x0E\x03\x02\x0C\nミスティラ\nE lo so!\x0E\x04\x00\x00
MID_RELIANCE_A_#013	\x0E\x03\x02\x0C\nミスティラ\nEccone altra! Questa ha pure la glassa di\nmiele e una salsa cremosa al formaggio.\x0E\x04\x00\x00
MID_RELIANCE_A_#014	\x0E\x03\x02\x0A\x08セアダス\nArgh! Il mio secondo cibo preferito!\x0E\x04\x00\x00
MID_RELIANCE_A_#015	\x0E\x03\x02\x0A\x08セアダス\nPrincipessa Timerra, perché lo fate?\x0E\x04\x00\x00
MID_RELIANCE_A_#016	\x0E\x03\x02\x0A\x08セアダス\nPerché mi mettete davanti alle più dolorose\ntentazioni?\x0E\x04\x00\x00
MID_RELIANCE_A_#017	\x0E\x03\x02\x0C\nミスティラ\nLo faccio perché non puoi mangiare solo\ncibi insipidi e basta!\x0E\x04\x00\x00
MID_RELIANCE_A_#018	\x0E\x03\x02\x0A\x08セアダス\nCosa?!\x0E\x04\x00\x00
MID_RELIANCE_A_#019	\x0E\x03\x02\x0A\x08セアダス\nMa non capite? La disciplina è tutto, se voglio\ndanzare come si deve, fuori e dentro il campo\ndi battaglia.\x0E\x04\x00\x00
MID_RELIANCE_A_#020	\x0E\x03\x02\x0C\nミスティラ\nAscolta, come futura regina di Solm, tutto ciò\nche voglio è che il mio popolo sia felice.\x0E\x04\x00\x00
MID_RELIANCE_A_#021	\x0E\x03\x02\x0C\nミスティラ\nE adesso pensaci bene... cosa ti rende felice?\x0E\x04\x00\x00
MID_RELIANCE_A_#022	\x0E\x03\x02\x0A\x08セアダス\nIn questo momento, la cosa che mi renderebbe\npiù felice... è mangiare tutto quello che ho\ndavanti.\x0E\x04\x00\x00
MID_RELIANCE_A_#023	\x0E\x03\x02\x0C\nミスティラ\nE allora perché non lo fai? Fai ciò che ti rende\nfelice!\x0E\x04\x00\x00
MID_RELIANCE_A_#024	\x0E\x03\x02\x0C\nミスティラ\nGodiamoci questo pasto insieme e poi dopo...\x0E\x04\x00\x00
MID_RELIANCE_A_#025	\x0E\x03\x02\x0C\nミスティラ\n... io danzerò insieme a te. Affare fatto?\x0E\x04\x00\x00
MID_RELIANCE_A_#026	\x0E\x03\x02\x0A\x08セアダス\nMa, principessa...\x0E\x04\x00\x00
MID_RELIANCE_A_#027	\x0E\x03\x02\x0C\nミスティラ\nQualche strappo alla regola ogni tanto non fa\nmale... non ho ragione?\x0E\x04\x00\x00
MID_RELIANCE_A_#028	\x0E\x03\x02\x0A\x08セアダス\nAvete ragione.\x0E\x04\x00\x00
MID_RELIANCE_A_#029	\x0E\x03\x02\x0A\x08セアダス\nGrazie, principessa... Guardate che cibo\ndelizioso avete fatto apposta per me...\x0E\x04\x00\x00
MID_RELIANCE_A_#030	\x0E\x03\x02\x0A\x08セアダス\nNon avanzerà niente, promesso!\x0E\x04\x00\x00
MID_RELIANCE_A_#031	\x0E\x03\x02\x0C\nミスティラ\nCosì mi piaci! Vieni qui, prima che si freddi!\x0E\x04\x00\x00
MID_RELIANCE_A_#032	\x0E\x03\x02\x0A\x08セアダス\nChe la sfilata di sapori cominci!\x0E\x04\x00\x00
