MID_RELIANCE_C_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0E\x08リュール\x021\n\x0E\x03\x00\x0E\x08セアダス\x022\n\x0E\x03\x02\x0A\x08セアダス\n♪ Mh-mh mh mmmh, mh-mh mmmh. ♪\x0E\x04\x00\x00
MID_RELIANCE_A_#020	\x0E\x03\x02\x0A\x08リュール\nDi niente.\x0E\x04\x00\x00
MID_RELIANCE_A_#021	\x0E\x03\x02\x0A\x08セアダス\nE visto che siete il Drago Divino, ascolterò i\nvostri consigli.\x0E\x04\x00\x00
MID_RELIANCE_A_#022	\x0E\x03\x02\x0A\x08セアダス\nIn effetti non ho fatto altro che pensare ai\nbomboloni bisunti dell'altro giorno.\x0E\x04\x00\x00
MID_RELIANCE_A_#023	\x0E\x03\x02\x0A\x08リュール\nAndiamo a prenderne qualcuno, allora.\x0E\x04\x00\x00
MID_RELIANCE_A_#024	\x0E\x03\x02\x0A\x08セアダス\nMmmh, ora la domanda è: c'è un limite?\x0E\x04\x00\x00
MID_RELIANCE_A_#025	\x0E\x03\x02\x0A\x08リュール\nChe sia il caso di chiederlo agli spiriti delle\ncarte?\x0E\x04\x00\x00
MID_RELIANCE_A_#026	\x0E\x03\x02\x0A\x08セアダス\nAh, mi avete visto leggere le carte, l'altra volta?\x0E\x04\x00\x00
MID_RELIANCE_A_#027	\x0E\x03\x02\x0A\x08セアダス\nDrago Divino, temo di avervi mostrato il mio\nlato meno dignitoso, di recente.\x0E\x04\x00\x00
MID_RELIANCE_A_#028	\x0E\x03\x02\x0A\x08リュール\nMa così ho anche visto il tuo lato\npiù affascinante.\x0E\x04\x00\x00
MID_RELIANCE_A_#029	\x0E\x03\x02\x0A\x08セアダス\nPrometto che d'ora in avanti vedrete solo la\nparte migliore di me.\x0E\x04\x00\x00
MID_RELIANCE_A_#030	\x0E\x03\x02\x0A\x08セアダス\nLa danza è un lavoro di muscoli, ma anche\ndell'anima. Preparatevi a uno spettacolo\nimpeccabile!\x0E\x04\x00\x00
MID_RELIANCE_A_#031	\x0E\x03\x02\x0A\x08リュール\nSe sei felice, lo sono anch'io.\x0E\x04\x00\x00
MID_RELIANCE_S_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0E\x08リュール\x021\n\x0E\x03\x00\x0E\x08セアダス\x022
MID_RELIANCE_S_#002	\x0E\x03\x02\x0A\x08セアダス\nDrago Divino, vi stavo aspettando.\nVorrei inscenare una danza speciale solo\nper voi, stasera.\x0E\x04\x00\x00
MID_RELIANCE_S_#003	\x0E\x03\x02\x0A\x08リュール\nUna danza speciale?\x0E\x04\x00\x00
MID_RELIANCE_S_#004	\x0E\x03\x02\x0A\x08セアダス\nSì. Si tratta di un ballo pensato per un unico\nspettatore. Sarete voi \x0E\x0A\x00\x0C\x04il\x04la fortunat\x0E\x0A\x00\x08\x02o\x02a.\x0E\x04\x00\x00
MID_RELIANCE_S_#005	\x0E\x03\x02\x0A\x08セアダス\nAllora comincio.\x0E\x04\x00\x00
MID_RELIANCE_S_#006	\x0E\x04\x03\x04
MID_RELIANCE_S_#007	\x0E\x03\x02\x0A\x08リュール\nSeadall, è stato bellissimo. Sono commoss\x0E\x0A\x00\x08\x02o\x02a!\x0E\x04\x00\x00
MID_RELIANCE_S_#008	\x0E\x03\x02\x0A\x08セアダス\nHo fatto come mi avevate suggerito. Ho nutrito\nla mia anima e ho lasciato che la gioia guidasse\ni miei passi.\x0E\x04\x00\x00
MID_RELIANCE_S_#009	\x0E\x03\x02\x0A\x08リュール\nEheh. Ottimo. Ma perché questa danza speciale?\x0E\x04\x00\x00
MID_RELIANCE_S_#010	\x0E\x03\x02\x0A\x08セアダス\nLasciate che vi spieghi il suo significato.\x0E\x04\x00\x00
MID_RELIANCE_S_#011	\x0E\x03\x02\x0A\x08リュール\nDimmi tutto.\x0E\x04\x00\x00
MID_RELIANCE_S_#012	\x0E\x03\x02\x0A\x08セアダス\nÈ una promessa... una promessa che si può\nfare solo a una persona.\x0E\x04\x00\x00
MID_RELIANCE_S_#013	\x0E\x03\x02\x0A\x08セアダス\nSiete speciale per me, \x0E\x06\x03\x00...\x0E\x04\x00\x00
MID_RELIANCE_S_#014	\x0E\x03\x02\x0A\x08リュール\n...!\x0E\x04\x00\x00
MID_RELIANCE_S_#015	\x0E\x03\x02\x0A\x08セアダス\nCercherò di non girarci intorno. Tengo molto a\nvoi, fin dal nostro primo incontro alla fortezza.\x0E\x04\x00\x00
MID_RELIANCE_S_#016	\x0E\x03\x02\x0A\x08セアダス\nSo che anche altri vi vogliono bene. Come\npotrebbero non volervene? Ma i loro sentimenti\nnon sono forti come i miei.\x0E\x04\x00\x00
MID_RELIANCE_S_#017	\x0E\x03\x02\x0A\x08セアダス\nE allora mi domando... forse anche voi provate\nqualcosa per me?\x0E\x04\x00\x00
MID_RELIANCE_S_#018	\x0E\x03\x02\x0A\x08リュール\nSeadall, fammi spiegare.\x0E\x04\x00\x00
MID_RELIANCE_S_#019	\x0E\x03\x02\x0A\x08セアダス\nScusatemi, sono stato troppo diretto.\x0E\x04\x00\x00
MID_RELIANCE_S_#020	\x0E\x03\x02\x0A\x08リュール\nNo, sono felice che mi hai parlato. E sono\nancora più felice di sapere cosa provi, perché\nanch'io mi sento così.\x0E\x04\x00\x00
MID_RELIANCE_S_#021	\x0E\x03\x02\x0A\x08セアダス\nDavvero?\x0E\x04\x00\x00
MID_RELIANCE_S_#022	\x0E\x03\x02\x0A\x08リュール\nSì. Anzi, penso che questo anello... sia fatto\napposta per te.\x0E\x04\x00\x00
MID_RELIANCE_S_#023	\x0E\x03\x02\x0A\x08セアダス\nL'anello del patto?\x0E\x04\x00\x00
MID_RELIANCE_S_#024	\x0E\x03\x02\x0A\x08リュール\nProprio lui.\x0E\x04\x00\x00
MID_RELIANCE_S_#025	\x0E\x03\x02\x0A\x08セアダス\nMi sento come se la luna e le stelle mi\nsplendessero in mezzo al petto.\x0E\x04\x00\x00
MID_RELIANCE_S_#026	\x0E\x03\x02\x0A\x08セアダス\nPrometto che cercherò di rendervi orgoglios\x0E\x0A\x00\x08\x02o\x02a\ndi avermi al vostro fianco.\x0E\x04\x00\x00
MID_RELIANCE_S_#027	\x0E\x03\x02\x0A\x08リュール\nSei così brillante... Mi accontenterei di\naggiungere anche solo un po' di bagliore in più.\x0E\x04\x00\x00
MID_RELIANCE_S_#028	\x0E\x03\x02\x0A\x08リュール\nPer me è una grande gioia poter intraprendere\nquesto cammino al tuo fianco.\x0E\x04\x00\x00
MID_RELIANCE_S_#029	\x0E\x03\x02\x0A\x08セアダス\n\x0E\x06\x03\x00...\x0E\x04\x00\x00
MID_RELIANCE_S_#030	\x0E\x03\x02\x0A\x08セアダス\nNiente in questo mondo di meraviglie e misteri\npotrà tenermi lontano da voi.\x0E\x04\x00\x00
