MID_RELIANCE_C_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x12\x0Cアルフレッド\x021\n\x0E\x03\x00\x12\x0Cディアマンド\x022\n\x0E\x03\x02\x0E\x0Cアルフレッド\nBuongiorno, principe Diamant. Vedo che anche\ntu sei mattiniero.\x0E\x04\x00\x00
MID_RELIANCE_B_#014	\x0E\x03\x02\x0E\x0Cディアマンド\nChe buffo...\x0E\x04\x00\x00
MID_RELIANCE_B_#015	\x0E\x03\x02\x0E\x0Cディアマンド\nNon avrei mai pensato di duellare con un altro\nprincipe fuori da un campo di battaglia.\x0E\x04\x00\x00
MID_RELIANCE_B_#016	\x0E\x03\x02\x0E\x0Cアルフレッド\nE con un sorriso stampato in faccia! È stato\nun bell'allenamento.\x0E\x04\x00\x00
MID_RELIANCE_B_#017	\x0E\x03\x02\x0E\x0Cディアマンド\nSo che abbiamo un accordo di non belligeranza,\nma non avrei mai immaginato un giorno come\nquesto.\x0E\x04\x00\x00
MID_RELIANCE_B_#018	\x0E\x03\x02\x0E\x0Cディアマンド\nSì... non c'è male.\x0E\x04\x00\x00
MID_RELIANCE_B_#019	\x0E\x03\x02\x0E\x0Cアルフレッド\nMa come, dai... "Non c'è male"? Che\nne dici invece di...\x0E\x04\x00\x00
MID_RELIANCE_B_#020	\x0E\x03\x02\x0E\x0Cアルフレッド\n"Non avrei potuto sognare niente di meglio"...\nIo direi così.\x0E\x04\x00\x00
MID_RELIANCE_B_#021	\x0E\x03\x02\x0E\x0Cディアマンド\nEheh, sono d'accordo, suona meglio.\x0E\x04\x00\x00
MID_RELIANCE_B_#022	\x0E\x03\x02\x0E\x0Cディアマンド\nSe i nostri paesi non si fossero alleati, non\navremmo avuto occasione di allenarci insieme.\x0E\x04\x00\x00
MID_RELIANCE_B_#023	\x0E\x03\x02\x0E\x0Cディアマンド\nIn un certo senso dobbiamo esserne grati.\x0E\x04\x00\x00
MID_RELIANCE_B_#024	\x0E\x03\x02\x0E\x0Cアルフレッド\nCosì mi piaci! Questo si chiama pensare\npositivo.\x0E\x04\x00\x00
MID_RELIANCE_B_#025	\x0E\x03\x02\x0E\x0Cディアマンド\nMi allieta pensare che usciremo da questa\nguerra come amici.\x0E\x04\x00\x00
MID_RELIANCE_B_#026	\x0E\x03\x02\x0E\x0Cアルフレッド\nMi spiace doverti contraddire, ma non so se sarà\npossibile. Non sarà sempre così.\x0E\x04\x00\x00
MID_RELIANCE_B_#027	\x0E\x03\x02\x0E\x0Cディアマンド\nAh no?\x0E\x04\x00\x00
MID_RELIANCE_B_#028	\x0E\x03\x02\x0E\x0Cアルフレッド\nQuando la guerra finirà saremo... migliori amici!\x0E\x04\x00\x00
MID_RELIANCE_B_#029	\x0E\x03\x02\x0E\x0Cディアマンド\nAhah... Mi piace il tuo modo di pensare, principe\nAlfred.\x0E\x04\x00\x00
MID_RELIANCE_A_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x12\x0Cアルフレッド\x021\n\x0E\x03\x00\x12\x0Cディアマンド\x022\n\x0E\x03\x02\x0E\x0Cディアマンド\nPrincipe Alfred. Possiamo scambiare due\nparole?\x0E\x04\x00\x00
MID_RELIANCE_A_#002	\x0E\x03\x02\x0E\x0Cアルフレッド\nCerto, principe Diamant.\x0E\x04\x00\x00
MID_RELIANCE_A_#003	\x0E\x03\x02\x0E\x0Cディアマンド\nMh, cerchiamo un posto lontano da orecchie\nindiscrete.\x0E\x04\x00\x00
MID_RELIANCE_A_#004	\x0E\x03\x02\x0E\x0Cディアマンド\nDeve restare tra noi.\x0E\x04\x00\x00
MID_RELIANCE_A_#005	\x0E\x04\x03\x04
MID_RELIANCE_A_#006	\x0E\x03\x02\x0E\x0Cアルフレッド\nAllora, di che si tratta?\x0E\x04\x00\x00
MID_RELIANCE_A_#007	\x0E\x03\x02\x0E\x0Cディアマンド\nAhem.\x0E\x04\x00\x00
MID_RELIANCE_A_#008	\x0E\x03\x02\x0E\x0Cディアマンド\nOggi non ti parlo in veste di amico, ma in veste\ndel principe ereditario di Brodia.\x0E\x04\x00\x00
MID_RELIANCE_A_#009	\x0E\x03\x02\x0E\x0Cアルフレッド\n...\x0E\x04\x00\x00
MID_RELIANCE_A_#010	\x0E\x03\x02\x0E\x0Cディアマンド\nCome sai, la Brodia dà grande importanza\nalla guerra.\x0E\x04\x00\x00
MID_RELIANCE_A_#011	\x0E\x03\x02\x0E\x0Cディアマンド\nForse perché molti dei nostri sudditi sono\npersone ambiziose, chissà.\x0E\x04\x00\x00
MID_RELIANCE_A_#012	\x0E\x03\x02\x0E\x0Cディアマンド\nOttenere qualcosa con la forza è considerato\ndegno di gloria nella nostra cultura.\x0E\x04\x00\x00
MID_RELIANCE_A_#013	\x0E\x03\x02\x0E\x0Cアルフレッド\nContinua...\x0E\x04\x00\x00
MID_RELIANCE_A_#014	\x0E\x03\x02\x0E\x0Cディアマンド\nGrazie agli sforzi della regina Ève, i nostri regni\nhanno firmato un accordo di non belligeranza.\nTuttavia...\x0E\x04\x00\x00
MID_RELIANCE_A_#015	\x0E\x03\x02\x0E\x0Cアルフレッド\nStai dicendo che non puoi garantire quanto\ndurerà?\x0E\x04\x00\x00
MID_RELIANCE_A_#016	\x0E\x03\x02\x0E\x0Cディアマンド\nSì.\x0E\x04\x00\x00
MID_RELIANCE_A_#017	\x0E\x03\x02\x0E\x0Cアルフレッド\nCosa potrebbe accadere?\x0E\x04\x00\x00
MID_RELIANCE_A_#018	\x0E\x03\x02\x0E\x0Cディアマンド\nIo ho le mie idee personali, ma sono anche il\nprincipe ereditario e non posso imporle ai miei\nsudditi.\x0E\x04\x00\x00
MID_RELIANCE_A_#019	\x0E\x03\x02\x0E\x0Cディアマンド\nIl volere del mio popolo ha la precedenza su\ntutto. Sta a me adempiervi.\x0E\x04\x00\x00
MID_RELIANCE_A_#020	\x0E\x03\x02\x0E\x0Cアルフレッド\nCapisco. Anche io mi trovo in questa situazione.\x0E\x04\x00\x00
MID_RELIANCE_A_#021	\x0E\x03\x02\x0E\x0Cアルフレッド\nMa non temere, vedrai che andrà tutto bene.\x0E\x04\x00\x00
MID_RELIANCE_A_#022	\x0E\x03\x02\x0E\x0Cディアマンド\nCome fai a esserne sicuro?\x0E\x04\x00\x00
MID_RELIANCE_A_#023	\x0E\x03\x02\x0E\x0Cアルフレッド\nBeh... In Brodia sembrate tutti brave\npersone.\x0E\x04\x00\x00
MID_RELIANCE_A_#024	\x0E\x03\x02\x0E\x0Cディアマンド\n...\x0E\x04\x00\x00
MID_RELIANCE_A_#025	\x0E\x03\x02\x0E\x0Cディアマンド\nStai scherzando?\x0E\x04\x00\x00
MID_RELIANCE_A_#026	\x0E\x03\x02\x0E\x0Cアルフレッド\nNon posso generalizzare, ma i brodiani che ho\nincontrato finora mi sembravano gente a posto.\x0E\x04\x00\x00
MID_RELIANCE_A_#027	\x0E\x03\x02\x0E\x0Cアルフレッド\nNon sembravano i tipi da volere una guerra a\ntutti i costi. Vedrai che le cose andranno bene.\x0E\x04\x00\x00
MID_RELIANCE_A_#028	\x0E\x03\x02\x0E\x0Cアルフレッド\nMi fido della brava gente della Brodia.\x0E\x04\x00\x00
MID_RELIANCE_A_#029	\x0E\x03\x02\x0E\x0Cディアマンド\nTi fidi delle buone intenzioni della gente?\nAnche se è di un altro regno?\x0E\x04\x00\x00
MID_RELIANCE_A_#030	\x0E\x03\x02\x0E\x0Cアルフレッド\nLe persone sono persone. Non importa da dove\nvengano. C'è qualcosa di sbagliato nel fidarsi?\x0E\x04\x00\x00
MID_RELIANCE_A_#031	\x0E\x03\x02\x0E\x0Cディアマンド\nAhahah!\x0E\x04\x00\x00
MID_RELIANCE_A_#032	\x0E\x03\x02\x0E\x0Cディアマンド\nNo, nulla di sbagliato. Anzi, è una gran bella\nqualità per un sovrano.\x0E\x04\x00\x00
MID_RELIANCE_A_#033	\x0E\x03\x02\x0E\x0Cアルフレッド\nEheh, hai ragione.\x0E\x04\x00\x00
MID_RELIANCE_A_#034	\x0E\x03\x02\x0E\x0Cディアマンド\nPrincipe Alfred, sono contento di averti\nincontrato.\x0E\x04\x00\x00
MID_RELIANCE_A_#035	\x0E\x03\x02\x0E\x0Cディアマンド\nAlla nostra amicizia, e a una prospera alleanza\ndei nostri regni.\x0E\x04\x00\x00
MID_RELIANCE_A_#036	\x0E\x03\x02\x0E\x0Cアルフレッド\nNon vedo l'ora di costruire insieme il futuro dei\nnostri regni, principe Diamant!\x0E\x04\x00\x00
MID_RELIANCE_A_#037	\x0E\x03\x02\x0E\x0Cアルフレッド\nQuesto è solo l'inizio di una radiosa amicizia e\ndi una grande alleanza.\x0E\x04\x00\x00
