MID_RELIANCE_C_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0E\x08リュール\x021\n\x0E\x03\x00\x0E\x08ヴェイル\x022\n\x0E\x03\x02\x0A\x08ヴェイル\nUhm...\x0E\x04\x00\x00
MID_RELIANCE_B_#003_F	\x0E\x03\x02\x0A\x08ヴェイル\nBeh, io e te ci incontrammo solo una volta,\nmille anni fa.\x0E\x04\x02\x00
MID_RELIANCE_B_#004	\x0E\x03\x02\x0A\x08リュール\nUna sola volta?\x0E\x04\x00\x00
MID_RELIANCE_B_#005	\x0E\x03\x02\x0A\x08ヴェイル\nSì.\x0E\x04\x00\x00
MID_RELIANCE_B_#006	\x0E\x03\x02\x0A\x08ヴェイル\nTutti i nostri fratelli e sorelle erano morti\nnella guerra...\x0E\x04\x00\x00
MID_RELIANCE_B_#007	\x0E\x03\x02\x0A\x08ヴェイル\nOltre a me, tu eri l'unico a essere\nsopravvissuto... e venisti a cercarmi.\x0E\x04\x02\x00
MID_RELIANCE_B_#007_F	\x0E\x03\x02\x0A\x08ヴェイル\nOltre a me, tu eri l'unica a essere\nsopravvissuta... e venisti a cercarmi.\x0E\x04\x02\x00
MID_RELIANCE_B_#008	\x0E\x03\x02\x0A\x08ヴェイル\nEro molto giovane allora, spaventata e fragile,\ne mi donasti la pietra drago.\x0E\x04\x00\x00
MID_RELIANCE_B_#009	\x0E\x03\x02\x0A\x08ヴェイル\nMi dicesti che non potevi restare al mio fianco,\nma che saresti rimast\x0E\x0A\x00\x08\x02o\x02a sempre dalla mia parte.\x0E\x04\x00\x00
MID_RELIANCE_B_#010	\x0E\x03\x02\x0A\x08リュール\nAllora ti dissi queste cose...\x0E\x04\x00\x00
MID_RELIANCE_B_#011	\x0E\x03\x02\x0A\x08ヴェイル\nSì. La pietra drago ora è in frantumi, ma l'ho\ntenuta con me tutti questi anni, come\nportafortuna.\x0E\x04\x00\x00
MID_RELIANCE_B_#012	\x0E\x03\x02\x0A\x08ヴェイル\nLa strinsi a me quando mamma morì, e quando\npapà tornò a sputare veleno su di me.\x0E\x04\x00\x00
MID_RELIANCE_B_#013	\x0E\x03\x02\x0A\x08ヴェイル\nLa pietra drago è stata un raggio di speranza.\nMi faceva sentire forte... mi aiutava a resistere\nnell'attesa di vederti.\x0E\x04\x00\x00
MID_RELIANCE_B_#014	\x0E\x03\x02\x0A\x08リュール\nVeyle, io...\x0E\x04\x00\x00
MID_RELIANCE_B_#015	\x0E\x03\x02\x0A\x08ヴェイル\nTe ne sono grata, anche se non ti ricordi niente.\x0E\x04\x00\x00
MID_RELIANCE_B_#016	\x0E\x03\x02\x0A\x08ヴェイル\nSenza questa pietra non ci saremmo mai potut\x0E\x0A\x00\x08\x02i\x02e\nrincontrare. E invece eccoci qui.\x0E\x04\x00\x00
MID_RELIANCE_B_#017	\x0E\x03\x02\x0A\x08リュール\nAnche io sono grat\x0E\x0A\x00\x08\x02o\x02a di sapere che mi hai tenut\x0E\x0A\x00\x08\x02o\x02a\nnel tuo cuore per tutto questo tempo...\x0E\x04\x00\x00
MID_RELIANCE_B_#018	\x0E\x03\x02\x0A\x08リュール\nSenza di te, Veyle, ora non sarei qui.\x0E\x04\x00\x00
MID_RELIANCE_B_#019	\x0E\x03\x02\x0A\x08ヴェイル\nMa ora che siamo riunit\x0E\x0A\x00\x08\x02i\x02e, resteremo insieme\nper sempre, vero?\x0E\x04\x00\x00
MID_RELIANCE_B_#020	\x0E\x03\x02\x0A\x08リュール\nVero, niente potrà separarci di nuovo.\x0E\x04\x00\x00
MID_RELIANCE_A_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0E\x08リュール\x021\n\x0E\x03\x00\x0E\x08ヴェイル\x022\n\x0E\x03\x02\x0A\x08ヴェイル\nEheheh! Che spasso!\x0E\x04\x00\x00
MID_RELIANCE_A_#002	\x0E\x03\x02\x0A\x08ヴェイル\nOra so cosa significa avere una famiglia.\x0E\x04\x00\x00
MID_RELIANCE_A_#003	\x0E\x03\x02\x0A\x08リュール\nVeyle, c'è una cosa che volevo chiederti.\x0E\x04\x00\x00
MID_RELIANCE_A_#004	\x0E\x03\x02\x0A\x08リュール\nCosa ne pensi di nostro padre... di Sombron?\x0E\x04\x00\x00
MID_RELIANCE_A_#005	\x0E\x03\x02\x0A\x08ヴェイル\nOh...\x0E\x04\x00\x00
MID_RELIANCE_A_#006	\x0E\x03\x02\x0A\x08リュール\nPresto dovremo affrontarlo. Non come su\x0E\x0A\x00\x0A\x04oi\x02e,\nfigli\x0E\x0A\x00\x06
MID_RELIANCE_A_#007	\x0E\x03\x02\x0A\x08ヴェイル\nSì...\x0E\x04\x00\x00
MID_RELIANCE_A_#008	\x0E\x03\x02\x0A\x08ヴェイル\nPapà ha ferito tante persone nel passato, e ora\nlo sta facendo di nuovo. Lui è... malvagio.\x0E\x04\x00\x00
MID_RELIANCE_A_#009	\x0E\x03\x02\x0A\x08ヴェイル\nNon mi ha mai mostrato affetto e dubito che\npensi mai a me.\x0E\x04\x00\x00
MID_RELIANCE_A_#010	\x0E\x03\x02\x0A\x08ヴェイル\nNonostante tutto...\x0E\x04\x00\x00
MID_RELIANCE_A_#011	\x0E\x03\x02\x0A\x08ヴェイル\n... è pur sempre la mia famiglia, come anche tu\nlo sei. Quindi non riesco a odiarlo del tutto.\x0E\x04\x02\x00
MID_RELIANCE_A_#011_F	\x0E\x03\x02\x0A\x08ヴェイル\n... è pur sempre la mia famiglia, come anche tu\nlo sei. Quindi non riesco a odiarlo del tutto.\x0E\x04\x02\x00
MID_RELIANCE_A_#012	\x0E\x03\x02\x0A\x08リュール\nLo capisco.\x0E\x04\x00\x00
MID_RELIANCE_A_#013	\x0E\x03\x02\x0A\x08ヴェイル\nVorrei che noi tre potessimo fare pace, essere\ncome una vera famiglia, ma so bene che è una\nmera illusione.\x0E\x04\x00\x00
MID_RELIANCE_A_#014	\x0E\x03\x02\x0A\x08ヴェイル\nMi basterebbe anche solo provare a impedirgli\ndi fare del male ad altra gente.\x0E\x04\x00\x00
MID_RELIANCE_A_#015	\x0E\x03\x02\x0A\x08ヴェイル\nAnzi, ci riuscirò.\x0E\x04\x00\x00
MID_RELIANCE_A_#016	\x0E\x03\x02\x0A\x08ヴェイル\nEcco, questo è ciò che penso di lui.\x0E\x04\x00\x00
MID_RELIANCE_A_#017	\x0E\x03\x02\x0A\x08リュール\nGrazie, Veyle, per aver condiviso con me i tuoi\nsentimenti. Io la penso esattamente come te.\x0E\x04\x00\x00
MID_RELIANCE_A_#018	\x0E\x03\x02\x0A\x08リュール\nIl tempo per fare pace è ormai passato...\nFarò quanto in mio potere per fermare\nSombron.\x0E\x04\x00\x00
MID_RELIANCE_A_#019	\x0E\x03\x02\x0A\x08リュール\nMa ho bisogno del tuo aiuto per sconfiggerlo.\x0E\x04\x00\x00
MID_RELIANCE_A_#020	\x0E\x03\x02\x0A\x08ヴェイル\nNon temere. Insieme, e con il contributo dei\nnostri amici, porteremo a termine la nostra\nmissione.\x0E\x04\x02\x00
MID_RELIANCE_A_#020_F	\x0E\x03\x02\x0A\x08ヴェイル\nNon temere. Insieme, e con il contributo dei\nnostri amici, porteremo a termine la nostra\nmissione.\x0E\x04\x02\x00
MID_RELIANCE_A_#021	\x0E\x03\x02\x0A\x08リュール\nFacciamolo, Veyle! Quando tutto sarà finito,\npotremo iniziare la nostra vita.\x0E\x04\x00\x00
MID_RELIANCE_A_#022	\x0E\x03\x02\x0A\x08ヴェイル\nSì. Facciamolo per il nostro futuro.\x0E\x04\x00\x00
MID_RELIANCE_S_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0E\x08リュール\x021\n\x0E\x03\x00\x0E\x08ヴェイル\x022\n\x0E\x03\x02\x0A\x08ヴェイル\nEccoti. Volevo darti una cosa.\x0E\x04\x02\x00
MID_RELIANCE_S_#001_F	\x0E\x02\x02\x00\n\x0E\x03\x00\x0E\x08リュール\x021\n\x0E\x03\x00\x0E\x08ヴェイル\x022\n\x0E\x03\x02\x0A\x08ヴェイル\nEccoti. Volevo darti una cosa.\x0E\x04\x02\x00
MID_RELIANCE_S_#002	\x0E\x03\x02\x0A\x08リュール\nEh?\x0E\x04\x00\x00
MID_RELIANCE_S_#003	\x0E\x03\x02\x0A\x08ヴェイル\nPer te, spero che ti piaccia.\x0E\x04\x00\x00
MID_RELIANCE_S_#004	\x0E\x03\x02\x0A\x08リュール\nChe pietra meravigliosa! Di un blu quasi\ntrasparente come l'acqua! L'hai presa\npensando a me?\x0E\x04\x00\x00
MID_RELIANCE_S_#005	\x0E\x03\x02\x0A\x08ヴェイル\nSì, volevo darti qualcosa in cambio della pietra\ndrago che mi regalasti tu tanto tempo fa.\x0E\x04\x00\x00
MID_RELIANCE_S_#006	\x0E\x03\x02\x0A\x08ヴェイル\nVi ho riversato la mia energia, così potremo\nsempre ritrovarci, se mai ci separassimo ancora.\x0E\x04\x00\x00
MID_RELIANCE_S_#007	\x0E\x03\x02\x0A\x08リュール\nSei proprio mia sorella, eh...\x0E\x04\x00\x00
MID_RELIANCE_S_#008	\x0E\x03\x02\x0A\x08ヴェイル\nChe vuoi dire?\x0E\x04\x00\x00
MID_RELIANCE_S_#009	\x0E\x03\x02\x0A\x08リュール\nVeyle, anche io ho qualcosa da darti.\x0E\x04\x00\x00
MID_RELIANCE_S_#010	\x0E\x03\x02\x0A\x08ヴェイル\nMa questo... è l'anello del patto!\x0E\x04\x00\x00
MID_RELIANCE_S_#011	\x0E\x03\x02\x0A\x08リュール\nSì, è per te, Veyle. Sei mia sorella, sei la persona\npiù importante nella mia vita.\x0E\x04\x00\x00
MID_RELIANCE_S_#012	\x0E\x03\x02\x0A\x08ヴェイル\nMa...\x0E\x04\x00\x00
MID_RELIANCE_S_#013	\x0E\x03\x02\x0A\x08リュール\nNon lo darei a nessun altro.\x0E\x04\x00\x00
MID_RELIANCE_S_#014	\x0E\x03\x02\x0A\x08ヴェイル\nNon posso accettarlo... è troppo speciale, Drago\nDivino.\x0E\x04\x00\x00
MID_RELIANCE_S_#015	\x0E\x03\x02\x0A\x08ヴェイル\nE non dimentichiamo che ho ucciso Lumera!\nNon me lo merito.\x0E\x04\x00\x00
MID_RELIANCE_S_#016	\x0E\x03\x02\x0A\x08リュール\nSì, invece. Lo meriti e voglio dartelo.\x0E\x04\x00\x00
MID_RELIANCE_S_#017	\x0E\x03\x02\x0A\x08リュール\nSono sicur\x0E\x0A\x00\x08\x02o\x02a che è quello che vorrebbe mia\nmadre. Che io e te fossimo felici.\x0E\x04\x00\x00
MID_RELIANCE_S_#018	\x0E\x03\x02\x0A\x08リュール\n... a tutti i costi.\x0E\x04\x00\x00
MID_RELIANCE_S_#019	\x0E\x03\x02\x0A\x08ヴェイル\n...\x0E\x04\x00\x00
MID_RELIANCE_S_#020	\x0E\x03\x02\x0A\x08ヴェイル\nCapisco... allora lo accetterò.\x0E\x04\x00\x00
MID_RELIANCE_S_#021	\x0E\x03\x02\x0A\x08ヴェイル\nDopo la pietra drago che mi regalasti tanto\ntempo fa, questo sarà il mio nuovo portafortuna.\x0E\x04\x00\x00
MID_RELIANCE_S_#022	\x0E\x03\x02\x0A\x08リュール\nMi rende così felice.\x0E\x04\x00\x00
MID_RELIANCE_S_#023	\x0E\x03\x02\x0A\x08リュール\nSo quanto la pietra drago fosse importante per\nte, spero che questo possa sostituirla.\x0E\x04\x00\x00
MID_RELIANCE_S_#024	\x0E\x03\x02\x0A\x08リュール\nAnzi, più che sostituirla... sarà qualcosa di\nnuovo, un simbolo del nostro legame.\x0E\x04\x00\x00
MID_RELIANCE_S_#025	\x0E\x03\x02\x0A\x08リュール\nMa tu mi hai precedut\x0E\x0A\x00\x08\x02o\x02a con quella bellissima\npietra, prima ancora che potessi dartelo!\x0E\x04\x00\x00
MID_RELIANCE_S_#026	\x0E\x03\x02\x0A\x08ヴェイル\nSono contenta di averlo fatto. Siamo simili io\ne te.\x0E\x04\x00\x00
MID_RELIANCE_S_#027	\x0E\x03\x02\x0A\x08リュール\nMi hai dato quella pietra nella speranza che\npossiamo ritrovarci sempre...\x0E\x04\x00\x00
MID_RELIANCE_S_#028	\x0E\x03\x02\x0A\x08リュール\n... ma io non ti abbandonerò mai più, Veyle.\nStaremo insieme, come una famiglia,\nper sempre.\x0E\x04\x00\x00
MID_RELIANCE_S_#029	\x0E\x03\x02\x0A\x08ヴェイル\nSì! Questi due oggetti scambiati col cuore sono\nqui a ricordarci che non saremo mai più distanti.\x0E\x04\x00\x00
MID_RELIANCE_S_#030	\x0E\x03\x02\x0A\x08ヴェイル\nPoniamo fine a questa guerra una volta per\ntutte. Facciamolo per Lumera, per onorare le\nsue volontà.\x0E\x04\x00\x00
MID_RELIANCE_S_#031	\x0E\x03\x02\x0A\x08リュール\nSì. Insieme, possiamo farcela.\x0E\x04\x00\x00
MID_RELIANCE_S_#032	\x0E\x03\x02\x0A\x08ヴェイル\nLo giuro su questo anello... Resterò al tuo fianco\nper sempre, e diventerò un drago in grado di\nsalvare il mondo.\x0E\x04\x00\x00
