MID_RELIANCE_C_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0C\x06フラン\x021\n\x0E\x03\x00\x0C\x06クロエ\x022\n\x0E\x03\x02\x08\x06クロエ\nSigh. Questa missione mi sta portando via più\ntempo del previsto.\x0E\x04\x00\x00
MID_RELIANCE_A_#015	\x0E\x03\x02\x08\x06クロエ\nMa è fantastico! Non avrei mai detto che\nfossero così squisiti.\x0E\x04\x00\x00
MID_RELIANCE_A_#016	\x0E\x03\x02\x08\x06フラン\nNon sei arrabbiata?!\x0E\x04\x00\x00
MID_RELIANCE_A_#017	\x0E\x03\x02\x08\x06クロエ\nMh? No, ci mancherebbe! Piuttosto sarà\nun problema fermarmi. Me li mangerei\ntutti in un boccone!\x0E\x04\x00\x00
MID_RELIANCE_A_#018	\x0E\x03\x02\x08\x06フラン\nWow. Temevo che te la saresti presa.\x0E\x04\x00\x00
MID_RELIANCE_A_#019	\x0E\x03\x02\x08\x06クロエ\nMa figurati! Grazie a te ho scoperto un nuovo\npiatto esotico.\x0E\x04\x00\x00
MID_RELIANCE_A_#020	\x0E\x03\x02\x08\x06クロエ\nSono quasi contenta che tu sia una sbadatella,\ncosì posso allargare i miei orizzonti culinari!\x0E\x04\x00\x00
MID_RELIANCE_A_#021	\x0E\x03\x02\x08\x06クロエ\nPenso proprio che in futuro ti chiederò ancora\nil favore, se sarò troppo impegnata.\x0E\x04\x00\x00
MID_RELIANCE_A_#022	\x0E\x03\x02\x08\x06フラン\nMa certo! Sono contenta di rendermi utile!\x0E\x04\x00\x00
MID_RELIANCE_A_#023	\x0E\x03\x02\x08\x06フラン\nCosa posso portarti la prossima volta?\x0E\x04\x00\x00
MID_RELIANCE_A_#024	\x0E\x03\x02\x08\x06クロエ\nUhm... Vediamo... Cosa potrei volere...\x0E\x04\x00\x00
MID_RELIANCE_A_#025	\x0E\x03\x02\x08\x06クロエ\nUn momento! Preferisco se mi sorprendi tu con\nqualcosa di originale!\x0E\x04\x00\x00
MID_RELIANCE_A_#026	\x0E\x03\x02\x08\x06クロエ\nNon è divertente sapere da subito cosa mi\nporterai! Chissà cosa sarà!\x0E\x04\x00\x00
MID_RELIANCE_A_#027	\x0E\x03\x02\x08\x06フラン\nAhahah, va bene! Preparati a un'altra pietanza\nmisteriosa!\x0E\x04\x00\x00
