MSID_Hp_5	PS +5
MSID_H_Mag_2	Incrementa la Mag di 2.
MSID_Mag_3	Magia +3
MSID_H_Mag_3	Incrementa la Mag di 3.
MSID_Mag_4	Magia +4
MSID_H_Mag_4	Incrementa la Mag di 4.
MSID_Mag_5	Magia +5
MSID_H_Mag_5	Incrementa la Mag di 5.
MSID_Res_2	Resistenza +2
MSID_H_Res_2	Incrementa la Res di 2.
MSID_Res_3	Resistenza +3
MSID_H_Res_3	Incrementa la Res di 3.
MSID_Res_4	Resistenza +4
MSID_H_Res_4	Incrementa la Res di 4.
MSID_Res_5	Resistenza +5
MSID_H_Res_5	Incrementa la Res di 5.
MSID_Phy_3	Costituzione +3
MSID_H_Phy_3	Incrementa la Cost di 3.
MSID_Phy_4	Costituzione +4
MSID_H_Phy_4	Incrementa la Cost di 4.
MSID_Phy_5	Costituzione +5
MSID_H_Phy_5	Incrementa la Cost di 5.
MSID_Mov_1	Movimento +1
MSID_H_Mov_1	Incrementa il Mov di 1.
MSID_Avo_10	Schivata +10
MSID_H_Avo_10	Incrementa la Scv di 10.
MSID_Avo_15	Schivata +15
MSID_H_Avo_15	Incrementa la Scv di 15.
MSID_Avo_20	Schivata +20
MSID_H_Avo_20	Incrementa la Scv di 20.
MSID_Avo_25	Schivata +25
MSID_H_Avo_25	Incrementa la Scv di 25.
MSID_Avo_30	Schivata +30
MSID_H_Avo_30	Incrementa la Scv di 30.
MSID_Hit_10	Colpo +10
MSID_H_Hit_10	Incrementa il Clp di 10.
MSID_Hit_15	Colpo +15
MSID_H_Hit_15	Incrementa il Clp di 15.
MSID_Hit_20	Colpo +20
MSID_H_Hit_20	Incrementa il Clp di 20.
MSID_Hit_25	Colpo +25
MSID_H_Hit_25	Incrementa il Clp di 25.
MSID_Hit_30	Colpo +30
MSID_H_Hit_30	Incrementa il Clp di 30.
MSID_CriAvo_10	Elusione +10
MSID_H_CriAvo_10	Incrementa l'Elu di 10.
MSID_CriAvo_15	Elusione +15
MSID_H_CriAvo_15	Incrementa l'Elu di 15.
MSID_CriAvo_20	Elusione +20
MSID_H_CriAvo_20	Incrementa l'Elu di 20.
MSID_CriAvo_25	Elusione +25
MSID_H_CriAvo_25	Incrementa l'Elu di 25.
MSID_CriAvo_30	Elusione +30
MSID_H_CriAvo_30	Incrementa l'Elu di 30.
MSID_SwordArts_Soft_1	Agilità spada 1
MSID_H_SwordArts_Soft_1	Se l'unità usa una spada, ottiene\nScv +10 e subisce Trpl -10.
MSID_SwordArts_Soft_2	Agilità spada 2
MSID_H_SwordArts_Soft_2	Se l'unità usa una spada, ottiene\nScv +15 e subisce Trpl -10.
MSID_SwordArts_Soft_3	Agilità spada 3
MSID_H_SwordArts_Soft_3	Se l'unità usa una spada, ottiene\nScv +20 e subisce Trpl -10.
MSID_SwordArts_Soft_4	Agilità spada 4
MSID_H_SwordArts_Soft_4	Se l'unità usa una spada, ottiene\nScv +25 e subisce Trpl -10.
MSID_SwordArts_Soft_5	Agilità spada 5
MSID_H_SwordArts_Soft_5	Se l'unità usa una spada, ottiene\nScv +30 e subisce Trpl -10.
MSID_SwordArts_Hard_1	Potere spada 1
MSID_H_SwordArts_Hard_1	Se l'unità usa una spada, ottiene\nAtt +2 e subisce Scv -10.
MSID_SwordArts_Hard_2	Potere spada 2
MSID_H_SwordArts_Hard_2	Se l'unità usa una spada, ottiene\nAtt +4 e subisce Scv -10.
MSID_SwordArts_Hard_3	Potere spada 3
MSID_H_SwordArts_Hard_3	Se l'unità usa una spada, ottiene\nAtt +6 e subisce Scv -10.
MSID_SwordArts_Hard_4	Potere spada 4
MSID_H_SwordArts_Hard_4	Se l'unità usa una spada, ottiene\nAtt +8 e subisce Scv -10.
MSID_SwordArts_Hard_5	Potere spada 5
MSID_H_SwordArts_Hard_5	Se l'unità usa una spada, ottiene\nAtt +10 e subisce Scv -10.
MSID_SwordArts_Mind_1	Focus spada 1
MSID_H_SwordArts_Mind_1	Se l'unità usa una spada, ottiene\nClp +10 e subisce Elu -10.
MSID_SwordArts_Mind_2	Focus spada 2
MSID_H_SwordArts_Mind_2	Se l'unità usa una spada, ottiene\nClp +15 e subisce Elu -10.
MSID_SwordArts_Mind_3	Focus spada 3
MSID_H_SwordArts_Mind_3	Se l'unità usa una spada, ottiene\nClp +20 e subisce Elu -10.
MSID_SwordArts_Mind_4	Focus spada 4
MSID_H_SwordArts_Mind_4	Se l'unità usa una spada, ottiene\nClp +25 e subisce Elu -10.
MSID_SwordArts_Mind_5	Focus spada 5
MSID_H_SwordArts_Mind_5	Se l'unità usa una spada, ottiene\nClp +30 e subisce Elu -10.
MSID_LanceArts_Soft_1	Agilità lancia 1
MSID_H_LanceArts_Soft_1	Se l'unità usa una lancia, ottiene\nScv +10 e subisce Trpl -10.
MSID_LanceArts_Soft_2	Agilità lancia 2
MSID_H_LanceArts_Soft_2	Se l'unità usa una lancia, ottiene\nScv +15 e subisce Trpl -10.
MSID_LanceArts_Soft_3	Agilità lancia 3
MSID_H_LanceArts_Soft_3	Se l'unità usa una lancia, ottiene\nScv +20 e subisce Trpl -10.
MSID_LanceArts_Soft_4	Agilità lancia 4
MSID_H_LanceArts_Soft_4	Se l'unità usa una lancia, ottiene\nScv +25 e subisce Trpl -10.
MSID_LanceArts_Soft_5	Agilità lancia 5
MSID_H_LanceArts_Soft_5	Se l'unità usa una lancia, ottiene\nScv +30 e subisce Trpl -10.
MSID_LanceArts_Hard_1	Potere lancia 1
MSID_H_LanceArts_Hard_1	Se l'unità usa una lancia, ottiene\nAtt +2 e subisce Scv -10.
MSID_LanceArts_Hard_2	Potere lancia 2
MSID_H_LanceArts_Hard_2	Se l'unità usa una lancia, ottiene\nAtt +4 e subisce Scv -10.
MSID_LanceArts_Hard_3	Potere lancia 3
MSID_H_LanceArts_Hard_3	Se l'unità usa una lancia, ottiene\nAtt +6 e subisce Scv -10.
MSID_LanceArts_Hard_4	Potere lancia 4
MSID_H_LanceArts_Hard_4	Se l'unità usa una lancia, ottiene\nAtt +8 e subisce Scv -10.
MSID_LanceArts_Hard_5	Potere lancia 5
MSID_H_LanceArts_Hard_5	Se l'unità usa una lancia, ottiene\nAtt +10 e subisce Scv -10.
MSID_AxeArts_Hard_1	Potere ascia 1
MSID_H_AxeArts_Hard_1	Se l'unità usa un'ascia, ottiene\nAtt +2 e subisce Scv -10.
MSID_AxeArts_Hard_2	Potere ascia 2
MSID_H_AxeArts_Hard_2	Se l'unità usa un'ascia, ottiene\nAtt +4 e subisce Scv -10.
MSID_AxeArts_Hard_3	Potere ascia 3
MSID_H_AxeArts_Hard_3	Se l'unità usa un'ascia, ottiene\nAtt +6 e subisce Scv -10.
MSID_AxeArts_Hard_4	Potere ascia 4
MSID_H_AxeArts_Hard_4	Se l'unità usa un'ascia, ottiene\nAtt +8 e subisce Scv -10.
MSID_AxeArts_Hard_5	Potere ascia 5
MSID_H_AxeArts_Hard_5	Se l'unità usa un'ascia, ottiene\nAtt +10 e subisce Scv -10.
MSID_BowArts_Soft_1	Agilità arco 1
MSID_H_BowArts_Soft_1	Se l'unità usa un arco, ottiene\nScv +10 e subisce Trpl -10.
MSID_BowArts_Soft_2	Agilità arco 2
MSID_H_BowArts_Soft_2	Se l'unità usa un arco, ottiene\nScv +15 e subisce Trpl -10.
MSID_BowArts_Soft_3	Agilità arco 3
MSID_H_BowArts_Soft_3	Se l'unità usa un arco, ottiene\nScv +20 e subisce Trpl -10.
MSID_BowArts_Soft_4	Agilità arco 4
MSID_H_BowArts_Soft_4	Se l'unità usa un arco, ottiene\nScv +25 e subisce Trpl -10.
MSID_BowArts_Soft_5	Agilità arco 5
MSID_H_BowArts_Soft_5	Se l'unità usa un arco, ottiene\nScv +30 e subisce Trpl -10.
MSID_BowArts_Mind_1	Focus arco 1
MSID_H_BowArts_Mind_1	Se l'unità usa un arco, ottiene\nClp +10 e subisce Elu -10.
MSID_BowArts_Mind_2	Focus arco 2
MSID_H_BowArts_Mind_2	Se l'unità usa un arco, ottiene\nClp +15 e subisce Elu -10.
MSID_BowArts_Mind_3	Focus arco 3
MSID_H_BowArts_Mind_3	Se l'unità usa un arco, ottiene\nClp +20 e subisce Elu -10.
MSID_BowArts_Mind_4	Focus arco 4
MSID_H_BowArts_Mind_4	Se l'unità usa un arco, ottiene\nClp +25 e subisce Elu -10.
MSID_BowArts_Mind_5	Focus arco 5
MSID_H_BowArts_Mind_5	Se l'unità usa un arco, ottiene\nClp +30 e subisce Elu -10.
MSID_MartialArts_Mind_1	Focus arte 1
MSID_H_MartialArts_Mind_1	Se l'unità usa un'arte, ottiene\nClp +10 e subisce Elu -10.
MSID_MartialArts_Mind_2	Focus arte 2
MSID_H_MartialArts_Mind_2	Se l'unità usa un'arte, ottiene\nClp +15 e subisce Elu -10.
MSID_MartialArts_Mind_3	Focus arte 3
MSID_H_MartialArts_Mind_3	Se l'unità usa un'arte, ottiene\nClp +20 e subisce Elu -10.
MSID_MartialArts_Mind_4	Focus arte 4
MSID_H_MartialArts_Mind_4	Se l'unità usa un'arte, ottiene\nClp +25 e subisce Elu -10.
MSID_MartialArts_Mind_5	Focus arte 5
MSID_H_MartialArts_Mind_5	Se l'unità usa un'arte, ottiene\nClp +30 e subisce Elu -10.
MSID_KnifeArts_1	Mira coltello 1
MSID_H_KnifeArts_1	Se l'unità usa un coltello, ottiene\nClp/Scv +3.
MSID_KnifeArts_2	Mira coltello 2
MSID_H_KnifeArts_2	Se l'unità usa un coltello, ottiene\nClp/Scv +5.
MSID_KnifeArts_3	Mira coltello 3
MSID_H_KnifeArts_3	Se l'unità usa un coltello, ottiene\nClp/Scv +7.
MSID_KnifeArts_4	Mira coltello 4
MSID_H_KnifeArts_4	Se l'unità usa un coltello, ottiene\nClp/Scv +10.
MSID_KnifeArts_5	Mira coltello 5
MSID_H_KnifeArts_5	Se l'unità usa un coltello, ottiene\nClp/Scv +15.
MSID_MagicArts_1	Arti magiche 1
MSID_H_MagicArts_1	Se l'unità usa un tomo, ottiene\nClp/Scv +3.
MSID_MagicArts_2	Arti magiche 2
MSID_H_MagicArts_2	Se l'unità usa un tomo, ottiene\nClp/Scv +5.
MSID_MagicArts_3	Arti magiche 3
MSID_H_MagicArts_3	Se l'unità usa un tomo, ottiene\nClp/Scv +7.
MSID_MagicArts_4	Arti magiche 4
MSID_H_MagicArts_4	Se l'unità usa un tomo, ottiene\nClp/Scv +10.
MSID_MagicArts_5	Arti magiche 5
MSID_H_MagicArts_5	Se l'unità usa un tomo, ottiene\nClp/Scv +15.
MSID_RodArts_1	Fede 1
MSID_H_RodArts_1	Se l'unità usa un bastone, ottiene\nClp +10. Il bastone cura 3 PS in più.
MSID_RodArts_2	Fede 2
MSID_H_RodArts_2	Se l'unità usa un bastone, ottiene\nClp +15. Il bastone cura 5 PS in più.
MSID_RodArts_3	Fede 3
MSID_H_RodArts_3	Se l'unità usa un bastone, ottiene\nClp +20. Il bastone cura 7 PS in più.
MSID_RodArts_4	Fede 4
MSID_H_RodArts_4	Se l'unità usa un bastone, ottiene\nClp +25. Il bastone cura 10 PS in più.
MSID_RodArts_5	Fede 5
MSID_H_RodArts_5	Se l'unità usa un bastone, ottiene\nClp +30. Il bastone cura 15 PS in più.
MSID_Outclass_1	Percezione
MSID_H_Outclass_1	Se l'unità inizia lo scontro, ottiene\nScv +15. La Scv aumenta con la Vel.
MSID_Outclass_2	Percezione+
MSID_H_Outclass_2	Se l'unità inizia lo scontro, ottiene\nScv +30. La Scv aumenta con la Vel.
MSID_Fortitude_1	Risolutezza
MSID_H_Fortitude_1	A inizio fase giocatore, se i PS sono\nal 20% o meno, l'unità recupera il\n20% dei PS massimi.
MSID_Fortitude_2	Risolutezza+
MSID_H_Fortitude_2	A inizio fase giocatore, se i PS sono\nal 30% o meno, l'unità recupera il\n30% dei PS massimi.
MSID_Fortitude_3	Risolutezza++
MSID_H_Fortitude_3	A inizio fase giocatore, se i PS sono\nal 40% o meno, l'unità recupera il\n40% dei PS massimi.
MSID_MarthEngage	Velocità divina
MSID_H_MarthEngage	L'unità effettua un attacco extra\nal 50% del danno in combattimento.
MSID_H_MarthEngage_Covert	L'unità effettua un attacco extra\nal 50% del danno in combattimento.\nFurtivi: se l'attacco extra dato\nda questa abilità va a segno,\navvelena il nemico.
MSID_H_MarthEngage_Dragon	L'unità effettua un attacco extra\nal 50% del danno in combattimento.\nDraghi: l'unità recupera PS pari al\ndanno inflitto con l'attacco extra\ndato da questa abilità.
MSID_BreakPursuit	Incalzare
MSID_H_BreakPursuit	Se l'unità infligge lo stato di breccia\nal nemico, effettua un attacco extra\nal 50% del danno.
MSID_MarthEngageAtk	Raffica suprema
MSID_H_MarthEngageAtk	Sferra 7 attacchi di spada al 30%\ndel danno. Solo nemici adiacenti.
MSID_H_MarthEngageAtk_Dragon	Sferra 7 attacchi di spada al 30%\ndel danno. Solo nemici adiacenti.\nDraghi: 2 attacchi supplementari.
MSID_H_MarthEngageAtk_Coop	Sferra 7 attacchi di spada al 30%\ndel danno. Solo nemici adiacenti.\nRinforzo: 1 attacco supplementare.
MSID_H_MarthEngageAtk_Magic	Sferra 7 attacchi di spada al 30%\ndel danno. Solo nemici adiacenti.\nMistici: danno basato su Mag.
MSID_H_MarthEngageAtk_CMD	Sferra una raffica di attacchi.
MSID_Remove_1	Mobilità
MSID_H_Remove_1	L'unità può muoversi di 2 spazi\ndopo aver agito.
MSID_Remove_2	Mobilità+
MSID_H_Remove_2	L'unità può muoversi di 3 spazi\ndopo aver agito.
MSID_Approach_1	Slancio
MSID_H_Approach_1	Conferisce, al primo attacco dello\nscontro, Att +1 per ogni spazio\npercorso dall'unità subito prima\ndell'attacco (max +10).
MSID_Approach_2	Slancio+
MSID_H_Approach_2	Conferisce, al primo attacco dello\nscontro, Att +1 per ogni spazio\npercorso dall'unità subito prima\ndell'attacco.
MSID_Rush	Incuranza
MSID_H_Rush	Conferisce immunità allo stato gelo.
MSID_SigludEngage	Galoppo
MSID_H_SigludEngage	Incrementa il Mov di 5.
MSID_H_SigludEngage_Dragon	Incrementa il Mov di 5.\nDraghi: ulteriore +1.
MSID_H_SigludEngage_Horse	Incrementa il Mov di 5.\nCavalleria: ulteriore +2.
MSID_H_SigludEngage_Covert	Incrementa il Mov di 5.\nFurtivi: l'unità non soffre\npenalizzazioni al movimento a\ncausa del tipo di terreno.
MSID_SigludEngageAtk	Superamento
MSID_H_SigludEngageAtk	Attacca e attraversa una fila di\nnemici adiacenti. Solo spada e lancia.
MSID_H_SigludEngageAtk_Dragon	Attacca e attraversa una fila di\nnemici adiacenti. Solo spada e lancia.\nDraghi: +20% al danno inflitto.
MSID_H_SigludEngageAtk_Heavy	Attacca e attraversa una fila di\nnemici adiacenti. Solo spada e lancia.\nCorazzati: 10% probabilità di breccia.
MSID_H_SigludEngageAtk_Magic	Attacca e attraversa una fila di\nnemici adiacenti. Solo spada e lancia.\nMistici: danno extra = 25% di Mag.
MSID_H_SigludEngageAtk_Prana	Attacca e attraversa una fila di\nnemici adiacenti. Solo spada e lancia.\nAdepti qi: 20% probabilità di breccia.
MSID_H_SigludEngageAtk_CMD	Attacca e supera i nemici.
MSID_M011_SigludEngage_DarkSide	Galoppo oscuro
MSID_H_M011_SigludEngage_DarkSide	Incrementa il Mov di 3.
MSID_EvilCounter_1	Posa sacra
MSID_H_EvilCounter_1	Se l'unità è attaccata da\nun'aberrazione, le infligge\nil 10% del danno subito.
MSID_EvilCounter_2	Posa sacra+
MSID_H_EvilCounter_2	Se l'unità è attaccata da\nun'aberrazione, le infligge\nil 30% del danno subito.
MSID_EvilCounter_3	Posa sacra++
MSID_H_EvilCounter_3	Se l'unità è attaccata da\nun'aberrazione, le infligge\nil 50% del danno subito.
MSID_BlackMagic_1	Risonanza
MSID_H_BlackMagic_1	Se l'unità attacca con il tomo e ha\n2 o più PS, perde 1 PS all'inizio\ndello scontro e infligge 2 punti di\ndanno in più durante lo scontro.
MSID_BlackMagic_2	Risonanza+
MSID_H_BlackMagic_2	Se l'unità attacca con il tomo e ha\n2 o più PS, perde 1 PS all'inizio\ndello scontro e infligge 3 punti di\ndanno in più durante lo scontro.
MSID_FavoriteFood	Cibo preferito
MSID_H_FavoriteFood	Se un'unità sincronizzata consuma\nun pasto, la barra dell'unione\nsi riempie al massimo.
MSID_CelicaEngage	Eco
MSID_H_CelicaEngage	Usa il comando per lanciare un\nattacco magico che causa il 50% dei\ndanni. Il comando può essere usato\ndue volte.
MSID_H_CelicaEngage_Dragon	Usa il comando per lanciare un\nattacco magico che causa il 50% dei\ndanni. Il comando può essere usato\ndue volte.\nDraghi: raggio +1.
MSID_H_CelicaEngage_Magic	Usa il comando per lanciare un\nattacco magico che causa il 50% dei\ndanni. Il comando può essere usato\ndue volte.\nMistici: +10% al danno inflitto.
MSID_H_CelicaEngage_CMD	Lancia due attacchi separati.
MSID_CelicaEngageAtk	Teleragnarok
MSID_H_CelicaEngageAtk	L'unità si teletrasporta entro 10\nspazi e sferra un potente attacco\nmagico.
MSID_H_CelicaEngageAtk_Dragon	L'unità si teletrasporta entro 10\nspazi e sferra un potente attacco\nmagico.\nDraghi: +1 raggio d'attacco.
MSID_H_CelicaEngageAtk_Horse	L'unità si teletrasporta entro 10\nspazi e sferra un potente attacco\nmagico.\nCavalleria: +2 spazi di teletrasporto.
MSID_H_CelicaEngageAtk_Fly	L'unità si teletrasporta entro 10\nspazi e sferra un potente attacco\nmagico.\nVolanti: +5 spazi di teletrasporto.
MSID_H_CelicaEngageAtk_Magic	L'unità si teletrasporta entro 10\nspazi e sferra un potente attacco\nmagico.\nMistici: +20% di danno inflitto.
MSID_H_CelicaEngageAtk_CMD	Teletrasportati e attacca.
MSID_M011_CelicaEngageAtk_DarkSide	Teleragnaroscuro
MSID_CelicaEngageAtk_DarkSide	Ragnaporto
MSID_H_CelicaEngageAtk_DarkSide	L'unità sferra un potente attacco\nmagico e poi si teletrasporta.
MSID_H_CelicaEngageAtk_DarkSide_CMD	Attacca e teletrasportati.
MSID_H_M011_CelicaEngageAtk_DarkSide	L'unità si teletrasporta entro 5 spazi\ne sferra un potente attacco magico.
MSID_EvilCounter_3_DarkSide	Posa profana
MSID_H_EvilCounter_3_DarkSide	Se l'unità è attaccata da un nemico\nche non è un'aberrazione, gli infligge\nil 50% del danno subito.
MSID_EquipRod_1	Chierico
MSID_H_EquipRod_1	L'unità può usare bastoni di livello C.
MSID_EquipRod_2	Chierico+
MSID_H_EquipRod_2	L'unità può usare bastoni di livello B.
MSID_EquipRod_3	Chierico++
MSID_H_EquipRod_3	L'unità può usare bastoni di livello A.
MSID_Silenceproof	Antisilenzio
MSID_H_Silenceproof	Impedisce all'unità di subire lo stato\nsilenzio.
MSID_HealingResonance	Luce curante
MSID_H_HealingResonance	Se l'unità cura un alleato con un\nbastone, essa stessa recupera il 50%\ndei PS recuperati dall'alleato.
MSID_MicaiahEngage	Enfasi
MSID_H_MicaiahEngage	Conferisce ai bastoni +5 di raggio\ne +1 di area d'effetto.
MSID_H_MicaiahEngage_Dragon	Conferisce ai bastoni +5 di raggio\ne +1 di area d'effetto.\nDraghi: +1 extra di raggio.
MSID_H_MicaiahEngage_Prana	Conferisce ai bastoni +5 di raggio\ne +1 di area d'effetto.\nAdepti qi: i bastoni ripristinano\n+20% PS.
MSID_MicaiahEngageAtk	Gran sacrificio
MSID_H_MicaiahEngageAtk	Ripristina al massimo i PS di tutti gli\nalleati, anche quelli non direttamente\ncontrollati dal giocatore, ma l'unità\nresta con 1 PS.
MSID_H_MicaiahEngageAtk_Dragon	Ripristina al massimo i PS di tutti gli\nalleati, anche quelli non direttamente\ncontrollati dal giocatore, ma l'unità\nresta con 1 PS.\nDraghi: PS dell'unità ridotti al 30%.
MSID_H_MicaiahEngageAtk_Heavy	Ripristina al massimo i PS di tutti gli\nalleati, anche quelli non direttamente\ncontrollati dal giocatore, ma l'unità\nresta con 1 PS. Corazzati: Dif +1 alle\nunità curate nel loro pross. scontro.
MSID_H_MicaiahEngageAtk_Prana	Ripristina al massimo i PS di tutti gli\nalleati, anche quelli non direttamente\ncontrollati dal giocatore, ma l'unità\nresta con 1 PS.\nAdepti qi: curano anche gli stati.
MSID_H_MicaiahEngageAtk_CMD	Sacrifica PS per curare alleati.
MSID_M011_MicaiahEngage_DarkSide	Enfasi oscura
MSID_H_M011_MicaiahEngage_DarkSide	Conferisce ai bastoni +3 di raggio\ne +1 di area d'effetto.
MSID_HoldOut_1	Persistenza
MSID_H_HoldOut_1	Se l'unità ha il 30% o più dei PS\nall'inizio dello scontro, sopravvive\nsempre con almeno 1 PS.
MSID_HoldOut_2	Persistenza+
MSID_H_HoldOut_2	Se l'unità ha il 20% o più dei PS\nall'inizio dello scontro, sopravvive\nsempre con almeno 1 PS.
MSID_HoldOut_3	Persistenza++
MSID_H_HoldOut_3	Se l'unità ha il 10% o più dei PS\nall'inizio dello scontro, sopravvive\nsempre con almeno 1 PS.
MSID_HoldOut_4	Persistenza+++
MSID_H_HoldOut_4	Se l'unità ha 2 o più PS all'inizio\ndello scontro, sopravvive sempre\ncon almeno 1 PS.
MSID_ClosingAttack	Avanzata
MSID_H_ClosingAttack	Usa il comando per muovere l'unità\ndi 1 spazio verso un nemico a 2\nspazi di distanza e attaccare.
MSID_H_ClosingAttack_CMD	Avanza di 1 spazio e attacca.
MSID_RoyEngage	Crescita
MSID_H_RoyEngage	Conferisce Liv +5.
MSID_H_RoyEngage_Dragon	Conferisce Liv +5.\nDraghi: ulteriore Liv +1.
MSID_H_RoyEngage_Horse	Conferisce Liv +5.\nCavalleria: Mov +1.
MSID_H_RoyEngage_Heavy	Conferisce Liv +5.\nCorazzati: PS max +5.
MSID_RoyEngageAtk	Danza del leone
MSID_H_RoyEngageAtk	Attacca un'area adiacente di 3 spazi,\ndavanti e ai lati dell'unità. L'obiettivo\ne i 2 spazi successivi vengono\nincendiati. Solo spada.
MSID_H_RoyEngageAtk_Dragon	Attacca un'area adiacente di 3 spazi,\ndavanti e ai lati dell'unità. L'obiettivo\ne i 2 spazi successivi vengono\nincendiati. Solo spada.\nDraghi: area d'attacco più grande.
MSID_H_RoyEngageAtk_Magic	Attacca un'area adiacente di 3 spazi,\ndavanti e ai lati dell'unità. L'obiettivo\ne i 2 spazi successivi vengono\nincendiati. Solo spada.\nMistici: area infiammata più grande.
MSID_H_RoyEngageAtk_CMD	Attacca e incendia l'area.
MSID_M011_RoyEngage_DarkSide	Crescita maligna
MSID_H_M011_RoyEngage_DarkSide	Conferisce Liv +3.
MSID_AugmentDamage_1	Arma scudo
MSID_H_AugmentDamage_1	Se l'unità usa un'arma in vantaggio,\nsubisce 3 punti di danno in meno.
MSID_AugmentDamage_2	Arma scudo+
MSID_H_AugmentDamage_2	Se l'unità usa un'arma in vantaggio,\nsubisce 5 punti di danno in meno.
MSID_AugmentDamage_3	Arma scudo++
MSID_H_AugmentDamage_3	Se l'unità usa un'arma in vantaggio,\nsubisce 7 punti di danno in meno.
MSID_Ambush_1	Vantaggio
MSID_H_Ambush_1	Se l'unità ha i PS al 25% o meno e\nviene attaccata, può contrattaccare\nprima ancora che il nemico attacchi.
MSID_Ambush_2	Vantaggio+
MSID_H_Ambush_2	Se l'unità ha i PS al 50% o meno e\nviene attaccata, può contrattaccare\nprima ancora che il nemico attacchi.
MSID_Ambush_3	Vantaggio++
MSID_H_Ambush_3	Se l'unità ha i PS al 75% o meno e\nviene attaccata, può contrattaccare\nprima ancora che il nemico attacchi.
MSID_LeafEngage	Adattabilità
MSID_H_LeafEngage	Se il nemico inizia lo scontro, l'unità\nrisponde con l'arma migliore a\ndisposizione (in base a raggio,\nvantaggio dell'arma, efficacia ecc.).
MSID_H_LeafEngage_Dragon	Se il nemico inizia lo scontro, l'unità\nrisponde con l'arma migliore a\ndisposizione (in base a raggio,\nvantaggio dell'arma, efficacia ecc.).\nDraghi: Clp +30 durante lo scontro.
MSID_H_LeafEngage_Coop	Se il nemico inizia lo scontro, l'unità\nrisponde con l'arma migliore a\ndisposizione (in base a raggio,\nvantaggio dell'arma, efficacia ecc.).\nRinforzo: Trpl +10 durante scontro.
MSID_H_LeafEngage_Covert	Se il nemico inizia lo scontro, l'unità\nrisponde con l'arma migliore a\ndisposizione (in base a raggio,\nvantaggio dell'arma, efficacia ecc.).\nFurtivi: Scv +20 durante lo scontro.
MSID_H_LeafEngage_Heavy	Se il nemico inizia lo scontro, l'unità\nrisponde con l'arma migliore a\ndisposizione (in base a raggio,\nvantaggio dell'arma, efficacia ecc.).\nCorazzati: Dif +5 durante lo scontro.
MSID_H_LeafEngage_Fly	Se il nemico inizia lo scontro, l'unità\nrisponde con l'arma migliore a\ndisposizione (in base a raggio,\nvantaggio dell'arma, efficacia ecc.).\nVolanti: Res +5 durante lo scontro.
MSID_LeafEngageAtk	Tetracolpo
MSID_H_LeafEngageAtk	L'unità attacca con spada, lancia,\nascia e arco.
MSID_H_LeafEngageAtk_Dragon	L'unità attacca con spada, lancia,\nascia e arco.\nDraghi: +20% al danno inflitto.
