MID_RELIANCE_C_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x12\x0Cディアマンド\x021\n\x0E\x03\x00\x0E\x08ジェーデ\x022\n\x0E\x03\x02\x0A\x08ジェーデ\nEhhh...\x0E\x04\x00\x00
MID_RELIANCE_B_#003	\x0E\x03\x02\x0A\x08ジェーデ\nPrincipe Diamant? State bene?\x0E\x04\x00\x00
MID_RELIANCE_B_#004	\x0E\x03\x02\x0E\x0Cディアマンド\nBene? Ci sono quasi rimasto secco dal ridere!\nSei un pericolo per la mia salute, Jade.\x0E\x04\x00\x00
MID_RELIANCE_B_#005	\x0E\x03\x02\x0A\x08ジェーデ\nLe mie doti di scrittura che attentano alla vita\ndel principe ereditario... Quale onore.\x0E\x04\x00\x00
MID_RELIANCE_B_#006	\x0E\x03\x02\x0A\x08ジェーデ\nDove siete arrivato?\x0E\x04\x00\x00
MID_RELIANCE_B_#007	\x0E\x03\x02\x0E\x0Cディアマンド\nAl capitolo 19 di "Le avventure di Amber,\ncavaliere allo sbaraglio".\x0E\x04\x00\x00
MID_RELIANCE_B_#008	\x0E\x03\x02\x0A\x08ジェーデ\nQuello in cui Amber vince il torneo?\x0E\x04\x00\x00
MID_RELIANCE_B_#009	\x0E\x03\x02\x0E\x0Cディアマンド\nProprio quello! Quando torna al suo villaggio,\nma nessuno gli crede!\x0E\x04\x00\x00
MID_RELIANCE_B_#010	\x0E\x03\x02\x0E\x0Cディアマンド\nE quella scena in cui galoppa a dorso di\nun alpaca per asciugarsi le lacrime...\x0E\x04\x00\x00
MID_RELIANCE_B_#011	\x0E\x03\x02\x0A\x08ジェーデ\nMa appena si asciugano, scende dall'alpaca\ne si becca uno sputo dritto in faccia. Poverino.\x0E\x04\x00\x00
MID_RELIANCE_B_#012	\x0E\x03\x02\x0E\x0Cディアマンド\nQuesto non è un semplice romanzetto comico.\nÈ pura arte, Jade.\x0E\x04\x00\x00
MID_RELIANCE_B_#013	\x0E\x03\x02\x0E\x0Cディアマンド\nA quando la prossima opera?\x0E\x04\x00\x00
MID_RELIANCE_B_#014	\x0E\x03\x02\x0A\x08ジェーデ\nEcco... Avrei qualcosa da dirvi al proposito.\nPensavo di prendermi una breve pausa.\x0E\x04\x00\x00
MID_RELIANCE_B_#015	\x0E\x03\x02\x0E\x0Cディアマンド\nOh. Dici sul serio?\x0E\x04\x00\x00
MID_RELIANCE_B_#016	\x0E\x03\x02\x0E\x0Cディアマンド\nCapisco. Le battaglie sono sempre più\nimpegnative. Non possiamo farci niente.\x0E\x04\x00\x00
MID_RELIANCE_B_#017	\x0E\x03\x02\x0A\x08ジェーデ\nSì, è una delle ragioni...\x0E\x04\x00\x00
MID_RELIANCE_B_#018	\x0E\x03\x02\x0A\x08ジェーデ\nMa negli ultimi tempi qualsiasi cosa scriva mi\nsuona vuota. Le mie idee mi annoiano.\x0E\x04\x00\x00
MID_RELIANCE_B_#019	\x0E\x03\x02\x0E\x0Cディアマンド\nAh. Sei a un punto morto?\x0E\x04\x00\x00
MID_RELIANCE_B_#020	\x0E\x03\x02\x0A\x08ジェーデ\nSì. Mi sa che dovrò deporre la penna per un po'.\nMi dispiace deludervi, principe Diamant.\x0E\x04\x00\x00
MID_RELIANCE_B_#021	\x0E\x03\x02\x0E\x0Cディアマンド\nNon devi scusarti. Saprò aspettare, prenditi\ntutto il tempo che ti serve.\x0E\x04\x00\x00
MID_RELIANCE_B_#022	\x0E\x03\x02\x0A\x08ジェーデ\nVi ringrazio. Appena riprendo a scrivere, sarete\nil primo a saperlo.\x0E\x04\x00\x00
MID_RELIANCE_B_#023	\x0E\x03\x02\x0E\x0Cディアマンド\nTi meriti davvero una pausa. Nel frattempo...\x0E\x04\x00\x00
MID_RELIANCE_B_#024	\x0E\x03\x02\x0E\x0Cディアマンド\nPotrei provare io a scrivere il prossimo libro!\x0E\x04\x00\x00
MID_RELIANCE_B_#025	\x0E\x03\x02\x0A\x08ジェーデ\nEh?\x0E\x04\x00\x00
MID_RELIANCE_B_#026	\x0E\x03\x02\x0E\x0Cディアマンド\nNon preoccuparti, non intendo pestarti i piedi.\nSarà solo una... storia parallela. Vorrei provarci.\x0E\x04\x00\x00
MID_RELIANCE_B_#027	\x0E\x03\x02\x0A\x08ジェーデ\nFate sul serio?\x0E\x04\x00\x00
MID_RELIANCE_B_#028	\x0E\x03\x02\x0E\x0Cディアマンド\nFaccio sempre sul serio. Ti farò sapere quando\nfinisco. Nel mentre riposati.\x0E\x04\x00\x00
MID_RELIANCE_B_#029	\x0E\x03\x02\x0A\x08ジェーデ\nVa bene...\x0E\x04\x00\x00
MID_RELIANCE_A_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x12\x0Cディアマンド\x021\n\x0E\x03\x00\x0E\x08ジェーデ\x022\n\x0E\x03\x02\x0E\x0Cディアマンド\nJade! La bozza è pronta. Ti andrebbe di\nleggerla?\x0E\x04\x00\x00
MID_RELIANCE_A_#002	\x0E\x03\x02\x0E\x0Cディアマンド\nSi intitola "Le nuove avventure di Amber,\ncavaliere allo sbaraglio".\x0E\x04\x00\x00
MID_RELIANCE_A_#003	\x0E\x03\x02\x0A\x08ジェーデ\nLo avete scritto davvero...\x0E\x04\x00\x00
MID_RELIANCE_A_#004	\x0E\x03\x02\x0A\x08ジェーデ\nPrincipe Diamant, sarei onorata di leggere\nil vostro racconto.\x0E\x04\x00\x00
MID_RELIANCE_A_#005	\x0E\x03\x02\x0E\x0Cディアマンド\n...\x0E\x04\x00\x00
MID_RELIANCE_A_#006	\x0E\x03\x02\x0A\x08ジェーデ\nEheh. Divertente. Però...\x0E\x04\x00\x00
MID_RELIANCE_A_#007	\x0E\x03\x02\x0E\x0Cディアマンド\nSpara. Dimmi tutto.\x0E\x04\x00\x00
MID_RELIANCE_A_#008	\x0E\x03\x02\x0A\x08ジェーデ\nNon ci sono abbastanza battute. Forse\naggiustando qualche scena...\x0E\x04\x00\x00
MID_RELIANCE_A_#009	\x0E\x03\x02\x0E\x0Cディアマンド\nUhm. Cosa andrebbe cambiato, a parer tuo?\x0E\x04\x00\x00
MID_RELIANCE_A_#010	\x0E\x03\x02\x0A\x08ジェーデ\nSe lo avessi scritto io avrei fatto perdere tutto\nil pelo all'alpaca, di colpo.\x0E\x04\x00\x00
MID_RELIANCE_A_#011	\x0E\x03\x02\x0E\x0Cディアマンド\nAhah!\x0E\x04\x00\x00
MID_RELIANCE_A_#012	\x0E\x03\x02\x0A\x08ジェーデ\nE poi, appena Amber si ricompone, la pelliccia\nricresce tutta insieme bella lucida come la seta.\x0E\x04\x00\x00
MID_RELIANCE_A_#013	\x0E\x03\x02\x0A\x08ジェーデ\nAmber prova a salire sul dorso, ma la pelliccia\nè troppo liscia e lui scivola... anzi è sparato via.\x0E\x04\x00\x00
MID_RELIANCE_A_#014	\x0E\x03\x02\x0A\x08ジェーデ\nE mentre Amber vola per aria verso l'orizzonte...\nl'alpaca sputa a terra con aria sconsolata.\x0E\x04\x00\x00
MID_RELIANCE_A_#015	\x0E\x03\x02\x0E\x0Cディアマンド\nPfff...\x0E\x04\x00\x00
MID_RELIANCE_A_#016	\x0E\x03\x02\x0E\x0Cディアマンド\nBuahah!\x0E\x04\x00\x00
MID_RELIANCE_A_#017	\x0E\x03\x02\x0E\x0Cディアマンド\nMa è perfetto. Così suona tutto molto meglio.\x0E\x04\x00\x00
MID_RELIANCE_A_#018	\x0E\x03\x02\x0A\x08ジェーデ\nGrazie. La struttura generale della storia è\ncomunque molto buona, principe Diamant.\x0E\x04\x00\x00
MID_RELIANCE_A_#019	\x0E\x03\x02\x0A\x08ジェーデ\nQuando avrete terminato la seconda bozza, sarò\nlieta di darvi nuove dritte.\x0E\x04\x00\x00
MID_RELIANCE_A_#020	\x0E\x03\x02\x0E\x0Cディアマンド\nNon penso di continuare.\x0E\x04\x00\x00
MID_RELIANCE_A_#021	\x0E\x03\x02\x0A\x08ジェーデ\nOh? Cosa fate? Perché lo accartocciate?\x0E\x04\x00\x00
MID_RELIANCE_A_#022	\x0E\x03\x02\x0E\x0Cディアマンド\nÈ servito allo scopo. Sembra che presto arriverà\nil tuo nuovo libro.\x0E\x04\x00\x00
MID_RELIANCE_A_#023	\x0E\x03\x02\x0A\x08ジェーデ\nIl mio nuovo libro?\x0E\x04\x00\x00
MID_RELIANCE_A_#024	\x0E\x03\x02\x0E\x0Cディアマンド\nEsatto. La tua idea sulla pelliccia era geniale.\nTi basterà riprendere da lì.\x0E\x04\x00\x00
MID_RELIANCE_A_#025	\x0E\x03\x02\x0A\x08ジェーデ\nUn momento. Non avrete...\x0E\x04\x00\x00
MID_RELIANCE_A_#026	\x0E\x03\x02\x0A\x08ジェーデ\nMa allora quel racconto era un tentativo di\ntirarmi fuori dal mio blocco?\x0E\x04\x00\x00
MID_RELIANCE_A_#027	\x0E\x03\x02\x0E\x0Cディアマンド\nStaresti dicendo che ho scritto un racconto\nmediocre di proposito? Non sono così furbo.\x0E\x04\x00\x00
MID_RELIANCE_A_#028	\x0E\x03\x02\x0E\x0Cディアマンド\nCi ho messo tutto il mio impegno, ma le mie\nbattute non sono nulla al confronto di un'artista.\x0E\x04\x00\x00
MID_RELIANCE_A_#029	\x0E\x03\x02\x0A\x08ジェーデ\nPrincipe Diamant...\x0E\x04\x00\x00
MID_RELIANCE_A_#030	\x0E\x03\x02\x0A\x08ジェーデ\nFate pure finta che questo non fosse tutto\nun vostro piano...\x0E\x04\x00\x00
MID_RELIANCE_A_#031	\x0E\x03\x02\x0A\x08ジェーデ\nMa vi ringrazio ugualmente.\x0E\x04\x00\x00
MID_RELIANCE_A_#032	\x0E\x03\x02\x0E\x0Cディアマンド\nForza, è quasi ora di rimettersi al lavoro.\x0E\x04\x00\x00
MID_RELIANCE_A_#033	\x0E\x03\x02\x0E\x0Cディアマンド\nStanotte mi metto io di guardia, Jade.\x0E\x04\x00\x00
MID_RELIANCE_A_#034	\x0E\x03\x02\x0A\x08ジェーデ\nMa...\x0E\x04\x00\x00
MID_RELIANCE_A_#035	\x0E\x03\x02\x0E\x0Cディアマンド\nSono sicuro che una delle cause del tuo blocco\nartistico sia il troppo lavoro. Riposati.\x0E\x04\x00\x00
MID_RELIANCE_A_#036	\x0E\x03\x02\x0E\x0Cディアマンド\nQuando hai finito il libro, dimmelo. Mi rilassa\nmolto leggere le tue storie e farmi due risate.\x0E\x04\x00\x00
MID_RELIANCE_A_#037	\x0E\x03\x02\x0A\x08ジェーデ\nD'accordo... Vi ringrazio.\x0E\x04\x00\x00
MID_RELIANCE_A_#038	\x0E\x03\x02\x0A\x08ジェーデ\nFinché sarò al vostro servizio...\x0E\x04\x00\x00
MID_RELIANCE_A_#039	\x0E\x03\x02\x0A\x08ジェーデ\n... farò di tutto per proteggervi e per non farvi\nperdere il sorriso.\x0E\x04\x00\x00
