MID_GR_Lueur_C_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0E\x08リュール\x021\n\x0E\x03\x00\x0E\x08セネリオ\x022\n\x0E\x03\x02\x0A\x08リュール\nSoren, possiamo parlare? Vorrei che mi\nraccontassi qualcosa del tuo mondo.\x0E\x04\x00\x00
MID_GR_Alfred_C_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x12\x0Cアルフレッド\x021\n\x0E\x03\x00\x0E\x08セネリオ\x022\n\x0E\x03\x02\x0E\x0Cアルフレッド\nNon ho nulla da rimproverarmi in quanto a\nforza, ma dovrei lavorare di più sulle tattiche.\nFarò affidamento su di te per questo aspetto.\x0E\x04\x00\x00
MID_GR_Alfred_C_#002	\x0E\x03\x02\x0A\x08セネリオ\nSe proprio devi.\x0E\x04\x00\x00
MID_GR_Alfred_B_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x12\x0Cアルフレッド\x021\n\x0E\x03\x00\x0E\x08セネリオ\x022\n\x0E\x03\x02\x0E\x0Cアルフレッド\nSecondo te una persona è destinata a essere\nbuona o cattiva fin dalla nascita, Soren?\x0E\x04\x00\x00
MID_GR_Alfred_B_#002	\x0E\x03\x02\x0A\x08セネリオ\nDa' sempre per scontato il peggio. Anche se\nsi rivelasse una buona persona, ti saresti\ncomunque risparmiato qualche perdita.\x0E\x04\x00\x00
MID_GR_Alfred_A_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x12\x0Cアルフレッド\x021\n\x0E\x03\x00\x0E\x08セネリオ\x022\n\x0E\x03\x02\x0A\x08セネリオ\nAh, eccoti. È da incoscienti sparire nel bel\nmezzo di un consiglio di guerra.\x0E\x04\x00\x00
MID_GR_Alfred_A_#002	\x0E\x03\x02\x0E\x0Cアルフレッド\nScusami, ero uscito a fare una corsa. Le idee\nmigliori mi vengono così.\x0E\x04\x00\x00
MID_GR_Alfred_A_#003	\x0E\x03\x02\x0A\x08セネリオ\nFinora non sembra aver funzionato, neanche\nun po'.\x0E\x04\x00\x00
MID_GR_Alfred_A_#004	\x0E\x03\x02\x0E\x0Cアルフレッド\nAllora, dovrò correre di più! Aumenterò il ritmo,\ngrazie del consiglio!\x0E\x04\x00\x00
MID_GR_Boucheron_C_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x10\nブシュロン\x021\n\x0E\x03\x00\x0E\x08セネリオ\x022\n\x0E\x03\x02\x0C\nブシュロン\nMi tranquillizza sapere che ora abbiamo lo\nstratega di un gruppo di mercenari nella nostra\narmata.\x0E\x04\x00\x00
MID_GR_Boucheron_C_#002	\x0E\x03\x02\x0A\x08セネリオ\nNon farti troppe illusioni, sarebbe poco saggio.\x0E\x04\x00\x00
MID_GR_Boucheron_B_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x10\nブシュロン\x021\n\x0E\x03\x00\x0E\x08セネリオ\x022\n\x0E\x03\x02\x0C\nブシュロン\nAvrei bisogno di un consiglio. Come posso fare\na non perdermi tutte le volte che esco?\x0E\x04\x00\x00
MID_GR_Boucheron_B_#002	\x0E\x03\x02\x0A\x08セネリオ\nHai mai considerato l'idea di non uscire più?\x0E\x04\x00\x00
MID_GR_Boucheron_A_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x10\nブシュロン\x021\n\x0E\x03\x00\x0E\x08セネリオ\x022\n\x0E\x03\x02\x0C\nブシュロン\nHo provato a seguire il tuo consiglio, ma mi sto\natrofizzando a forza di starmene chiuso senza\nuscire. Non hai altre idee?\x0E\x04\x00\x00
MID_GR_Boucheron_A_#002	\x0E\x03\x02\x0A\x08セネリオ\nForse potresti chiedere a qualcuno di\naccompagnarti ovunque vai.\x0E\x04\x00\x00
MID_GR_Boucheron_A_#003	\x0E\x03\x02\x0C\nブシュロン\nSì, ottima idea! Stavo proprio pensando di\nandare a pesca! Vieni!\x0E\x04\x00\x00
MID_GR_Boucheron_A_#004	\x0E\x03\x02\x0A\x08セネリオ\nNon mi stavo mica offrendo...\x0E\x04\x00\x00
MID_GR_Etie_C_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x10\nエーティエ\x021\n\x0E\x03\x00\x0E\x08セネリオ\x022\n\x0E\x03\x02\x0C\nエーティエ\nHo un regalo per te, visto che siamo amici. È un\nbalsamo per i muscoli che ti riempirà di energia!\x0E\x04\x00\x00
MID_GR_Etie_C_#002	\x0E\x03\x02\x0A\x08セネリオ\nGrazie... molto gentile, ma credo di avere\nenergia a sufficienza.\x0E\x04\x00\x00
MID_GR_Etie_B_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x10\nエーティエ\x021\n\x0E\x03\x00\x0E\x08セネリオ\x022\n\x0E\x03\x02\x0C\nエーティエ\nVuoi venire a correre? Ti tornerà il buonumore\nse fai un po' di movimento.\x0E\x04\x00\x00
MID_GR_Etie_B_#002	\x0E\x03\x02\x0A\x08セネリオ\nNon sono di cattivo umore. Sono sempre così.\x0E\x04\x00\x00
MID_GR_Etie_A_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x10\nエーティエ\x021\n\x0E\x03\x00\x0E\x08セネリオ\x022\n\x0E\x03\x02\x0C\nエーティエ\nNon dev'essere facile per te, eh? Non c'è\nbisogno di nasconderlo, siamo simili io e te.\x0E\x04\x00\x00
MID_GR_Etie_A_#002	\x0E\x03\x02\x0A\x08セネリオ\nCome, scusa?\x0E\x04\x00\x00
MID_GR_Etie_A_#003	\x0E\x03\x02\x0C\nエーティエ\nAllenarsi senza tregua e non riuscire a mettere\nmassa muscolare... può essere deprimente.\x0E\x04\x00\x00
MID_GR_Etie_A_#004	\x0E\x03\x02\x0A\x08セネリオ\nTemo di non avere idea di cosa tu stia\nparlando...\x0E\x04\x00\x00
MID_GR_Celine_C_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0E\x08セリーヌ\x021\n\x0E\x03\x00\x0E\x08セネリオ\x022\n\x0E\x03\x02\x0A\x08セリーヌ\nTi sono grata per il supporto che ci dai, Soren.\nMi terresti compagnia per un tè?\x0E\x04\x00\x00
MID_GR_Celine_C_#002	\x0E\x03\x02\x0A\x08セネリオ\nNoi emblemi non possiamo né mangiare né bere.\nMi vedo costretto a rifiutare l'invito.\x0E\x04\x00\x00
MID_GR_Celine_B_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0E\x08セリーヌ\x021\n\x0E\x03\x00\x0E\x08セネリオ\x022\n\x0E\x03\x02\x0A\x08セネリオ\nQuindi... questo sarebbe un pot-pourri?\x0E\x04\x00\x00
MID_GR_Celine_B_#002	\x0E\x03\x02\x0A\x08セリーヌ\nSì. Non ha un profumo meraviglioso? Sarei\ndavvero felice se tu cominciassi ad apprezzare\nquesto mondo.\x0E\x04\x00\x00
MID_GR_Celine_A_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0E\x08セリーヌ\x021\n\x0E\x03\x00\x0E\x08セネリオ\x022\n\x0E\x03\x02\x0A\x08セリーヌ\nIl mio desiderio è sempre stato quello di\nproteggere il mio paese. È il motivo che mi ha\nspinta a imparare l'arte della guerra.\x0E\x04\x00\x00
MID_GR_Celine_A_#002	\x0E\x03\x02\x0A\x08セリーヌ\nTuttavia, per quanto io diventi forte, molti\nsostengono che sia compito dell'erede al trono,\nnon mio.\x0E\x04\x00\x00
MID_GR_Celine_A_#003	\x0E\x03\x02\x0A\x08セネリオ\nQuelle persone non capiscono il vero significato\ndel sangue reale.\x0E\x04\x00\x00
MID_GR_Celine_A_#004	\x0E\x03\x02\x0A\x08セネリオ\nÈ il dovere dei reali difendere il proprio popolo.\nLe tasse servono anche a questo.\x0E\x04\x00\x00
MID_GR_Louis_C_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0A\x04ルイ\x021\n\x0E\x03\x00\x0E\x08セネリオ\x022\n\x0E\x03\x02\x06\x04ルイ\nHai un'aura particolare... Ti vedrei bene accanto\na una persona speciale.\x0E\x04\x00\x00
MID_GR_Louis_C_#002	\x0E\x03\x02\x0A\x08セネリオ\nCos'hai da fissarmi? Preferirei che mi lasciassi\nin pace.\x0E\x04\x00\x00
MID_GR_Louis_B_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0A\x04ルイ\x021\n\x0E\x03\x00\x0E\x08セネリオ\x022\n\x0E\x03\x02\x06\x04ルイ\nSono piuttosto abile a preparare il tè. Forse la\ncosa ti sorprenderà, dato che non è una delle\ndoti richieste a un cavaliere.\x0E\x04\x00\x00
MID_GR_Louis_B_#002	\x0E\x03\x02\x0A\x08セネリオ\nNo, per niente. Ho conosciuto tanti cavalieri\nbravi ai fornelli.\x0E\x04\x00\x00
MID_GR_Louis_A_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0A\x04ルイ\x021\n\x0E\x03\x00\x0E\x08セネリオ\x022\n\x0E\x03\x02\x06\x04ルイ\nAnche oggi fa bel tempo, non trovi?\nE tu come stai? Tutto bene?\x0E\x04\x00\x00
MID_GR_Louis_A_#002	\x0E\x03\x02\x0A\x08セネリオ\nNon c'è bisogno di sforzarti a fare\nconversazione. Non ho nessuna intenzione di\nintrattenere rapporti... amichevoli.\x0E\x04\x00\x00
MID_GR_Louis_A_#003	\x0E\x03\x02\x06\x04ルイ\nVolevo solo assicurarmi che ti trovassi bene.\nFaccio sempre così con i miei amici.\x0E\x04\x00\x00
MID_GR_Louis_A_#004	\x0E\x03\x02\x0A\x08セネリオ\nCapito. Sei un tipo eccentrico, mh?\x0E\x04\x00\x00
MID_GR_Chloe_C_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0C\x06クロエ\x021\n\x0E\x03\x00\x0E\x08セネリオ\x022\n\x0E\x03\x02\x08\x06クロエ\nPrima di questo, hai vissuto in altri due mondi,\nvero? Com'era il cibo di quei mondi? Simile al\nnostro?\x0E\x04\x00\x00
MID_GR_Chloe_C_#002	\x0E\x03\x02\x0A\x08セネリオ\nOra che sono un emblema, non posso\ndiscernere i sapori. Ma l'aspetto dei piatti\nmi sembra sempre uguale.\x0E\x04\x00\x00
MID_GR_Chloe_B_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0C\x06クロエ\x021\n\x0E\x03\x00\x0E\x08セネリオ\x022\n\x0E\x03\x02\x08\x06クロエ\nQuando ancora potevi mangiare, che cibi\npreferivi?\x0E\x04\x00\x00
MID_GR_Chloe_B_#002	\x0E\x03\x02\x0A\x08セネリオ\nNon me ne curavo troppo, in guerra non si\nhanno di questi lussi. Mangiavo quello che mi\ncapitava a tiro.\x0E\x04\x00\x00
MID_GR_Chloe_A_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0C\x06クロエ\x021\n\x0E\x03\x00\x0E\x08セネリオ\x022\n\x0E\x03\x02\x08\x06クロエ\nHai detto che mangiavi un po' di tutto, ma c'era\nqualcosa che proprio non ti piaceva?\x0E\x04\x00\x00
MID_GR_Chloe_A_#002	\x0E\x03\x02\x0A\x08セネリオ\nNo, niente in particolare. Anche se...\x0E\x04\x00\x00
MID_GR_Chloe_A_#003	\x0E\x03\x02\x0A\x08セネリオ\nC'era un fluido energizzante dal sapore poco\npiacevole.\x0E\x04\x00\x00
MID_GR_Chloe_A_#004	\x0E\x03\x02\x08\x06クロエ\nOh! Interessante... Puoi dirmi altro?\x0E\x04\x00\x00
MID_GR_Diamand_C_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x12\x0Cディアマンド\x021\n\x0E\x03\x00\x0E\x08セネリオ\x022\n\x0E\x03\x02\x0E\x0Cディアマンド\nDal punto di vista di un paese e del suo popolo,\nquali tratti dovrebbe avere un re, idealmente?\x0E\x04\x00\x00
MID_GR_Diamand_C_#002	\x0E\x03\x02\x0A\x08セネリオ\nTi sembra la domanda da fare a un mercenario?\nPer caso domandi alle mani e ai piedi cosa\ndovrebbe fare la testa?\x0E\x04\x00\x00
MID_GR_Diamand_B_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x12\x0Cディアマンド\x021\n\x0E\x03\x00\x0E\x08セネリオ\x022\n\x0E\x03\x02\x0E\x0Cディアマンド\nNon hai voluto darmi la tua opinione su un\nbravo sovrano. Ma se dovessi servire un re\nsciocco?\x0E\x04\x00\x00
MID_GR_Diamand_B_#002	\x0E\x03\x02\x0A\x08セネリオ\nSe quel re rifiutasse di seguire dei buoni\nconsigli, me ne andrei e basta.\x0E\x04\x00\x00
MID_GR_Diamand_A_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x12\x0Cディアマンド\x021\n\x0E\x03\x00\x0E\x08セネリオ\x022\n\x0E\x03\x02\x0E\x0Cディアマンド\nSo che eri un mago eccezionale, nonché lo\nstratega di un gruppo di mercenari.\x0E\x04\x00\x00
MID_GR_Diamand_A_#002	\x0E\x03\x02\x0A\x08セネリオ\nNon so se mi sarei definito eccezionale, ma\ndiciamo che ero ferrato in materia.\x0E\x04\x00\x00
MID_GR_Diamand_A_#003	\x0E\x03\x02\x0E\x0Cディアマンド\nPadroneggiare un'arte così delicata è lodevole.\nIo ci ho provato una volta, ma era al di là delle\nmie capacità.\x0E\x04\x00\x00
MID_GR_Diamand_A_#004	\x0E\x03\x02\x0A\x08セネリオ\nAvevo l'inclinazione, nulla di più. Non c'è niente\ndi così lodevole.\x0E\x04\x00\x00
MID_GR_Umber_C_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0E\x08アンバー\x021\n\x0E\x03\x00\x0E\x08セネリオ\x022\n\x0E\x03\x02\x0A\x08アンバー\nSono l'eroe del villaggio degli alpaca! Piacere di\nfare la tua conoscenza!\x0E\x04\x00\x00
MID_GR_Umber_C_#002	\x0E\x03\x02\x0A\x08セネリオ\nIdem. Vedo che sei di buonumore.\x0E\x04\x00\x00
MID_GR_Umber_B_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0E\x08アンバー\x021\n\x0E\x03\x00\x0E\x08セネリオ\x022\n\x0E\x03\x02\x0A\x08アンバー\nSto partendo a cercare delle pepite leggendarie\nnascoste nel deserto del Solm!\x0E\x04\x00\x00
MID_GR_Umber_B_#002	\x0E\x03\x02\x0A\x08セネリオ\nLa miniera abbandonata al confine del Solm\nsembra ancora agibile, ma fai attenzione.\x0E\x04\x00\x00
MID_GR_Umber_A_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0E\x08アンバー\x021\n\x0E\x03\x00\x0E\x08セネリオ\x022\n\x0E\x03\x02\x0A\x08アンバー\nSoren! Potresti suggerirmi un allenamento per\naumentare la velocità?\x0E\x04\x00\x00
MID_GR_Umber_A_#002	\x0E\x03\x02\x0A\x08セネリオ\nPer gli alpaca o per te?\x0E\x04\x00\x00
MID_GR_Umber_A_#003	\x0E\x03\x02\x0A\x08アンバー\nEntrambe le cose, ovviamente! Sei intelligente,\nsaprai senz'altro come fare.\x0E\x04\x00\x00
MID_GR_Umber_A_#004	\x0E\x03\x02\x0A\x08セネリオ\nNon credo di poterti aiutare. Dovresti chiedere\na qualcuno più esperto di me in fatto di alpaca.\x0E\x04\x00\x00
MID_GR_Jade_C_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0E\x08ジェーデ\x021\n\x0E\x03\x00\x0E\x08セネリオ\x022\n\x0E\x03\x02\x0A\x08セネリオ\nMh? Ma questo libro... "Le avventure di Amber,\ncavaliere allo sbaraglio"?\x0E\x04\x00\x00
MID_GR_Jade_C_#002	\x0E\x03\x02\x0A\x08ジェーデ\nAh, quello è un testo, ehm, confidenziale.\nLo stavo proprio cercando, grazie.\x0E\x04\x00\x00
MID_GR_Jade_B_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0E\x08ジェーデ\x021\n\x0E\x03\x00\x0E\x08セネリオ\x022\n\x0E\x03\x02\x0A\x08ジェーデ\nRiguardo al libro confidenziale che hai trovato\nl'altra volta... Non lo avrai mica letto, spero?\x0E\x04\x00\x00
MID_GR_Jade_B_#002	\x0E\x03\x02\x0A\x08セネリオ\nParli del romanzo con Amber come\nprotagonista? Ne ho sfogliato alcune pagine.\x0E\x04\x00\x00
MID_GR_Jade_A_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0E\x08ジェーデ\x021\n\x0E\x03\x00\x0E\x08セネリオ\x022\n\x0E\x03\x02\x0A\x08ジェーデ\nSpesso mi dicono che sono distaccata... ma\nanche a me piace divertirmi.\x0E\x04\x00\x00
MID_GR_Jade_A_#002	\x0E\x03\x02\x0A\x08セネリオ\nCapisco. Non sei la persona più espressiva del\nmondo.\x0E\x04\x00\x00
MID_GR_Jade_A_#003	\x0E\x03\x02\x0A\x08ジェーデ\nSembrerebbe che tu mi capisca bene, da questo\npunto di vista. Hai persino letto tutto il libro.\x0E\x04\x00\x00
MID_GR_Jade_A_#004	\x0E\x03\x02\x0A\x08セネリオ\nTi fai troppi problemi. Non ti basta sapere\nche ci sosteniamo a vicenda in battaglia?\x0E\x04\x00\x00
MID_GR_Staluke_C_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x10\nスタルーク\x021\n\x0E\x03\x00\x0E\x08セネリオ\x022\n\x0E\x03\x02\x0C\nスタルーク\nPosso importunarvi un attimo? So bene che non\ndev'essere piacevole parlare con uno come me.\x0E\x04\x00\x00
MID_GR_Staluke_C_#002	\x0E\x03\x02\x0A\x08セネリオ\nNon ti trovo particolarmente spiacevole, ma\nse posso scegliere, eviterei le chiacchiere vuote.\x0E\x04\x00\x00
MID_GR_Staluke_B_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x10\nスタルーク\x021\n\x0E\x03\x00\x0E\x08セネリオ\x022\n\x0E\x03\x02\x0C\nスタルーク\nOh... Volevo chiedervi informazioni su alcune\ntattiche militari... Vi sembra un argomento\nabbastanza degno di conversazione?\x0E\x04\x00\x00
MID_GR_Staluke_B_#002	\x0E\x03\x02\x0A\x08セネリオ\nForza, se hai bisogno, non perdiamo tempo.\nÈ snervante vederti lì a indugiare.\x0E\x04\x00\x00
MID_GR_Staluke_A_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x10\nスタルーク\x021\n\x0E\x03\x00\x0E\x08セネリオ\x022\n\x0E\x03\x02\x0C\nスタルーク\nSarete sicuramente impegnato, ma mi\nchiedevo... ecco... mi piacerebbe fare un duello\namichevole!\x0E\x04\x00\x00
MID_GR_Staluke_A_#002	\x0E\x03\x02\x0A\x08セネリオ\nNon c'è problema.\x0E\x04\x00\x00
MID_GR_Staluke_A_#003	\x0E\x03\x02\x0C\nスタルーク\nAh, benissimo... Ah. Come?! Davvero avete\naccettato?!\x0E\x04\x00\x00
MID_GR_Staluke_A_#004	\x0E\x03\x02\x0A\x08セネリオ\nSe ti aspettavi un rifiuto, non avresti dovuto\nneanche domandarmelo. Trovo sempre\nstimolante uno scontro. Che vinca il migliore.\x0E\x04\x00\x00
MID_GR_Lapis_C_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0C\x06ラピス\x021\n\x0E\x03\x00\x0E\x08セネリオ\x022\n\x0E\x03\x02\x0A\x08セネリオ\nPerché raccatti vecchie armi e pezzi di armatura\nche nessuno usa più?\x0E\x04\x00\x00
MID_GR_Lapis_C_#002	\x0E\x03\x02\x08\x06ラピス\nLi uso per costruire oggetti vari. È un modo per\nrisparmiare... cioè, per ottimizzare le risorse con\naccortezza, no?\x0E\x04\x00\x00
MID_GR_Lapis_B_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0C\x06ラピス\x021\n\x0E\x03\x00\x0E\x08セネリオ\x022\n\x0E\x03\x02\x0A\x08セネリオ\nDove stai andando? Le strutture per allenarsi\nsono tutte qui nel Somniel.\x0E\x04\x00\x00
MID_GR_Lapis_B_#002	\x0E\x03\x02\x08\x06ラピス\nSto andando nella foresta a caccia di orsi... cioè,\nin cerca di avversari forti come degli orsi!\x0E\x04\x00\x00
MID_GR_Lapis_A_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0C\x06ラピス\x021\n\x0E\x03\x00\x0E\x08セネリオ\x022\n\x0E\x03\x02\x08\x06ラピス\nMi sono fatta un taglio sulla mano mentre\nriparavo un'arma. Ci ho messo un unguento\nfatto da me, ma mi fa ancora male.\x0E\x04\x00\x00
MID_GR_Lapis_A_#002	\x0E\x03\x02\x08\x06ラピス\nSembri infastidito. Lasciami indovinare, mi dirai\nche sono troppo frugale?\x0E\x04\x00\x00
MID_GR_Lapis_A_#003	\x0E\x03\x02\x0A\x08セネリオ\nAnche noi mercenari dovevamo arrangiarci\nda soli, a volte. Tu però esageri un po'.\x0E\x04\x00\x00
