MID_OP1_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0E\x08リュール\x021\n\x0E\x03\x00\x0A\x04リン\x022\n\x0E\x03\x02\x06\x04リン\nQuesta brezza... I profumi... Mi sento a casa.\x0E\x04\x00\x00
MID_BT3_#001	\x0E\x02\x01\x00\n\x0E\x03\x00\x12\x0Cオルテンシア\x02t\n\x0E\x05\x01\x1A\x0Cオルテンシア\nAngry\n\x0E\x03\x02\x0E\x0Cオルテンシア\nVederti qui mi fa quasi sembrare di avere mio\npadre di nuovo tra noi. Ma non è così che\nfunziona il mondo, purtroppo.\x0E\x04\x00\x00
MID_BT3_#002	\x0E\x03\x00\x0A\x04リン\x02b\n\x0E\x05\x01\x14\x04リン\x0CStatus\n\x0E\x03\x02\x06\x04リン\nSfortunatamente non posso sostituire tuo\npadre, né la sua memoria.\x0E\x04\x00\x00
MID_BT3_#003	\x0E\x05\x01\x12\x04リン\nSmile\n\x0E\x03\x02\x06\x04リン\nSei diventata brava. Ora mostrami quanto\nsei cresciuta!\x0E\x04\x00\x00
MID_BT3_#004	\x0E\x05\x01\x1E\x0Cオルテンシア\x0EStandBy\n\x0E\x03\x02\x0E\x0Cオルテンシア\nNon solo sono più forte, ma anche più carina!\nSe mio padre fosse qui rimarrebbe molto colpito\nnel vedermi così maturata!\x0E\x04\x00\x00
MID_ED1_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0E\x08リュール\x021\n\x0E\x03\x00\x0A\x04リン\x022\n\x0E\x03\x02\x06\x04リン\nWow. Mi hai battuta. La tua forza è innegabile.\x0E\x04\x00\x00
MID_ED1_#002	\x0E\x03\x02\x0A\x08リュール\nLe tue abilità non sono da meno! Che potenza...\x0E\x04\x00\x00
MID_ED1_#003	\x0E\x03\x02\x0A\x08リュール\nChissà se sarei come te se fossi cresciut\x0E\x0A\x00\x08\x02o\x02a qui\nnelle pianure...\x0E\x04\x00\x00
MID_ED1_#004	\x0E\x03\x02\x06\x04リン\nEheh. Forse. Qui ho imparato le basi\ndel combattimento, ma molte delle cose\nche so le devo a Eliwood e Hector.\x0E\x04\x00\x00
MID_ED1_#005	\x0E\x03\x02\x06\x04リン\nAbbiamo viaggiato in lungo e in largo insieme.\nA volte ci scontravamo tra di noi, per tenerci\nin allenamento.\x0E\x04\x00\x00
MID_ED1_#006	\x0E\x03\x02\x06\x04リン\nCon loro ho imparato la giustizia e il coraggio.\nOltre che a fidarmi degli altri. Ci vuole forza per\nlasciarsi andare.\x0E\x04\x00\x00
MID_ED1_#007	\x0E\x03\x02\x06\x04リン\nE quella forza mi ha resa la persona che sono.\x0E\x04\x00\x00
MID_ED1_#008	\x0E\x03\x02\x0A\x08リュール\nAl mio risveglio non avevo ricordi e non riuscivo\na fidarmi di nessuno.\x0E\x04\x00\x00
MID_ED1_#009	\x0E\x03\x02\x0A\x08リュール\nMa ora sono circondat\x0E\x0A\x00\x08\x02o\x02a di amici che mi\ninsegnano molte cose riguardo al mondo...\ne anche riguardo a me.\x0E\x04\x00\x00
MID_ED1_#010	\x0E\x03\x02\x0A\x08リュール\nAlla fine di questa avventura spero di diventare\nforte come loro. E come te.\x0E\x04\x00\x00
MID_ED1_#011	\x0E\x03\x02\x06\x04リン\nSono sicura che ce la farai!\x0E\x04\x00\x00
MID_ED1_#012	\x0E\x03\x02\x06\x04リン\nE naturalmente ti aiuterò, se vorrai!\x0E\x04\x00\x00
MID_ED1_#013	\x0E\x03\x02\x0A\x08リュール\nGrazie, Lyn.\x0E\x04\x00\x00
MID_LC1_#001	\x0E\x02\x02\x00
