MID_RELIANCE_C_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0E\x08リュール\x021\n\x0E\x03\x00\x10\nヴァンドレ\x022\n\x0E\x03\x02\x0A\x08リュール\nFiuuu, per oggi può bastare.\x0E\x04\x00\x00
MID_RELIANCE_B_#016	\x0E\x03\x02\x0A\x08リュール\nNaturalmente rispetto mia madre e ti sono\ngrat\x0E\x0A\x00\x08\x02o\x02a per il servizio che le hai dato. Ma io sono\ndivers\x0E\x0A\x00\x08\x02o\x02a da lei, Vander.\x0E\x04\x00\x00
MID_RELIANCE_B_#017	\x0E\x03\x02\x0A\x08リュール\nE vorrei che ciò mi venisse riconosciuto.\nSono in grado di badare a me stess\x0E\x0A\x00\x08\x02o\x02a.\x0E\x04\x00\x00
MID_RELIANCE_B_#018	\x0E\x03\x02\x0C\nヴァンドレ\nHo capito...\x0E\x04\x00\x00
MID_RELIANCE_B_#019	\x0E\x03\x02\x0C\nヴァンドレ\nChiedo venia, Drago Divino, se ho insistito con\nil mio punto di vista. Le vecchie abitudini sono\ndure a morire.\x0E\x04\x00\x00
MID_RELIANCE_B_#020	\x0E\x03\x02\x0C\nヴァンドレ\nD'ora in avanti rispetterò le vostre volontà e\nfarò in modo di accomodarle.\x0E\x04\x00\x00
MID_RELIANCE_B_#021	\x0E\x03\x02\x0A\x08リュール\nTi ringrazio. E, ti prego, potresti informarmi\nprima di fare qualcosa al posto mio?\x0E\x04\x00\x00
MID_RELIANCE_B_#022	\x0E\x03\x02\x0A\x08リュール\nAvrò ancora bisogno del tuo aiuto, per molte\ncose, ma ci penserò io a chiedertelo.\x0E\x04\x00\x00
MID_RELIANCE_A_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0E\x08リュール\x021\n\x0E\x03\x00\x10\nヴァンドレ\x022\n\x0E\x03\x02\x0C\nヴァンドレ\nPensavo di dare una sistemata alle vostre armi e\narmature, Drago Divino.\x0E\x04\x00\x00
MID_RELIANCE_A_#002	\x0E\x03\x02\x0A\x08リュール\nNon serve. Me ne occuperò io visto che ho\ntempo.\x0E\x04\x00\x00
MID_RELIANCE_A_#003	\x0E\x03\x02\x0C\nヴァンドレ\nD'accordo. Allora mi dedicherò ad altri compiti,\nse per voi va bene.\x0E\x04\x00\x00
MID_RELIANCE_A_#004	\x0E\x03\x02\x0A\x08リュール\nGrazie per l'impegno che ci metti.\x0E\x04\x00\x00
MID_RELIANCE_A_#005	\x0E\x03\x02\x0C\nヴァンドレ\nNon c'è bisogno di ringraziarmi, Drago Divino.\nNon è niente, davvero...\x0E\x04\x00\x00
MID_RELIANCE_A_#006	\x0E\x03\x02\x0A\x08リュール\nQualcosa ti angustia?\x0E\x04\x00\x00
MID_RELIANCE_A_#007	\x0E\x03\x02\x0C\nヴァンドレ\nPotrei avere un minuto del vostro tempo?\x0E\x04\x00\x00
MID_RELIANCE_A_#008	\x0E\x03\x02\x0A\x08リュール\nTi ascolto. Qual è il problema?\x0E\x04\x00\x00
MID_RELIANCE_A_#009	\x0E\x03\x02\x0C\nヴァンドレ\nLa volta scorsa avete insistito su come voi siate\ndivers\x0E\x0A\x00\x08\x02o\x02a dalla regina Lumera.\x0E\x04\x00\x00
MID_RELIANCE_A_#010	\x0E\x03\x02\x0C\nヴァンドレ\nEppure, avendovi servit\x0E\x0A\x00\x08\x02i\x02e entramb\x0E\x0A\x00\x08\x02i\x02e, non posso\nfare a meno di notare molte similitudini.\x0E\x04\x00\x00
MID_RELIANCE_A_#011	\x0E\x03\x02\x0C\nヴァンドレ\nAd esempio ne ho notata una proprio ora.\x0E\x04\x00\x00
MID_RELIANCE_A_#012	\x0E\x03\x02\x0A\x08リュール\nAh sì?\x0E\x04\x00\x00
MID_RELIANCE_A_#013	\x0E\x03\x02\x0C\nヴァンドレ\nSiete premuros\x0E\x0A\x00\x08\x02o\x02a con tutti e questo vi rende\namat\x0E\x0A\x00\x08\x02o\x02a e rispettat\x0E\x0A\x00\x08\x02o\x02a proprio come lei.\x0E\x04\x00\x00
MID_RELIANCE_A_#014	\x0E\x03\x02\x0C\nヴァンドレ\nSe proprio volessi trovare una differenza è solo\nche voi state ancora maturando.\x0E\x04\x00\x00
MID_RELIANCE_A_#015	\x0E\x03\x02\x0C\nヴァンドレ\nVi attende un futuro radioso e non desidero\naltro che aiutarvi a raggiungerlo.\x0E\x04\x00\x00
MID_RELIANCE_A_#016	\x0E\x03\x02\x0A\x08リュール\nVander...\x0E\x04\x00\x00
MID_RELIANCE_A_#017	\x0E\x03\x02\x0C\nヴァンドレ\nSpero che le mie parole non vi siano suonate\noffensive. Sono i miei pensieri sinceri.\x0E\x04\x00\x00
MID_RELIANCE_A_#018	\x0E\x03\x02\x0A\x08リュール\nNo, sono felice che tu ti sia aperto con me. Hai\nragione: ho ancora molto da imparare.\x0E\x04\x00\x00
MID_RELIANCE_A_#019	\x0E\x03\x02\x0A\x08リュール\nSpero di diventare come mia madre... una\npersona su cui tutti sanno di poter contare.\x0E\x04\x00\x00
MID_RELIANCE_A_#020	\x0E\x03\x02\x0C\nヴァンドレ\nSono sicuro che ne avete il potenziale, Drago\nDivino. E vi assisterò in questo percorso.\x0E\x04\x00\x00
MID_RELIANCE_A_#021	\x0E\x03\x02\x0A\x08リュール\nFinché ci sarai tu a guidarmi sono cert\x0E\x0A\x00\x08\x02o\x02a che le\ncose andranno per il meglio.\x0E\x04\x00\x00
MID_RELIANCE_A_#022	\x0E\x03\x02\x0A\x08リュール\nContinua a darmi il tuo appoggio. Quando sarò\nforte abbastanza, avrai il mio.\x0E\x04\x00\x00
MID_RELIANCE_A_#023	\x0E\x03\x02\x0C\nヴァンドレ\nLo prometto, Drago Divino.\x0E\x04\x00\x00
MID_RELIANCE_S_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0E\x08リュール\x021\n\x0E\x03\x00\x10\nヴァンドレ\x022\n\x0E\x03\x02\x0C\nヴァンドレ\nDrago Divino, ho una confessione da farvi.\x0E\x04\x00\x00
MID_RELIANCE_S_#002	\x0E\x03\x02\x0A\x08リュール\nUh? Dimmi pure...\x0E\x04\x00\x00
MID_RELIANCE_S_#003	\x0E\x03\x02\x0C\nヴァンドレ\nÈ opportuno svelarvi alcuni dettagli sul mio\nlavoro, nella speranza di restare al vostro\nservizio ancora a lungo.\x0E\x04\x00\x00
MID_RELIANCE_S_#004	\x0E\x03\x02\x0C\nヴァンドレ\nQuando sono stato inviato nel Somniel per\noccuparmi di voi, non ero entusiasta all'idea.\x0E\x04\x00\x00
MID_RELIANCE_S_#005	\x0E\x03\x02\x0A\x08リュール\nAh no?\x0E\x04\x00\x00
MID_RELIANCE_S_#006	\x0E\x03\x02\x0C\nヴァンドレ\nLo ammetto. Prima di voi volevo solo servire\nla regina Lumera per il resto della mia vita.\x0E\x04\x00\x00
MID_RELIANCE_S_#007	\x0E\x03\x02\x0C\nヴァンドレ\nMa la regina insistette affinché venissi a\nvegliare sul vostro sonno, nonostante le mie\naccorate proteste.\x0E\x04\x00\x00
MID_RELIANCE_S_#008	\x0E\x03\x02\x0C\nヴァンドレ\nMi sentii messo da parte, inutile. Il mio arrivo\nnel Somniel non fu dei migliori...\x0E\x04\x00\x00
MID_RELIANCE_S_#009	\x0E\x03\x02\x0A\x08リュール\nHo capito... Cosa ti ha fatto cambiare idea?\x0E\x04\x00\x00
MID_RELIANCE_S_#010	\x0E\x03\x02\x0C\nヴァンドレ\nAll'inizio obbedivo agli ordini della regina\nLumera.\x0E\x04\x00\x00
MID_RELIANCE_S_#011	\x0E\x03\x02\x0C\nヴァンドレ\nMa ora credo in voi e nella vostra passione,\nDrago Divino. Sono lieto di servirvi.\x0E\x04\x00\x00
MID_RELIANCE_S_#012	\x0E\x03\x02\x0A\x08リュール\nVander...\x0E\x04\x00\x00
MID_RELIANCE_S_#013	\x0E\x03\x02\x0C\nヴァンドレ\nSolo dopo che ci ha lasciati, ho realizzato che la\nregina Lumera sapeva di non avere molto tempo\ndavanti a lei.\x0E\x04\x00\x00
MID_RELIANCE_S_#014	\x0E\x03\x02\x0C\nヴァンドレ\nPer questo motivo deve avervi affidat\x0E\x0A\x00\x08\x02o\x02a alle mie\ncure e nel poco tempo che le rimaneva mi ha\nguidato passo per passo.\x0E\x04\x00\x00
MID_RELIANCE_S_#015	\x0E\x03\x02\x0C\nヴァンドレ\nNon v'è onore più grande per un valletto che\nvedersi affidare \x0E\x0A\x00\x0C\x04il\x04la figli\x0E\x0A\x00\x08\x02o\x02a della regina Lumera.\x0E\x04\x00\x00
MID_RELIANCE_S_#016	\x0E\x03\x02\x0C\nヴァンドレ\nSono stato sconsiderato a non capirlo subito.\nVe ne chiedo scusa.\x0E\x04\x00\x00
MID_RELIANCE_S_#017	\x0E\x03\x02\x0A\x08リュール\nNon devi scusarti. Grazie per avermi parlato\ncosì apertamente, Vander.\x0E\x04\x00\x00
MID_RELIANCE_S_#018	\x0E\x03\x02\x0C\nヴァンドレ\nDrago Divino, potrei avere di nuovo l'onore di\ngiurarvi la mia fedeltà?\x0E\x04\x00\x00
MID_RELIANCE_S_#019	\x0E\x03\x02\x0A\x08リュール\nMa certo.\x0E\x04\x00\x00
MID_RELIANCE_S_#020	\x0E\x03\x02\x0C\nヴァンドレ\nDrago Divino, vi faccio voto della mia lealtà\nincondizionata.\x0E\x04\x00\x00
MID_RELIANCE_S_#021	\x0E\x03\x02\x0A\x08リュール\nE io ti riconosco come mio più valoroso\ncavaliere.\x0E\x04\x00\x00
MID_RELIANCE_S_#022	\x0E\x03\x02\x0A\x08リュール\nAccetta questo, in onore del nostro giuramento.\x0E\x04\x00\x00
MID_RELIANCE_S_#023	\x0E\x03\x02\x0C\nヴァンドレ\nL'anello del patto? Non posso accettare\nun dono così prezioso!\x0E\x04\x00\x00
MID_RELIANCE_S_#024	\x0E\x03\x02\x0A\x08リュール\nE invece puoi. Voglio che lo tenga tu.\x0E\x04\x00\x00
MID_RELIANCE_S_#025	\x0E\x03\x02\x0A\x08リュール\nQuesto anello viene passato da un Drago Divino\nall'altro e rappresenta un legame speciale.\x0E\x04\x00\x00
MID_RELIANCE_S_#026	\x0E\x03\x02\x0A\x08リュール\nNessuno lo merita più di te. Hai sempre servito\nme e mia madre con zelo e costanza.\x0E\x04\x00\x00
MID_RELIANCE_S_#027	\x0E\x03\x02\x0C\nヴァンドレ\nNon avrei mai pensato che mi sarebbe spettato\nquesto onore.\x0E\x04\x00\x00
MID_RELIANCE_S_#028	\x0E\x03\x02\x0A\x08リュール\nEheh. Mi ricorda la frase che hai pronunciato al\nmio risveglio. Sei rimasto sempre al mio fianco\nda quel momento...\x0E\x04\x00\x00
MID_RELIANCE_S_#029	\x0E\x03\x02\x0A\x08リュール\nE mi piacerebbe che continuassi anche\nin futuro.\x0E\x04\x00\x00
MID_RELIANCE_S_#030	\x0E\x03\x02\x0C\nヴァンドレ\nMa è un onore, Drago Divino. Vi seguirei in\ncapo al mondo.\x0E\x04\x00\x00
MID_RELIANCE_S_#031	\x0E\x03\x02\x0C\nヴァンドレ\nPer essere degno di questo anello non\npermetterò che vi accada mai nulla di male.\x0E\x04\x00\x00
MID_RELIANCE_S_#032	\x0E\x03\x02\x0C\nヴァンドレ\nIo, Vander, giuro di proteggervi, a costo della\nmia stessa vita.\x0E\x04\x00\x00
