MID_OP1_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0E\x08リュール\x021\n\x0E\x03\x00\x0A\x04チキ\x022\n\x0E\x03\x00\x10\nヴェロニカ\x023\n\x0E\x03\x02\x0A\x08リュール\nIncredibile, un'altra isola tra le nuvole.\x0E\x04\x00\x00
MID_BT2_#002	\x0E\x03\x00\x0C\x06アンナ\x02t\n\x0E\x05\x01\x16\x06アンナ\x0CNormal\n\x0E\x03\x02\x08\x06アンナ\nGuardiani di Askr? Che bel nome! Non li\nconosco, però. Magari hai incontrato una delle\nmie sorelle!\x0E\x04\x00\x00
MID_BT2_#003	\x0E\x03\x02\x08\x06アンナ\nPenso che alcune di loro siano anche nel tuo\nmondo. Oh, chissà che prodotti vendono!\x0E\x04\x00\x00
MID_BT2_#004	\x0E\x05\x01\x14\nヴェロニカ\x06Sad\n\x0E\x03\x02\x0C\nヴェロニカ\nSei... particolare. La tua famiglia dev'essere\nquantomeno interessante.\x0E\x04\x00\x00
MID_ED1_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0E\x08リュール\x021\n\x0E\x03\x00\x10\nヴェロニカ\x022\n\x0E\x03\x02\x0C\nヴェロニカ\nPerché? Perché devo sempre perdere? Non è\ngiusto...\x0E\x04\x00\x00
MID_ED1_#002	\x0E\x03\x02\x0A\x08リュール\nHai detto che \x0E\x0A\x006\x18il vincitore\x1Ala vincitrice avrebbe comandato.\nParole tue. Allora, ti unirai a noi?\x0E\x04\x02\x00
MID_ED1_#003	Ci battiamo per riportare la pace in questo\nmondo.\x0E\x04\x00\x00
MID_ED1_#004	\x0E\x03\x02\x0C\nヴェロニカ\nLa vostra causa non mi riguarda.\x0E\x04\x00\x00
MID_ED1_#005	\x0E\x03\x02\x0A\x08リュール\nEri una principessa imperiale, avrai sicuramente\ncombattuto per il bene del tuo popolo.\x0E\x04\x02\x00
MID_ED1_#006	Ecco, noi facciamo la stessa cosa qui. Sono\nsicur\x0E\x0A\x00\x08\x02o\x02a che tu possa capire.\x0E\x04\x00\x00
MID_ED1_#007	\x0E\x03\x02\x0C\nヴェロニカ\nUn sovrano ha un dovere verso il suo popolo.\nHo pronunciato proprio queste parole già una\nvolta...\x0E\x04\x02\x00
MID_ED1_#008	Ho fatto quanto in mio potere per l'Embla,\neppure i miei obiettivi erano costantemente\nirraggiungibili.\x0E\x04\x02\x00
MID_ED1_#009	Tu hai tanti alleati e possiedi il potere di\nevocare gli emblemi...\x0E\x04\x02\x00
MID_ED1_#010	Non ti basta? Hai già tutto quello che ti serve.\x0E\x04\x00\x00
MID_ED1_#011	\x0E\x03\x02\x0A\x08リュール\nUn po' di aiuto in più non fa mai male. Io mi\nsentirei molto meglio sapendoti al mio fianco.\x0E\x04\x00\x00
MID_ED1_#012	\x0E\x03\x02\x0C\nヴェロニカ\nMa io non ho niente da darti.\x0E\x04\x00\x00
MID_ED1_#013	\x0E\x03\x02\x0A\x08リュール\nNon è vero. Sei forte e abile nei ruoli di\ncomando. Saresti un'amica portentosa.\x0E\x04\x00\x00
MID_ED1_#014	\x0E\x03\x02\x0C\nヴェロニカ\nRibadisco che parli in modo strano.\x0E\x04\x02\x00
MID_ED1_#015	Le amicizie non mi interessano. Tuttavia,\npotrebbero essere un'alternativa preferibile\nalla solitudine.\x0E\x04\x02\x00
MID_ED1_#016	E va bene. Ti presterò il mio potere, per un\ncerto tempo.\x0E\x04\x00\x00
MID_ED1_#017	\x0E\x03\x02\x0A\x08リュール\nTi ringrazio, emblema Veronica.\x0E\x04\x02\x00
MID_ED1_#018	Ora sarà meglio andare. I tuoi nuovi alleati\nsaranno contenti di conoscerti.\x0E\x04\x00\x00
MID_ED1_#019	\x0E\x03\x02\x0C\nヴェロニカ\nMmmh... Vedremo.\x0E\x04\x02\x00
MID_ED1_#020	È trascorso molto tempo dall'ultima volta che\nmi sono trovata in mezzo alla folla. Non sono\npiù abituata.\x0E\x04\x02\x00
MID_ED1_#021	Però... l'idea non mi dispiace del tutto.\nSentiamo cos'hanno da dirmi i tuoi alleati.\x0E\x04\x00\x00
