MID_GR_Lueur_C_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0E\x08リュール\x021\n\x0E\x03\x00\x0A\x04ロイ\x022\n\x0E\x03\x02\x0A\x08リュール\nHai una forza considerevole, Roy. Non mi\nstupisce che ti avessero affidato alla Brodia.\x0E\x04\x00\x00
MID_GR_Clan_A_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0C\x06クラン\x021\n\x0E\x03\x00\x0A\x04ロイ\x022\n\x0E\x03\x02\x08\x06クラン\nLord Roy... pensi che io sia diventato forte\nabbastanza per proteggere il Drago Divino?\x0E\x04\x00\x00
MID_GR_Clan_A_#002	\x0E\x03\x02\x06\x04ロイ\nSicuramente. Ogni volta che combatto insieme\na te, ti vedo sempre più forte.\x0E\x04\x00\x00
MID_GR_Clan_A_#003	\x0E\x03\x02\x08\x06クラン\nLord Roy pensa che io sia forte! Oh, cielo.\nSono così contento che potrei svenire!\x0E\x04\x00\x00
MID_GR_Clan_A_#004	\x0E\x03\x02\x06\x04ロイ\nLavora sodo e diventerai ancora più forte.\nSembra uno slogan del fan club del Drago\nDivino.\x0E\x04\x00\x00
MID_GR_Fram_C_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0C\x06フラン\x021\n\x0E\x03\x00\x0A\x04ロイ\x022\n\x0E\x03\x02\x08\x06フラン\nSe uniamo le forze, lord Roy, saremo imbattibili.\nMettiamocela tutta!\x0E\x04\x00\x00
MID_GR_Fram_C_#002	\x0E\x03\x02\x06\x04ロイ\nMi piace la tua sicurezza, Framme. Ma non\nabbassare mai la guardia, d'accordo?\x0E\x04\x00\x00
MID_GR_Fram_B_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0C\x06フラン\x021\n\x0E\x03\x00\x0A\x04ロイ\x022\n\x0E\x03\x02\x06\x04ロイ\nFramme, cos'è quel cibo che ti porti sempre\nappresso?\x0E\x04\x00\x00
MID_GR_Fram_B_#002	\x0E\x03\x02\x08\x06フラン\nBarbabietole. Sono molto nutrienti e sono\nanche il mio cibo preferito.\x0E\x04\x00\x00
MID_GR_Fram_A_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0C\x06フラン\x021\n\x0E\x03\x00\x0A\x04ロイ\x022\n\x0E\x03\x02\x08\x06フラン\nCi sono così tante persone più forti di me, lord\nRoy. E se non riuscissi a proteggere il Drago\nDivino?\x0E\x04\x00\x00
MID_GR_Fram_A_#002	\x0E\x03\x02\x06\x04ロイ\nSei forte, Framme, e ti prendi cura del\nDrago Divino in modo impeccabile.\x0E\x04\x00\x00
MID_GR_Fram_A_#003	\x0E\x03\x02\x06\x04ロイ\nInoltre, ci sono cose che solo tu sai fare.\nLa motivazione che ci dai con il tuo entusiasmo\nè davvero preziosa.\x0E\x04\x00\x00
MID_GR_Fram_A_#004	\x0E\x03\x02\x08\x06フラン\nVa bene, continuerò a dare il massimo per\nproteggere il Drago Divino. Aspetta e vedrai!\x0E\x04\x00\x00
MID_GR_Alfred_C_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x12\x0Cアルフレッド\x021\n\x0E\x03\x00\x0A\x04ロイ\x022\n\x0E\x03\x02\x0E\x0Cアルフレッド\nI nostri alleati brodiani avevano un emblema\npotentissimo. Non vedo l'ora di combattere\ninsieme a te.\x0E\x04\x00\x00
MID_GR_Alfred_C_#002	\x0E\x03\x02\x06\x04ロイ\nAnche tu sembri un degno alleato. Sono\ncontento di combattere al tuo fianco.\x0E\x04\x00\x00
MID_GR_Alfred_B_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x12\x0Cアルフレッド\x021\n\x0E\x03\x00\x0A\x04ロイ\x022\n\x0E\x03\x02\x06\x04ロイ\nAlfred, hai bisogno di qualcosa? Sento il tuo\nsguardo su di me.\x0E\x04\x00\x00
MID_GR_Alfred_B_#002	\x0E\x03\x02\x0E\x0Cアルフレッド\nNon posso farci nulla, hai dei muscoli davvero\nnotevoli! Devi dirmi che allenamento segui.\x0E\x04\x00\x00
MID_GR_Alfred_A_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x12\x0Cアルフレッド\x021\n\x0E\x03\x00\x0A\x04ロイ\x022\n\x0E\x03\x02\x0E\x0Cアルフレッド\nForza e coraggio, Roy! È l'alba, il momento\nperfetto per allenarci.\x0E\x04\x00\x00
MID_GR_Alfred_A_#002	\x0E\x03\x02\x06\x04ロイ\nApprezzo il tuo entusiasmo, ma non credi che\nsia un po' presto?\x0E\x04\x00\x00
MID_GR_Alfred_A_#003	\x0E\x03\x02\x0E\x0Cアルフレッド\nSciocchezze. Chi dorme non piglia pesci e\ni nostri muscoli sono svegli da un bel po'!\x0E\x04\x00\x00
MID_GR_Alfred_A_#004	\x0E\x03\x02\x06\x04ロイ\nNon so se sia proprio così, ma sei tu l'esperto.\nMettiamoci al lavoro!\x0E\x04\x00\x00
MID_GR_Boucheron_C_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x10\nブシュロン\x021\n\x0E\x03\x00\x0A\x04ロイ\x022\n\x0E\x03\x02\x0C\nブシュロン\nCosì sei uscito da questo anello? Certo che\nil mondo è davvero pieno di sorprese.\x0E\x04\x00\x00
MID_GR_Boucheron_C_#002	\x0E\x03\x02\x06\x04ロイ\nGli emblemi funzionano così. Comunque,\nmi fa piacere conoscere un altro alleato.\x0E\x04\x00\x00
MID_GR_Boucheron_B_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x10\nブシュロン\x021\n\x0E\x03\x00\x0A\x04ロイ\x022\n\x0E\x03\x02\x06\x04ロイ\nTi piace leggere, vero? Avresti qualche libro\nda consigliarmi?\x0E\x04\x00\x00
MID_GR_Boucheron_B_#002	\x0E\x03\x02\x0C\nブシュロン\nOh, anche a te piace leggere? Vediamo...\nForse te ne potrei consigliare una cinquantina.\x0E\x04\x00\x00
MID_GR_Boucheron_A_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x10\nブシュロン\x021\n\x0E\x03\x00\x0A\x04ロイ\x022\n\x0E\x03\x02\x06\x04ロイ\nLe cose si sono messe male quando ci siamo\nseparati dagli altri, eh?\x0E\x04\x00\x00
MID_GR_Boucheron_A_#002	\x0E\x03\x02\x0C\nブシュロン\nCredevo stessimo procedendo in linea retta, ma\nprima che me ne rendessi conto, ci eravamo\npersi nel bosco.\x0E\x04\x00\x00
MID_GR_Boucheron_A_#003	\x0E\x03\x02\x0C\nブシュロン\nMeno male che c'eri tu a indicarmi la strada.\nNon so cosa avrei fatto senza di te.\x0E\x04\x00\x00
MID_GR_Boucheron_A_#004	\x0E\x03\x02\x06\x04ロイ\nNessun problema. Ti guiderò per qualsiasi\ncammino tu voglia intraprendere, Boucheron.\x0E\x04\x00\x00
MID_GR_Etie_C_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x10\nエーティエ\x021\n\x0E\x03\x00\x0A\x04ロイ\x022\n\x0E\x03\x02\x06\x04ロイ\nSei sempre così sicura di te, Etie. Non c'è\nniente che ti preoccupa?\x0E\x04\x00\x00
MID_GR_Etie_C_#002	\x0E\x03\x02\x0C\nエーティエ\nPreoccuparsi risolve i problemi? No. Inoltre, se\nho qualche dubbio, mi basta allenarmi un po'.\x0E\x04\x00\x00
MID_GR_Etie_B_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x10\nエーティエ\x021\n\x0E\x03\x00\x0A\x04ロイ\x022\n\x0E\x03\x02\x06\x04ロイ\nHai raccolto tu questi fiori? Sono molto belli.\x0E\x04\x00\x00
MID_GR_Etie_B_#002	\x0E\x03\x02\x0C\nエーティエ\nGrazie. Fioriscono anche nella mia città.\x0E\x04\x00\x00
MID_GR_Etie_A_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x10\nエーティエ\x021\n\x0E\x03\x00\x0A\x04ロイ\x022\n\x0E\x03\x02\x06\x04ロイ\nSembri contenta, Etie. Hai ricevuto buone\nnotizie?\x0E\x04\x00\x00
MID_GR_Etie_A_#002	\x0E\x03\x02\x0C\nエーティエ\nNo, mi sono procurata della buona carne.\nSolo il meglio per i miei muscoli!\x0E\x04\x00\x00
MID_GR_Etie_A_#003	\x0E\x03\x02\x06\x04ロイ\nQuindi ti basta mangiare della carne per\navere quei muscoli?\x0E\x04\x00\x00
MID_GR_Etie_A_#004	\x0E\x03\x02\x0C\nエーティエ\nNaturalmente il sollevamento pesi e la corsa\nhanno avuto un ruolo importante. A proposito,\nora devo andare. Ci vediamo dopo!\x0E\x04\x00\x00
MID_GR_Celine_C_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0E\x08セリーヌ\x021\n\x0E\x03\x00\x0A\x04ロイ\x022\n\x0E\x03\x02\x0A\x08セリーヌ\nDovremo fare grande affidamento sul tuo\npotere per riportare la pace.\x0E\x04\x00\x00
MID_GR_Celine_C_#002	\x0E\x03\x02\x06\x04ロイ\nCombatto volentieri per questa causa e sono\nfelice di averti come alleata.\x0E\x04\x00\x00
MID_GR_Celine_B_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0E\x08セリーヌ\x021\n\x0E\x03\x00\x0A\x04ロイ\x022\n\x0E\x03\x02\x06\x04ロイ\nEhi, Céline. Cos'è questo odore? Un nuovo tipo\ndi tè?\x0E\x04\x00\x00
MID_GR_Celine_B_#002	\x0E\x03\x02\x0A\x08セリーヌ\nSì, ho scoperto una nuova varietà.\nChe ne dici di goderci questo aroma insieme?\x0E\x04\x00\x00
MID_GR_Celine_A_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0E\x08セリーヌ\x021\n\x0E\x03\x00\x0A\x04ロイ\x022\n\x0E\x03\x02\x0A\x08セリーヌ\nTu sei più di un combattente. Sei un eccellente\nstratega e anche un comandante. Ammirevole.\x0E\x04\x00\x00
MID_GR_Celine_A_#002	\x0E\x03\x02\x06\x04ロイ\nHo dovuto studiare molto per raggiungere\nquesti risultati. Sono stato educato nella\nscuola più grande del mio regno.\x0E\x04\x00\x00
MID_GR_Celine_A_#003	\x0E\x03\x02\x0A\x08セリーヌ\nAnch'io ho avuto un'educazione completa, ma\ntu sei la prova che ho ancora delle lacune.\x0E\x04\x00\x00
MID_GR_Celine_A_#004	\x0E\x03\x02\x06\x04ロイ\nBeh, anche l'esperienza conta molto. Non c'è\nscuola migliore del campo di battaglia.\x0E\x04\x00\x00
MID_GR_Louis_C_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0A\x04ルイ\x021\n\x0E\x03\x00\x0A\x04ロイ\x022\n\x0E\x03\x02\x06\x04ルイ\nSai cosa ho notato, Roy? Entrambi i nostri nomi\nsono composti da vocali circondate da\nconsonanti.\x0E\x04\x00\x00
MID_GR_Louis_C_#002	\x0E\x03\x02\x06\x04ロイ\nIn effetti hai ragione. Beh, cambiando discorso...\nChe ne diresti di tornare a salvare il mondo?\x0E\x04\x00\x00
MID_GR_Louis_B_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0A\x04ルイ\x021\n\x0E\x03\x00\x0A\x04ロイ\x022\n\x0E\x03\x02\x06\x04ロイ\nCos'è quella? Uva? Ha un profumo delizioso.\x0E\x04\x00\x00
MID_GR_Louis_B_#002	\x0E\x03\x02\x06\x04ルイ\nIl mio villaggio è famoso per la sua uva.\nE non è solo buona, fa anche bene alla salute.\nUn frutto perfetto.\x0E\x04\x00\x00
MID_GR_Louis_A_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0A\x04ルイ\x021\n\x0E\x03\x00\x0A\x04ロイ\x022\n\x0E\x03\x02\x06\x04ロイ\nPerché sei così di buon umore, Louis?\x0E\x04\x00\x00
MID_GR_Louis_A_#002	\x0E\x03\x02\x06\x04ルイ\nIn realtà, Roy, ho avuto il piacere di osservare\nun gruppo di persone che si stavano divertendo\nmolto.\x0E\x04\x00\x00
MID_GR_Louis_A_#003	\x0E\x03\x02\x06\x04ルイ\nRidevano, sorridevano, ballavano... Dev'essere\nmeraviglioso avere amici così!\x0E\x04\x00\x00
MID_GR_Louis_A_#004	\x0E\x03\x02\x06\x04ロイ\nChe bella immagine. Pensa ai loro volti felici\nquando combattiamo per la pace.\x0E\x04\x00\x00
MID_GR_Chloe_C_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0C\x06クロエ\x021\n\x0E\x03\x00\x0A\x04ロイ\x022\n\x0E\x03\x02\x08\x06クロエ\nNon riesco a credere che combatto al fianco di\nun emblema. Mi sembra di stare in una fiaba.\nNon può essere vero...\x0E\x04\x00\x00
MID_GR_Chloe_C_#002	\x0E\x03\x02\x06\x04ロイ\nEppure, è la realtà. Io sono qui e sono pronto\na sostenervi in tutto quello che posso.\x0E\x04\x00\x00
MID_GR_Chloe_B_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0C\x06クロエ\x021\n\x0E\x03\x00\x0A\x04ロイ\x022\n\x0E\x03\x02\x06\x04ロイ\nQuanto cibo! È tutto per te?\x0E\x04\x00\x00
MID_GR_Chloe_B_#002	\x0E\x03\x02\x08\x06クロエ\nNon sapevo cosa scegliere dalle bancarelle del\nmercato, quindi ho preso un po' di tutto.\x0E\x04\x00\x00
MID_GR_Chloe_A_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0C\x06クロエ\x021\n\x0E\x03\x00\x0A\x04ロイ\x022\n\x0E\x03\x02\x08\x06クロエ\nQual è la tua storia preferita, Roy? Scommetto\nche ti piacciono le storie di eroi epici.\x0E\x04\x00\x00
MID_GR_Chloe_A_#002	\x0E\x03\x02\x06\x04ロイ\nMmmh. Me ne vengono in mente alcune. Quelle\nche preferisco sono le storie a lieto fine.\x0E\x04\x00\x00
MID_GR_Chloe_A_#003	\x0E\x03\x02\x08\x06クロエ\nAnche io. Spero che anche la nostra impresa\ndi riportare la pace nel mondo vada a finire\nbene.\x0E\x04\x00\x00
MID_GR_Chloe_A_#004	\x0E\x03\x02\x06\x04ロイ\nLo spero anch'io. E se ci impegniamo\nabbastanza, potremo scrivere noi il nostro\nfinale.\x0E\x04\x00\x00
MID_GR_Diamand_C_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x12\x0Cディアマンド\x021\n\x0E\x03\x00\x0A\x04ロイ\x022\n\x0E\x03\x02\x0E\x0Cディアマンド\nIl tuo anello era affidato al mio regno, Roy...\nLa Brodia conta sul tuo potere.\x0E\x04\x00\x00
MID_GR_Diamand_C_#002	\x0E\x03\x02\x06\x04ロイ\nAspettavo con ansia questo giorno. Lascia\nfare a me. Insieme riporteremo la pace nel\ntuo regno.\x0E\x04\x00\x00
MID_GR_Diamand_B_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x12\x0Cディアマンド\x021\n\x0E\x03\x00\x0A\x04ロイ\x022\n\x0E\x03\x02\x0E\x0Cディアマンド\nAnche tu hai studiato l'arte di governare, vero\nRoy? Sono sicuro che potresti insegnarmi\nqualcosa...\x0E\x04\x00\x00
MID_GR_Diamand_B_#002	\x0E\x03\x02\x06\x04ロイ\nHo imparato solo come comportarmi da lord.\nSarò lieto di insegnarti quello che so in materia.\x0E\x04\x00\x00
MID_GR_Diamand_A_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x12\x0Cディアマンド\x021\n\x0E\x03\x00\x0A\x04ロイ\x022\n\x0E\x03\x02\x0E\x0Cディアマンド\nQuando ti vidi uscire dall'anello fu una sorpresa,\nma ho sempre percepito la tua presenza al suo\ninterno.\x0E\x04\x00\x00
MID_GR_Diamand_A_#002	\x0E\x03\x02\x06\x04ロイ\nMi fa piacere. Ero contento di poterti finalmente\nparlare faccia a faccia.\x0E\x04\x00\x00
MID_GR_Diamand_A_#003	\x0E\x03\x02\x0E\x0Cディアマンド\nCombattiamo bene noi due insieme. Speriamo\nche la nostra forza basti a ristabilire la pace.\x0E\x04\x00\x00
MID_GR_Diamand_A_#004	\x0E\x03\x02\x06\x04ロイ\nLo spero anch'io, Diamant. E sono sicuro che\nce la faremo. Ci metteremo tutti noi stessi.\x0E\x04\x00\x00
MID_GR_Umber_C_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0E\x08アンバー\x021\n\x0E\x03\x00\x0A\x04ロイ\x022\n\x0E\x03\x02\x0A\x08アンバー\nIncredibile... Il leggendario Roy se ne è sempre\nstato dentro a quell'anello della Brodia!\x0E\x04\x00\x00
MID_GR_Umber_C_#002	\x0E\x03\x02\x06\x04ロイ\nNon sono nulla di speciale. Ma mi fa piacere\nvederti così entusiasta.\x0E\x04\x00\x00
MID_GR_Umber_B_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0E\x08アンバー\x021\n\x0E\x03\x00\x0A\x04ロイ\x022\n\x0E\x03\x02\x06\x04ロイ\nC'è qualcosa che non va, Amber? Stai sudando\nmolto. È qualcosa che hai mangiato?\x0E\x04\x00\x00
MID_GR_Umber_B_#002	\x0E\x03\x02\x0A\x08アンバー\nNo, è solo che... Mi sono messo un maglione\ndi lana di alpaca che mi ha mandato la mia\nfamiglia. È troppo caldo...\x0E\x04\x00\x00
MID_GR_Umber_A_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0E\x08アンバー\x021\n\x0E\x03\x00\x0A\x04ロイ\x022\n\x0E\x03\x02\x0A\x08アンバー\nEhi, Roy! Devo chiederti una cosa...\nTu sai cos'è un alpaca, vero?\x0E\x04\x00\x00
MID_GR_Umber_A_#002	\x0E\x03\x02\x06\x04ロイ\nAlpaca? Sono gli animali che ci sono nel tuo\nvillaggio, giusto?\x0E\x04\x00\x00
MID_GR_Umber_A_#003	\x0E\x03\x02\x0A\x08アンバー\nSì! Dato che sei un emblema brodiano non ti\nfarebbe male imparare qualcosa sugli alpaca.\nSapevi che sono sofficissimi?\x0E\x04\x00\x00
MID_GR_Umber_A_#004	\x0E\x03\x02\x06\x04ロイ\nSofficissimi, eh? Dev'essere bello accarezzarli.\nDimmi di più.\x0E\x04\x00\x00
MID_GR_Jade_C_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0E\x08ジェーデ\x021\n\x0E\x03\x00\x0A\x04ロイ\x022\n\x0E\x03\x02\x06\x04ロイ\nMh, Jade? Che è successo? È da un po' che mi\nguardi in modo strano.\x0E\x04\x00\x00
MID_GR_Jade_C_#002	\x0E\x03\x02\x0A\x08ジェーデ\nShhh. Non parlare. Sono arrivata a una svolta\nper la trama del mio prossimo libro.\x0E\x04\x00\x00
MID_GR_Jade_B_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0E\x08ジェーデ\x021\n\x0E\x03\x00\x0A\x04ロイ\x022\n\x0E\x03\x02\x06\x04ロイ\nJade! Ho visto un minerale poco fa. Se te lo\ndescrivo, puoi aiutarmi a identificarlo?\x0E\x04\x00\x00
MID_GR_Jade_B_#002	\x0E\x03\x02\x0A\x08ジェーデ\nMa certo. So identificare qualsiasi minerale.\nCominciamo con il colore e la lucentezza...\x0E\x04\x00\x00
MID_GR_Jade_A_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0E\x08ジェーデ\x021\n\x0E\x03\x00\x0A\x04ロイ\x022\n\x0E\x03\x02\x0A\x08ジェーデ\nHo notato che ti piacciano i libri e le storie, Roy.\nDico bene?\x0E\x04\x00\x00
MID_GR_Jade_A_#002	\x0E\x03\x02\x06\x04ロイ\nSì. I libri hanno molto da insegnarci.\nAh, già! Tu sei una scrittrice, giusto?\x0E\x04\x00\x00
MID_GR_Jade_A_#003	\x0E\x03\x02\x0A\x08ジェーデ\nSì. In realtà, ho scritto una cosa e mi piacerebbe\navere la tua opinione. Vorrei sapere se alcune\nbattute fanno ridere.\x0E\x04\x00\x00
MID_GR_Jade_A_#004	\x0E\x03\x02\x06\x04ロイ\nCerto! Posso cominciare anche subito, se non\nti dispiace girare le pagine per me.\x0E\x04\x00\x00
MID_GR_Staluke_C_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x10\nスタルーク\x021\n\x0E\x03\x00\x0A\x04ロイ\x022\n\x0E\x03\x02\x06\x04ロイ\nSono contento di fare squadra con te, Alcryst.\nCome emblema della Brodia, conto su di te!\x0E\x04\x00\x00
MID_GR_Staluke_C_#002	\x0E\x03\x02\x0C\nスタルーク\nN-Non fatevi troppe aspettative, lord Roy.\nNon sono bravo come mio fratello maggiore.\x0E\x04\x00\x00
MID_GR_Staluke_B_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x10\nスタルーク\x021\n\x0E\x03\x00\x0A\x04ロイ\x022\n\x0E\x03\x02\x0C\nスタルーク\nSicuramente ci sono persone con cui potete\ncreare un legame più efficace, lord Roy.\nPensate che io ne sia davvero degno?\x0E\x04\x00\x00
MID_GR_Staluke_B_#002	\x0E\x03\x02\x06\x04ロイ\nMa certo, Alcryst. Non dire così. Sono contento\nche ci sia tu al mio fianco!\x0E\x04\x00\x00
MID_GR_Staluke_A_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x10\nスタルーク\x021\n\x0E\x03\x00\x0A\x04ロイ\x022\n\x0E\x03\x02\x06\x04ロイ\nSei stato eccezionale nell'ultima battaglia,\nAlcryst! Hai coperto le spalle a tutti.\x0E\x04\x00\x00
MID_GR_Staluke_A_#002	\x0E\x03\x02\x0C\nスタルーク\nI miei alleati erano in pericolo. Non potevo\npermettermi di esitare... Non ho fatto niente\ndi eccezionale.\x0E\x04\x00\x00
MID_GR_Staluke_A_#003	\x0E\x03\x02\x06\x04ロイ\nE per te sarebbe niente? Hai abbattuto ogni\nnemico con un colpo solo. Sei molto forte.\x0E\x04\x00\x00
MID_GR_Staluke_A_#004	\x0E\x03\x02\x0C\nスタルーク\nQuante lodi! Dall'emblema della Brodia!\nNon so che dire se non... grazie.\x0E\x04\x00\x00
MID_GR_Lapis_C_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0C\x06ラピス\x021\n\x0E\x03\x00\x0A\x04ロイ\x022\n\x0E\x03\x02\x08\x06ラピス\nPotrò combattere accanto al tesoro nazionale\ndella Brodia? Che onore! Non vedo l'ora, Roy!\x0E\x04\x00\x00
MID_GR_Lapis_C_#002	\x0E\x03\x02\x06\x04ロイ\nNon devi abbassarti così, Lapis. Entrambi\ncombattiamo per la pace... e anch'io non vedo\nl'ora.\x0E\x04\x00\x00
MID_GR_Lapis_B_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0C\x06ラピス\x021\n\x0E\x03\x00\x0A\x04ロイ\x022\n\x0E\x03\x02\x08\x06ラピス\nQuando sono con te mi sento più forte che mai,\nRoy. Per caso, ti sei allenato combattendo\ncontro degli orsi?\x0E\x04\x00\x00
MID_GR_Lapis_B_#002	\x0E\x03\x02\x06\x04ロイ\nOrsi? No, ho combattuto molto contro il Biran\ne lì era pieno di ossi duri. Ah, forse volevi dire\n"ossi", non "orsi"?\x0E\x04\x00\x00
