MID_TUT_CATEGORY_TITLE_Battle	Combattimento
MID_TUT_STYLE_HEAVY_0	Le unità corazzate annullano l'effetto breccia,\nanche se attaccate con un'arma con vantaggio.
MID_TUT_STYLE_HEAVY_1	Sono unità adatte alla prima linea perché hanno\nPS e difesa elevati, ma avendo poca resistenza\nsono vulnerabili agli attacchi magici.
MID_TUT_STYLE_FLY_TITLE	Unità volanti
MID_TUT_STYLE_FLY_0	Le unità volanti ignorano gli effetti del terreno\ne possono passare anche su spazi non\naccessibili alle altre unità a piedi.
MID_TUT_STYLE_FLY_1	Queste unità possono spostarsi con facilità,\nma sono vulnerabili contro gli archi.
MID_TUT_STYLE_DRAGON_TITLE	Draghi
MID_TUT_STYLE_DRAGON_0	I draghi ottengono effetti supplementari dalle\nabilità unione e dagli attacchi unione.
MID_TUT_STYLE_DRAGON_1	Aumenta i loro livelli di legame per sfruttare al\nmeglio le abilità degli emblemi.
MID_TUT_STYLE_BATTLE_TITLE	Tipi di unità
MID_TUT_STYLE_BATTLE_0	Ci sono differenti tipi di unità, come cavalleria,\nadepto qi e mistico. Ogni tipo di unità ha\nvantaggi diversi.
MID_TUT_STYLE_BATTLE_1	Per verificare di che tipo di unità si tratta, puoi\ncontrollare lo schermo di stato.
MID_TUT_BMAP_ITEMDROP_TITLE	Bottini dei nemici
MID_TUT_BMAP_ITEMDROP_0	Se c'è un'icona bottino sopra la barra dei PS di\nun nemico, significa che se lo sconfiggi puoi\nottenere degli strumenti che porta con sé.
MID_TUT_BMAP_ITEMDROP_1	Gli strumenti che puoi ottenere saranno\nevidenziati in verde nell'inventario del nemico.
MID_TUT_BMAP_XHELP_TITLE	Dettagli
MID_TUT_BMAP_XHELP_0	Controlla le informazioni di un'unità\nselezionandola con \x0E\x08\x02\x04\x02X.
MID_TUT_BMAP_XHELP_1	Controlla lo schermo "Dettagli" per informazioni\nsu armi e abilità.
MID_TUT_BMAP_XHELP_2	Torna alla battaglia premendo \x0E\x08\x02\x04\x02B o \x0E\x08\x02\x04\x02X.
MID_TUT_BMAP_BONDSSUPPORTTALK_TITLE	Conversazioni con emblemi
MID_TUT_BMAP_BONDSSUPPORTTALK_0	Aumentando il livello di legame tra unità ed\nemblemi, sblocchi delle conversazioni speciali.
MID_TUT_BMAP_BONDSSUPPORTTALK_1	Assisti alle conversazioni disponibili nel Somniel\no durante l'esplorazione della mappa del mondo.
MID_TUT_BMAP_BONDSSUPPORTTALK_2	Dopo aver visto queste conversazioni, potrai\naccrescere ancor più il livello di legame.
MID_TUT_BMAP_SUPPORT_TITLE	Sostegno
MID_TUT_BMAP_SUPPORT_0	Quando gli alleati si curano o combattono\ninsieme, ottengono punti sostegno e sbloccano\ndelle conversazioni di sostegno.
MID_TUT_BMAP_SUPPORT_1	Assistendo a queste conversazioni nel Somniel\no nella mappa del mondo, potrai incrementare\nil livello di sostegno tra i personaggi.
MID_TUT_BMAP_SUPPORT_2	Le unità con livello di sostegno alto ottengono\nbonus ai parametri quando sono adiacenti.
MID_TUT_BMAP_VISIT_TITLE	Visitare abitazioni
MID_TUT_BMAP_VISIT_0	Se visiti una casa per avvertire gli abitanti di un\npericolo, potresti ricevere in cambio oggetti\noppure monete.
MID_TUT_BMAP_VISIT_1	Per fare visita agli abitanti, sposta un alleato\nsullo spazio illuminato di fronte alla casa e\nseleziona "Visita".
MID_TUT_BMAP_VISIT_2	Attenzione, però: i nemici potrebbero cercare di\nraggiungere le case prima di te per distruggerle.
MID_TUT_BMAP_TIMECRYSTAL_TITLE	Cronogemma del drago
MID_TUT_BMAP_TIMECRYSTAL_0	Grazie alla cronogemma del drago, puoi\nriavvolgere le azioni compiute in battaglia\ne riprovare.
MID_TUT_BMAP_TIMECRYSTAL_1	Seleziona "Cronogemma" dal menu. Usa \x0E\x08\x02\x06\x04Up e \x0E\x08\x02\x0A\x08Down\nper decidere quanto indietro vuoi tornare\ne conferma con \x0E\x08\x02\x04\x02A.
MID_TUT_BMAP_REINFORCEMENT_TITLE	Rinforzi
MID_TUT_BMAP_REINFORCEMENT_0	A volte i nemici chiameranno dei rinforzi\ndurante le battaglie.
MID_TUT_BMAP_REINFORCEMENT_1	Spesso i rinforzi provengono dai forti o dai\nbordi della mappa, quindi fa' attenzione.
MID_TUT_BMAP_TRANSPORTER_TITLE	Rifornimenti
MID_TUT_BMAP_TRANSPORTER_0	Usa i rifornimenti per conservare e recuperare\ngli strumenti.
MID_TUT_BMAP_TRANSPORTER_1	Solo \x0E\x06\x03\x00 e gli alleati negli spazi\nadiacenti possono accedere ai rifornimenti\ndurante la battaglia.
MID_TUT_BMAP_DEADSOUL_TITLE	Spiriti dei caduti
MID_TUT_BMAP_DEADSOUL_0	Se combatti mentre sei online, potresti\nvedere apparire sul campo degli spiriti che\nrappresentano lotte passate di altri giocatori.
MID_TUT_BMAP_DEADSOUL_1	Gli spiriti gialli appaiono nei luoghi in cui sono\ncaduti molti alleati. Se attendi sui loro spazi,\npuoi ottenere Esp ed Esp di legame.
MID_TUT_BMAP_DEADSOUL_2	Gli spiriti viola appaiono nei luoghi in cui sono\ncaduti molti nemici. Se attendi sui loro spazi,\npuoi raccogliere gli oggetti che hanno lasciato.
MID_TUT_BMAP_DOOR_TITLE	Porte
MID_TUT_BMAP_DOOR_0	Attacca le porte per demolirle.
MID_TUT_BMAP_DOOR_1	Un ladro può usare il comando "Apri porta"\nper aprirla senza distruggerla.
MID_TUT_BMAP_TREASUREBOX_TITLE	Scrigni
MID_TUT_BMAP_TREASUREBOX_0	Per raccogliere il contenuto di uno scrigno,\nseleziona "Apri scrigno" da uno spazio\nadiacente.
MID_TUT_BMAP_TREASUREBOX_1	Se un nemico apre per primo lo scrigno,\npuoi recuperare il contenuto sconfiggendolo.
MID_TUT_BMAP_BREAKINGWALL_TITLE	Demolire il terreno
MID_TUT_BMAP_BREAKINGWALL_0	Se un terreno è definito "Distruttibile" nelle\ninformazioni, è possibile attaccarlo e\ndistruggerlo.
MID_TUT_BMAP_BREAKINGWALL_1	Una volta distrutto il terreno, è possibile\nattraversarlo liberamente.
MID_TUT_BMAP_HPSTOCK_TITLE	Pietre vitali
MID_TUT_BMAP_HPSTOCK_0	Alcuni nemici potenti possiedono pietre vitali.
MID_TUT_BMAP_HPSTOCK_1	Se i loro PS scendono a 0, consumeranno\nuna pietra per ripristinarli.
MID_TUT_BMAP_HPSTOCK_2	Continua ad attaccarli fino a che non avranno\nutilizzato tutte le pietre vitali in loro possesso.
MID_TUT_BMAP_INTERFERINGCANE_TITLE	Bastoni di stato
MID_TUT_BMAP_INTERFERINGCANE_0	Alcuni bastoni possono intralciare i nemici\nbloccandone i movimenti o posizionando\nostacoli sul loro cammino.
MID_TUT_BMAP_SEARCH_TITLE	Buio
MID_TUT_BMAP_SEARCH_0	Nei luoghi bui, sono visibili solo le aree intorno\nagli alleati, ai bracieri e alle torce.
MID_TUT_BMAP_SEARCH_1	Procedi con cautela! Degli avversari\npotrebbero nascondersi nell'ombra.
MID_TUT_BMAP_POISON_TITLE	Veleno
MID_TUT_BMAP_POISON_0	Alcune classi, come i ladri, usano coltelli che\navvelenano i nemici colpiti.
MID_TUT_BMAP_POISON_1	I nemici avvelenati subiscono danni extra.
MID_TUT_BMAP_POISON_2	Attaccare ripetutamente con il coltello\nun nemico incrementa la potenza del veleno.
MID_TUT_BMAP_POISON_3	Le unità rimangono avvelenate fino alle fine\ndella battaglia o fino a quando non siano curate\ncon antitossina o bastone Ripristino.
MID_TUT_BMAP_TORCH_TITLE	Bracieri
MID_TUT_BMAP_TORCH_0	Per accendere un braciere, usa "Accendi"\nda uno spazio adiacente.
MID_TUT_BMAP_TORCH_1	Scopri i nemici nascosti illuminando\nle aree buie.
MID_TUT_BMAP_SMASH_TITLE	Armi con schianto
MID_TUT_BMAP_SMASH_0	Armi potenti come spade e gran lance,\nse vanno a segno, schiantano i nemici\nfacendoli indietreggiare di uno spazio.
MID_TUT_BMAP_SMASH_1	Puoi infliggere l'effetto breccia su di loro se\nli schianti contro un'unità o un ostacolo come\nuna parete.
MID_TUT_BMAP_SMASH_2	Tuttavia, queste armi sono pesanti: non hanno\nattacco doppio e il tuo avversario attaccherà\nper primo quando inizi lo scontro.
MID_TUT_BMAP_DARKSYNCHRO_TITLE	Sincronizzazione oscura
MID_TUT_BMAP_DARKSYNCHRO_0	Anche alcuni nemici utilizzano gli emblemi\ndurante le battaglie.
MID_TUT_BMAP_DARKSYNCHRO_1	Gli emblemi sincronizzati con il potere oscuro\nnon possono unirsi all'unità, ma possono\ncomunque usare gli attacchi unione.
MID_TUT_BMAP_DARKSYNCHRO_2	Una luce indica quando il nemico può sferrare\nun attacco unione. Fai attenzione!
MID_TUT_BMAP_BOWTURRET_TITLE	Baliste
MID_TUT_BMAP_BOWTURRET_0	Se un'unità equipaggiata con un arco si trova\nsu una balista, può utilizzarla con il comando\n"Spara".
MID_TUT_BMAP_BOWTURRET_1	Le baliste hanno raggio ampio e grande potenza,\nquindi infliggerai danni ingenti prima che il\nnemico riesca ad avvicinarsi.
MID_TUT_BMAP_BOWTURRET_2	C'è però un limite al numero di colpi che potrai\nlanciare con ciascuna balista, quindi pianifica\nbene la tua strategia.
MID_TUT_BMAP_CONVERSATION_TITLE	Dialoghi
MID_TUT_BMAP_CONVERSATION_0	Se vedi l'icona della conversazione su un'unità,\nseleziona "Parla" da uno spazio adiacente.
MID_TUT_BMAP_CONVERSATION_1	Parlare con queste unità è un ottimo modo per\nreclutare membri nel tuo esercito.
MID_TUT_BMAP_CONVERSATION_2	A volte, solo determinati personaggi possono\nparlare con queste unità.
MID_TUT_BMAP_MAGICTURRET_TITLE	Artiglieria magica
MID_TUT_BMAP_MAGICTURRET_0	Se un'unità equipaggiata con un tomo si trova\nsu uno spazio con l'artiglieria magica, può\nutilizzarla con il comando "Spara".
MID_TUT_BMAP_MAGICTURRET_1	L'artiglieria magica è potente e ha un lungo\nraggio. È ideale per attaccare da lontano.
MID_TUT_BMAP_MAGICTURRET_2	Come le baliste, l'artiglieria magica ha un\nnumero limitato di colpi, quindi pianifica bene\nl'attacco.
MID_TUT_BMAP_QUICKSAND_TITLE	Sabbie mobili
MID_TUT_BMAP_QUICKSAND_0	Le sabbie mobili sono un tipo di terreno che\nriduce notevolmente i movimenti quando\nun'unità vuole uscirne fuori.
MID_TUT_BMAP_QUICKSAND_1	Cerca di evitare le sabbie mobili\nper mantenere la tua mobilità.
MID_TUT_BMAP_RECKLESS_TITLE	Furia
MID_TUT_BMAP_RECKLESS_0	I nemici sincronizzati con un emblema oscuro\na volte entrano in uno stato di Furia quando\nusano le pietre vitali.
MID_TUT_BMAP_RECKLESS_1	Attenzione! Le unità in questo stato assorbono\nil potere dell'emblema oscuro senza controllo,\ndiventando ancora più potenti.
MID_TUT_BMAP_DANCE_TITLE	Danza
MID_TUT_BMAP_DANCE_0	Se un ballerino è adiacente a un'unità che ha già\nagito in quel turno, puoi selezionare "Danza".
MID_TUT_BMAP_DANCE_1	Il bersaglio della danza potrà muoversi e agire\ndi nuovo nello stesso turno.
MID_TUT_BMAP_FLAMETURRET_TITLE	Cannoni ignei
MID_TUT_BMAP_FLAMETURRET_0	Puoi usare un cannone igneo posizionandoci\nsopra un'unità e selezionando "Spara".
MID_TUT_BMAP_FLAMETURRET_1	Il cannone igneo colpisce una vasta area intorno\nal punto di impatto e dà fuoco al terreno.
MID_TUT_BMAP_FLAMETURRET_2	L'attacco non può ridurre i PS dei nemici a\nmeno di 1. Può colpire anche gli alleati, quindi\nfai attenzione!
MID_TUT_BMAP_PICKUPARING_TITLE	Raccogliere gli anelli
MID_TUT_BMAP_PICKUPARING_0	Evoca gli emblemi posizionando \x0E\x06\x03\x00\naccanto a un anello caduto.
MID_TUT_BMAP_LINKINGUP_TITLE	Sincronizzazione in battaglia
MID_TUT_BMAP_LINKINGUP_0	Un alleato privo di anelli\x0E\x01\x0B\x00 può spostarsi\naccanto a un emblema evocato e selezionare\n"Parla" per sincronizzarsi.
MID_TUT_BMAP_DRAGONCREST_TITLE	Scheggia del Drago Maligno
MID_TUT_BMAP_DRAGONCREST_0	Per infrangere la scheggia del Drago Maligno,\ndevi sconfiggere chi ha l'incarico di proteggerla:\nZephia e Griss.
MID_TUT_BMAP_DRAGONCREST_1	Zephia e Griss useranno il potere della scheggia\nper lanciare devastanti bombe vulcaniche.
MID_TUT_BMAP_VOLCANICBOMB_TITLE	Bombe vulcaniche
MID_TUT_BMAP_VOLCANICBOMB_0	Le bombe vulcaniche colpiscono ogni tot turni.
MID_TUT_BMAP_VOLCANICBOMB_1	Le bombe distruggono i macigni e infliggono\ningenti danni agli alleati, se li colpiscono.
MID_TUT_BMAP_VOLCANICBOMB_2	Un avvertimento indicherà il punto di impatto\ndelle bombe, quindi assicurati di spostare\nle unità.
MID_TUT_BMAP_AVALANCHE_TITLE	Valanghe
MID_TUT_BMAP_AVALANCHE_0	La versione passata di \x0E\x06\x03\x00 userà\nil potere della scheggia per provocare valanghe,\nin grado di spingere indietro le unità colpite.
MID_TUT_BMAP_AVALANCHE_1	Un avvertimento indicherà dove si abbatterà\nla valanga, quindi muoviti con attenzione.
MID_TUT_BMAP_AVALANCHE_2	Macigni e nemici bloccano lo scivolamento\nall'indietro.
MID_TUT_BMAP_TURNLIMIT_TITLE	Limite di turni
MID_TUT_BMAP_TURNLIMIT_0	Certe battaglie devono essere vinte entro un\ndeterminato numero di turni.
MID_TUT_BMAP_TURNLIMIT_1	Soddisfa le condizioni di vittoria prima che\ni turni si esauriscano, o perderai la battaglia.
MID_TUT_BMAP_DRAGONBEAM_TITLE	Raggio della scheggia del Drago Maligno
MID_TUT_BMAP_DRAGONBEAM_0	Lumera aberrante userà il potere della scheggia\ndel Drago Maligno per lanciare un potente\nattacco.
MID_TUT_BMAP_DRAGONBEAM_1	Un avviso indicherà la zona colpita.\nSpostati per evitare ingenti danni.
MID_TUT_BMAP_DARKHERALDIC_TITLE	Emblemi oscuri
MID_TUT_BMAP_DARKHERALDIC_0	Gli emblemi oscuri sono potenti, ma vulnerabili\nagli attacchi di unità sincronizzate o unite con\nemblemi del loro mondo.
MID_TUT_BMAP_BARRIER_TITLE	Barriera oscura
MID_TUT_BMAP_BARRIER_0	Una barriera creata dagli emblemi oscuri che\nriduce i danni subiti da Gran Sombron.
MID_TUT_BMAP_BARRIER_1	Sconfiggi gli emblemi oscuri per indebolire\nla barriera.
MID_TUT_BMAP_ENGAGERING_TITLE	L'anello del patto
MID_TUT_BMAP_ENGAGERING_0	Se hai raggiunto il livello di sostegno A con un\nalleato, puoi donargli l'anello del patto per\nsuggellare un forte legame.
MID_TUT_BMAP_ENGAGERING_1	È custodito in un comodino nella tua camera.
MID_TUT_BMAP_ENGAGERING_2	Se non riesci a trovare nel Somniel l'alleato che\nhai scelto, prova a riposare a letto per un po'.
MID_TUT_GOD_MARTH_TITLE	Emblema Marth
MID_TUT_GOD_MARTH_0	L'emblema Marth colpisce con rapide raffiche,\nper surclassare gli avversari con la sua grazia\ninnata.
MID_TUT_GOD_MARTH_1	L'abilità sincro "Percezione" permette di\nschivare più facilmente i contrattacchi nemici.
MID_TUT_GOD_MARTH_2	L'arma unione "Spadino" infligge danni extra\nalle unità a cavallo e a quelle corazzate.
MID_TUT_GOD_MARTH_3	L'abilità unione "Velocità divina" conferisce un\nattacco extra più debole.
MID_TUT_GOD_MARTH_4	L'attacco unione "Raffica suprema" è una serie\ndi attacchi fulminei che infliggono danni ingenti.
MID_TUT_GOD_SIGLUD_TITLE	Emblema Sigurd
MID_TUT_GOD_SIGLUD_0	La straordinaria mobilità dell'emblema Sigurd\ngli permette di spostarsi facilmente sul campo\ndi battaglia.
MID_TUT_GOD_SIGLUD_1	L'abilità sincro "Mobilità" permette all'unità di\nspostarsi nuovamente dopo aver attaccato.
MID_TUT_GOD_SIGLUD_2	L'arma unione "Picca" può infliggere danni extra\nalle unità a cavallo.
MID_TUT_GOD_SIGLUD_3	L'abilità unione "Galoppo" incrementa il\nmovimento (Mov) di 5.
MID_TUT_GOD_SIGLUD_4	L'attacco unione "Superamento" è una carica\nin avanti che colpisce tutti i nemici lungo il\npercorso.
MID_TUT_GOD_CELICA_TITLE	Emblema Celica
MID_TUT_GOD_CELICA_0	L'emblema Celica lancia potenti attacchi magici\ned è utilissima per affrontare le aberrazioni.
MID_TUT_GOD_CELICA_1	L'abilità sincro "Posa sacra" riflette parte dei\ndanni inflitti da un'aberrazione sul nemico.
MID_TUT_GOD_CELICA_2	L'arma unione "Serafino" infligge danni extra\nalle aberrazioni.
MID_TUT_GOD_CELICA_3	L'abilità unione "Eco" permette a un'unità\ndi iniziare lo scontro due volte con un attacco\nmagico al 50% di danni.
MID_TUT_GOD_CELICA_4	Con l'attacco unione "Teleragnarok", l'unità può\nteletrasportarsi in uno spazio vicino a un nemico\ndistante e attaccarlo con una potente magia.
MID_TUT_GOD_MICAIAH_TITLE	Emblema Micaiah
MID_TUT_GOD_MICAIAH_0	La specialità dell'emblema Micaiah è curare\ngli alleati con la magia.
MID_TUT_GOD_MICAIAH_1	Con l'abilità sincro "Chierico", un'unità può\nusare i bastoni a prescindere dalla propria\nclasse.
MID_TUT_GOD_MICAIAH_2	L'arma unione "Fulgore" attacca e illumina\nun'area quando viene usato.
MID_TUT_GOD_MICAIAH_3	L'abilità unione "Enfasi" incrementa il raggio dei\nbastoni e la loro area d'effetto.
MID_TUT_GOD_MICAIAH_4	L'attacco unione "Gran sacrificio" ripristina tutti\ni PS di tutti gli alleati, ma i PS di chi lo lancia\nvengono ridotti a 1.
MID_TUT_GOD_ROY_TITLE	Emblema Roy
MID_TUT_GOD_ROY_0	L'emblema Roy eccelle sia in attacco che in\ndifesa, ed è quindi adatto per la prima linea.
MID_TUT_GOD_ROY_1	L'abilità sincro "Persistenza" permette\na un'unità di sopravvivere con 1 PS\nin determinate situazioni.
MID_TUT_GOD_ROY_2	L'arma unione "Rompilancia", a differenza della\nmaggior parte delle spade, è in vantaggio contro\nle lance e in svantaggio contro le asce.
MID_TUT_GOD_ROY_3	L'abilità unione "Crescita" aumenta\ntemporaneamente il livello e i parametri\ndi un'unità.
MID_TUT_GOD_ROY_4	L'attacco unione "Danza del leone" colpisce\npiù spazi di fronte all'unità, incendiando al\ncontempo il terreno.
MID_TUT_GOD_LEAF_TITLE	Emblema Leif
MID_TUT_GOD_LEAF_0	La destrezza dell'emblema Leif con varie armi\ngli permette di adattarsi a qualsiasi situazione\nin battaglia.
MID_TUT_GOD_LEAF_1	L'abilità sincro "Arma scudo" riduce i danni\nsubiti dall'unità, se questa ha un vantaggio\ndell'arma.
MID_TUT_GOD_LEAF_2	L'arma unione "Ascia letale" infligge colpi tripli\ndi frequente.
MID_TUT_GOD_LEAF_3	L'abilità unione "Adattabilità" attiva l'arma\npiù adatta automaticamente quando l'unità\nviene attaccata.
MID_TUT_GOD_LEAF_4	L'attacco unione "Tetracolpo" colpisce con una\nspada, una lancia, un'ascia e un arco,\naumentando le chance di breccia su un nemico.
MID_TUT_GOD_LIN_TITLE	Emblema Lyn
MID_TUT_GOD_LIN_0	L'emblema Lyn eccelle nel combattere senza\npermettere all'avversario di contrattaccare.
