MID_RELIANCE_C_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0E\x08リュール\x021\n\x0E\x03\x00\x0C\x06アンナ\x022\n\x0E\x03\x02\x08\x06アンナ\nMmmh. Forse sto sbagliando tutto.\x0E\x04\x00\x00
MID_RELIANCE_S_#021	\x0E\x03\x02\x0A\x08リュール\nSono felice che sia andata così bene e sono\nonorat\x0E\x0A\x00\x08\x02o\x02a di ricevere questa collana. Grazie.\x0E\x04\x00\x00
MID_RELIANCE_S_#022	\x0E\x03\x02\x0A\x08リュール\nSai una cosa? Anch'io ho un regalo per te.\nÈ l'anello del patto.\x0E\x04\x00\x00
MID_RELIANCE_S_#023	\x0E\x03\x02\x08\x06アンナ\nEh?! No, dai! Ha un valore troppo grande...\x0E\x04\x00\x00
MID_RELIANCE_S_#024	\x0E\x03\x02\x0A\x08リュール\nÈ proprio per quello che voglio darlo a te.\nLe cose migliori sono quelle uniche, no?\x0E\x04\x00\x00
MID_RELIANCE_S_#025	\x0E\x03\x02\x0A\x08リュール\nIo ho ricevuto un ricordo della nostra fruttuosa\ncollaborazione, quindi anche tu dovresti averne\nuno.\x0E\x04\x00\x00
MID_RELIANCE_S_#026	\x0E\x03\x02\x08\x06アンナ\nBeh... abbiamo creato una catena di prodotti,\nquindi in un certo senso siamo soc\x0E\x0A\x00\x0A\x02i\x04ie in affari!\x0E\x04\x00\x00
MID_RELIANCE_S_#027	\x0E\x03\x02\x08\x06アンナ\nAccetto l'anello, grazie! Oh... che giornata\nmeravigliosa!\x0E\x04\x00\x00
MID_RELIANCE_S_#028	\x0E\x03\x02\x0A\x08リュール\nAhah, ben detto!\x0E\x04\x00\x00
MID_RELIANCE_S_#029	\x0E\x03\x02\x08\x06アンナ\nDa domani dovremo rimboccarci le maniche.\x0E\x04\x00\x00
MID_RELIANCE_S_#030	\x0E\x03\x02\x08\x06アンナ\nDobbiamo trovare degli artigiani per avviare\nuna produzione di massa delle collane.\x0E\x04\x00\x00
MID_RELIANCE_S_#031	\x0E\x03\x02\x08\x06アンナ\nSe queste sono andate a ruba, aspetta di\nvedere quando tutti sapranno che ne indossi\nuna anche tu.\x0E\x04\x00\x00
MID_RELIANCE_S_#032	\x0E\x03\x02\x0A\x08リュール\nAhah, quanta determinazione.\nNon cambiare mai, signorina Anna...\x0E\x04\x00\x00
MID_RELIANCE_S_#033	\x0E\x03\x02\x0A\x08リュール\nLa mia socia in affari non va per il sottile.\x0E\x04\x00\x00
MID_RELIANCE_S_#034	\x0E\x03\x02\x08\x06アンナ\nEh no! Insieme troveremo fama, ricchezza e\nmagari anche la mia famiglia!\x0E\x04\x00\x00
