MID_RELIANCE_C_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x12\x0Cディアマンド\x021\n\x0E\x03\x00\x0E\x08アンバー\x022\n\x0E\x03\x02\x0A\x08アンバー\nPrincipe Diamant! Guardate qua. Ho trovato\nuna leggendaria pozione magica!\x0E\x04\x00\x00
MID_RELIANCE_C_#016	\x0E\x03\x02\x0A\x08アンバー\nChe cosa sta succedendo? Stavo parlando?\nMi sento un po' confuso...\x0E\x04\x00\x00
MID_RELIANCE_C_#017	\x0E\x03\x02\x0E\x0Cディアマンド\nNon ricordi? La pozione ha funzionato e stavi\nrivelando tutto quello che ti passa per la testa.\x0E\x04\x00\x00
MID_RELIANCE_C_#018	\x0E\x03\x02\x0A\x08アンバー\nNon ci credo! E cosa ho detto?\x0E\x04\x00\x00
MID_RELIANCE_C_#019	\x0E\x03\x02\x0E\x0Cディアマンド\nBeh... Diciamo che sarebbe imbarazzante da\nripetere. Ne parliamo un'altra volta.\x0E\x04\x00\x00
MID_RELIANCE_C_#020	\x0E\x03\x02\x0A\x08アンバー\nOh. Certo, Altezza. Ricevuto. Uhm... Allora\nci vediamo.\x0E\x04\x00\x00
MID_RELIANCE_B_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x12\x0Cディアマンド\x021\n\x0E\x03\x00\x0E\x08アンバー\x022\n\x0E\x03\x02\x0E\x0Cディアマンド\nEhi, Amber. Se ti va possiamo parlare\ndell'incidente della pozione...\x0E\x04\x00\x00
MID_RELIANCE_B_#002	\x0E\x03\x02\x0A\x08アンバー\nOh, certo! Sono curioso di sapere cosa ho\ndetto.\x0E\x04\x00\x00
MID_RELIANCE_B_#003	\x0E\x03\x02\x0E\x0Cディアマンド\nDunque... Sei molto grato nei miei confronti\ne hai un grande rispetto per me, si direbbe.\x0E\x04\x00\x00
MID_RELIANCE_B_#004	\x0E\x03\x02\x0A\x08アンバー\nAhah, tutto qui? Ma queste cose le sapevate\ngià!\x0E\x04\x00\x00
MID_RELIANCE_B_#005	\x0E\x03\x02\x0E\x0Cディアマンド\nÈ vero. Non me lo hai mai nascosto e mi hai\nanche salvato la pelle diverse volte.\x0E\x04\x00\x00
MID_RELIANCE_B_#006	\x0E\x03\x02\x0E\x0Cディアマンド\nMa c'è dell'altro...\x0E\x04\x00\x00
MID_RELIANCE_B_#007	\x0E\x03\x02\x0E\x0Cディアマンド\nHai detto che se non fosse per me saresti\nin un qualche allevamento di alpaca, possibile?\x0E\x04\x00\x00
MID_RELIANCE_B_#008	\x0E\x03\x02\x0A\x08アンバー\nMh, sì. È vero. La mia famiglia ha una fattoria\ndove allevano alpaca.\x0E\x04\x00\x00
MID_RELIANCE_B_#009	\x0E\x03\x02\x0A\x08アンバー\nAl mio villaggio non ci sono altro che alpaca e\ndirupi. Non c'era posto per un aspirante eroe.\x0E\x04\x00\x00
MID_RELIANCE_B_#010	\x0E\x03\x02\x0A\x08アンバー\nMa voi mi avete offerto l'occasione per\nintraprendere una strada eroica. Vi ringrazio.\x0E\x04\x00\x00
MID_RELIANCE_B_#011	\x0E\x03\x02\x0E\x0Cディアマンド\nCapisco. È un peccato aver perso la pozione,\nma almeno non è stata del tutto sprecata.\x0E\x04\x00\x00
MID_RELIANCE_B_#012	\x0E\x03\x02\x0E\x0Cディアマンド\nHo potuto scoprire i tuoi pensieri nascosti, non\nsenza un certo imbarazzo lì per lì.\x0E\x04\x00\x00
MID_RELIANCE_B_#013	\x0E\x03\x02\x0A\x08アンバー\nAnche per me è imbarazzante, ma sono felice\ndi poter esprimere quanto vi apprezzi.\x0E\x04\x00\x00
MID_RELIANCE_B_#014	\x0E\x03\x02\x0A\x08アンバー\nHo detto altro o era tutto lì?\x0E\x04\x00\x00
MID_RELIANCE_B_#015	\x0E\x03\x02\x0E\x0Cディアマンド\nOra che mi ci fai pensare hai detto un'ultima\ncosa prima di tornare in te...\x0E\x04\x00\x00
MID_RELIANCE_B_#016	\x0E\x03\x02\x0E\x0Cディアマンド\nHai detto che ero "il migliore", ma l'effetto è\nsvanito prima che potessi spiegare perché.\x0E\x04\x00\x00
MID_RELIANCE_B_#017	\x0E\x03\x02\x0E\x0Cディアマンド\nCosa stavi per dire?\x0E\x04\x00\x00
MID_RELIANCE_B_#018	\x0E\x03\x02\x0A\x08アンバー\nUhm, bella domanda. Penso che voi siate\nil migliore... per molte ragioni.\x0E\x04\x00\x00
MID_RELIANCE_B_#019	\x0E\x03\x02\x0A\x08アンバー\nMa non sono sicuro di sapere quale sia la più\nprofonda. Posso rifletterci su?\x0E\x04\x00\x00
MID_RELIANCE_B_#020	\x0E\x03\x02\x0E\x0Cディアマンド\nCerto.\x0E\x04\x00\x00
MID_RELIANCE_A_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x12\x0Cディアマンド\x021\n\x0E\x03\x00\x0E\x08アンバー\x022\n\x0E\x03\x02\x0E\x0Cディアマンド\nAmber, ti andrebbe di continuare\nla conversazione dell'altra volta?\nNon lasciarmi sulle spine.\x0E\x04\x00\x00
MID_RELIANCE_A_#002	\x0E\x03\x02\x0A\x08アンバー\nVolete sapere il vero motivo per cui vi ritengo\nil migliore?\x0E\x04\x00\x00
MID_RELIANCE_A_#003	\x0E\x03\x02\x0E\x0Cディアマンド\nProprio così.\x0E\x04\x00\x00
MID_RELIANCE_A_#004	\x0E\x03\x02\x0A\x08アンバー\nCi ho pensato. Credo che stessi per dire: "Siete\nil migliore perché mi ricordate un alpaca!"\x0E\x04\x00\x00
MID_RELIANCE_A_#005	\x0E\x03\x02\x0E\x0Cディアマンド\nCosa? Un alpaca?!\x0E\x04\x00\x00
MID_RELIANCE_A_#006	\x0E\x03\x02\x0A\x08アンバー\nSì! L'ho sempre pensato, quindi probabilmente\nera quello che cercavo di dire.\x0E\x04\x00\x00
MID_RELIANCE_A_#007	\x0E\x03\x02\x0E\x0Cディアマンド\nLo hai sempre pensato?\x0E\x04\x00\x00
MID_RELIANCE_A_#008	\x0E\x03\x02\x0A\x08アンバー\nRicordate il giorno del torneo? La mia famiglia\nnon voleva che mi iscrivessi, ma io partecipai\nlo stesso.\x0E\x04\x00\x00
MID_RELIANCE_A_#009	\x0E\x03\x02\x0A\x08アンバー\nPersi contro Jade... ma arrivai secondo!\n"Il miracolo del villaggio degli alpaca", lo\nchiamarono.\x0E\x04\x00\x00
MID_RELIANCE_A_#010	\x0E\x03\x02\x0E\x0Cディアマンド\nNon ti ricordo particolarmente elettrizzato. Non\nabbandonasti l'arena in lacrime?\x0E\x04\x00\x00
MID_RELIANCE_A_#011	\x0E\x03\x02\x0A\x08アンバー\nNaturale... Era il mio sogno vincere quel torneo.\x0E\x04\x00\x00
MID_RELIANCE_A_#012	\x0E\x03\x02\x0A\x08アンバー\nEro in preda ai singhiozzi quando vi avvicinaste\ne mi domandaste di diventare il vostro\nattendente.\x0E\x04\x00\x00
MID_RELIANCE_A_#013	\x0E\x03\x02\x0A\x08アンバー\nAvevate un sorriso così gentile... E fu in\nquel momento che ebbi la folgorazione.\x0E\x04\x00\x00
MID_RELIANCE_A_#014	\x0E\x03\x02\x0A\x08アンバー\nQuest'uomo... ha l'animo di un alpaca, pensai.\x0E\x04\x00\x00
MID_RELIANCE_A_#015	\x0E\x03\x02\x0E\x0Cディアマンド\nFu quel giorno che avesti la folgorazione?\x0E\x04\x00\x00
MID_RELIANCE_A_#016	\x0E\x03\x02\x0A\x08アンバー\nIn quell'attimo decisi che sarei stato al vostro\nfianco e vi avrei protetto per sempre.\x0E\x04\x00\x00
MID_RELIANCE_A_#017	\x0E\x03\x02\x0E\x0Cディアマンド\n...\x0E\x04\x00\x00
MID_RELIANCE_A_#018	\x0E\x03\x02\x0A\x08アンバー\nChe c'è? Cos'è quella faccia?\x0E\x04\x00\x00
MID_RELIANCE_A_#019	\x0E\x03\x02\x0E\x0Cディアマンド\nÈ che non capisco di preciso quali parti di me\nti ricordino un alpaca.\x0E\x04\x00\x00
MID_RELIANCE_A_#020	\x0E\x03\x02\x0A\x08アンバー\nOh, beh... Da dove posso cominciare...\x0E\x04\x00\x00
MID_RELIANCE_A_#021	\x0E\x03\x02\x0A\x08アンバー\nSiete gentile, mi fate sentire a mio agio e vi\nvoglio proteggere. E siete anche morbido e\ncoccolone!\x0E\x04\x00\x00
MID_RELIANCE_A_#022	\x0E\x03\x02\x0E\x0Cディアマンド\nHai detto... morbido e coccolone?\x0E\x04\x00\x00
MID_RELIANCE_A_#023	\x0E\x03\x02\x0A\x08アンバー\nLo so, lo so. Non tutti capiscono fino a che\npunto io ami gli alpaca.\x0E\x04\x00\x00
MID_RELIANCE_A_#024	\x0E\x03\x02\x0E\x0Cディアマンド\nMa allora è un complimento...\x0E\x04\x00\x00
MID_RELIANCE_A_#025	\x0E\x03\x02\x0A\x08アンバー\nAssolutamente.\x0E\x04\x00\x00
MID_RELIANCE_A_#026	\x0E\x03\x02\x0E\x0Cディアマンド\nUh. Mi servirebbe un'altra di quelle pozioni, per\naccertarmi che tu non mi stia prendendo in giro.\x0E\x04\x00\x00
MID_RELIANCE_A_#027	\x0E\x03\x02\x0A\x08アンバー\nEh?!\x0E\x04\x00\x00
MID_RELIANCE_A_#028	\x0E\x03\x02\x0E\x0Cディアマンド\nAhahah, scherzo. Se dici che è vero, ti credo.\x0E\x04\x00\x00
MID_RELIANCE_A_#029	\x0E\x03\x02\x0E\x0Cディアマンド\nSono onorato di essere sullo stesso piano di\nun alpaca. È un piacere averti al mio servizio.\x0E\x04\x00\x00
MID_RELIANCE_A_#030	\x0E\x03\x02\x0A\x08アンバー\nGrazie, principe. È un onore combattere al\nvostro fianco! Ed è la verità... con o senza\npozioni!\x0E\x04\x00\x00
