MID_OP1_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0E\x08リュール\x021\n\x0E\x03\x00\x0C\x06リーフ\x022\n\x0E\x03\x02\x0A\x08リュール\nQuesto posto ha un'atmosfera particolare...\x0E\x04\x00\x00
MID_ED1_#002	\x0E\x03\x02\x0A\x08リュール\nPenso di avere ancora molta strada da fare.\nSpero che continuerai a guidarmi.\x0E\x04\x00\x00
MID_ED1_#003	\x0E\x03\x02\x08\x06リーフ\nVuoi che ti guidi, eh? Curiosa scelta di parole.\x0E\x04\x00\x00
MID_ED1_#004	\x0E\x03\x02\x08\x06リーフ\nCredo di avere capito perché la sfida era\nin questo luogo.\x0E\x04\x00\x00
MID_ED1_#005	\x0E\x03\x02\x0A\x08リュール\nAh, sì? Perché?\x0E\x04\x00\x00
MID_ED1_#006	\x0E\x03\x02\x08\x06リーフ\nSono un principe, ma avevo poca esperienza\nalla guida di un esercito e commisi parecchi\nerrori. Alcuni anche fatali.\x0E\x04\x00\x00
MID_ED1_#007	\x0E\x03\x02\x08\x06リーフ\nIl giorno della grande battaglia, proprio davanti\na questo fiume maestoso, mi dissero queste\nparole...\x0E\x04\x00\x00
MID_ED1_#008	\x0E\x03\x02\x08\x06リーフ\nUna volta che il sangue è stato versato, non\npuò tornare dov'era. Fai in modo che quel\nsacrificio sia valso a qualcosa.\x0E\x04\x00\x00
MID_ED1_#009	\x0E\x03\x02\x08\x06リーフ\n\x0E\x06\x03\x00. La vita è fatta di scelte.\x0E\x04\x00\x00
MID_ED1_#010	\x0E\x03\x02\x08\x06リーフ\nNon possiamo sapere se le decisioni\nche prendiamo siano giuste o sbagliate.\x0E\x04\x00\x00
MID_ED1_#011	\x0E\x03\x02\x08\x06リーフ\nMa possiamo lottare per un futuro migliore.\nUn posto dove regnino il bene e la giustizia.\x0E\x04\x00\x00
MID_ED1_#012	\x0E\x03\x02\x08\x06リーフ\nEcco qual è la responsabilità di una guida.\nL'ho imparato sulla mia pelle, in un luogo simile\na questo.\x0E\x04\x00\x00
MID_ED1_#013	\x0E\x03\x02\x0A\x08リュール\nGrazie, Leif, per aver condiviso con me la tua\nstoria. Sento di conoscerti un po' meglio.\x0E\x04\x00\x00
MID_ED1_#014	\x0E\x03\x02\x0A\x08リュール\nSalverò il mondo... e creerò un futuro migliore\nper tutti. Spero che mi starai accanto fino alla\nfine.\x0E\x04\x00\x00
MID_ED1_#015	\x0E\x03\x02\x08\x06リーフ\nLo prometto, \x0E\x06\x03\x00. Qui, sulle rive di\nquesto meraviglioso fiume.\x0E\x04\x00\x00
MID_LC1_#001	\x0E\x02\x02\x00
