MID_RELIANCE_C_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x10\nラファール\x021\n\x0E\x03\x00\x10\nグレゴリー\x022\n\x0E\x03\x02\x0C\nグレゴリー\nLord Rafal, che coincidenza incontrarci qui.\nIl Somniel è così vasto.\x0E\x04\x00\x00
MID_RELIANCE_C_#015	\x0E\x03\x02\x0C\nグレゴリー\nE va bene. Tanto non ci tengo a farmi sfruttare\ndi nuovo da te.\x0E\x04\x02\x00
MID_RELIANCE_C_#016	Tuttavia, avrei una domanda...\x0E\x04\x02\x00
MID_RELIANCE_C_#017	Sei crudele, ma anche questa sembra una\nmaschera, come lo era la tua gentilezza.\nMa allora qual è la tua vera natura?\x0E\x04\x00\x00
MID_RELIANCE_C_#018	\x0E\x03\x02\x0C\nラファール\nLa tua ingenuità è disarmante.\x0E\x04\x00\x00
MID_RELIANCE_B_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x10\nラファール\x021\n\x0E\x03\x00\x10\nグレゴリー\x022\n\x0E\x03\x02\x0C\nグレゴリー\nEhi, lord Rafal! Oggi deve essere il tuo giorno\nfortunato.\x0E\x04\x02\x00
MID_RELIANCE_B_#002	Hai visto che tempo meraviglioso? Potrei farmi\nun pisolino se non fossimo... in mezzo al campo\ndi battaglia.\x0E\x04\x00\x00
MID_RELIANCE_B_#003	\x0E\x03\x02\x0C\nラファール\nIl tuo entusiasmo è sconcertante e le tue\ndimostrazioni di amicizia fuori luogo.\x0E\x04\x00\x00
MID_RELIANCE_B_#004	\x0E\x03\x02\x0C\nグレゴリー\nChi ha detto che voglio essere tuo amico?\nForse il Drago Divino vuole che mi occupi di te?\x0E\x04\x00\x00
MID_RELIANCE_B_#005	\x0E\x03\x02\x0C\nラファール\nTu? Occuparti di me?\x0E\x04\x00\x00
MID_RELIANCE_B_#006	\x0E\x03\x02\x0C\nグレゴリー\nPerché no? Sei un uomo potente, ma permetti\nspesso a questa forza di darti alla testa.\x0E\x04\x02\x00
MID_RELIANCE_B_#007	Magari avere al tuo fianco un tipo come me,\npiù freddo e metodico, ti aiuterà a trovare un\nequilibrio?\x0E\x04\x00\x00
MID_RELIANCE_B_#008	\x0E\x03\x02\x0C\nラファール\nQuando avrò bisogno dell'aiuto di un codardo\npiagnucoloso e senza spina dorsale, sarai il\nprimo a saperlo.\x0E\x04\x00\x00
MID_RELIANCE_B_#009	\x0E\x03\x02\x0C\nグレゴリー\nAttento!\x0E\x04\x00\x00
MID_RELIANCE_B_#010	\x0E\x03\x02\x0C\nラファール\nMa che...\x0E\x04\x00\x00
MID_RELIANCE_B_#011	\x0E\x03\x02\x0C\nグレゴリー\nDevi sempre guardarti dalle imboscate sul\ncampo di battaglia, lord Rafal.\x0E\x04\x00\x00
MID_RELIANCE_B_#012	\x0E\x03\x02\x0C\nラファール\nCome osano quelle aberrazioni scoccare una\nfreccia verso di me...?\x0E\x04\x00\x00
MID_RELIANCE_B_#013	\x0E\x03\x02\x0C\nグレゴリー\nÈ sorprendente, ma visto che ti ho appena\nsalvato la vita, direi che hai davvero bisogno\nche io mi prenda cura di te.\x0E\x04\x00\x00
MID_RELIANCE_B_#014	\x0E\x03\x02\x0C\nラファール\nNon farmi la predica. Sono capace a combattere\nsenza bisogno della tua supervisione.\x0E\x04\x00\x00
MID_RELIANCE_B_#015	\x0E\x03\x02\x0C\nグレゴリー\nNon ne dubito, non ho mai detto il contrario.\x0E\x04\x00\x00
MID_RELIANCE_B_#016	\x0E\x03\x02\x0C\nラファール\nMa che vuoi da me? Sputa il rospo e smettila\ndi guardarmi in quel modo.\x0E\x04\x00\x00
MID_RELIANCE_B_#017	\x0E\x03\x02\x0C\nグレゴリー\nNo, niente! Davvero, non voglio niente.\nStavo solo pensando a quanto sei forte.\x0E\x04\x00\x00
MID_RELIANCE_B_#018	\x0E\x03\x02\x0C\nラファール\nInfatti. E farai meglio a ricordartelo, visto che\nsarà la mia forza a farci vincere questa battaglia.\x0E\x04\x02\x00
MID_RELIANCE_B_#019	E ce la sbrigheremo molto più in fretta se\nte ne starai buono e fuori dai piedi.\x0E\x04\x00\x00
MID_RELIANCE_B_#020	\x0E\x03\x02\x0C\nグレゴリー\nPer quanto ami restare da parte ed evitare\ni conflitti...\x0E\x04\x02\x00
MID_RELIANCE_B_#021	... se ti dovessero uccidere nell'attimo in cui\nmi distraggo, non avrei più il coraggio di\nguardare il Drago Divino negli occhi.\x0E\x04\x00\x00
MID_RELIANCE_B_#022	\x0E\x03\x02\x0C\nラファール\nE va bene, se proprio insisti. Ma cerca di restare\nal tuo posto e mantenere il passo, se non vuoi\nessere lasciato indietro.\x0E\x04\x00\x00
MID_RELIANCE_B_#023	\x0E\x03\x02\x0C\nグレゴリー\nMa certo, farò come dici, mio ex padrone.\x0E\x04\x00\x00
MID_RELIANCE_A_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x10\nラファール\x021\n\x0E\x03\x00\x10\nグレゴリー\x022\n\x0E\x03\x02\x0C\nグレゴリー\nAll'inizio avevo i miei dubbi, ma devo\nammettere che siamo una buona squadra,\nnoi due.\x0E\x04\x00\x00
MID_RELIANCE_A_#002	\x0E\x03\x02\x0C\nラファール\nSei stato bravo.\x0E\x04\x00\x00
MID_RELIANCE_A_#003	\x0E\x03\x02\x0C\nグレゴリー\nCosa? Un complimento? Hai davvero detto che\nsono stato bravo?\x0E\x04\x00\x00
MID_RELIANCE_A_#004	\x0E\x03\x02\x0C\nラファール\nFin troppo bravo. Perché combatti al mio\nfianco? Qual è il tuo obiettivo?\x0E\x04\x02\x00
MID_RELIANCE_A_#005	Io vi ho imbrogliati, no? Vite sono andate\nperdute a causa mia.\x0E\x04\x00\x00
MID_RELIANCE_A_#006	\x0E\x03\x02\x0C\nグレゴリー\nLo so bene...\x0E\x04\x00\x00
MID_RELIANCE_A_#007	\x0E\x03\x02\x0C\nラファール\nSono sicuro che nutri rancore nei miei confronti.\nO paura, almeno. Che possa tradirvi di nuovo.\x0E\x04\x00\x00
MID_RELIANCE_A_#008	\x0E\x03\x02\x0C\nグレゴリー\nCredimi, ti ho odiato con tutto il mio cuore.\nE ancora ti odio, se devo essere onesto.\x0E\x04\x02\x00
MID_RELIANCE_A_#009	Ma quella rabbia... non è tutta diretta verso\ndi te.\x0E\x04\x00\x00
MID_RELIANCE_A_#010	\x0E\x03\x02\x0C\nラファール\nE questo che significa?\x0E\x04\x00\x00
MID_RELIANCE_A_#011	\x0E\x03\x02\x0C\nグレゴリー\nNon ero consapevole che avessi un segreto,\ne non mi ero mai accorto di quanto soffrissi.\x0E\x04\x02\x00
MID_RELIANCE_A_#012	Sono più arrabbiato con me stesso per essere\nstato così inutile. Non sono stato capace di\naiutarti... di salvarti.\x0E\x04\x00\x00
MID_RELIANCE_A_#013	\x0E\x03\x02\x0C\nラファール\nDavvero?\x0E\x04\x00\x00
MID_RELIANCE_A_#014	\x0E\x03\x02\x0C\nグレゴリー\nEcco perché adesso sto cercando di capirti,\nin questo mondo.\x0E\x04\x00\x00
MID_RELIANCE_A_#015	\x0E\x03\x02\x0C\nラファール\nCredi davvero di poter comprendere la mia\nmente?\x0E\x04\x00\x00
MID_RELIANCE_A_#016	\x0E\x03\x02\x0C\nグレゴリー\nForse, o forse no. Ma se io dovessi fallire, e tu\nci tradissi di nuovo... questa volta ti ucciderei.\x0E\x04\x02\x00
MID_RELIANCE_A_#017	Quindi non importa quanto sei cattivo o buono\ncon me. In ogni caso, resterò al tuo fianco.\x0E\x04\x00\x00
MID_RELIANCE_A_#018	\x0E\x03\x02\x0C\nラファール\nDichiari così apertamente il tuo piano?\nE io perché dovrei tenermi vicino il mio\npossibile assassino?\x0E\x04\x00\x00
MID_RELIANCE_A_#019	\x0E\x03\x02\x0C\nグレゴリー\nPerché il Drago Divino vuole che io mi occupi\ndi te. Mi sembra una buona ragione.\x0E\x04\x00\x00
MID_RELIANCE_A_#020	\x0E\x03\x02\x0C\nラファール\nMolto bene. Allora finiscimi pure con la tua\nlama traditrice, se è quello che vuoi.\x0E\x04\x02\x00
MID_RELIANCE_A_#021	Ma stai attento, perché l'unico che verrà colpito\nda quella lama sarai tu.\x0E\x04\x00\x00
MID_RELIANCE_A_#022	\x0E\x03\x02\x0C\nグレゴリー\nAhahah...\x0E\x04\x00\x00
MID_RELIANCE_A_#023	\x0E\x03\x02\x0C\nラファール\nTi diverte tanto la tua debolezza?\x0E\x04\x00\x00
MID_RELIANCE_A_#024	\x0E\x03\x02\x0C\nグレゴリー\nStavo solo pensando che, per quello che ho\nvisto, non dobbiamo preoccuparci più di tanto.\x0E\x04\x02\x00
MID_RELIANCE_A_#025	Il modo in cui cerchi di tenermi a distanza\ne la tua incapacità di esprimere gratitudine.\x0E\x04\x02\x00
MID_RELIANCE_A_#026	Provi a nasconderti, ma io ti vedo. E spero che\nnon ci tradirai più. Anzi, ne sono sicuro.\x0E\x04\x00\x00
MID_RELIANCE_A_#027	\x0E\x03\x02\x0C\nラファール\nTrova pure conforto nelle tue illusioni.\nNon hanno alcun valore per me.\x0E\x04\x00\x00
MID_RELIANCE_A_#028	\x0E\x03\x02\x0C\nグレゴリー\nDavvero? Allora perché le tue orecchie sono\ndiventate rosse?\x0E\x04\x00\x00
MID_RELIANCE_A_#029	\x0E\x03\x02\x0C\nラファール\nChe cosa?\x0E\x04\x00\x00
MID_RELIANCE_A_#030	\x0E\x03\x02\x0C\nグレゴリー\nAhahah! Ti preferisco quando sei così facile\nda capire.\x0E\x04\x02\x00
MID_RELIANCE_A_#031	Non mi lascerò ingannare dalla tua maschera.\nOrmai conosco la tua vera faccia.\x0E\x04\x00\x00
