MID_OP1_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0E\x08リュール\x021\n\x0E\x03\x00\x0C\x06ミカヤ\x022\n\x0E\x03\x02\x0A\x08リュール\nGuarda. Sta nevicando...\x0E\x04\x00\x00
MID_BT2_#004	\x0E\x05\x01\x14\x06ユナカ\nAngry\n\x0E\x03\x02\x08\x06ユナカ\nIn tal caso, sono pronta.\x0E\x04\x00\x00
MID_ED1_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0E\x08リュール\x021\n\x0E\x03\x00\x0C\x06ミカヤ\x022\n\x0E\x03\x02\x08\x06ミカヤ\nBenissimo, hai superato la sfida.\x0E\x04\x00\x00
MID_ED1_#002	\x0E\x03\x02\x0A\x08リュール\nGrazie, Micaiah.\x0E\x04\x00\x00
MID_ED1_#003	\x0E\x03\x02\x08\x06ミカヤ\nLo senti anche tu? Il nostro legame è più forte.\x0E\x04\x00\x00
MID_ED1_#004	\x0E\x03\x02\x0A\x08リュール\nSì, ora mi sembra di capirti meglio di prima.\x0E\x04\x00\x00
MID_ED1_#005	\x0E\x03\x02\x0A\x08リュール\nUna cosa, però...\x0E\x04\x00\x00
MID_ED1_#006	\x0E\x03\x02\x08\x06ミカヤ\nDimmi.\x0E\x04\x00\x00
MID_ED1_#007	\x0E\x03\x02\x0A\x08リュール\nSperavo... di poter assorbire un po' delle\ntue capacità divinatorie.\x0E\x04\x00\x00
MID_ED1_#008	\x0E\x03\x02\x08\x06ミカヤ\nAhah, ma tu non ne hai bisogno.\x0E\x04\x00\x00
MID_ED1_#009	\x0E\x03\x02\x08\x06ミカヤ\nIl futuro è già davanti a te. È quello che stai\ncostruendo con le tue mani.\x0E\x04\x00\x00
MID_ED1_#010	\x0E\x03\x02\x0A\x08リュール\nÈ una predizione delle tue?\x0E\x04\x00\x00
MID_ED1_#011	\x0E\x03\x02\x08\x06ミカヤ\nNo. È un dato di fatto, davanti ai miei occhi.\x0E\x04\x00\x00
MID_ED1_#012	\x0E\x03\x02\x08\x06ミカヤ\nVedo una persona che terrà sempre i nervi saldi.\nSei u\x0E\x0A\x00\x0A\x02n\x04na ver\x0E\x0A\x00\x08\x02o\x02a combattente.\x0E\x04\x00\x00
MID_ED1_#013	\x0E\x03\x02\x0A\x08リュール\nMi sento onorat\x0E\x0A\x00\x08\x02o\x02a da queste parole.\nFarò del mio meglio per non deluderti.\x0E\x04\x00\x00
MID_ED1_#014	\x0E\x03\x02\x08\x06ミカヤ\nNon mi deluderai, lo so. E ora andiamo\na salvare il mondo.\x0E\x04\x00\x00
MID_LC1_#001	\x0E\x02\x02\x00
