MID_RELIANCE_C_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0E\x08リュール\x021\n\x0E\x03\x00\x10\nフォガート\x022\n\x0E\x03\x02\x0A\x08リュール\nFogado, volevo ringraziare te e le sentinelle\nper il vostro duro lavoro di oggi.\x0E\x04\x00\x00
MID_RELIANCE_C_#017	\x0E\x03\x02\x0A\x08リュール\nPenso che sia il tuo tratto più affascinante.\x0E\x04\x00\x00
MID_RELIANCE_B_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0E\x08リュール\x021\n\x0E\x03\x00\x10\nフォガート\x022\n\x0E\x03\x02\x0C\nフォガート\nAaah... direi di chiudere qui.\x0E\x04\x00\x00
MID_RELIANCE_B_#002	\x0E\x03\x02\x0A\x08リュール\nDevo dire che per essere una sedicente\ncanaglia, sei instancabile nel tuo lavoro.\x0E\x04\x00\x00
MID_RELIANCE_B_#003	\x0E\x03\x02\x0C\nフォガート\nEh? Da quanto tempo sei qui?!\x0E\x04\x00\x00
MID_RELIANCE_B_#004	\x0E\x03\x02\x0A\x08リュール\nDa un po'. Scommetto che le sentinelle\nsarebbero orgogliose di vedere con quanta\nfoga ti alleni.\x0E\x04\x00\x00
MID_RELIANCE_B_#005	\x0E\x03\x02\x0C\nフォガート\nNe dubito. E tu farai meglio a tenertelo per te.\x0E\x04\x00\x00
MID_RELIANCE_B_#006	\x0E\x03\x02\x0A\x08リュール\nPerché? Non dovresti vergognarti di allenarti.\x0E\x04\x00\x00
MID_RELIANCE_B_#007	\x0E\x03\x02\x0C\nフォガート\nNon è quello... è che ho una certa reputazione.\x0E\x04\x00\x00
MID_RELIANCE_B_#008	\x0E\x03\x02\x0C\nフォガート\nTutti mi vedono come un tipo alla mano.\nE questo mio modo di essere aiuta a tenere\nalto il morale degli altri.\x0E\x04\x00\x00
MID_RELIANCE_B_#009	\x0E\x03\x02\x0A\x08リュール\nNon riesco a seguirti.\x0E\x04\x00\x00
MID_RELIANCE_B_#010	\x0E\x03\x02\x0C\nフォガート\nSe le sentinelle vedessero come lavoro duro per\ntenermi in forma, si sentirebbero in dovere di\nfare altrettanto.\x0E\x04\x00\x00
MID_RELIANCE_B_#011	\x0E\x03\x02\x0C\nフォガート\nLa stanchezza, l'aria negativa... sono tutte cose\ncontagiose.\x0E\x04\x00\x00
MID_RELIANCE_B_#012	\x0E\x03\x02\x0C\nフォガート\nPer questo sono sempre allegro. Ho il dovere di\nrestare sempre positivo per il bene di tutti.\x0E\x04\x00\x00
MID_RELIANCE_B_#013	\x0E\x03\x02\x0A\x08リュール\nA quanto pare non avevo capito niente di te,\nmi dispiace tanto.\x0E\x04\x00\x00
MID_RELIANCE_B_#014	\x0E\x03\x02\x0A\x08リュール\nCome vuoi tu, lo terrò per me.\x0E\x04\x00\x00
MID_RELIANCE_B_#015	\x0E\x03\x02\x0C\nフォガート\nGrazie, Drago Divino! Lo apprezzo molto.\x0E\x04\x00\x00
MID_RELIANCE_B_#016	\x0E\x03\x02\x0A\x08リュール\nNon finisci mai di stupirmi, Fogado.\x0E\x04\x00\x00
MID_RELIANCE_A_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0E\x08リュール\x021\n\x0E\x03\x00\x10\nフォガート\x022\n\x0E\x03\x02\x0A\x08リュール\nSempre ad allenarti, eh?\x0E\x04\x00\x00
MID_RELIANCE_A_#002	\x0E\x03\x02\x0C\nフォガート\nE tu che ci fai qui?!\x0E\x04\x00\x00
MID_RELIANCE_A_#003	\x0E\x03\x02\x0C\nフォガート\nPensavo avessimo già discusso la cosa. Come\nmai sei tornat\x0E\x0A\x00\x08\x02o\x02a?\x0E\x04\x00\x00
MID_RELIANCE_A_#004	\x0E\x03\x02\x0A\x08リュール\nTi chiedo scusa.\x0E\x04\x00\x00
MID_RELIANCE_A_#005	\x0E\x03\x02\x0A\x08リュール\nSei sempre lì che ti alleni in segreto...\nVolevo solo farti compagnia.\x0E\x04\x00\x00
MID_RELIANCE_A_#006	\x0E\x03\x02\x0C\nフォガート\nAhahah! Il Drago Divino si preoccupa per me?\nE da quando sono così fortunato?\x0E\x04\x00\x00
MID_RELIANCE_A_#007	\x0E\x03\x02\x0A\x08リュール\nFogado, vorrei fare qualcosa per te.\x0E\x04\x00\x00
MID_RELIANCE_A_#008	\x0E\x03\x02\x0C\nフォガート\nEh? Lo apprezzo davvero, ma sono un principe,\nsai. Ho già tutto ciò di cui ho bisogno...\x0E\x04\x00\x00
MID_RELIANCE_A_#009	\x0E\x03\x02\x0A\x08リュール\nAllora che ne dici di una cena? Ci tenevi tanto,\npossiamo mangiare qualcosa e conoscerci\nmeglio.\x0E\x04\x00\x00
MID_RELIANCE_A_#010	\x0E\x03\x02\x0C\nフォガート\nUna cena? Noi due insieme?\x0E\x04\x00\x00
MID_RELIANCE_A_#011	\x0E\x03\x02\x0A\x08リュール\nSì.\x0E\x04\x00\x00
MID_RELIANCE_A_#012	\x0E\x03\x02\x0C\nフォガート\nSono molto tentato... non sono mai uscito\na cena con un Drago Divino... Solo che...\x0E\x04\x00\x00
MID_RELIANCE_A_#013	\x0E\x03\x02\x0C\nフォガート\nNon posso, mi spiace!\x0E\x04\x00\x00
MID_RELIANCE_A_#014	\x0E\x03\x02\x0A\x08リュール\nMa come, mi rifiuti? Che smacco.\x0E\x04\x00\x00
MID_RELIANCE_A_#015	\x0E\x03\x02\x0C\nフォガート\nNo, no... è solo che mangiare con te sarebbe\nla più grande ricompensa, e non me lo merito.\x0E\x04\x00\x00
MID_RELIANCE_A_#016	\x0E\x03\x02\x0C\nフォガート\nPreferisco tenere questa illusione ancora per\nun po' davanti ai miei occhi, come sprone.\x0E\x04\x00\x00
MID_RELIANCE_A_#017	\x0E\x03\x02\x0A\x08リュール\nCapisco. Spero che ne valga la pena. Quando\nsei pronto, sai dove trovarmi.\x0E\x04\x00\x00
MID_RELIANCE_A_#018	\x0E\x03\x02\x0C\nフォガート\nGrazie. Beh, ora mi rimetto all'opera.\x0E\x04\x00\x00
MID_RELIANCE_A_#019	\x0E\x03\x02\x0C\nフォガート\nLe sentinelle... e tutto il popolo hanno bisogno\ndella mia faccia tosta.\x0E\x04\x00\x00
MID_RELIANCE_S_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0E\x08リュール\x021\n\x0E\x03\x00\x10\nフォガート\x022\n\x0E\x03\x02\x0A\x08リュール\nOttima scelta. Il cibo era superlativo e mi è\npiaciuto anche il posto.\x0E\x04\x00\x00
MID_RELIANCE_S_#002	\x0E\x03\x02\x0C\nフォガート\nUna bella cenetta con il Drago Divino, proprio\ncome speravo. È valsa la pena aspettare.\x0E\x04\x00\x00
MID_RELIANCE_S_#003	\x0E\x03\x02\x0A\x08リュール\nCon tutte le cose che stanno succedendo è\nun miracolo che siamo finalmente riusciti a\nfare questa cena.\x0E\x04\x00\x00
MID_RELIANCE_S_#004	\x0E\x03\x02\x0C\nフォガート\n...\x0E\x04\x00\x00
MID_RELIANCE_S_#005	\x0E\x03\x02\x0C\nフォガート\nC'è ancora qualcosa che vorrei realizzare\ninsieme a te.\x0E\x04\x00\x00
MID_RELIANCE_S_#006	\x0E\x03\x02\x0A\x08リュール\nE cosa sarebbe? Un desiderio segreto di cui\nti vergogni?\x0E\x04\x00\x00
MID_RELIANCE_S_#007	\x0E\x03\x02\x0C\nフォガート\nNo, certo che no!\x0E\x04\x00\x00
MID_RELIANCE_S_#008	\x0E\x03\x02\x0C\nフォガート\nO forse un po'. Mi piacerebbe, ecco...\x0E\x04\x00\x00
MID_RELIANCE_S_#009	\x0E\x03\x02\x0C\nフォガート\nVorrei che fossimo alleati, capisci? Per sempre,\nintendo.\x0E\x04\x00\x00
MID_RELIANCE_S_#010	\x0E\x03\x02\x0A\x08リュール\nDici davvero?! Beh...\x0E\x04\x00\x00
MID_RELIANCE_S_#011	\x0E\x03\x02\x0C\nフォガート\nUna volta tanto sono serio. Dopo tutta la fatica\nche ho fatto per organizzare la cena!\x0E\x04\x00\x00
MID_RELIANCE_S_#012	\x0E\x03\x02\x0A\x08リュール\nNon pensavo che ci tenessi così tanto, sai?\x0E\x04\x00\x00
MID_RELIANCE_S_#013	\x0E\x03\x02\x0C\nフォガート\nNon volevo dirti niente. Volevo tenermi tutto per\nme.\x0E\x04\x00\x00
MID_RELIANCE_S_#014	\x0E\x03\x02\x0A\x08リュール\nTi piace mantenere i tuoi segreti, eh...\x0E\x04\x00\x00
MID_RELIANCE_S_#015	\x0E\x03\x02\x0A\x08リュール\nQuanti segreti hai? Magari hai chiesto a tutti\ndi essere i tuoi alleati...\x0E\x04\x00\x00
MID_RELIANCE_S_#016	\x0E\x03\x02\x0C\nフォガート\nNo, ci mancherebbe! Non mi faccio andare bene\nchiunque. Sei l'unic\x0E\x0A\x00\x08\x02o\x02a a cui l'ho chiesto!\x0E\x04\x00\x00
MID_RELIANCE_S_#017	\x0E\x03\x02\x0A\x08リュール\nEheh, scherzo. Volevo solo tormentarti un po'.\x0E\x04\x00\x00
MID_RELIANCE_S_#018	\x0E\x03\x02\x0A\x08リュール\nSo che la tua aria scanzonata non è tutto, e che\ndentro di te sei forte e sincero.\x0E\x04\x00\x00
MID_RELIANCE_S_#019	\x0E\x03\x02\x0A\x08リュール\nEcco perché ci tengo a darti questo.\x0E\x04\x00\x00
MID_RELIANCE_S_#020	\x0E\x03\x02\x0C\nフォガート\nL'anello del patto? Drago Divino, ma allora...\x0E\x04\x00\x00
MID_RELIANCE_S_#021	\x0E\x03\x02\x0A\x08リュール\nSignifica che posso esaudire il tuo desiderio\nsegreto. Se vuoi essere il mio alleato, ci sto.\x0E\x04\x00\x00
MID_RELIANCE_S_#022	\x0E\x03\x02\x0A\x08リュール\nForse anche io sono brav\x0E\x0A\x00\x08\x02o\x02a a tenere i segreti,\nvisto che è da un po' che ci stavo pensando,\nFogado.\x0E\x04\x00\x00
MID_RELIANCE_S_#023	\x0E\x03\x02\x0C\nフォガート\nOh, dici davvero? Mi sento onorato... e felice.\x0E\x04\x00\x00
MID_RELIANCE_S_#024	\x0E\x03\x02\x0A\x08リュール\nBenissimo. Sappi che con me non devi\nnasconderti. Il Fogado autentico è una persona\nfantastica.\x0E\x04\x00\x00
MID_RELIANCE_S_#025	\x0E\x03\x02\x0C\nフォガート\nGrazie, \x0E\x06\x03\x00!\x0E\x04\x00\x00
MID_RELIANCE_S_#026	\x0E\x03\x02\x0C\nフォガート\nVedrai, questo furfante scanzonato saprà essere\nun alleato serio e sincero!\x0E\x04\x00\x00
