MID_RELIANCE_C_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0E\x08リュール\x021\n\x0E\x03\x00\x12\x0Cディアマンド\x022\n\x0E\x03\x02\x0A\x08リュール\nArgh! Un'aberrazione!\x0E\x04\x00\x00
MID_RELIANCE_B_#009	\x0E\x03\x02\x0E\x0Cディアマンド\nTornati a casa, mio padre mi diede questa\nmedaglia. Sentii per la prima volta di averlo\nreso orgoglioso delle mie doti di comando.\x0E\x04\x00\x00
MID_RELIANCE_B_#010	\x0E\x03\x02\x0E\x0Cディアマンド\nMa a volte, mi chiedo...\x0E\x04\x00\x00
MID_RELIANCE_B_#011	\x0E\x03\x02\x0E\x0Cディアマンド\nÈ stato davvero un gesto eroico, il mio, o fu\nsolo per pura fortuna che tornammo a casa?\nForse non mi merito questo riconoscimento.\x0E\x04\x00\x00
MID_RELIANCE_B_#012	\x0E\x03\x02\x0A\x08リュール\nAllora capita anche al principe ereditario\ndi Brodia di dubitare di sé stesso...\x0E\x04\x00\x00
MID_RELIANCE_B_#013	\x0E\x03\x02\x0E\x0Cディアマンド\nMi spiace deluderti.\x0E\x04\x00\x00
MID_RELIANCE_B_#014	\x0E\x03\x02\x0E\x0Cディアマンド\nPer la reputazione del mio regno, ti chiedo di\nmantenere tra noi questa conversazione.\x0E\x04\x00\x00
MID_RELIANCE_B_#015	\x0E\x03\x02\x0A\x08リュール\nCerto. Tu mi hai vist\x0E\x0A\x00\x08\x02o\x02a in un momento di\ndebolezza con l'aberrazione... siamo pari.\x0E\x04\x00\x00
MID_RELIANCE_B_#016	\x0E\x03\x02\x0A\x08リュール\nMa lasciami dire una cosa...\x0E\x04\x00\x00
MID_RELIANCE_B_#017	\x0E\x03\x02\x0E\x0Cディアマンド\nSì?\x0E\x04\x00\x00
MID_RELIANCE_B_#018	\x0E\x03\x02\x0A\x08リュール\nSapere che anche tu hai un lato vulnerabile\nmi fa sentire più vicin\x0E\x0A\x00\x08\x02o\x02a a te.\x0E\x04\x00\x00
MID_RELIANCE_B_#019	\x0E\x03\x02\x0A\x08リュール\nLa vulnerabilità non è sempre una brutta cosa.\x0E\x04\x00\x00
MID_RELIANCE_B_#020	\x0E\x03\x02\x0E\x0Cディアマンド\nSei un capo fuori dal comune, Drago Divino.\x0E\x04\x00\x00
MID_RELIANCE_A_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0E\x08リュール\x021\n\x0E\x03\x00\x12\x0Cディアマンド\x022\n\x0E\x03\x02\x0A\x08リュール\n...\x0E\x04\x00\x00
MID_RELIANCE_A_#002	\x0E\x03\x02\x0E\x0Cディアマンド\nDrago Divino, ti stai allenando?\x0E\x04\x00\x00
MID_RELIANCE_A_#003	\x0E\x03\x02\x0A\x08リュール\nSì... non riesco a togliermi di dosso questa\nsensazione di non essere abbastanza forte.\x0E\x04\x00\x00
MID_RELIANCE_A_#004	\x0E\x03\x02\x0A\x08リュール\nLa verità è che... ho paura. Sono debole. Come\nposso riportare la pace nel mondo in queste\ncondizioni?\x0E\x04\x00\x00
MID_RELIANCE_A_#005	\x0E\x03\x02\x0E\x0Cディアマンド\n...\x0E\x04\x00\x00
MID_RELIANCE_A_#006	\x0E\x03\x02\x0A\x08リュール\nChe c'è, Diamant?\x0E\x04\x00\x00
MID_RELIANCE_A_#007	\x0E\x03\x02\x0E\x0Cディアマンド\nSono solo... sorpreso. Non avrei mai immaginato\nche il Drago Divino avesse tali dubbi.\x0E\x04\x00\x00
MID_RELIANCE_A_#008	\x0E\x03\x02\x0A\x08リュール\nCerto che li ho! Mi preoccupo sempre, e mi\npiovono continuamente bruchi nel piatto.\x0E\x04\x00\x00
MID_RELIANCE_A_#009	\x0E\x03\x02\x0E\x0Cディアマンド\nEheheh...\x0E\x04\x00\x00
MID_RELIANCE_A_#010	\x0E\x03\x02\x0A\x08リュール\nMi capisci, vero?\x0E\x04\x00\x00
MID_RELIANCE_A_#011	\x0E\x03\x02\x0E\x0Cディアマンド\nSì, e capisco il tuo discorso sulla vulnerabilità.\nAnche io mi sento più vicino a te, adesso.\x0E\x04\x00\x00
MID_RELIANCE_A_#012	\x0E\x03\x02\x0A\x08リュール\nDavvero? Adesso? Ma mi hai visto in queste\ncondizioni anche prima.\x0E\x04\x00\x00
MID_RELIANCE_A_#013	\x0E\x03\x02\x0A\x08リュール\nQuando sono scappat\x0E\x0A\x00\x08\x02o\x02a da quell'aberrazione,\ncolt\x0E\x0A\x00\x08\x02o\x02a dal panico.\x0E\x04\x00\x00
MID_RELIANCE_A_#014	\x0E\x03\x02\x0E\x0Cディアマンド\nAhah, me lo ricordo bene.\x0E\x04\x00\x00
MID_RELIANCE_A_#015	\x0E\x03\x02\x0E\x0Cディアマンド\nVoglio dire che con te mi sento al sicuro e\nriesco a parlare delle mie paure più profonde.\x0E\x04\x00\x00
MID_RELIANCE_A_#016	\x0E\x03\x02\x0E\x0Cディアマンド\nSe non fosse per te, starei ancora rigirandomi\nin mano quella medaglia, pensando a mio padre.\x0E\x04\x00\x00
MID_RELIANCE_A_#017	\x0E\x03\x02\x0E\x0Cディアマンド\nTe ne sono grato, Drago Divino.\x0E\x04\x00\x00
MID_RELIANCE_A_#018	\x0E\x03\x02\x0A\x08リュール\nÈ così anche per me. Sono felice di avere un\nalleato come te di cui fidarmi.\x0E\x04\x00\x00
MID_RELIANCE_A_#019	\x0E\x03\x02\x0A\x08リュール\nIn fondo, abbiamo molto in comune noi due.\x0E\x04\x00\x00
MID_RELIANCE_A_#020	\x0E\x03\x02\x0E\x0Cディアマンド\nHai proprio ragione.\x0E\x04\x00\x00
MID_RELIANCE_A_#021	\x0E\x03\x02\x0A\x08リュール\nContinuiamo così. Con gli altri siamo cauti, ma\ntra di noi possiamo sempre parlare apertamente.\x0E\x04\x00\x00
MID_RELIANCE_S_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0E\x08リュール\x021\n\x0E\x03\x00\x12\x0Cディアマンド\x022\n\x0E\x03\x02\x0E\x0Cディアマンド\nPosso, Drago Divino?\x0E\x04\x00\x00
MID_RELIANCE_S_#002	\x0E\x03\x02\x0A\x08リュール\nDimmi pure. Cosa c'è?\x0E\x04\x00\x00
MID_RELIANCE_S_#003	\x0E\x03\x02\x0E\x0Cディアマンド\nVorrei darti una cosa.\x0E\x04\x00\x00
MID_RELIANCE_S_#004	\x0E\x03\x02\x0A\x08リュール\nUn anello?\x0E\x04\x00\x00
MID_RELIANCE_S_#005	\x0E\x03\x02\x0E\x0Cディアマンド\nSì. Ho fatto fondere e rimodellare la medaglia\nche mi diede mio padre.\x0E\x04\x00\x00
MID_RELIANCE_S_#006	\x0E\x03\x02\x0A\x08リュール\nLa medaglia di tuo padre? Ma perché lo hai\nfatto? Per te era molto importante!\x0E\x04\x00\x00
MID_RELIANCE_S_#007	\x0E\x03\x02\x0E\x0Cディアマンド\nNel regno di Brodia è tradizione che le medaglie\nvengano trasformate quando passano a una\nnuova persona.\x0E\x04\x00\x00
MID_RELIANCE_S_#008	\x0E\x03\x02\x0A\x08リュール\nNon so se potrei mai toglierti qualcosa di così\ncaro...\x0E\x04\x00\x00
MID_RELIANCE_S_#009	\x0E\x03\x02\x0E\x0Cディアマンド\nHai detto che dovevamo affidarci l'uno all'altr\x0E\x0A\x00\x08\x02o\x02a,\no sbaglio? E non dovevamo sostenerci\na vicenda?\x0E\x04\x00\x00
MID_RELIANCE_S_#010	\x0E\x03\x02\x0E\x0Cディアマンド\nVedilo come un promemoria: quando avrai\nbisogno, io ci sarò.\x0E\x04\x00\x00
MID_RELIANCE_S_#011	\x0E\x03\x02\x0A\x08リュール\nCapisco...\x0E\x04\x00\x00
MID_RELIANCE_S_#012	\x0E\x03\x02\x0E\x0Cディアマンド\nAllora, accetterai il mio anello, Drago Divino?\x0E\x04\x00\x00
MID_RELIANCE_S_#013	\x0E\x03\x02\x0A\x08リュール\nDiamant...\x0E\x04\x00\x00
MID_RELIANCE_S_#014	\x0E\x03\x02\x0A\x08リュール\nNon so se me lo merito. Non mi sento degn\x0E\x0A\x00\x08\x02o\x02a\ndi un regalo così personale.\x0E\x04\x00\x00
MID_RELIANCE_S_#015	\x0E\x03\x02\x0A\x08リュール\nMa farò in modo di diventarlo.\x0E\x04\x00\x00
MID_RELIANCE_S_#016	\x0E\x03\x02\x0E\x0Cディアマンド\nMolto bene, allora lo prendi?\x0E\x04\x00\x00
MID_RELIANCE_S_#017	\x0E\x03\x02\x0A\x08リュール\nSì.\x0E\x04\x00\x00
MID_RELIANCE_S_#018	\x0E\x03\x02\x0E\x0Cディアマンド\nGrazie. Mi fa piacere, sai?\x0E\x04\x00\x00
MID_RELIANCE_S_#019	\x0E\x03\x02\x0A\x08リュール\nÈ buffo ma... anch'io avrei qualcosa da darti.\x0E\x04\x00\x00
MID_RELIANCE_S_#020	\x0E\x03\x02\x0E\x0Cディアマンド\nL'anello del patto...?!\x0E\x04\x00\x00
MID_RELIANCE_S_#021	\x0E\x03\x02\x0A\x08リュール\nVolevo dartelo per prim\x0E\x0A\x00\x08\x02o\x02a, ma mi hai battut\x0E\x0A\x00\x08\x02o\x02a\nin velocità.\x0E\x04\x00\x00
MID_RELIANCE_S_#022	\x0E\x03\x02\x0E\x0Cディアマンド\nMa questo anello è importantissimo...\x0E\x04\x00\x00
MID_RELIANCE_S_#023	\x0E\x03\x02\x0A\x08リュール\nAnche quello che mi hai dato tu lo è.\x0E\x04\x00\x00
MID_RELIANCE_S_#024	\x0E\x03\x02\x0A\x08リュール\nNon accetterò un no come risposta.\nSei l'unico che vorrei al mio fianco, Diamant.\x0E\x04\x00\x00
MID_RELIANCE_S_#025	\x0E\x03\x02\x0E\x0Cディアマンド\nNon preoccuparti, anche a me fa piacere\ncombattere al tuo fianco. Accetto il tuo regalo.\x0E\x04\x00\x00
MID_RELIANCE_S_#026	\x0E\x03\x02\x0E\x0Cディアマンド\nIncredibile. Questo anello contiene la storia dei\nDraghi Divini... la storia del Lythos.\x0E\x04\x00\x00
MID_RELIANCE_S_#027	\x0E\x03\x02\x0A\x08リュール\nNel tuo invece sento la storia della Brodia.\x0E\x04\x00\x00
MID_RELIANCE_S_#028	\x0E\x03\x02\x0E\x0Cディアマンド\nQuesto oggetto fu passato di generazione in\ngenerazione, pur cambiando forma. La storia\ndel mio regno è tutta qua dentro.\x0E\x04\x00\x00
MID_RELIANCE_S_#029	\x0E\x03\x02\x0A\x08リュール\nDobbiamo darci da fare per aggiungere a questa\nstoria capitoli degni dei nostri predecessori.\x0E\x04\x00\x00
MID_RELIANCE_S_#030	\x0E\x03\x02\x0E\x0Cディアマンド\nSento che fianco a fianco nulla sarà impossibile.\x0E\x04\x00\x00
MID_RELIANCE_S_#031	\x0E\x03\x02\x0E\x0Cディアマンド\nPrometto di proteggerti, Drago Divino. Da oggi\nin poi, combatterò sempre al tuo fianco.\x0E\x04\x00\x00
