MID_GR_El_C_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0A\x04エル\x021\n\x0E\x03\x00\x0A\x04ロイ\x022\n\x0E\x03\x02\x06\x04エル\nI tuoi capelli rosso fuoco sono quasi un faro\nsul campo di battaglia.\x0E\x04\x00\x00
MID_GR_Selestia_C_#002	\x0E\x03\x02\x06\x04ロイ\nSei un Drago Magico, giusto? Esistono anche\nnel mio mondo, ma nessuno come te.\x0E\x04\x00\x00
MID_GR_Selestia_B_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x12\x0Cセレスティア\x021\n\x0E\x03\x00\x0A\x04ロイ\x022\n\x0E\x03\x02\x06\x04ロイ\nNon mi pare che tu ti sia seduta a fare un pasto\ncompleto assieme agli altri, di recente. Sicura\nche sia tutto a posto, Zelestia?\x0E\x04\x00\x00
MID_GR_Selestia_B_#002	\x0E\x03\x02\x0E\x0Cセレスティア\nVedi, è che sono sempre così impegnata. Ma hai\nragione, dovrei mangiare qualcosa con calma.\nGrazie della premura.\x0E\x04\x00\x00
MID_GR_Selestia_A_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x12\x0Cセレスティア\x021\n\x0E\x03\x00\x0A\x04ロイ\x022\n\x0E\x03\x02\x0E\x0Cセレスティア\nI miei amici sono come una famiglia per me.\nIl pensiero di perdere qualcun altro di loro mi\ntormenta.\x0E\x04\x00\x00
MID_GR_Selestia_A_#002	\x0E\x03\x02\x06\x04ロイ\nAnch'io avevo di queste preoccupazioni quando\nmi misero a capo di un esercito, ma il supporto\ndegli amici mi aiutò a ritrovare il coraggio.\x0E\x04\x00\x00
MID_GR_Selestia_A_#003	\x0E\x03\x02\x06\x04ロイ\nLascia che ti sostenga e ti alleggerisca delle tue\npaure, proprio come fecero i miei amici con me.\x0E\x04\x00\x00
MID_GR_Selestia_A_#004	\x0E\x03\x02\x0E\x0Cセレスティア\nGrazie, Roy. Anche tu ormai fai parte della mia\nfamiglia. Sono sempre lieta di averti al mio\nfianco in battaglia.\x0E\x04\x00\x00
MID_GR_Gregory_C_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x10\nグレゴリー\x021\n\x0E\x03\x00\x0A\x04ロイ\x022\n\x0E\x03\x02\x06\x04ロイ\nNon avevo mai visto degli abiti come i tuoi,\nGregory. Hanno qualche significato particolare?\x0E\x04\x00\x00
MID_GR_Gregory_C_#002	\x0E\x03\x02\x0C\nグレゴリー\nA dire il vero, non amo avere quest'aria\nminacciosa. Ma se serve a tenere lontani i\nnemici, ben venga.\x0E\x04\x00\x00
MID_GR_Gregory_B_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x10\nグレゴリー\x021\n\x0E\x03\x00\x0A\x04ロイ\x022\n\x0E\x03\x02\x0C\nグレゴリー\nStavo studiando una strategia per riuscire a\nfuggire quando si è circondati. Mi daresti il\ntuo parere?\x0E\x04\x00\x00
MID_GR_Gregory_B_#002	\x0E\x03\x02\x06\x04ロイ\nCerto. Ero alla guida di un esercito, anche se\nnon si direbbe. Ti darò una mano con piacere.\x0E\x04\x00\x00
MID_GR_Gregory_A_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x10\nグレゴリー\x021\n\x0E\x03\x00\x0A\x04ロイ\x022\n\x0E\x03\x02\x0C\nグレゴリー\nDi' un po', Roy... La paura e il dolore sono\nspiacevoli, ne convieni?\x0E\x04\x00\x00
MID_GR_Gregory_A_#002	\x0E\x03\x02\x06\x04ロイ\nSì, ne convengo. Causano una montagna di\nsofferenza e io mi impegno per evitarli il più\npossibile.\x0E\x04\x00\x00
MID_GR_Gregory_A_#003	\x0E\x03\x02\x0C\nグレゴリー\nPure io. E ho capito una cosa. Per evitarli e\nriportare la pace non posso solo scappare, ma ci\nsono volte in cui devo affrontare gli avversari.\x0E\x04\x00\x00
MID_GR_Gregory_A_#004	\x0E\x03\x02\x06\x04ロイ\nMi trovi perfettamente d'accordo. Accetta il\nmio sostegno. Insieme riporteremo la pace nel\nmondo.\x0E\x04\x00\x00
MID_GR_Madeline_C_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x10\nマデリーン\x021\n\x0E\x03\x00\x0A\x04ロイ\x022\n\x0E\x03\x02\x06\x04ロイ\nMi hai lasciato a bocca aperta in battaglia...\nHai sconfitto un nemico dietro l'altro, ma senza\ntrascurare la difesa degli alleati.\x0E\x04\x00\x00
MID_GR_Madeline_C_#002	\x0E\x03\x02\x0C\nマデリーン\nOh, non merito tutte queste lodi. Ho fatto solo\nil mio dovere.\x0E\x04\x00\x00
MID_GR_Madeline_B_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x10\nマデリーン\x021\n\x0E\x03\x00\x0A\x04ロイ\x022\n\x0E\x03\x02\x0C\nマデリーン\nSe c'è qualcuno che merita delle lodi, sei tu. Hai\ngrazia e portamento persino fuori dal campo di\nbattaglia.\x0E\x04\x00\x00
MID_GR_Madeline_B_#002	\x0E\x03\x02\x06\x04ロイ\nMa che bei complimenti. Non saprei davvero\ncome rispondere, mi sento un po' in imbarazzo.\nGrazie.\x0E\x04\x00\x00
MID_GR_Madeline_A_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x10\nマデリーン\x021\n\x0E\x03\x00\x0A\x04ロイ\x022\n\x0E\x03\x02\x0C\nマデリーン\nAnche se sei nobile, hai un atteggiamento\numile nei confronti di chiunque.\x0E\x04\x00\x00
MID_GR_Madeline_A_#002	\x0E\x03\x02\x0C\nマデリーン\nSenza contare che sei davvero abile con la\nspada. Qual è il segreto per diventare così\nstraordinari?\x0E\x04\x00\x00
MID_GR_Madeline_A_#003	\x0E\x03\x02\x06\x04ロイ\nPer quanto sia ancora lontano dal raggiungere\nil livello di mio padre, credo che sia merito\ndell'esperienza in battaglia.\x0E\x04\x00\x00
MID_GR_Madeline_A_#004	\x0E\x03\x02\x06\x04ロイ\nSe ti interessa, potrei insegnarti quello che so.\nUnendo le forze, riusciremo a porre fine alla\nguerra.\x0E\x04\x00\x00
