MID_RELIANCE_C_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0E\x08リュール\x021\n\x0E\x03\x00\x10\nエーティエ\x022\n\x0E\x03\x02\x0A\x08リュール\nAhahah...\x0E\x04\x00\x00
MID_RELIANCE_B_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0E\x08リュール\x021\n\x0E\x03\x00\x10\nエーティエ\x022\n\x0E\x03\x02\x0C\nエーティエ\nMi state di nuovo osservando, Drago Divino.\x0E\x04\x00\x00
MID_RELIANCE_B_#002	\x0E\x03\x02\x0A\x08リュール\nÈ vero, chiedo scusa. È più forte di me.\x0E\x04\x00\x00
MID_RELIANCE_B_#003	\x0E\x03\x02\x0C\nエーティエ\nVe l'ho detto che non mi importa. Anzi, mi\nlusinga.\x0E\x04\x00\x00
MID_RELIANCE_B_#004	\x0E\x03\x02\x0C\nエーティエ\nDetto questo, ci sarà di sicuro qualcosa di\nmeglio da fare che stare ad ammirare il mio\natteggiamento.\x0E\x04\x00\x00
MID_RELIANCE_B_#005	\x0E\x03\x02\x0A\x08リュール\nTipo cosa?\x0E\x04\x00\x00
MID_RELIANCE_B_#006	\x0E\x03\x02\x0C\nエーティエ\nChe ne dite di cento giri di corsa attorno al\nSomniel?\x0E\x04\x00\x00
MID_RELIANCE_B_#007	\x0E\x03\x02\x0A\x08リュール\nDi corsa?!\x0E\x04\x00\x00
MID_RELIANCE_B_#008	\x0E\x03\x02\x0C\nエーティエ\nPersino io soffro lo stress a volte. E in quei\nmomenti una bella corsa mi tira su.\x0E\x04\x00\x00
MID_RELIANCE_B_#009	\x0E\x03\x02\x0C\nエーティエ\nQuando corro riesco a svuotare la mente.\nÈ come se i problemi se ne andassero col\nsudore.\x0E\x04\x00\x00
MID_RELIANCE_B_#010	\x0E\x03\x02\x0A\x08リュール\nCapisco, ma... cento giri non sono un po' troppi?\x0E\x04\x00\x00
MID_RELIANCE_B_#011	\x0E\x03\x02\x0C\nエーティエ\nSecondo me sono il numero giusto. Con meno\ngiri si rischia di avere ancora qualche pensiero.\x0E\x04\x00\x00
MID_RELIANCE_B_#012	\x0E\x03\x02\x0C\nエーティエ\nAllora? Vi interessa?\x0E\x04\x00\x00
MID_RELIANCE_B_#013	\x0E\x03\x02\x0A\x08リュール\nSi può fare.\x0E\x04\x00\x00
MID_RELIANCE_B_#014	\x0E\x03\x02\x0C\nエーティエ\nOttimo. Cominciamo!\x0E\x04\x00\x00
MID_RELIANCE_B_#015	\x0E\x03\x02\x0A\x08リュール\nAdesso?!\x0E\x04\x00\x00
MID_RELIANCE_B_#016	\x0E\x03\x02\x0C\nエーティエ\nPerché rimandare? Volete o no trovare la\nfiducia in voi stess\x0E\x0A\x00\x08\x02o\x02a?\x0E\x04\x00\x00
MID_RELIANCE_B_#017	\x0E\x03\x02\x0A\x08リュール\nNon mi aspettavo di fare cento giri di corsa,\noggi. Ma d'accordo, perché no?\x0E\x04\x00\x00
MID_RELIANCE_B_#018	\x0E\x03\x02\x0A\x08リュール\nDai, Etie! Si parte!\x0E\x04\x00\x00
MID_RELIANCE_B_#019	\x0E\x03\x02\x0C\nエーティエ\nCosì si fa!\x0E\x04\x00\x00
MID_RELIANCE_A_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0E\x08リュール\x021\n\x0E\x03\x00\x10\nエーティエ\x022\n\x0E\x03\x02\x0C\nエーティエ\nAllora, vi è piaciuta la corsa dell'altro giorno?\x0E\x04\x00\x00
MID_RELIANCE_A_#002	\x0E\x03\x02\x0A\x08リュール\nEra la prima volta che facevo cento giri di corsa.\nSe non altro, dopo ho dormito come un ghiro.\x0E\x04\x00\x00
MID_RELIANCE_A_#003	\x0E\x03\x02\x0A\x08リュール\nPeccato che il giorno dopo mi sia svegliat\x0E\x0A\x00\x08\x02o\x02a\ncon i crampi.\x0E\x04\x00\x00
MID_RELIANCE_A_#004	\x0E\x03\x02\x0C\nエーティエ\nOps. Avrei dovuto avvisarvi.\x0E\x04\x00\x00
MID_RELIANCE_A_#005	\x0E\x03\x02\x0A\x08リュール\nLa corsa però è stata come avevi promesso!\x0E\x04\x00\x00
MID_RELIANCE_A_#006	\x0E\x03\x02\x0A\x08リュール\nMentre correvo avevo davvero la mente\nsgombra. I problemi non esistevano più.\x0E\x04\x00\x00
MID_RELIANCE_A_#007	\x0E\x03\x02\x0A\x08リュール\nÈ stato strano.\x0E\x04\x00\x00
MID_RELIANCE_A_#008	\x0E\x03\x02\x0C\nエーティエ\nAdesso lo sapete! Che onore avervi insegnato\nqualcosa.\x0E\x04\x00\x00
MID_RELIANCE_A_#009	\x0E\x03\x02\x0C\nエーティエ\nMa non finisce qui. La prossima volta vorrei\nche provaste un balsamo per i muscoli.\x0E\x04\x00\x00
MID_RELIANCE_A_#010	\x0E\x03\x02\x0A\x08リュール\nUn cosa?\x0E\x04\x00\x00
MID_RELIANCE_A_#011	\x0E\x03\x02\x0C\nエーティエ\nDovete prendervi cura dei vostri muscoli dopo\nl'esercizio fisico, o saranno dolori.\x0E\x04\x00\x00
MID_RELIANCE_A_#012	\x0E\x03\x02\x0A\x08リュール\nAaah. Ho capito.\x0E\x04\x00\x00
MID_RELIANCE_A_#013	\x0E\x03\x02\x0A\x08リュール\nQuindi se continuo a correre e uso quel\nbalsamo, diventerò come te?\x0E\x04\x00\x00
MID_RELIANCE_A_#014	\x0E\x03\x02\x0C\nエーティエ\nCerto. Con me funziona, e sono solo una\npersona normalissima.\x0E\x04\x00\x00
MID_RELIANCE_A_#015	\x0E\x03\x02\x0C\nエーティエ\nIl Drago Divino che segue questo programma?\nDiventerete così sicur\x0E\x0A\x00\x08\x02o\x02a di voi che si noterà fin\nda lontano.\x0E\x04\x00\x00
MID_RELIANCE_A_#016	\x0E\x03\x02\x0A\x08リュール\nEheh, lo dici con una tale sicurezza, che non\nsi può non crederti.\x0E\x04\x00\x00
MID_RELIANCE_A_#017	\x0E\x03\x02\x0A\x08リュール\nMi bastava ammirare la tua sicurezza, all'inizio,\nma grazie ai tuoi allenamenti...\x0E\x04\x00\x00
MID_RELIANCE_A_#018	\x0E\x03\x02\x0A\x08リュール\n... potrei essere anch'io un'ispirazione per altre\npersone, come lo sei stata tu per me.\nMi sei stata di grande aiuto, Etie.\x0E\x04\x00\x00
MID_RELIANCE_A_#019	\x0E\x03\x02\x0C\nエーティエ\nAh, Drago Divino. Mi fate arrossire.\x0E\x04\x00\x00
MID_RELIANCE_A_#020	\x0E\x03\x02\x0C\nエーティエ\nPenso proprio che farò una corsa. Ci vediamo!\x0E\x04\x00\x00
MID_RELIANCE_A_#021	\x0E\x03\x02\x0A\x08リュール\nAspetta... Forse l'ho messa in imbarazzo...\x0E\x04\x00\x00
MID_RELIANCE_A_#022	\x0E\x03\x02\x0A\x08リュール\nBeh, vorrà dire che mi toccherà seguirla. Il che\nsignifica altri giri di corsa attorno al Somniel!\x0E\x04\x00\x00
MID_RELIANCE_S_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0E\x08リュール\x021\n\x0E\x03\x00\x10\nエーティエ\x022\n\x0E\x03\x02\x0C\nエーティエ\nDrago Divino, qualcosa non va? Di recente\nsembra quasi che mi evitiate... Andate sempre\na correre senza di me, ormai.\x0E\x04\x00\x00
MID_RELIANCE_S_#002	\x0E\x03\x02\x0A\x08リュール\nBeh, ecco...\x0E\x04\x00\x00
MID_RELIANCE_S_#003	\x0E\x03\x02\x0C\nエーティエ\nSe vi ho offes\x0E\x0A\x00\x08\x02o\x02a in qualche modo non era mia\nintenzione. Dico sul serio, scusatemi.\x0E\x04\x00\x00
MID_RELIANCE_S_#004	\x0E\x03\x02\x0A\x08リュール\nNo, aspetta! È che da un po' ho un pensiero\nfisso.\x0E\x04\x00\x00
MID_RELIANCE_S_#005	\x0E\x03\x02\x0A\x08リュール\nE per quanto corra veloce, non se ne va via.\nNon so più come fare...\x0E\x04\x00\x00
MID_RELIANCE_S_#006	\x0E\x03\x02\x0A\x08リュール\nScusami se te lo chiedo, ma posso togliermi\nun peso?\x0E\x04\x00\x00
MID_RELIANCE_S_#007	\x0E\x03\x02\x0C\nエーティエ\nSì. Ditemi tutto.\x0E\x04\x00\x00
MID_RELIANCE_S_#008	\x0E\x03\x02\x0A\x08リュール\nVedi, vorrei che unissimo le forze, io e te.\x0E\x04\x00\x00
MID_RELIANCE_S_#009	\x0E\x03\x02\x0C\nエーティエ\nMh...\x0E\x04\x00\x00
MID_RELIANCE_S_#010	\x0E\x03\x02\x0C\nエーティエ\nCerto. Si può fare.\x0E\x04\x00\x00
MID_RELIANCE_S_#011	\x0E\x03\x02\x0A\x08リュール\nCome? Hai già deciso!?\x0E\x04\x00\x00
MID_RELIANCE_S_#012	\x0E\x03\x02\x0C\nエーティエ\nMi state chiedendo di farvi da compagna di\nallenamento, no?\x0E\x04\x00\x00
MID_RELIANCE_S_#013	\x0E\x03\x02\x0A\x08リュール\nOh. Beh... Non era quello che intendevo.\x0E\x04\x00\x00
MID_RELIANCE_S_#014	\x0E\x03\x02\x0A\x08リュール\nVorrei che ci supportassimo a vicenda anche\nnei momenti più difficili. Ecco perché voglio\ndarti l'anello del patto.\x0E\x04\x00\x00
MID_RELIANCE_S_#015	\x0E\x03\x02\x0C\nエーティエ\nAh...\x0E\x04\x00\x00
MID_RELIANCE_S_#016	\x0E\x03\x02\x0C\nエーティエ\nDavvero!?\x0E\x04\x00\x00
MID_RELIANCE_S_#017	\x0E\x03\x02\x0C\nエーティエ\nMa cosa dite...!? Perché volete darmi\nun oggetto così prezioso...?\x0E\x04\x00\x00
MID_RELIANCE_S_#018	\x0E\x03\x02\x0A\x08リュール\nUn po' perché sei una persona così sicura, e mi\nfai sentire più forte quando ti sono vicin\x0E\x0A\x00\x08\x02o\x02a.\x0E\x04\x00\x00
MID_RELIANCE_S_#019	\x0E\x03\x02\x0A\x08リュール\nMa sei anche buona e determinata.\nSei la persona più adatta.\x0E\x04\x00\x00
MID_RELIANCE_S_#020	\x0E\x03\x02\x0A\x08リュール\nVolevo dirtelo prima, ma temevo un rifiuto...\x0E\x04\x00\x00
MID_RELIANCE_S_#021	\x0E\x03\x02\x0C\nエーティエ\nAllora è per questo che correvate sempre da\nsol\x0E\x0A\x00\x08\x02o\x02a.\x0E\x04\x00\x00
MID_RELIANCE_S_#022	\x0E\x03\x02\x0A\x08リュール\nEsatto.\x0E\x04\x00\x00
MID_RELIANCE_S_#023	\x0E\x03\x02\x0C\nエーティエ\nNon avete nulla di cui preoccuparvi. D'ora in\navanti correremo fianco a fianco.\x0E\x04\x00\x00
MID_RELIANCE_S_#024	\x0E\x03\x02\x0C\nエーティエ\nFaremo un milione di giri di corsa, insieme.\x0E\x04\x00\x00
MID_RELIANCE_S_#025	\x0E\x03\x02\x0A\x08リュール\nQuindi accetti?\x0E\x04\x00\x00
MID_RELIANCE_S_#026	\x0E\x03\x02\x0C\nエーティエ\nSì. Farò quanto in mio potere per assistervi.\x0E\x04\x00\x00
MID_RELIANCE_S_#027	\x0E\x03\x02\x0A\x08リュール\nGrazie! Sono così felice! Mi hai proprio tolto\nun peso.\x0E\x04\x00\x00
MID_RELIANCE_S_#028	\x0E\x03\x02\x0C\nエーティエ\nAnch'io sono felice. Avrei bisogno di fare una\ncorsa per scaricare questa energia!\x0E\x04\x00\x00
MID_RELIANCE_S_#029	\x0E\x03\x02\x0C\nエーティエ\nCosa ne dite di 100 giri di corsa per stordirci\ndalla stanchezza finché non ci muoviamo più?\x0E\x04\x00\x00
MID_RELIANCE_S_#030	\x0E\x03\x02\x0A\x08リュール\nMi sembra un'ottima idea. Andiamo!\x0E\x04\x00\x00
MID_RELIANCE_S_#031	\x0E\x03\x02\x0C\nエーティエ\nForza, \x0E\x06\x03\x00. L'ultim\x0E\x0A\x00\x08\x02o\x02a che torna\nal Somniel è una mezza calzetta.\x0E\x04\x00\x00
