MID_RELIANCE_C_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0E\x08リュール\x021\n\x0E\x03\x00\x0E\x08リンデン\x022\n\x0E\x03\x02\x0A\x08リンデン\nSiete pront\x0E\x0A\x00\x08\x02o\x02a, Drago Divino?\x0E\x04\x00\x00
MID_RELIANCE_B_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0E\x08リュール\x021\n\x0E\x03\x00\x0E\x08リンデン\x022\n\x0E\x03\x02\x0A\x08リュール\nNon riesco a togliermi dalla testa ciò che mi hai\ndetto sul sonno, Lindon.\x0E\x04\x00\x00
MID_RELIANCE_B_#002	\x0E\x03\x02\x0A\x08リンデン\nAh, Drago Divino, che piacere.\x0E\x04\x00\x00
MID_RELIANCE_B_#003	\x0E\x03\x02\x0A\x08リュール\nNon dico di voler partecipare all'esperimento,\necco, ma sono dispost\x0E\x0A\x00\x08\x02o\x02a a parlarne.\x0E\x04\x00\x00
MID_RELIANCE_B_#004	\x0E\x03\x02\x0A\x08リンデン\nSicur\x0E\x0A\x00\x08\x02o\x02a di voler perdere tempo con un\nvecchio come me?\x0E\x04\x00\x00
MID_RELIANCE_B_#005	\x0E\x03\x02\x0A\x08リンデン\nPotreste anche rivolgervi ad altre persone\npiù competenti.\x0E\x04\x00\x00
MID_RELIANCE_B_#006	\x0E\x03\x02\x0A\x08リュール\nCosa ti prende, ora? Vander ti ha fatto un\ndiscorsetto dei suoi, per caso?\x0E\x04\x00\x00
MID_RELIANCE_B_#007	\x0E\x03\x02\x0A\x08リンデン\n...\x0E\x04\x00\x00
MID_RELIANCE_B_#008	\x0E\x03\x02\x0A\x08リュール\nScommetto che non era entusiasta all'idea\ndi farti dare fuoco ai miei capelli.\x0E\x04\x00\x00
MID_RELIANCE_B_#009	\x0E\x03\x02\x0A\x08リンデン\nEh... ahem. Come dico sempre, non c'è motivo\ndi rivangare il passato.\x0E\x04\x00\x00
MID_RELIANCE_B_#010	\x0E\x03\x02\x0A\x08リュール\nHai ragione, allora lasciamo perdere e\nparliamo della ricerca sul sonno.\x0E\x04\x00\x00
MID_RELIANCE_B_#011	\x0E\x03\x02\x0A\x08リンデン\nMi solleva sapere che non ve la siate legata al\ndito, ma non so quanto potrei esservi di aiuto.\x0E\x04\x00\x00
MID_RELIANCE_B_#012	\x0E\x03\x02\x0A\x08リンデン\nImpiegate il vostro tempo in qualcosa di\npiù utile, ve ne prego. Non vorrei che ve\nne pentiste, un domani...\x0E\x04\x00\x00
MID_RELIANCE_B_#013	\x0E\x03\x02\x0A\x08リュール\nDi certo non amo perdere tempo.\x0E\x04\x00\x00
MID_RELIANCE_B_#014	\x0E\x03\x02\x0A\x08リュール\nNessuno meglio di me sa quanto sia frustrante.\x0E\x04\x00\x00
MID_RELIANCE_B_#015	\x0E\x03\x02\x0A\x08リンデン\nBen detto. Allora...\x0E\x04\x00\x00
MID_RELIANCE_B_#016	\x0E\x03\x02\x0A\x08リュール\nProprio per questo ti dico che non possiamo\nrimandare la nostra chiacchierata, Lindon.\x0E\x04\x00\x00
MID_RELIANCE_B_#017	\x0E\x03\x02\x0A\x08リュール\nHo tante domande da farti, e non avrebbe\nsenso indugiare oltre.\x0E\x04\x00\x00
MID_RELIANCE_B_#018	\x0E\x03\x02\x0A\x08リンデン\nCerto... Ma ciò che volevo dire...\x0E\x04\x00\x00
MID_RELIANCE_B_#019	\x0E\x03\x02\x0A\x08リンデン\nUmpf. E va bene. Certo che non c'è niente\nda fare con voi!\x0E\x04\x00\x00
MID_RELIANCE_B_#020	\x0E\x03\x02\x0A\x08リンデン\nMa naturalmente le mie conoscenze sono\nal vostro servizio, se è ciò che volete.\x0E\x04\x00\x00
MID_RELIANCE_A_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0E\x08リュール\x021\n\x0E\x03\x00\x0E\x08リンデン\x022\n\x0E\x03\x02\x0A\x08リンデン\nFulmini e saette, siete un\x0E\x0A\x00\x08\x02o\x02a student\x0E\x0A\x00\x0E\x02e\x08essa\ndavvero diligente, Drago Divino.\x0E\x04\x00\x00
MID_RELIANCE_A_#002	\x0E\x03\x02\x0A\x08リュール\nMerito del mio insegnante.\x0E\x04\x00\x00
MID_RELIANCE_A_#003	\x0E\x03\x02\x0A\x08リンデン\nAhah, i complimenti non attaccano con me.\x0E\x04\x00\x00
MID_RELIANCE_A_#004	\x0E\x03\x02\x0A\x08リンデン\nNon avrei mai detto che questo giorno sarebbe\narrivato.\x0E\x04\x00\x00
MID_RELIANCE_A_#005	\x0E\x03\x02\x0A\x08リンデン\nUn cavaliere reale elusiano che chiacchiera\namabilmente con il Drago Divino.\x0E\x04\x00\x00
MID_RELIANCE_A_#006	\x0E\x03\x02\x0A\x08リンデン\nSe potessi tornare indietro e raccontarlo\nal giovane me stesso, non ci crederebbe.\x0E\x04\x00\x00
MID_RELIANCE_A_#007	\x0E\x03\x02\x0A\x08リンデン\n...\x0E\x04\x00\x00
MID_RELIANCE_A_#008	\x0E\x03\x02\x0A\x08リュール\nVuoi dirmi qualcosa?\x0E\x04\x00\x00
MID_RELIANCE_A_#009	\x0E\x03\x02\x0A\x08リンデン\nSolo una sciocca richiesta da parte di qualcuno\nche ne ha viste tante.\x0E\x04\x00\x00
MID_RELIANCE_A_#010	\x0E\x03\x02\x0A\x08リンデン\nCercate di restare in vita, anche quando\nle difficoltà vi sembreranno insormontabili.\x0E\x04\x00\x00
MID_RELIANCE_A_#011	\x0E\x03\x02\x0A\x08リュール\nLindon?\x0E\x04\x00\x00
MID_RELIANCE_A_#012	\x0E\x03\x02\x0A\x08リンデン\nNella mia lunga vita ci sono state volte in cui\nero tentato di smettere di lottare e lasciarmi\nmorire.\x0E\x04\x00\x00
MID_RELIANCE_A_#013	\x0E\x03\x02\x0A\x08リンデン\nMa poi è sempre successo qualcosa che mi\nha fatto rallegrare di non essermi arreso.\x0E\x04\x00\x00
MID_RELIANCE_A_#014	\x0E\x03\x02\x0A\x08リンデン\nE una di queste cose è sicuramente l'amicizia\nche mi lega a voi.\x0E\x04\x00\x00
MID_RELIANCE_A_#015	\x0E\x03\x02\x0A\x08リュール\nCosì mi fai commuovere.\x0E\x04\x00\x00
MID_RELIANCE_A_#016	\x0E\x03\x02\x0A\x08リンデン\nNell'oscurità della notte, ricordatevi sempre che\nl'alba tornerà presto.\x0E\x04\x00\x00
MID_RELIANCE_A_#017	\x0E\x03\x02\x0A\x08リンデン\nEcco il consiglio che vorrei trasmettere alle\ngenerazioni future.\x0E\x04\x00\x00
MID_RELIANCE_A_#018	\x0E\x03\x02\x0A\x08リュール\nTerrò care queste tue parole.\x0E\x04\x00\x00
MID_RELIANCE_A_#019	\x0E\x03\x02\x0A\x08リュール\nAh, un'altra cosa, Lindon...\x0E\x04\x00\x00
MID_RELIANCE_A_#020	\x0E\x03\x02\x0A\x08リュール\nTi rendi conto che sono molto più vecchi\x0E\x0A\x00\x08\x02o\x02a\ndi te, vero?\x0E\x04\x00\x00
MID_RELIANCE_A_#021	\x0E\x03\x02\x0A\x08リンデン\nAhahah, avete ragione!\x0E\x04\x00\x00
MID_RELIANCE_A_#022	\x0E\x03\x02\x0A\x08リンデン\nVisto? La vita non smette di sorprendermi!\nAhah.\x0E\x04\x00\x00
MID_RELIANCE_S_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0E\x08リュール\x021\n\x0E\x03\x00\x0E\x08リンデン\x022\n\x0E\x03\x02\x0A\x08リンデン\nE così questo è l'anello della patto...\nSento che vi è racchiuso un enorme potere.\x0E\x04\x00\x00
MID_RELIANCE_S_#002	\x0E\x03\x02\x0A\x08リンデン\nSe non vi dispiace, vorrei fare un esperimento.\nPrima vorrei verificare come reagisce\nall'incantesimo del tuono...\x0E\x04\x00\x00
MID_RELIANCE_S_#003	\x0E\x03\x02\x0A\x08リュール\nNo, non se ne parla neanche! Questo anello\nha un valore incommensurabile per me!\x0E\x04\x00\x00
MID_RELIANCE_S_#004	\x0E\x03\x02\x0A\x08リンデン\nAhahah! Scherzavo, Drago Divino.\x0E\x04\x00\x00
MID_RELIANCE_S_#005	\x0E\x03\x02\x0A\x08リンデン\nCome mai mi mostrate questo anello?\x0E\x04\x00\x00
MID_RELIANCE_S_#006	\x0E\x03\x02\x0A\x08リュール\nVorrei che lo indossassi.\x0E\x04\x00\x00
MID_RELIANCE_S_#007	\x0E\x03\x02\x0A\x08リンデン\nMh... Non ci vedo nulla di male. Ma a cosa\nservirebbe?\x0E\x04\x00\x00
MID_RELIANCE_S_#008	\x0E\x03\x02\x0A\x08リュール\nCome simbolo del nostro legame.\x0E\x04\x00\x00
MID_RELIANCE_S_#009	\x0E\x03\x02\x0A\x08リンデン\nEh?\x0E\x04\x00\x00
MID_RELIANCE_S_#010	\x0E\x03\x02\x0A\x08リンデン\nMa cosa vi prende, per tutti i tuoni?! Perché\nproprio io, con tutta la gente che c'è in giro?\x0E\x04\x00\x00
MID_RELIANCE_S_#011	\x0E\x03\x02\x0A\x08リンデン\nE pensare che mi sembravate così furb\x0E\x0A\x00\x08\x02o\x02a! È pura\nfollia, la vostra!\x0E\x04\x00\x00
MID_RELIANCE_S_#012	\x0E\x03\x02\x0A\x08リンデン\nSono troppo vecchio per legarmi a chicchessia.\x0E\x04\x00\x00
MID_RELIANCE_S_#013	\x0E\x03\x02\x0A\x08リュール\nMi permetto di dissentire. La nostra è una\ncollaborazione assodata; questo anello\nrappresenterebbe una realtà che già esiste.\x0E\x04\x00\x00
MID_RELIANCE_S_#014	\x0E\x03\x02\x0A\x08リュール\nInsieme siamo più forti. Questo nostro legame\nservirebbe a salvare l'umanità.\x0E\x04\x00\x00
MID_RELIANCE_S_#015	\x0E\x03\x02\x0A\x08リンデン\nCapisco... Ma perché proprio io e non qualcuno\ndi più giovane? A me non restano molti anni\nda vivere...\x0E\x04\x00\x00
MID_RELIANCE_S_#016	\x0E\x03\x02\x0A\x08リンデン\nFinirete per provare ciò che ho provato io\nquando ho perso mia moglie.\x0E\x04\x00\x00
MID_RELIANCE_S_#017	\x0E\x03\x02\x0A\x08リンデン\nNe ricavereste solo tristezza.\x0E\x04\x00\x00
MID_RELIANCE_S_#018	\x0E\x03\x02\x0A\x08リュール\nIl presente è più importante per me.\x0E\x04\x00\x00
MID_RELIANCE_S_#019	\x0E\x03\x02\x0A\x08リュール\nE ora come ora sei vivo e nel pieno delle tue\nforze. E pure io sono più forte grazie a te.\x0E\x04\x00\x00
MID_RELIANCE_S_#020	\x0E\x03\x02\x0A\x08リュール\nE comunque anche se scegliessi al mio fianco\nqualcuno di giovanissimo... finirei per\nsopravvivergli ugualmente. Sono un drago.\x0E\x04\x00\x00
MID_RELIANCE_S_#021	\x0E\x03\x02\x0A\x08リンデン\nMh...\x0E\x04\x00\x00
MID_RELIANCE_S_#022	\x0E\x03\x02\x0A\x08リュール\nLindon, pensi davvero che la mia richiesta\nsia così sciocca?\x0E\x04\x00\x00
MID_RELIANCE_S_#023	\x0E\x03\x02\x0A\x08リンデン\n...\x0E\x04\x00\x00
MID_RELIANCE_S_#024	\x0E\x03\x02\x0A\x08リンデン\nNo. Lo sciocco ero io.\x0E\x04\x00\x00
MID_RELIANCE_S_#025	\x0E\x03\x02\x0A\x08リンデン\nSiete venut\x0E\x0A\x00\x08\x02o\x02a da me in cerca d'aiuto, e io vi\nho rifiutat\x0E\x0A\x00\x08\x02o\x02a senza riflettere.\x0E\x04\x00\x00
MID_RELIANCE_S_#026	\x0E\x03\x02\x0A\x08リンデン\nDatemi l'anello e io vi darò tutto ciò che mi\nrimane da dare.\x0E\x04\x00\x00
MID_RELIANCE_S_#027	\x0E\x03\x02\x0A\x08リュール\nLo apprezzo molto. Con tutto il cuore.\x0E\x04\x00\x00
MID_RELIANCE_S_#028	\x0E\x03\x02\x0A\x08リンデン\nO cielo! Vi sarò sembrato ingrato.\x0E\x04\x00\x00
MID_RELIANCE_S_#029	\x0E\x03\x02\x0A\x08リンデン\nGrazie per questo dono, \x0E\x06\x03\x00.\x0E\x04\x00\x00
MID_RELIANCE_S_#030	\x0E\x03\x02\x0A\x08リンデン\nNe varrà la pena, lo prometto. E ora che ne dite?\nAndiamo a salvare il mondo?\x0E\x04\x00\x00
