MID_RELIANCE_C_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0E\x08アンバー\x021\n\x0E\x03\x02\x0A\x08アンバー\nAaah... Come vorrei andarci... Ma... non da solo,\nperò...\x0E\x04\x00\x00
MID_RELIANCE_C_#015	\x0E\x03\x02\x0A\x08アンバー\nPersino il principe Diamant ha rifiutato, e lui\nè uno che non ha paura di niente!\x0E\x04\x00\x00
MID_RELIANCE_C_#016	\x0E\x03\x02\x0A\x08パネトネ\nOrdunque, portatemi con voi! Ne sarei estasiata!\x0E\x04\x00\x00
MID_RELIANCE_C_#017	\x0E\x03\x02\x0A\x08アンバー\nPerfeeetto! Affare fatto. Ma non darmi la colpa\nse poi per qualche ragione ti spaventi!\x0E\x04\x00\x00
MID_RELIANCE_B_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0E\x08アンバー\x021\n\x0E\x03\x00\x0E\x08パネトネ\x022\n\x0E\x03\x02\x0A\x08アンバー\nEccoci arrivati! E così è questa la magione\nleggendaria...!\x0E\x04\x00\x00
MID_RELIANCE_B_#002	\x0E\x03\x02\x0A\x08アンバー\nUuugh... Sto tremando... Ho le palpitazioni,\ni brividi...!\x0E\x04\x00\x00
MID_RELIANCE_B_#003	\x0E\x03\x02\x0A\x08パネトネ\nUhm... Neanche l'ombra di un fantasma.\nContinuiamo a esplorare...\x0E\x04\x00\x00
MID_RELIANCE_B_#004	\x0E\x03\x02\x0A\x08アンバー\nEhi, aspetta! Non correre. Il fantasma potrebbe\nnascondersi ovunque...\x0E\x04\x00\x00
MID_RELIANCE_B_#005	\x0E\x03\x02\x0A\x08パネトネ\nOh, dove dite che si ubichi?\x0E\x04\x00\x00
MID_RELIANCE_B_#006	\x0E\x03\x02\x0A\x08アンバー\nMuahahah...\x0E\x04\x00\x00
MID_RELIANCE_B_#007	\x0E\x03\x02\x0A\x08アンバー\nIl fantasma... è QUIIIII!!!\x0E\x04\x00\x00
MID_RELIANCE_B_#008	\x0E\x03\x02\x0A\x08パネトネ\nEh?\x0E\x04\x00\x00
MID_RELIANCE_B_#009	\x0E\x03\x02\x0A\x08パネトネ\nNe siete proprio sicuro? Continuo a non vederlo.\x0E\x04\x00\x00
MID_RELIANCE_B_#010	\x0E\x03\x02\x0A\x08アンバー\nUmpf.\x0E\x04\x00\x00
MID_RELIANCE_B_#011	\x0E\x03\x02\x0A\x08アンバー\nOh, lascia perdere. Era uno scherzo.\x0E\x04\x00\x00
MID_RELIANCE_B_#012	\x0E\x03\x02\x0A\x08アンバー\nMa tu non hai battuto ciglio. Che nervi d'acciaio.\x0E\x04\x00\x00
MID_RELIANCE_B_#013	\x0E\x03\x02\x0A\x08アンバー\nSai, comincio a pensare che non ci sia davvero\nun fantasma qui dentro.\x0E\x04\x00\x00
MID_RELIANCE_B_#014	\x0E\x03\x02\x0A\x08パネトネ\nMh?\x0E\x04\x00\x00
MID_RELIANCE_B_#015	\x0E\x03\x02\x0A\x08アンバー\nLa magione leggendaria è proprio come me\nl'aspettavo, ma il fantasma... io non lo vedo.\x0E\x04\x00\x00
MID_RELIANCE_B_#016	\x0E\x03\x02\x0A\x08パネトネ\nCi sarebbe...\x0E\x04\x00\x00
MID_RELIANCE_B_#017	\x0E\x03\x02\x0A\x08アンバー\nOh, Panette, so che ti piacerebbe crederci,\nma mi sa che...\x0E\x04\x00\x00
MID_RELIANCE_B_#018	\x0E\x03\x02\x0A\x08パネトネ\nNo, Amber! Sarebbe qui!\x0E\x04\x00\x00
MID_RELIANCE_B_#019	\x0E\x03\x02\x0A\x08アンバー\nNon metto in discussione che se ci fosse si\ntroverebbe qui, ma vedi...\x0E\x04\x00\x00
MID_RELIANCE_B_#020	\x0E\x03\x02\x0A\x08パネトネ\nForse non avete capito! È proprio QUI! Davanti\na noi! Guardate!\x0E\x04\x00\x00
MID_RELIANCE_B_#021	\x0E\x03\x02\x0A\x08アンバー\nUh?\x0E\x04\x00\x00
MID_RELIANCE_B_#022	\x0E\x03\x02\x0A\x08アンバー\n...!\x0E\x04\x00\x00
MID_RELIANCE_B_#023	\x0E\x03\x02\x0A\x08アンバー\nMa quello...?!\x0E\x04\x00\x00
MID_RELIANCE_B_#024	\x0E\x03\x02\x0A\x08アンバー\nUaaaaaaah!!!\x0E\x04\x00\x00
MID_RELIANCE_A_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0E\x08アンバー\x021\n\x0E\x03\x00\x0E\x08パネトネ\x022\n\x0E\x03\x02\x0A\x08アンバー\nScusa, Panette? Se prometti di non raccontare a\nnessuno della magione infestata, sarò muto\ncome un pesce pure io...\x0E\x04\x00\x00
MID_RELIANCE_A_#002	\x0E\x03\x02\x0A\x08アンバー\nLa leggenda non menzionava una seconda\nnormalissima magione...\x0E\x04\x00\x00
MID_RELIANCE_A_#003	\x0E\x03\x02\x0A\x08パネトネ\nMh. Certo che gli inquilini non sembravano\ndeliziati della nostra compagnia.\x0E\x04\x00\x00
MID_RELIANCE_A_#004	\x0E\x03\x02\x0A\x08パネトネ\nChe vergognosa ignominia.\x0E\x04\x00\x00
MID_RELIANCE_A_#005	\x0E\x03\x02\x0A\x08アンバー\nE fosse solo quello. Ma ho pure stretto la mano\nal padrone di casa credendo che fosse il\ncavaliere leggendario...\x0E\x04\x00\x00
MID_RELIANCE_A_#006	\x0E\x03\x02\x0A\x08アンバー\nQuando l'ho raccontato al principe Diamant\nsi è sbellicato dal ridere. Mi ha chiamato\n"zuccone leggendario".\x0E\x04\x00\x00
MID_RELIANCE_A_#007	\x0E\x03\x02\x0A\x08パネトネ\n"Zuccone leggendario", dite...\x0E\x04\x00\x00
MID_RELIANCE_A_#008	\x0E\x03\x02\x0A\x08パネトネ\nIhihih, niente male, di grazia!\x0E\x04\x00\x00
MID_RELIANCE_A_#009	\x0E\x03\x02\x0A\x08アンバー\nE va bene, ridi pure. Vorrei tanto imparare a\ntenere il becco chiuso.\x0E\x04\x00\x00
MID_RELIANCE_A_#010	\x0E\x03\x02\x0A\x08アンバー\nPerdonami se ti ho trascinata in questo\npasticcio.\x0E\x04\x00\x00
MID_RELIANCE_A_#011	\x0E\x03\x02\x0A\x08パネトネ\nNon sono necessarie le vostre scuse. Mi sono\nassai divertita, anzichenò.\x0E\x04\x00\x00
MID_RELIANCE_A_#012	\x0E\x03\x02\x0A\x08アンバー\nDici davvero? Anche se alla fine non abbiamo\ntrovato il fantasma?\x0E\x04\x00\x00
MID_RELIANCE_A_#013	\x0E\x03\x02\x0A\x08パネトネ\nÈ stata solo un'infausta coincidenza.\x0E\x04\x00\x00
MID_RELIANCE_A_#014	\x0E\x03\x02\x0A\x08パネトネ\nI miei interessi spaziano su argomenti che\nmolti trovano bizzarri. I fantasmi sono uno di\nquesti.\x0E\x04\x00\x00
MID_RELIANCE_A_#015	\x0E\x03\x02\x0A\x08パネトネ\nAllo stesso modo, anche voi potreste passare\nper strano...\x0E\x04\x00\x00
MID_RELIANCE_A_#016	\x0E\x03\x02\x0A\x08パネトネ\nMa mi piace tutto ciò che è strano!\x0E\x04\x00\x00
MID_RELIANCE_A_#017	\x0E\x03\x02\x0A\x08アンバー\nUh. Non so perché ma non mi suona come un\ncomplimento...\x0E\x04\x00\x00
MID_RELIANCE_A_#018	\x0E\x03\x02\x0A\x08パネトネ\nMa che altro potrebbe essere?!\x0E\x04\x00\x00
MID_RELIANCE_A_#019	\x0E\x03\x02\x0A\x08アンバー\nOh, beh... grazie!\x0E\x04\x00\x00
MID_RELIANCE_A_#020	\x0E\x03\x02\x0A\x08アンバー\nSono contento che tu sia venuta con me,\nPanette. Temevo che ti fossi pentita di avere\naccettato.\x0E\x04\x00\x00
MID_RELIANCE_A_#021	\x0E\x03\x02\x0A\x08アンバー\nSai... è raro trovare qualcuno che ami questo\ngenere di cose.\x0E\x04\x00\x00
MID_RELIANCE_A_#022	\x0E\x03\x02\x0A\x08アンバー\nSe in futuro dovessi avere bisogno di una spalla\nper le tue avventure, sai chi chiamare.\x0E\x04\x00\x00
MID_RELIANCE_A_#023	\x0E\x03\x02\x0A\x08パネトネ\nConosco proprio un luogo leggendario che\nfarebbe al caso nostro!\x0E\x04\x00\x00
MID_RELIANCE_A_#024	\x0E\x03\x02\x0A\x08アンバー\nAh, sì? Quale?\x0E\x04\x00\x00
MID_RELIANCE_A_#025	\x0E\x03\x02\x0A\x08パネトネ\nUn ristorante che serve cibo alquanto speziato!\x0E\x04\x00\x00
MID_RELIANCE_A_#026	\x0E\x03\x02\x0A\x08アンバー\nUh... e il cibo è incantato? O forse il ristorante\nsorge su un antico cimitero? O...\x0E\x04\x00\x00
MID_RELIANCE_A_#027	\x0E\x03\x02\x0A\x08パネトネ\nServono un piatto che si chiama "sciogli lingua".\nÈ così piccante che finora nessuno si è mai\narrischiato a finirlo.\x0E\x04\x00\x00
MID_RELIANCE_A_#028	\x0E\x03\x02\x0A\x08アンバー\nAh, ecco perché è leggendario...\x0E\x04\x00\x00
MID_RELIANCE_A_#029	\x0E\x03\x02\x0A\x08アンバー\nBeh, una leggenda è pur sempre una leggenda!\nCi sto... e offro io! È il minimo, dopo quello che\nè successo.\x0E\x04\x00\x00
MID_RELIANCE_A_#030	\x0E\x03\x02\x0A\x08パネトネ\nEvvai, di grazia!\x0E\x04\x00\x00
