MID_OP1_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0E\x08リュール\x021\n\x0E\x03\x00\x0C\x06カムイ\x022\n\x0E\x03\x02\x08\x06カムイ\nNo... non può essere. Eppure sembrerebbe\nproprio...\x0E\x04\x00\x00
MID_ED1_#006	\x0E\x03\x02\x0A\x08リュール\nOh. Anche tu hai perso tua madre?\x0E\x04\x00\x00
MID_ED1_#007	\x0E\x03\x02\x08\x06カムイ\nHo rischiato di perdere me stessa nel dolore.\nDa sola non ce l'avrei mai fatta a riprendermi.\x0E\x04\x00\x00
MID_ED1_#008	\x0E\x03\x02\x08\x06カムイ\nPer fortuna avevo degli amici che mi stettero\nvicini e mi aiutarono a ritrovare la via di casa.\x0E\x04\x00\x00
MID_ED1_#009	\x0E\x03\x02\x08\x06カムイ\nCome loro, anche Yato mi è stata sempre\nvicina.\x0E\x04\x00\x00
MID_ED1_#010	\x0E\x03\x02\x0A\x08リュール\nCapisco come ti senti...\x0E\x04\x00\x00
MID_ED1_#011	\x0E\x03\x02\x08\x06カムイ\nIn futuro, potresti trovarti a dover prendere\ndecisioni che ti faranno soffrire immensamente.\x0E\x04\x00\x00
MID_ED1_#012	\x0E\x03\x02\x08\x06カムイ\nMa io sarò lì con te, e ti aiuterò a trovare la\nvia di casa in mezzo al dolore.\x0E\x04\x00\x00
MID_ED1_#013	\x0E\x03\x02\x0A\x08リュール\nAnche nei momenti più bui, saprò di non\nessere solo.\x0E\x04\x00\x00
MID_ED1_#014	\x0E\x03\x02\x08\x06カムイ\nVedrai che ce la farai.\x0E\x04\x00\x00
MID_ED1_#015	\x0E\x03\x02\x0A\x08リュール\nGrazie per esserti unita al cammino che ho\nscelto, Corrin.\x0E\x04\x00\x00
MID_LC1_#001	\x0E\x02\x02\x00
