MID_RELIANCE_C_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x12\x0Cセレスティア\x021\n\x0E\x03\x00\x10\nマデリーン\x022\n\x0E\x03\x02\x0E\x0Cセレスティア\nCome stai, Madeline? Ti stai abituando a\nquesto mondo?\x0E\x04\x00\x00
MID_RELIANCE_C_#015	Dopo la morte dei miei genitori, fu lui ad\naccogliermi e insegnarmi a combattere.\x0E\x04\x00\x00
MID_RELIANCE_C_#016	\x0E\x03\x02\x0E\x0Cセレスティア\nQuando vi vidi arrivare in Lythos rimasi a bocca\naperta. Pensavo fossi sua figlia.\x0E\x04\x00\x00
MID_RELIANCE_C_#017	\x0E\x03\x02\x0C\nマデリーン\nMpf... magari fratello e sorella ci può stare,\nma padre e figlia no...\x0E\x04\x02\x00
MID_RELIANCE_C_#018	O cielo, che ore sono? Mi piacerebbe continuare\na parlare, ma devo andare ad allenarmi.\x0E\x04\x02\x00
MID_RELIANCE_C_#019	Continuiamo un'altra volta, va bene?\x0E\x04\x00\x00
MID_RELIANCE_C_#020	\x0E\x03\x02\x0E\x0Cセレスティア\nCom'è cresciuta...\x0E\x04\x00\x00
MID_RELIANCE_B_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x12\x0Cセレスティア\x021\n\x0E\x03\x00\x10\nマデリーン\x022\n\x0E\x03\x02\x0E\x0Cセレスティア\nTi va di riprendere il nostro discorso, Madeline?\x0E\x04\x02\x00
MID_RELIANCE_B_#002	Tu e Mauvier vi incontraste nel tuo villaggio,\nvero?\x0E\x04\x00\x00
MID_RELIANCE_B_#003	\x0E\x03\x02\x0C\nマデリーン\nSì, avevo appena perso i miei genitori e stavo\ncercando di proteggere il villaggio dalle\naberrazioni.\x0E\x04\x02\x00
MID_RELIANCE_B_#004	Un giorno fummo assaliti da un'orda, la più\ngrande che avessi mai visto.\x0E\x04\x02\x00
MID_RELIANCE_B_#005	Ci circondarono e c'era fuoco ovunque, gente\nmorente per le strade... pensavo di essere\nspacciata.\x0E\x04\x02\x00
MID_RELIANCE_B_#006	Poi dal nulla spuntò un cavaliere.\x0E\x04\x00\x00
MID_RELIANCE_B_#007	\x0E\x03\x02\x0E\x0Cセレスティア\nEd era Mauvier.\x0E\x04\x00\x00
MID_RELIANCE_B_#008	\x0E\x03\x02\x0C\nマデリーン\nPortava l'armatura e lo stendardo del Drago\nMaligno, quindi pensavo si trattasse del nemico.\x0E\x04\x02\x00
MID_RELIANCE_B_#009	Invece abbatté tutte le aberrazioni intorno a me,\nsenza lasciarne nemmeno una.\x0E\x04\x02\x00
MID_RELIANCE_B_#010	E quando incrociai il suo sguardo, capii subito\nche era dalla mia parte.\x0E\x04\x00\x00
MID_RELIANCE_B_#011	\x0E\x03\x02\x0E\x0Cセレスティア\nCosì ti salvò e viaggiaste insieme fino a dove\nmi trovavo io.\x0E\x04\x02\x00
MID_RELIANCE_B_#012	Avevi appena perso i genitori e il tuo villaggio\nnatio... La tua tristezza mi preoccupava non\npoco.\x0E\x04\x00\x00
MID_RELIANCE_B_#013	\x0E\x03\x02\x0C\nマデリーン\nSì... mi vergogno un po' a pensarci adesso.\nSe cerco di ricordare il mio viaggio in Lythos,\nè tutto offuscato.\x0E\x04\x02\x00
MID_RELIANCE_B_#014	Se non fosse stato per il caro Mauvier, sarei\nsicuramente morta lungo il tragitto. Mi ha\nsalvato la vita molte volte.\x0E\x04\x00\x00
MID_RELIANCE_B_#015	\x0E\x03\x02\x0E\x0Cセレスティア\nMa tu hai tenuto duro, e sei diventata così forte.\nSembri quasi un'altra persona.\x0E\x04\x00\x00
MID_RELIANCE_B_#016	\x0E\x03\x02\x0C\nマデリーン\nDevo ringraziare i miei mentori, soprattutto\nMauvier. Mi ha insegnato molte tecniche...\x0E\x04\x02\x00
MID_RELIANCE_B_#017	Avendomi accolta sotto la sua ala protettiva,\nforse si sentiva in dovere di insegnarmi tutto.\nSpesso ci allenavamo insieme.\x0E\x04\x02\x00
MID_RELIANCE_B_#018	Quante volte mi ha tolto dai guai...\nCome al tempio...\x0E\x04\x00\x00
MID_RELIANCE_B_#019	\x0E\x03\x02\x0E\x0Cセレスティア\nLo so...\x0E\x04\x00\x00
MID_RELIANCE_B_#020	\x0E\x03\x02\x0C\nマデリーン\nVorrei poterlo ripagare per tutto quello che\nha fatto per me.\x0E\x04\x00\x00
MID_RELIANCE_B_#021	\x0E\x03\x02\x0E\x0Cセレスティア\nAnche tu hai dato qualcosa a Mauvier.\nQualcosa di incommensurabile.\x0E\x04\x02\x00
MID_RELIANCE_B_#022	Non faceva altro che dire quanto fosse contento\ndi averti trovata.\x0E\x04\x00\x00
MID_RELIANCE_B_#023	\x0E\x03\x02\x0C\nマデリーン\nContento? L'ha detto davvero?\x0E\x04\x00\x00
MID_RELIANCE_B_#024	\x0E\x03\x02\x0E\x0Cセレスティア\nMa certo. Rallegrati di tutta la gioia che gli hai\ndonato. E l'hai anche sostenuto.\x0E\x04\x02\x00
MID_RELIANCE_B_#025	Ti ha guardata crescere e imparare con gli occhi\norgogliosi di un padre.\x0E\x04\x00\x00
MID_RELIANCE_B_#026	\x0E\x03\x02\x0C\nマデリーン\nOh... Padre, eheheh.\nSiamo tornate al discorso padre-figlia.\x0E\x04\x02\x00
MID_RELIANCE_B_#027	Sono onorata dalle sue parole.\x0E\x04\x02\x00
MID_RELIANCE_B_#028	Grazie per avermele riportate.\x0E\x04\x00\x00
MID_RELIANCE_B_#029	\x0E\x03\x02\x0E\x0Cセレスティア\nSono sicura che Mauvier stia ancora vegliando\nsu di te.\x0E\x04\x00\x00
MID_RELIANCE_B_#030	\x0E\x03\x02\x0C\nマデリーン\nIn questo caso, devo moltiplicare i miei sforzi\nper diventare una cavaliera degna del suo\nrispetto.\x0E\x04\x02\x00
MID_RELIANCE_B_#031	Adesso vado ad allenarmi, ma la prossima volta\nparleremo di te, d'accordo?\x0E\x04\x00\x00
MID_RELIANCE_A_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x12\x0Cセレスティア\x021\n\x0E\x03\x00\x10\nマデリーン\x022\n\x0E\x03\x02\x0C\nマデリーン\nZelestia, l'altra volta ho parlato solo io.\nAdesso tocca a te. Cosa ti ha portata in Lythos?\x0E\x04\x00\x00
MID_RELIANCE_A_#002	\x0E\x03\x02\x0E\x0Cセレスティア\nÈ una storia vecchia. Accadde molto prima che\nci incontrassimo nel nostro mondo.\x0E\x04\x02\x00
MID_RELIANCE_A_#003	Più di mille anni fa, quando la regina Lumera\nera ancora viva...\x0E\x04\x02\x00
MID_RELIANCE_A_#004	Sombron rase al suolo il villaggio dei Draghi\nMagici e io riuscii a salvarmi per un pelo.\x0E\x04\x02\x00
MID_RELIANCE_A_#005	Pensavo di poter trovare rifugio lì, giacché\nanche altri Draghi Magici vi dimoravano.\x0E\x04\x00\x00
MID_RELIANCE_A_#006	\x0E\x03\x02\x0C\nマデリーン\nE poi cosa successe?\x0E\x04\x00\x00
MID_RELIANCE_A_#007	\x0E\x03\x02\x0E\x0Cセレスティア\nVi trovai molto più di un rifugio.\x0E\x04\x02\x00
MID_RELIANCE_A_#008	Il Drago Divino Lumera e il Drago Divino\n\x0E\x06\x03\x00 mi accolsero come parte della\nfamiglia.\x0E\x04\x02\x00
MID_RELIANCE_A_#009	Parlavamo, facevamo lunghe passeggiate e\nmangiavamo insieme. Grazie a loro, le mie ferite\nguarirono.\x0E\x04\x00\x00
MID_RELIANCE_A_#010	\x0E\x03\x02\x0C\nマデリーン\nCapisco cosa vuoi dire.\x0E\x04\x00\x00
MID_RELIANCE_A_#011	\x0E\x03\x02\x0E\x0Cセレスティア\nPoi la regina Lumera perse la vita e il giovane\nDrago Divino prese il suo posto.\x0E\x04\x02\x00
MID_RELIANCE_A_#012	Io servii a corte per i mille anni di pace che\nseguirono.\x0E\x04\x02\x00
MID_RELIANCE_A_#013	Quando Sombron mostrò i primi segni del suo\nritorno, il Drago Divino era in preda alla\ndisperazione.\x0E\x04\x00\x00
MID_RELIANCE_A_#014	\x0E\x03\x02\x0C\nマデリーン\nMi cogli di sorpresa. Il Drago Divino sembrava\nuna persona così calma, se non distaccata.\x0E\x04\x02\x00
MID_RELIANCE_A_#015	Fu in quel momento che lady Nel e lord Nil...\nanzi, lord Rafal, arrivarono in Lythos?\x0E\x04\x00\x00
MID_RELIANCE_A_#016	\x0E\x03\x02\x0E\x0Cセレスティア\nSì. All'inizio fu difficile per me accettarli.\x0E\x04\x02\x00
MID_RELIANCE_A_#017	Pensa che li attaccai al nostro primo incontro.\nVolevo ucciderli.\x0E\x04\x00\x00
MID_RELIANCE_A_#018	\x0E\x03\x02\x0C\nマデリーン\nChe cosa?!\x0E\x04\x00\x00
MID_RELIANCE_A_#019	\x0E\x03\x02\x0E\x0Cセレスティア\nIl Drago Maligno ci aveva tolto tutto e quelli\nerano i suoi figli. Il mio istinto prevalse.\x0E\x04\x02\x00
MID_RELIANCE_A_#020	Ma il Drago Divino li accolse con un sorriso\ne mi disse...\x0E\x04\x02\x00
MID_RELIANCE_A_#021	"Ti prego, dai loro tutto il tuo supporto,\nqualsiasi cosa accada."\x0E\x04\x00\x00
MID_RELIANCE_A_#022	\x0E\x03\x02\x0C\nマデリーン\nQualsiasi cosa accada...\x0E\x04\x00\x00
MID_RELIANCE_A_#023	\x0E\x03\x02\x0E\x0Cセレスティア\nCome un presagio, vero? Era come se il Drago\nDivino sapesse qualcosa che io non sapevo.\x0E\x04\x02\x00
MID_RELIANCE_A_#024	Forse sapeva che lord Nil stava mentendo sulla\npropria identità.\x0E\x04\x02\x00
MID_RELIANCE_A_#025	Probabilmente non lo sapremo mai.\x0E\x04\x00\x00
MID_RELIANCE_A_#026	\x0E\x03\x02\x0C\nマデリーン\nNo... purtroppo no.\x0E\x04\x00\x00
MID_RELIANCE_A_#027	\x0E\x03\x02\x0E\x0Cセレスティア\nDopo un po', nacquero i Quattro Venti e...\nbeh, il resto lo sai.\x0E\x04\x02\x00
MID_RELIANCE_A_#028	Ti è piaciuta questa storia?\x0E\x04\x00\x00
MID_RELIANCE_A_#029	\x0E\x03\x02\x0C\nマデリーン\nMolto... È affascinante. Sono contenta di\nconoscere un po' del tuo passato.\x0E\x04\x02\x00
MID_RELIANCE_A_#030	Il Lythos è stato un luogo di guarigione e\ncrescita anche per te, come per me.\x0E\x04\x00\x00
MID_RELIANCE_A_#031	\x0E\x03\x02\x0E\x0Cセレスティア\nE adesso continueremo a crescere qui.\x0E\x04\x02\x00
MID_RELIANCE_A_#032	Siamo arrivate nello stesso momento, possiamo\ncontinuare questo cammino insieme.\x0E\x04\x00\x00
MID_RELIANCE_A_#033	\x0E\x03\x02\x0C\nマデリーン\nMa certo. Affronteremo ogni battaglia e ogni\nsfida senza paura.\x0E\x04\x02\x00
MID_RELIANCE_A_#034	E quando questa guerra sarà finita, potremo\nnuovamente ricordare il passato insieme.\x0E\x04\x00\x00
MID_RELIANCE_A_#035	\x0E\x03\x02\x0E\x0Cセレスティア\nNon vedo l'ora. Terremo fede a questa\npromessa quando regnerà di nuovo la pace.\x0E\x04\x00\x00
