MID_WU_C_1_IN_#001	Permesso.\x0E\x04\x00\x00
MID_WU_B_1_WAKEUP_#001	Ho un po' di tempo a disposizione...\nMediterò un po'.\x0E\x04\x00\x00
MID_WU_B_1_WAKEUP_#002	Oltre i pensieri materiali...\x0E\x04\x00\x00
MID_WU_B_1_WAKEUP_#003	Ah, un'idea per il mio prossimo racconto...\x0E\x04\x00\x00
MID_WU_B_1_HELLO_#001	Siete svegli\x0E\x0A\x00\x08\x02o\x02a.\x0E\x04\x00\x00
MID_WU_B_1_HELLO_#002	Allora, vi lascio sol\x0E\x0A\x00\x08\x02o\x02a.\x0E\x04\x00\x00
MID_WU_B_1_HELLO_#003	Devo appuntarmi questa idea\nprima che la dimentichi...\x0E\x04\x00\x00
MID_WU_B_2_IN_#001	"La cavaliera sentì che il Drago Divino\nstava dormendo..."\x0E\x04\x00\x00
MID_WU_B_2_SOON_#001	Salve.\x0E\x04\x00\x00
MID_WU_B_2_SOON_#002	Il tramonto di ieri era bello come avevate detto.\x0E\x04\x00\x00
MID_WU_B_2_SOON_#003	Magari anche oggi sarà così.\x0E\x04\x00\x00
MID_WU_B_2_WAKEUP_#001	Siete così gentile, Drago Divino...\x0E\x04\x00\x00
MID_WU_B_2_WAKEUP_#002	Mi siete rimast\x0E\x0A\x00\x08\x02o\x02a accanto.\x0E\x04\x00\x00
MID_WU_B_2_WAKEUP_#003	Un giorno mi sdebiterò per il vostro altruismo.\x0E\x04\x00\x00
MID_WU_B_2_HELLO_#001	Come state oggi?\x0E\x04\x00\x00
MID_WU_B_2_HELLO_#002	Vi prendete cura degli alleati...\x0E\x04\x00\x00
MID_WU_B_2_HELLO_#003	ma dovete pensare anche al vostro benessere.\x0E\x04\x00\x00
MID_WU_A_1_IN_#001	Non riesco a credere che sia successa una cosa\ncosì buffa proprio qui.\x0E\x04\x00\x00
MID_WU_A_1_SOON_#001	Drago Divino, sentite qua...\x0E\x04\x00\x00
MID_WU_A_1_SOON_#002	Stavo venendo da voi e sono\nscivolata su una buccia...\x0E\x04\x00\x00
MID_WU_A_1_SOON_#003	Promettetemi che farete attenzione, eh?\x0E\x04\x00\x00
MID_WU_A_1_WAKEUP_#001	Sembrava una scena presa dai miei racconti...\x0E\x04\x00\x00
MID_WU_A_1_WAKEUP_#002	Non riesco a smettere di pensarci.\x0E\x04\x00\x00
MID_WU_A_1_WAKEUP_#003	Non va bene... Eheh. Non dovrei ridere qui,\nma... Eheh.\x0E\x04\x00\x00
MID_WU_A_1_HELLO_#001	Perdonatemi se vi ho svegliat\x0E\x0A\x00\x08\x02o\x02a\ncon le mie risate.\x0E\x04\x00\x00
MID_WU_A_1_HELLO_#002	Sono scivolata su una buccia prima...\x0E\x04\x00\x00
MID_WU_A_1_HELLO_#003	e sono caduta a terra come un sacco\ndi patate. Aha!\x0E\x04\x00\x00
MID_WU_A_2_IN_#001	La zona è sicura. Ero di guardia alla porta.\x0E\x04\x00\x00
MID_WU_A_2_SOON_#001	Siete svegli\x0E\x0A\x00\x08\x02o\x02a?\x0E\x04\x00\x00
MID_WU_A_2_SOON_#002	Se preferite posso andarmene...\x0E\x04\x00\x00
MID_WU_A_2_SOON_#003	Ah, desiderate parlare con me?\x0E\x04\x00\x00
MID_WU_A_2_SOON_#004	N-No, sono onorata.\x0E\x04\x00\x00
MID_WU_A_2_WAKEUP_#001	Vi domando scusa per avervi fatt\x0E\x0A\x00\x08\x02o\x02a preoccupare.\x0E\x04\x00\x00
MID_WU_A_2_WAKEUP_#002	Mi ha fatto piacere...\x0E\x04\x00\x00
MID_WU_A_2_WAKEUP_#003	Voglio dire, quando vi siete offert\x0E\x0A\x00\x08\x02o\x02a di\naiutarmi a fare i conti col passato.\x0E\x04\x00\x00
MID_WU_A_2_HELLO_#001	Buongiorno.\x0E\x04\x00\x00
MID_WU_A_2_HELLO_#002	Vi prego di fare affidamento\nsu di me, per qualunque cosa.\x0E\x04\x00\x00
MID_WU_A_2_HELLO_#003	Jade "Muro di Ferro" è al vostro servizio.\x0E\x04\x00\x00
MID_WU_S_1_IN_#001	"La cavaliera entrò nella stanza\n\x0E\x0A\x00\x14\x06del\ndella su\x0E\x0A\x00\x08\x02o\x02a adorat\x0E\x0A\x00\x08\x02o\x02a alleat\x0E\x0A\x00\x08\x02o\x02a..."\x0E\x04\x00\x00
MID_WU_S_1_SOON_#001	"Gli occhi rossi e blu si spalancarono\nin segno di benvenuto..."\x0E\x04\x00\x00
MID_WU_S_1_SOON_#002	Eheh, mi avete riconosciuta dal mio passo?\x0E\x04\x00\x00
MID_WU_S_1_SOON_#003	Se è così... mi fa piacere. Buongiorno a voi.\x0E\x04\x00\x00
MID_WU_S_1_WAKEUP_#001	"\x0E\x0A\x00@\x1EIl suo compagno\x1ELa sua compagna era lì, sdraiat\x0E\x0A\x00\x08\x02o\x02a sull'altare..."\x0E\x04\x00\x00
MID_WU_S_1_WAKEUP_#002	Eheh. Che scena adorabile.\x0E\x04\x00\x00
MID_WU_S_1_WAKEUP_#003	Non mi stanca mai.\x0E\x04\x00\x00
MID_WU_S_1_WAKEUP_#004	Se solo riuscissi a trovare le parole perfette...\x0E\x04\x00\x00
MID_WU_S_1_WAKEUP_#005	Ma mi basta già solo poter stare qui.\x0E\x04\x00\x00
MID_WU_S_1_WAKEUP_#006	Un giorno le parole adatte verranno da sé.\x0E\x04\x00\x00
MID_WU_S_1_HELLO_#001	Eheh, scusatemi.\x0E\x04\x00\x00
MID_WU_S_1_HELLO_#002	Non badate a me. Mi è scappato un sorriso.\x0E\x04\x00\x00
MID_WU_S_1_HELLO_#003	D'altronde, mi sento molto felice...\x0E\x04\x00\x00
MID_WU_S_1_HELLO_#004	È un onore essere la vostra compagna.\x0E\x04\x00\x00
MID_WU_S_2_IN_#001	Ogni volta che vengo qui mi sento così piena\ndi gioia che potrei scoppiare...\x0E\x04\x00\x00
MID_WU_S_2_SOON_#001	Ogni volta che vi guardo...\x0E\x04\x00\x00
MID_WU_S_2_SOON_#002	non posso fare a meno di abbassare la guardia.\x0E\x04\x00\x00
MID_WU_S_2_SOON_#003	Sono spesso di buon umore...\x0E\x04\x00\x00
MID_WU_S_2_SOON_#004	ma con voi provo una gioia infinita.\x0E\x04\x00\x00
MID_WU_S_2_WAKEUP_#001	È così strano...\x0E\x04\x00\x00
MID_WU_S_2_WAKEUP_#002	Di solito mi succede quando mi vengono\nnuove idee per i miei romanzi.\x0E\x04\x00\x00
MID_WU_S_2_WAKEUP_#003	Ma quando guardo l'anello del patto\nnon riesco a non sorridere.\x0E\x04\x00\x00
MID_WU_S_2_WAKEUP_#004	Cerco di meditare, ma non mi concentro.\x0E\x04\x00\x00
MID_WU_S_2_WAKEUP_#005	Quando penso a voi...\x0E\x04\x00\x00
MID_WU_S_2_WAKEUP_#006	mi sento la persona più felice al mondo.\x0E\x04\x00\x00
MID_WU_S_2_HELLO_#001	Buongiorno. Eheh. Mi stavate ascoltando?\x0E\x04\x00\x00
MID_WU_S_2_HELLO_#002	È un po' imbarazzante...\x0E\x04\x00\x00
MID_WU_S_2_HELLO_#003	Ma non mi rimangio nulla.\x0E\x04\x00\x00
MID_WU_S_2_HELLO_#004	Eheh.\x0E\x04\x00\x00
