MID_GR_El_C_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0A\x04エル\x021\n\x0E\x03\x00\x0A\x04チキ\x022\n\x0E\x03\x02\x06\x04エル\nFinalmente siamo di nuovo insieme, Tiki.\nÈ un onore combattere al tuo fianco.\x0E\x04\x00\x00
MID_GR_Gregory_C_#002	\x0E\x03\x02\x06\x04チキ\nMh? Cosa c'è? Volevi parlarmi? Vieni qui, dai!\x0E\x04\x00\x00
MID_GR_Gregory_B_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x10\nグレゴリー\x021\n\x0E\x03\x00\x0A\x04チキ\x022\n\x0E\x03\x02\x06\x04チキ\nWow, che begli abiti che hai! Vorrei che anche\ni miei mettessero paura!\x0E\x04\x00\x00
MID_GR_Gregory_B_#002	\x0E\x03\x02\x0C\nグレゴリー\nTi piacciono? Ah, grazie. Sai, più mi vesto in\nmodo spaventoso, più tengo lontani i nemici.\x0E\x04\x00\x00
MID_GR_Gregory_A_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x10\nグレゴリー\x021\n\x0E\x03\x00\x0A\x04チキ\x022\n\x0E\x03\x02\x0C\nグレゴリー\nSicura che vada tutto bene? Sembri meno\nallegra del solito. Sei stanca? O forse hai fame?\x0E\x04\x00\x00
MID_GR_Gregory_A_#002	\x0E\x03\x02\x06\x04チキ\nNo... Stavo pensando a un sogno che facevo\nspesso, in cui mi trasformavo in una bestia e\nfacevo del male alle persone...\x0E\x04\x00\x00
MID_GR_Gregory_A_#003	\x0E\x03\x02\x06\x04チキ\nNon so perché mi è tornato in mente. Ora ho\nmolti amici attorno... e tu sei uno di loro.\x0E\x04\x00\x00
MID_GR_Gregory_A_#004	\x0E\x03\x02\x0C\nグレゴリー\nEsatto. Non sei più sola. Noi non ti\nabbandoneremo. Puoi dormire sonni tranquilli.\x0E\x04\x00\x00
MID_GR_Madeline_C_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x10\nマデリーン\x021\n\x0E\x03\x00\x0A\x04チキ\x022\n\x0E\x03\x02\x0C\nマデリーン\nMi sento onorata di incontrarti anche in questo\nmondo e poter combattere ancora al tuo fianco.\x0E\x04\x00\x00
MID_GR_Madeline_C_#002	\x0E\x03\x02\x06\x04チキ\nGrazie! Allora parliamo un po'! Dimmi tutto di\nte, Madeline!\x0E\x04\x00\x00
MID_GR_Madeline_B_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x10\nマデリーン\x021\n\x0E\x03\x00\x0A\x04チキ\x022\n\x0E\x03\x02\x0C\nマデリーン\nLady Tiki, perché rischi il tutto per tutto\nin battaglia? Cosa ti spinge a farlo?\x0E\x04\x00\x00
MID_GR_Madeline_B_#002	\x0E\x03\x02\x06\x04チキ\nVoglio dare il mio contributo, in modo da\nfar tornare il sorriso sul volto di tutti!\x0E\x04\x00\x00
MID_GR_Madeline_A_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x10\nマデリーン\x021\n\x0E\x03\x00\x0A\x04チキ\x022\n\x0E\x03\x02\x0C\nマデリーン\nQuando parlo con te mi sento come... ecco,\ncome se avessi trovato una sorellina. Ma non\nvoglio sembrarti impudente.\x0E\x04\x00\x00
MID_GR_Madeline_A_#002	\x0E\x03\x02\x06\x04チキ\nOh, dici davvero?! A me sembra di avere trovato\nuna sorella maggiore, quindi direi che è perfetto!\x0E\x04\x00\x00
MID_GR_Madeline_A_#003	\x0E\x03\x02\x06\x04チキ\nVoglio conoscerti meglio, Madeline! Vuoi farmi\nda sorella?\x0E\x04\x00\x00
MID_GR_Madeline_A_#004	\x0E\x03\x02\x0C\nマデリーン\nSarebbe fantastico, lady Tiki. Prometto di starti\naccanto e di aiutarti a creare un mondo dove\nregni la pace.\x0E\x04\x00\x00
