MID_RELIANCE_C_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x10\nミスティラ\x021\n\x0E\x03\x00\x0C\x06アンナ\x022\n\x0E\x03\x02\x08\x06アンナ\nEhi, principessa Timerra!\x0E\x04\x00\x00
MID_RELIANCE_B_#013	\x0E\x03\x02\x08\x06アンナ\nImmagina che ti cada qualcosa in mezzo a tutta\nquella sabbia... Grazie a questo rastrello non è\npiù un problema!\x0E\x04\x00\x00
MID_RELIANCE_B_#014	\x0E\x03\x02\x08\x06アンナ\nAllora, che te ne pare? Geniale, eh?!\x0E\x04\x00\x00
MID_RELIANCE_B_#015	\x0E\x03\x02\x0C\nミスティラ\nS- Ehm, no, a dire il vero no.\x0E\x04\x00\x00
MID_RELIANCE_B_#016	\x0E\x03\x02\x08\x06アンナ\nIn effetti a ben pensarci non è poi questa\ngrande genialata.\x0E\x04\x00\x00
MID_RELIANCE_B_#017	\x0E\x03\x02\x0C\nミスティラ\nMa è senza dubbio un'idea innovativa! Non\ncredo che verrebbe in mente a chiunque.\x0E\x04\x00\x00
MID_RELIANCE_B_#018	\x0E\x03\x02\x08\x06アンナ\nGrazie, principessa Timerra. È gentile da\nparte tua.\x0E\x04\x00\x00
MID_RELIANCE_B_#019	\x0E\x03\x02\x08\x06アンナ\nMa non mi arrenderò. Il prossimo prodotto sarà\nquello giusto!\x0E\x04\x00\x00
MID_RELIANCE_B_#020	\x0E\x03\x02\x0C\nミスティラ\nVai così, signorina Anna!\x0E\x04\x00\x00
MID_RELIANCE_A_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0C\x06アンナ\x022\n\x0E\x03\x02\x08\x06アンナ\nMh... Come posso fare?\x0E\x04\x00\x00
MID_RELIANCE_A_#002	\x0E\x03\x00\x10\nミスティラ\x021\n\x0E\x03\x02\x0C\nミスティラ\nSignorina Anna, ti stai ancora arrovellando sul\nnuovo prodotto, eh?\x0E\x04\x00\x00
MID_RELIANCE_A_#003	\x0E\x03\x02\x08\x06アンナ\nPrincipessa Timerra, sei tu.\x0E\x04\x00\x00
MID_RELIANCE_A_#004	\x0E\x03\x02\x08\x06アンナ\nC'era da aspettarselo che sarebbe stato\ncomplicato entrare nel mercato in Solm senza\nun'idea vincente.\x0E\x04\x00\x00
MID_RELIANCE_A_#005	\x0E\x03\x02\x0C\nミスティラ\nEh, già, è un mercato competitivo...\x0E\x04\x00\x00
MID_RELIANCE_A_#006	\x0E\x03\x02\x08\x06アンナ\nPerché quella faccia?\x0E\x04\x00\x00
MID_RELIANCE_A_#007	\x0E\x03\x02\x0C\nミスティラ\nBeh, detesto vedere un'amica in difficoltà.\x0E\x04\x00\x00
MID_RELIANCE_A_#008	\x0E\x03\x02\x08\x06アンナ\nOh, come sei dolce.\x0E\x04\x00\x00
MID_RELIANCE_A_#009	\x0E\x03\x02\x08\x06アンナ\nMa non sono in difficoltà. Cioè, sì, ma solo un\npo'!\x0E\x04\x00\x00
MID_RELIANCE_A_#010	\x0E\x03\x02\x0C\nミスティラ\nLo sei o non lo sei?\x0E\x04\x00\x00
MID_RELIANCE_A_#011	\x0E\x03\x02\x08\x06アンナ\nCreare un nuovo prodotto e studiare tutti i\ndettagli è la parte che più preferisco del mio\nlavoro.\x0E\x04\x00\x00
MID_RELIANCE_A_#012	\x0E\x03\x02\x08\x06アンナ\nDi cosa ha bisogno un nuovo mercato? Cosa\nposso fare per rendere felici i clienti?\x0E\x04\x00\x00
MID_RELIANCE_A_#013	\x0E\x03\x02\x08\x06アンナ\nNon è facile, ma ne vale la pena. Quando trovo\nla soluzione, l'entusiasmo è alle stelle.\x0E\x04\x00\x00
MID_RELIANCE_A_#014	\x0E\x03\x02\x08\x06アンナ\nCome vedi non ci si annoia mai con questo\nlavoro!\x0E\x04\x00\x00
MID_RELIANCE_A_#015	\x0E\x03\x02\x0C\nミスティラ\nAh, ma pensa! Ho capito!\x0E\x04\x00\x00
MID_RELIANCE_A_#016	\x0E\x03\x02\x08\x06アンナ\nNon preoccuparti per me, davvero.\x0E\x04\x00\x00
MID_RELIANCE_A_#017	\x0E\x03\x02\x08\x06アンナ\nTroverò qualcosa. E gli abitanti del Solm ne\nsaranno estasiati.\x0E\x04\x00\x00
MID_RELIANCE_A_#018	\x0E\x03\x02\x0C\nミスティラ\nCosì mi piaci!\x0E\x04\x00\x00
MID_RELIANCE_A_#019	\x0E\x03\x02\x0C\nミスティラ\nSai una cosa? Forse ho appena avuto un'idea.\x0E\x04\x00\x00
MID_RELIANCE_A_#020	\x0E\x03\x02\x08\x06アンナ\nAh, sì? Quale?\x0E\x04\x00\x00
MID_RELIANCE_A_#021	\x0E\x03\x02\x0C\nミスティラ\nQuando avrai trovato il prodotto giusto, dovresti\nfare una cosa.\x0E\x04\x00\x00
MID_RELIANCE_A_#022	\x0E\x03\x02\x0C\nミスティラ\nMettici il tuo nome. Tipo: "il magico aggeggio\ndella signorina Anna".\x0E\x04\x00\x00
MID_RELIANCE_A_#023	\x0E\x03\x02\x08\x06アンナ\nUn marchio col mio nome? Non so se me\nla sento...\x0E\x04\x00\x00
MID_RELIANCE_A_#024	\x0E\x03\x02\x0C\nミスティラ\nPensaci. Se il tuo prodotto avesse successo...\x0E\x04\x00\x00
MID_RELIANCE_A_#025	\x0E\x03\x02\x0C\nミスティラ\n... la tua famiglia potrebbe venirlo a sapere e si\nmetterebbe in contatto con te, non pensi?\x0E\x04\x00\x00
MID_RELIANCE_A_#026	\x0E\x03\x02\x08\x06アンナ\nWoah. Principessa Timerra...\x0E\x04\x00\x00
MID_RELIANCE_A_#027	\x0E\x03\x02\x08\x06アンナ\nPotrebbe essere un'idea! Se funziona, il merito\nsarà tutto tuo, naturalmente.\x0E\x04\x00\x00
