MID_RELIANCE_C_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0E\x08リュール\x021\n\x0E\x03\x00\x0C\x06ジャン\x022\n\x0E\x03\x02\x0A\x08リュール\nJean? Non ti bastano le verdure in mensa?\x0E\x04\x00\x00
MID_RELIANCE_B_#018	\x0E\x03\x02\x0A\x08リュール\nAhah, grazie, Jean. Proprio ciò di cui ho\nbisogno.\x0E\x04\x00\x00
MID_RELIANCE_A_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0E\x08リュール\x021\n\x0E\x03\x00\x0C\x06ジャン\x022\n\x0E\x03\x02\x0A\x08リュール\nJean, ho qualcosa da darti.\x0E\x04\x00\x00
MID_RELIANCE_A_#002	\x0E\x03\x02\x08\x06ジャン\nErbe medicinali? Ma sono tantissime!\x0E\x04\x00\x00
MID_RELIANCE_A_#003	\x0E\x03\x02\x0A\x08リュール\nHo trovato un punto nella foresta dove crescono\nin abbondanza, così ho pensato di portartele.\x0E\x04\x00\x00
MID_RELIANCE_A_#004	\x0E\x03\x02\x08\x06ジャン\nWow... grazie davvero. Torneranno utilissime\nal mio villaggio.\x0E\x04\x00\x00
MID_RELIANCE_A_#005	\x0E\x03\x02\x0A\x08リュール\nIl modo in cui parli dei tuoi genitori mi ha\ncolpit\x0E\x0A\x00\x08\x02o\x02a. Vorrei poterli aiutare in qualche modo.\x0E\x04\x00\x00
MID_RELIANCE_A_#006	\x0E\x03\x02\x08\x06ジャン\nGrazie, Drago Divino.\x0E\x04\x00\x00
MID_RELIANCE_A_#007	\x0E\x03\x02\x08\x06ジャン\nMa cosa vi è successo al braccio? È tutto\ncoperto di graffi.\x0E\x04\x00\x00
MID_RELIANCE_A_#008	\x0E\x03\x02\x0A\x08リュール\nDopo che ho trovato le erbe sono scivolat\x0E\x0A\x00\x08\x02o\x02a e\nho fatto un capitombolo.\x0E\x04\x00\x00
MID_RELIANCE_A_#009	\x0E\x03\x02\x08\x06ジャン\nOh, no! Sedetevi, lasciate che ve lo medichi.\x0E\x04\x00\x00
MID_RELIANCE_A_#010	\x0E\x03\x02\x0A\x08リュール\nNon mi dà fastidio.\x0E\x04\x00\x00
MID_RELIANCE_A_#011	\x0E\x03\x02\x08\x06ジャン\nPer favore. Non vorrei che uno di quei tagli si\ninfettasse.\x0E\x04\x00\x00
MID_RELIANCE_A_#012	\x0E\x03\x02\x0A\x08リュール\nE va bene. Fai pure.\x0E\x04\x00\x00
MID_RELIANCE_A_#013	\x0E\x03\x02\x08\x06ジャン\nVediamo...\x0E\x04\x00\x00
MID_RELIANCE_A_#014	\x0E\x03\x02\x08\x06ジャン\nSapete... Sono contento di essere partito con\nvoi.\x0E\x04\x00\x00
MID_RELIANCE_A_#015	\x0E\x03\x02\x0A\x08リュール\nDavvero?\x0E\x04\x00\x00
MID_RELIANCE_A_#016	\x0E\x03\x02\x08\x06ジャン\nSiete una delle persone più generose che\nconosca, anche se non lo siete con voi stess\x0E\x0A\x00\x08\x02o\x02a.\x0E\x04\x00\x00
MID_RELIANCE_A_#017	\x0E\x03\x02\x08\x06ジャン\nPer fortuna, anche se continuerete ad avere\nscarsa cura di voi, finché ci sarò io non avrete\nnulla da temere.\x0E\x04\x00\x00
MID_RELIANCE_A_#018	\x0E\x03\x02\x08\x06ジャン\nVorrei potermi sdebitare per tutta la gentilezza\nche avete mostrato.\x0E\x04\x00\x00
MID_RELIANCE_A_#019	\x0E\x03\x02\x0A\x08リュール\nWow.\x0E\x04\x00\x00
MID_RELIANCE_A_#020	\x0E\x03\x02\x08\x06ジャン\nFatto. Ora dovrebbe rimarginarsi in fretta.\x0E\x04\x00\x00
MID_RELIANCE_A_#021	\x0E\x03\x02\x0A\x08リュール\nGrazie! Sono grat\x0E\x0A\x00\x08\x02o\x02a di averti accanto.\x0E\x04\x00\x00
MID_RELIANCE_S_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0E\x08リュール\x021\n\x0E\x03\x00\x0C\x06ジャン\x022\n\x0E\x03\x02\x0A\x08リュール\nOggi ne abbiamo raccolte più del solito.\x0E\x04\x00\x00
MID_RELIANCE_S_#002	\x0E\x03\x02\x08\x06ジャン\nTutto grazie a voi. Non vi sarete stancat\x0E\x0A\x00\x08\x02o\x02a\ntroppo?\x0E\x04\x00\x00
MID_RELIANCE_S_#003	\x0E\x03\x02\x0A\x08リュール\nNo, con te mi diverto. Non sento la stanchezza.\x0E\x04\x00\x00
MID_RELIANCE_S_#004	\x0E\x03\x02\x08\x06ジャン\nMa vi siete fatt\x0E\x0A\x00\x08\x02o\x02a male di nuovo.\x0E\x04\x00\x00
MID_RELIANCE_S_#005	\x0E\x03\x02\x0A\x08リュール\nEh? Ah, no. Questa viene dall'ultima battaglia.\nVolevo proteggere un alleato.\x0E\x04\x00\x00
MID_RELIANCE_S_#006	\x0E\x03\x02\x0A\x08リュール\nMi sono fatt\x0E\x0A\x00\x08\x02o\x02a curare subito dopo, ma si vede\nche mi è rimasto il segno.\x0E\x04\x00\x00
MID_RELIANCE_S_#007	\x0E\x03\x02\x08\x06ジャン\nProvate con questo unguento. È fatto con le\nerbe che abbiamo raccolto l'altra volta.\x0E\x04\x00\x00
MID_RELIANCE_S_#008	\x0E\x03\x02\x08\x06ジャン\nServe a ridurre il rossore... Basta massaggiare\nun po' e aspettare che si assorba.\x0E\x04\x00\x00
MID_RELIANCE_S_#009	\x0E\x03\x02\x0A\x08リュール\nTi ringrazio.\x0E\x04\x00\x00
MID_RELIANCE_S_#010	\x0E\x03\x02\x08\x06ジャン\nSe vi fate male... o anche solo se avete un\nproblema, voglio che sappiate di poter contare\nsu di me.\x0E\x04\x00\x00
MID_RELIANCE_S_#011	\x0E\x03\x02\x08\x06ジャン\nVorrei che poteste fare affidamento su di me,\ncome tutti gli altri fanno affidamento su di voi.\x0E\x04\x00\x00
MID_RELIANCE_S_#012	\x0E\x03\x02\x0A\x08リュール\nJean, ma non lo sai?\x0E\x04\x00\x00
MID_RELIANCE_S_#013	\x0E\x03\x02\x0A\x08リュール\nÈ già così.\x0E\x04\x00\x00
MID_RELIANCE_S_#014	\x0E\x03\x02\x08\x06ジャン\nEh...?\x0E\x04\x00\x00
MID_RELIANCE_S_#015	\x0E\x03\x02\x0A\x08リュール\nDi tutti i miei alleati, tu sei proprio uno di quelli\nsu cui so di poter sempre contare.\x0E\x04\x00\x00
MID_RELIANCE_S_#016	\x0E\x03\x02\x0A\x08リュール\nA dire il vero ci terrei a darti l'anello del patto.\x0E\x04\x00\x00
MID_RELIANCE_S_#017	\x0E\x03\x02\x08\x06ジャン\nM-Ma non posso accettare...! È troppo prezioso\nper darlo a uno come me!\x0E\x04\x00\x00
MID_RELIANCE_S_#018	\x0E\x03\x02\x0A\x08リュール\nNon c'è nessuno più degno di te.\nSei sempre stato presente per me.\x0E\x04\x00\x00
MID_RELIANCE_S_#019	\x0E\x03\x02\x08\x06ジャン\nVa bene... Ho capito...\x0E\x04\x00\x00
MID_RELIANCE_S_#020	\x0E\x03\x02\x08\x06ジャン\nGrazie. D'ora in avanti sarò il vostro medico\ndi fiducia.\x0E\x04\x00\x00
MID_RELIANCE_S_#021	\x0E\x03\x02\x0A\x08リュール\nConto su di te.\x0E\x04\x00\x00
MID_RELIANCE_S_#022	\x0E\x03\x02\x08\x06ジャン\nE ora vado a mettermi al lavoro. Quei libri\nnon si leggono da soli.\x0E\x04\x00\x00
MID_RELIANCE_S_#023	\x0E\x03\x02\x08\x06ジャン\nSe sono il vostro medico di fiducia non posso\nconcedermi errori.\x0E\x04\x00\x00
MID_RELIANCE_S_#024	\x0E\x03\x02\x0A\x08リュール\nPrenditi pure il tempo che ti serve. Comunque,\ndopo la guerra avrò sicuramente meno ferite\nda farti medicare!\x0E\x04\x00\x00
MID_RELIANCE_S_#025	\x0E\x03\x02\x08\x06ジャン\nLo spero. Drago Divino \x0E\x06\x03\x00...\x0E\x04\x00\x00
MID_RELIANCE_S_#026	\x0E\x03\x02\x08\x06ジャン\nGrazie per la fiducia che riponete in me.\nFarò il possibile per diventare un medico degno\ndi curarvi.\x0E\x04\x00\x00
