MID_RELIANCE_C_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x12\x0Cオルテンシア\x021\n\x0E\x03\x02\x0E\x0Cオルテンシア\n...\x0E\x04\x00\x00
MID_RELIANCE_B_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0E\x08ロサード\x022\n\x0E\x03\x02\x0A\x08ロサード\nSi sbaglia, si sbaglia di grosso. Qui stava molto\nmeglio.\x0E\x04\x00\x00
MID_RELIANCE_B_#002	\x0E\x03\x00\x12\x0Cオルテンシア\x021\n\x0E\x03\x02\x0E\x0Cオルテンシア\nEhi! Ma quello è il ritratto che mi hai fatto\nquando ero imbambolata!\x0E\x04\x00\x00
MID_RELIANCE_B_#003	\x0E\x03\x02\x0E\x0Cオルテンシア\nTi avevo detto di buttarlo via. Perché ce l'hai\nancora con te?\x0E\x04\x00\x00
MID_RELIANCE_B_#004	\x0E\x03\x02\x0A\x08ロサード\nSono davvero spiacente... ma un po' anche no.\x0E\x04\x00\x00
MID_RELIANCE_B_#005	\x0E\x03\x02\x0A\x08ロサード\nMi piace tantissimo ciò che vedo in questo\ndisegno.\x0E\x04\x00\x00
MID_RELIANCE_B_#006	\x0E\x03\x02\x0E\x0Cオルテンシア\nMa a me no! E la faccia è mia!\nButtalo subito via!\x0E\x04\x00\x00
MID_RELIANCE_B_#007	\x0E\x03\x02\x0A\x08ロサード\nE va bene... se proprio non ti piace.\x0E\x04\x00\x00
MID_RELIANCE_B_#008	\x0E\x03\x02\x0E\x0Cオルテンシア\nMa perché non volevi buttarlo?\x0E\x04\x00\x00
MID_RELIANCE_B_#009	\x0E\x03\x02\x0A\x08ロサード\nPerché è un disegno della vera Hortensia,\nnon di quella col sorriso finto.\x0E\x04\x00\x00
MID_RELIANCE_B_#010	\x0E\x03\x02\x0A\x08ロサード\nPrima eri così espressiva!\x0E\x04\x00\x00
MID_RELIANCE_B_#011	\x0E\x03\x02\x0A\x08ロサード\nCome quando eravamo all'accademia!\nTi ricordi?\x0E\x04\x00\x00
MID_RELIANCE_B_#012	\x0E\x03\x02\x0E\x0Cオルテンシア\nNon so di che parli, Rosado.\x0E\x04\x00\x00
MID_RELIANCE_B_#013	\x0E\x03\x02\x0E\x0Cオルテンシア\nNon siamo più all'accademia. Non ci possiamo\npermettere di perdere tempo come allora.\x0E\x04\x00\x00
MID_RELIANCE_B_#014	\x0E\x03\x02\x0E\x0Cオルテンシア\nSono la principessa e ciò vuol dire che devo\ncontinuare a sorridere, per sempre.\x0E\x04\x00\x00
MID_RELIANCE_B_#015	\x0E\x03\x02\x0A\x08ロサード\nQuesti obblighi reali sono un bel fardello.\x0E\x04\x00\x00
MID_RELIANCE_B_#016	\x0E\x03\x02\x0E\x0Cオルテンシア\nSì, ma così stanno le cose. Ed è per questo che\nquel disegno deve sparire. Hai capito?\x0E\x04\x00\x00
MID_RELIANCE_B_#017	\x0E\x03\x02\x0A\x08ロサード\nHo capito, Hortensia...\x0E\x04\x00\x00
MID_RELIANCE_A_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x12\x0Cオルテンシア\x021\n\x0E\x03\x00\x0E\x08ロサード\x022\n\x0E\x03\x02\x0A\x08ロサード\nHortensia dobbiamo fuggire! Ci sono troppe\naberrazioni! Non ha senso combattere!\x0E\x04\x00\x00
MID_RELIANCE_A_#002	\x0E\x03\x02\x0E\x0Cオルテンシア\nNo, è tutto sotto controllo! Posso farcela...\x0E\x04\x00\x00
MID_RELIANCE_A_#003	\x0E\x03\x02\x0A\x08ロサード\nAttenta!\x0E\x04\x00\x00
MID_RELIANCE_A_#004	\x0E\x03\x02\x0E\x0Cオルテンシア\nRosado, no!\x0E\x04\x00\x00
MID_RELIANCE_A_#005	\x0E\x03\x02\x0A\x08ロサード\nAh!\x0E\x04\x00\x00
MID_RELIANCE_A_#006	\x0E\x03\x02\x0E\x0Cオルテンシア\nRosado... volevo proteggerti.\x0E\x04\x00\x00
MID_RELIANCE_A_#007	\x0E\x03\x02\x0E\x0Cオルテンシア\nRitirata! Nessuno morirà sotto la mia\nresponsabilità.\x0E\x04\x00\x00
MID_RELIANCE_A_#008	\x0E\x04\x03\x04
MID_RELIANCE_A_#009	\x0E\x03\x02\x0E\x0Cオルテンシア\nRosado! Riprenditi! Non lasciarmi!\x0E\x04\x00\x00
MID_RELIANCE_A_#010	\x0E\x03\x02\x0A\x08ロサード\nUgh...\x0E\x04\x00\x00
MID_RELIANCE_A_#011	\x0E\x03\x02\x0E\x0Cオルテンシア\nSei sveglio! Stai bene? Mi riconosci?\x0E\x04\x00\x00
MID_RELIANCE_A_#012	\x0E\x03\x02\x0A\x08ロサード\nS-Sto bene... mi sono solo... appisolato per un\nistante.\x0E\x04\x00\x00
MID_RELIANCE_A_#013	\x0E\x03\x02\x0E\x0Cオルテンシア\nTi sei appisolato?! Pensavo fossi morto!\x0E\x04\x00\x00
MID_RELIANCE_A_#014	\x0E\x03\x02\x0E\x0Cオルテンシア\nUn momento, a che ti serve quella car-\nStai per caso DISEGNANDO?\x0E\x04\x00\x00
MID_RELIANCE_A_#015	\x0E\x03\x02\x0A\x08ロサード\nAhahah! Guarda che capolavoro, Hortensia!\x0E\x04\x00\x00
MID_RELIANCE_A_#016	\x0E\x03\x02\x0E\x0Cオルテンシア\nCOSA?!\x0E\x04\x00\x00
MID_RELIANCE_A_#017	\x0E\x03\x02\x0E\x0Cオルテンシア\nNon ti sei nemmeno fatto male!\x0E\x04\x00\x00
MID_RELIANCE_A_#018	\x0E\x03\x02\x0A\x08ロサード\nNo! Ma in compenso ti ho beccata con una\nfantastica espressione.\x0E\x04\x00\x00
MID_RELIANCE_A_#019	\x0E\x03\x02\x0E\x0Cオルテンシア\nQuando ti sei svegliato avevo l'aria... sollevata,\na quanto pare.\x0E\x04\x00\x00
MID_RELIANCE_A_#020	\x0E\x03\x02\x0E\x0Cオルテンシア\nDevo ammettere che ti è venuto bene.\x0E\x04\x00\x00
MID_RELIANCE_A_#021	\x0E\x03\x02\x0E\x0Cオルテンシア\nHai ragione... Quando eravamo all'accademia\navevo più spesso queste espressioni.\x0E\x04\x00\x00
MID_RELIANCE_A_#022	\x0E\x03\x02\x0A\x08ロサード\nSoprattutto quando il professore di storia\ninterrogava qualcun altro e non te!\x0E\x04\x00\x00
MID_RELIANCE_A_#023	\x0E\x03\x02\x0E\x0Cオルテンシア\nEhi!\x0E\x04\x00\x00
MID_RELIANCE_A_#024	\x0E\x03\x02\x0A\x08ロサード\nAllora questo lo posso tenere?\x0E\x04\x00\x00
MID_RELIANCE_A_#025	\x0E\x03\x02\x0E\x0Cオルテンシア\nVa bene... ma non mostrarlo a nessuno.\x0E\x04\x00\x00
MID_RELIANCE_A_#026	\x0E\x03\x02\x0A\x08ロサード\nCerto che no!\x0E\x04\x00\x00
MID_RELIANCE_A_#027	\x0E\x03\x02\x0E\x0Cオルテンシア\n...\x0E\x04\x00\x00
MID_RELIANCE_A_#028	\x0E\x03\x02\x0E\x0Cオルテンシア\nGrazie per avermi salvata.\x0E\x04\x00\x00
MID_RELIANCE_A_#029	\x0E\x03\x02\x0E\x0Cオルテンシア\nC'è sempre qualcosa da cui salvarmi.\x0E\x04\x00\x00
MID_RELIANCE_A_#030	\x0E\x03\x02\x0A\x08ロサード\nSe vuoi ringraziarmi, mostrami il tuo vero volto\nogni tanto. Non chiedo altro.\x0E\x04\x00\x00
MID_RELIANCE_A_#031	\x0E\x03\x02\x0E\x0Cオルテンシア\nAhahah. Affare fatto.\x0E\x04\x00\x00
MID_RELIANCE_A_#032	\x0E\x03\x02\x0E\x0Cオルテンシア\nTu per me sei molto più di un semplice\nattendente. Sei un amico.\x0E\x04\x00\x00
MID_RELIANCE_A_#033	\x0E\x03\x02\x0E\x0Cオルテンシア\nFinché saremo amici, non avrò problemi\na essere me stessa.\x0E\x04\x00\x00
