MID_GR_El_C_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0A\x04エル\x021\n\x0E\x03\x00\x10\nエイリーク\x022\n\x0E\x03\x02\x06\x04エル\nSei così aggraziata e delicata, a differenza mia.\nForse, avrei qualcosa da imparare da te.\x0E\x04\x00\x00
MID_GR_Selestia_B_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x12\x0Cセレスティア\x021\n\x0E\x03\x00\x10\nエイリーク\x022\n\x0E\x03\x02\x0E\x0Cセレスティア\nVorrei tanto scambiare due parole con tuo\nfratello, ma si fa vedere solo sul campo di\nbattaglia. Che tipo è?\x0E\x04\x00\x00
MID_GR_Selestia_B_#002	\x0E\x03\x02\x0C\nエイリーク\nEphraim è forte e dal cuore d'oro. Mi piacerebbe\nche smettesse di trattarmi come una bambina,\nperò.\x0E\x04\x00\x00
MID_GR_Selestia_A_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x12\x0Cセレスティア\x021\n\x0E\x03\x00\x10\nエイリーク\x022\n\x0E\x03\x02\x0E\x0Cセレスティア\nI miei alleati sono come una famiglia per me.\nSarei disposta a tutto per proteggerli.\x0E\x04\x00\x00
MID_GR_Selestia_A_#002	\x0E\x03\x02\x0C\nエイリーク\nAnch'io farei lo stesso per i miei amici. Ed è\nquesta determinazione a renderci forti.\x0E\x04\x00\x00
MID_GR_Selestia_A_#003	\x0E\x03\x02\x0C\nエイリーク\nTi darò il mio potere e insieme proteggeremo\nle persone a cui tieni, Zelestia. Conta su di me.\x0E\x04\x00\x00
MID_GR_Selestia_A_#004	\x0E\x03\x02\x0E\x0Cセレスティア\nGrazie, Erika. Ma sappi che anche io voglio\nproteggere te come se fossi parte della mia\nfamiglia.\x0E\x04\x00\x00
MID_GR_Gregory_C_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x10\nグレゴリー\x021\n\x0E\x03\x00\x10\nエイリーク\x022\n\x0E\x03\x02\x0C\nエイリーク\nNon ho mai visto degli abiti come i tuoi,\nGregory. È un costume tradizionale del tuo\npaese?\x0E\x04\x00\x00
MID_GR_Gregory_C_#002	\x0E\x03\x02\x0C\nグレゴリー\nNo, niente di tutto ciò. Mi vesto così per\nspaventare i nemici.\x0E\x04\x00\x00
MID_GR_Gregory_B_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x10\nグレゴリー\x021\n\x0E\x03\x00\x10\nエイリーク\x022\n\x0E\x03\x02\x0C\nエイリーク\nStento a credere che, forte come sei, tu abbia\nbisogno di abiti particolari per dissuadere i\nnemici.\x0E\x04\x00\x00
MID_GR_Gregory_B_#002	\x0E\x03\x02\x0C\nグレゴリー\nGrazie, ma anche se fosse vero, dubito che\nriuscirei a impressionare i nemici con gli abiti\nche mi piacciono...\x0E\x04\x00\x00
MID_GR_Gregory_A_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x10\nグレゴリー\x021\n\x0E\x03\x00\x10\nエイリーク\x022\n\x0E\x03\x02\x0C\nグレゴリー\nDici che sono forte, Erika, ma credo che tu mi\nattribuisca troppi meriti. Ci sono altri più forti\ndi me...\x0E\x04\x00\x00
MID_GR_Gregory_A_#002	\x0E\x03\x02\x0C\nエイリーク\nE invece no. Qualcuno che si professa così\ndebole starebbe ancora combattendo, forse?\x0E\x04\x00\x00
MID_GR_Gregory_A_#003	\x0E\x03\x02\x0C\nエイリーク\nPersino la fuga è un modo per ripresentarsi sul\ncampo di battaglia la volta dopo. Avrei molto\nda imparare da questo particolare tipo di forza.\x0E\x04\x00\x00
MID_GR_Gregory_A_#004	\x0E\x03\x02\x0C\nグレゴリー\nTroppo gentile. Ho paura di commettere qualche\nerrore, se mi adagio sugli allori. Grazie\ncomunque.\x0E\x04\x00\x00
MID_GR_Madeline_C_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x10\nマデリーン\x021\n\x0E\x03\x00\x10\nエイリーク\x022\n\x0E\x03\x02\x0C\nマデリーン\nLady Erika, è vero che sei una principessa? Io\nsono una cavaliera e spero di imparare molto\nda te, d'ora in poi!\x0E\x04\x00\x00
MID_GR_Madeline_C_#002	\x0E\x03\x02\x0C\nエイリーク\nOh, non è il caso di essere così formale. Siamo\nalleate, combatteremo fianco a fianco.\x0E\x04\x00\x00
MID_GR_Madeline_B_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x10\nマデリーン\x021\n\x0E\x03\x00\x10\nエイリーク\x022\n\x0E\x03\x02\x0C\nマデリーン\nSo che una cavaliera dovrebbe sempre essere\nvigile, eppure spesso mi lascio cullare dalla tua\ngentilezza.\x0E\x04\x00\x00
MID_GR_Madeline_B_#002	\x0E\x03\x02\x0C\nエイリーク\nSono fatta così, pur con le mie manchevolezze\nriguardo alla forza fisica. Sii sempre fedele a\nte stessa anche tu e non te ne pentirai.\x0E\x04\x00\x00
MID_GR_Madeline_A_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x10\nマデリーン\x021\n\x0E\x03\x00\x10\nエイリーク\x022\n\x0E\x03\x02\x0C\nマデリーン\nI nobili sono uno diverso dall'altro. C'è chi è\nsolenne e dignitoso, e poi chi è gentile, come te\ne il Drago Divino.\x0E\x04\x00\x00
MID_GR_Madeline_A_#002	\x0E\x03\x02\x0C\nマデリーン\nE io devo ottenere la fiducia di ognuna di queste\ncategorie. Non è facile adattarsi a tutti, per una\ncavaliera.\x0E\x04\x00\x00
MID_GR_Madeline_A_#003	\x0E\x03\x02\x0C\nエイリーク\nTi stai facendo più problemi del dovuto. Basta\nseguire qualcuno che ti piace, e che ti apprezza\na sua volta.\x0E\x04\x00\x00
MID_GR_Madeline_A_#004	\x0E\x03\x02\x0C\nエイリーク\nSe quel qualcuno ripone fiducia in te, gli altri\nsi fideranno. Ecco come si fa a ottenere più\nalleati.\x0E\x04\x00\x00
