MID_RELIANCE_C_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x10\nエーティエ\x021\n\x0E\x03\x02\x0C\nエーティエ\nE anche questa volta, la salsina sembra\ndeliziosa.\x0E\x04\x00\x00
MID_RELIANCE_B_#008	\x0E\x03\x02\x0C\nエーティエ\nSiamo in guerra! L'argenteria non ti serve\na niente sul campo di battaglia. I muscoli sì.\x0E\x04\x00\x00
MID_RELIANCE_B_#009	\x0E\x03\x02\x0E\x0Cゴルドマリー\nChe cosa hai detto...?\x0E\x04\x00\x00
MID_RELIANCE_B_#010	\x0E\x03\x02\x0C\nエーティエ\nPensi forse che i tuoi abiti stirati e inamidati\nfacciano la differenza quando combatti\nle aberrazioni?\x0E\x04\x00\x00
MID_RELIANCE_B_#011	\x0E\x03\x02\x0E\x0Cゴルドマリー\nCosa, scusa? Cosa dici?\x0E\x04\x00\x00
MID_RELIANCE_B_#012	\x0E\x03\x02\x0C\nエーティエ\nBasta con questi "cosa"!\x0E\x04\x00\x00
MID_RELIANCE_B_#013	\x0E\x03\x02\x0E\x0Cゴルドマリー\nStai forse insinuando che non sarei in grado\ndi sopravvivere in battaglia?\x0E\x04\x00\x00
MID_RELIANCE_B_#014	\x0E\x03\x02\x0E\x0Cゴルドマリー\nScusa tanto, ma se davvero la pensi così, fammi\nil favore di sparire dalla mia vista.\x0E\x04\x00\x00
MID_RELIANCE_B_#015	\x0E\x03\x02\x0C\nエーティエ\nChe hai detto?!\x0E\x04\x00\x00
MID_RELIANCE_B_#016	\x0E\x03\x02\x0E\x0Cゴルドマリー\nChiariamo le cose una volta per tutte. Io sono\nl'eleganza e la grazia fatta persona. Punto.\x0E\x04\x00\x00
MID_RELIANCE_B_#017	\x0E\x03\x02\x0E\x0Cゴルドマリー\nMi spiace davvero che il tuo senso estetico\nsia colato via con i tuoi inutili litri di sudore...\x0E\x04\x00\x00
MID_RELIANCE_B_#018	\x0E\x03\x02\x0C\nエーティエ\nGrr... Ma tu che problemi hai?\x0E\x04\x00\x00
MID_RELIANCE_B_#019	\x0E\x03\x02\x0E\x0Cゴルドマリー\nStavo per chiederti la stessa cosa.\x0E\x04\x00\x00
MID_RELIANCE_A_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x10\nエーティエ\x021\n\x0E\x03\x00\x12\x0Cゴルドマリー\x022\n\x0E\x03\x02\x0E\x0Cゴルドマリー\nCiao, Etie. Grazie per essere venuta.\nSperavo che potessimo parlare un po'.\x0E\x04\x00\x00
MID_RELIANCE_A_#002	\x0E\x03\x02\x0C\nエーティエ\nNon so perché mi hai chiamata, ma sarà meglio\nper te che sia qualcosa di importante.\x0E\x04\x00\x00
MID_RELIANCE_A_#003	\x0E\x03\x02\x0E\x0Cゴルドマリー\nScusa la richiesta strana, ma potresti darmi\nle mani?\x0E\x04\x00\x00
MID_RELIANCE_A_#004	\x0E\x03\x02\x0C\nエーティエ\nPerché dovrei?\x0E\x04\x00\x00
MID_RELIANCE_A_#005	\x0E\x03\x02\x0E\x0Cゴルドマリー\nForse sono stata un po' ingiusta nei tuoi\nconfronti. Pensavo che se mi dimostrassi la tua\nforza, potrei ricredermi.\x0E\x04\x00\x00
MID_RELIANCE_A_#006	\x0E\x03\x02\x0E\x0Cゴルドマリー\nQuindi volevo sentire la forza delle tue mani.\nSpengo la luce, così ti rilassi.\x0E\x04\x00\x00
MID_RELIANCE_A_#007	\x0E\x03\x02\x0C\nエーティエ\nUhm... Se proprio insisti...\x0E\x04\x00\x00
MID_RELIANCE_A_#008	\x0E\x03\x02\x0E\x0Cゴルドマリー\nSei forte, non c'è che dire. Questi calli che hai\nmi dicono che hai lavorato sodo per diventare\ncosì.\x0E\x04\x00\x00
MID_RELIANCE_A_#009	\x0E\x03\x02\x0C\nエーティエ\nBeh... in effetti sì.\x0E\x04\x00\x00
MID_RELIANCE_A_#010	\x0E\x03\x02\x0E\x0Cゴルドマリー\nOra che ho visto quanta dedizione metti in ciò\nche fai, capisco molte cose. Grazie.\x0E\x04\x00\x00
MID_RELIANCE_A_#011	\x0E\x03\x02\x0E\x0Cゴルドマリー\nEcco... prendi le mie mani. Forse anche tu\nriuscirai a metterti nei miei panni così.\x0E\x04\x00\x00
MID_RELIANCE_A_#012	\x0E\x03\x02\x0C\nエーティエ\nDici che funziona?\x0E\x04\x00\x00
MID_RELIANCE_A_#013	\x0E\x03\x02\x0E\x0Cゴルドマリー\nC'è solo un modo per scoprirlo.\x0E\x04\x00\x00
MID_RELIANCE_A_#014	\x0E\x03\x02\x0C\nエーティエ\nWow! Che pelle liscia che hai!\x0E\x04\x00\x00
MID_RELIANCE_A_#015	\x0E\x03\x02\x0E\x0Cゴルドマリー\nOvvio.\x0E\x04\x00\x00
MID_RELIANCE_A_#016	\x0E\x03\x02\x0C\nエーティエ\nIncredibile... Chissà che fatica fai a tenerla\ncosì!\x0E\x04\x00\x00
MID_RELIANCE_A_#017	\x0E\x03\x02\x0E\x0Cゴルドマリー\nScusa se ti ho messa in imbarazzo. Può\nsembrare un metodo strano per conoscersi.\x0E\x04\x00\x00
MID_RELIANCE_A_#018	\x0E\x03\x02\x0C\nエーティエ\nEheh, un po'. Ma ho davvero scoperto cose\nnuove su di te.\x0E\x04\x00\x00
MID_RELIANCE_A_#019	\x0E\x03\x02\x0C\nエーティエ\nMi hai insegnato che la vita non è solo\nprepararsi alla guerra. Devo essere pronta\nanche per la pace.\x0E\x04\x00\x00
MID_RELIANCE_A_#020	\x0E\x03\x02\x0E\x0Cゴルドマリー\nVisto?\x0E\x04\x00\x00
MID_RELIANCE_A_#021	\x0E\x03\x02\x0E\x0Cゴルドマリー\nA quanto pare abbiamo qualcosa da imparare\nl'una dall'altra.\x0E\x04\x00\x00
MID_RELIANCE_A_#022	\x0E\x03\x02\x0E\x0Cゴルドマリー\nPosso darti consigli sull'eleganza, e tu\nsugli esercizi quotidiani.\x0E\x04\x00\x00
MID_RELIANCE_A_#023	\x0E\x03\x02\x0C\nエーティエ\nVa bene, mi piace fare l'istruttrice!\x0E\x04\x00\x00
MID_RELIANCE_A_#024	\x0E\x03\x02\x0C\nエーティエ\nChe rimanga tra noi, ma parte del lavoro è frutto\ndelle proteine. Te ne porto un po', se vuoi.\x0E\x04\x00\x00
MID_RELIANCE_A_#025	\x0E\x03\x02\x0E\x0Cゴルドマリー\nOttimo. Se ti interessa conosco molte buone\nlozioni per le mani.\x0E\x04\x00\x00
MID_RELIANCE_A_#026	\x0E\x03\x02\x0C\nエーティエ\nEheh. Ma guardaci. In men che non si dica\nandiamo d'amore e d'accordo, eh?\x0E\x04\x00\x00
MID_RELIANCE_A_#027	\x0E\x03\x02\x0C\nエーティエ\nSai, forse devo ringraziarti per aver spazzolato\nvia l'ultima patata.\x0E\x04\x00\x00
MID_RELIANCE_A_#028	\x0E\x03\x02\x0E\x0Cゴルドマリー\nNon ringraziarmi, te l'ho rubata da sotto il naso.\x0E\x04\x00\x00
MID_RELIANCE_A_#029	\x0E\x03\x02\x0E\x0Cゴルドマリー\nNon vedo l'ora di imparare da te, Etie.\nE spero che sia lo stesso per te.\x0E\x04\x00\x00
