MID_WU_C_1_IN_#001	È permesso?
MID_WU_B_1_IN_#001	Sei sempre così indaffarat\x0E\x0A\x00\x08\x02o\x02a...
MID_WU_B_1_IN_#002	Non mi stupisco che faccia\nfatica a svegliarti.
MID_WU_B_1_SOON_#001	Oh. Non vuoi dormire un altro po'?
MID_WU_B_1_SOON_#002	Ti avrei aspettat\x0E\x0A\x00\x08\x02o\x02a qui.
MID_WU_B_1_SOON_#003	Non sforzarti, se non te la senti.
MID_WU_B_1_WAKEUP_#001	Secondo me, ti fai carico di troppe cose.
MID_WU_B_1_WAKEUP_#002	Una grana dopo l'altra, non hai\nun attimo di tregua.
MID_WU_B_1_WAKEUP_#003	Dovresti riguardarti di più...
MID_WU_B_1_HELLO_#001	Buongiorno.
MID_WU_B_1_HELLO_#002	Mi fa piacere trovarti svegli\x0E\x0A\x00\x08\x02o\x02a.
MID_WU_B_1_HELLO_#003	Anche se hai dormito un po' più del dovuto.
MID_WU_B_1_HELLO_#004	Ma non temere...
MID_WU_B_1_HELLO_#005	non lo dirò a nessuno.
MID_WU_B_2_IN_#001	Ahia!
MID_WU_B_2_IN_#002	Ho battuto il piede...
MID_WU_B_2_IN_#003	Ugh, che dolore...
MID_WU_B_2_SOON_#001	Sei svegli\x0E\x0A\x00\x08\x02o\x02a?
MID_WU_B_2_SOON_#002	Ecco... ho battuto il piede.
MID_WU_B_2_SOON_#003	Fai attenzione anche tu, gli scalini\nsono infidi...
MID_WU_B_2_SOON_#004	Non vorrei che ti facessi male.
MID_WU_B_2_SOON_#005	Beh... ora vado.
MID_WU_B_2_WAKEUP_#001	Che fatica salire le scale.
MID_WU_B_2_WAKEUP_#002	Un po' ti invidio, comod\x0E\x0A\x00\x08\x02o\x02a come sei\nnel tuo soffice letto.
MID_WU_B_2_WAKEUP_#003	Scommetto che, con qualche pupazzo,
MID_WU_B_2_WAKEUP_#004	sarebbe ancora più comodo.
MID_WU_B_2_HELLO_#001	Drago Divino...
MID_WU_B_2_HELLO_#002	Se vuoi dormire meglio,
MID_WU_B_2_HELLO_#003	dovresti procurarti qualche pupazzo.
MID_WU_B_2_HELLO_#004	Trovo che abbracciarli aiuti ad addormentarsi.
MID_WU_A_1_IN_#001	Detesto importunarti...
MID_WU_A_1_IN_#002	ma mi è stato chiesto di farlo...
MID_WU_A_1_SOON_#001	Ah, preferisci continuare a dormire?
MID_WU_A_1_SOON_#002	Capisco.
MID_WU_A_1_SOON_#003	Non c'è niente di meglio di un letto comodo.
MID_WU_A_1_SOON_#004	Anche se rende il risveglio più arduo.
MID_WU_A_1_WAKEUP_#001	Ehi, stai ancora dormendo?
MID_WU_A_1_WAKEUP_#002	Ehi, e dai...
MID_WU_A_1_WAKEUP_#003	Se non ti svegli,
MID_WU_A_1_WAKEUP_#004	ti darò un buffetto in fronte.
MID_WU_A_1_WAKEUP_#005	Hai fatto lo stesso con me l'altro giorno.
MID_WU_A_1_HELLO_#001	Aha! Ha funzionato.
MID_WU_A_1_HELLO_#002	Ho cercato di fare più piano\nche potevo, con il buffetto.
MID_WU_A_1_HELLO_#003	Non vorrei mai farti del male.
MID_WU_A_2_IN_#001	Ora che ci penso...
MID_WU_A_2_IN_#002	non avevamo mai il compito di\nsvegliare l'altro Drago Divino.
MID_WU_A_2_SOON_#001	Oh, scusa. Ho alzato troppo la voce?
MID_WU_A_2_SOON_#002	Stavo solo ricordando il passato.
MID_WU_A_2_SOON_#003	È divertente svegliarti.
MID_WU_A_2_WAKEUP_#001	Sai...
MID_WU_A_2_WAKEUP_#002	Nell'altro mondo non ho mai visto\nil Drago Divino mentre dormiva.
MID_WU_A_2_WAKEUP_#003	Curioso, no?
MID_WU_A_2_WAKEUP_#004	Ma allora avrà mai dormito?
MID_WU_A_2_WAKEUP_#005	Tsk, che domande.
MID_WU_A_2_HELLO_#001	Buongiorno.
MID_WU_A_2_HELLO_#002	Hai sempre bisogno di farti accudire, eh?
MID_WU_A_2_HELLO_#003	Per assurdo...
MID_WU_A_2_HELLO_#004	comincia a piacermi questo compito.
MID_WU_S_1_IN_#001	Dormi ancora?
MID_WU_S_1_IN_#002	Oh, no...
MID_WU_S_1_IN_#003	In effetti... Quando dormi sei proprio carin\x0E\x0A\x00\x08\x02o\x02a.
MID_WU_S_1_SOON_#001	Buongiorno.
MID_WU_S_1_SOON_#002	Per fortuna hai fatto in fretta a svegliarti.
MID_WU_S_1_SOON_#003	Perché, chiedi?
MID_WU_S_1_SOON_#004	Beh, se fossi rimasto un altro po'\na osservarti mentre dormi
MID_WU_S_1_SOON_#005	avresti fatto battere il mio cuore così veloce
MID_WU_S_1_SOON_#006	fino a farmi dolere il petto dalla gioia.
MID_WU_S_1_WAKEUP_#001	Sembri così in pace.
MID_WU_S_1_WAKEUP_#002	Vorrei restare per sempre qui
MID_WU_S_1_WAKEUP_#003	a guardare il tuo volto beato.\nMa sono venuto in questo mondo
MID_WU_S_1_WAKEUP_#004	per scendere in campo
MID_WU_S_1_WAKEUP_#005	e proteggerti a ogni costo.
MID_WU_S_1_WAKEUP_#006	Ti prometto che d'ora in avanti
MID_WU_S_1_WAKEUP_#007	anche se sentirò dolore...
MID_WU_S_1_WAKEUP_#008	io starò bene...
MID_WU_S_1_WAKEUP_#009	se tu sarai al sicuro.
MID_WU_S_1_HELLO_#001	Ehi, sei svegli\x0E\x0A\x00\x08\x02o\x02a.
MID_WU_S_1_HELLO_#002	Cerchiamo di arrivare indenni a fine giornata.
MID_WU_S_1_HELLO_#003	Corri da me
MID_WU_S_1_HELLO_#004	se ti senti in pericolo.
MID_WU_S_1_HELLO_#005	Giuro che ti proteggerò.
MID_WU_S_2_IN_#001	Sono venuto a svegliarti, compagn\x0E\x0A\x00\x08\x02o\x02a.
MID_WU_S_2_IN_#002	Uh, che imbarazzo.
MID_WU_S_2_SOON_#001	Ti sei svegliat\x0E\x0A\x00\x08\x02o\x02a subito per tranquillizzarmi?
MID_WU_S_2_SOON_#002	Grazie...
MID_WU_S_2_SOON_#003	Quando vedo questi tuoi gesti gentili
MID_WU_S_2_SOON_#004	mi viene ancora più voglia di viziarti.
MID_WU_S_2_SOON_#005	Farei di tutto per renderti felice.
MID_WU_S_2_WAKEUP_#001	Oh, Drago Divino...
MID_WU_S_2_WAKEUP_#002	Quando mi hai dato l'anello del patto,
MID_WU_S_2_WAKEUP_#003	il mio mondo si è illuminato.\nTe ne sarò per sempre grato.
MID_WU_S_2_WAKEUP_#004	Mi fai sentire così soddisfatto\ned elettrizzato...
MID_WU_S_2_WAKEUP_#005	Ma mi sto facendo trasportare.
MID_WU_S_2_WAKEUP_#006	Spero che un giorno riuscirai\na sentirti al sicuro con me.
MID_WU_S_2_WAKEUP_#007	Il mio affetto per te è più\nforte ogni giorno che passa.
MID_WU_S_2_WAKEUP_#008	Per il resto della mia vita, ti farò\nda scudo contro ogni dolore.
MID_WU_S_2_HELLO_#001	Ciao.
MID_WU_S_2_HELLO_#002	La battaglia ci chiama.\nQuesta volta non mi tirerò indietro.
MID_WU_S_2_HELLO_#003	Ma prima di andare...
MID_WU_S_2_HELLO_#004	vorrei stringerti forte per qualche minuto.
MID_WU_S_2_HELLO_#005	Quando ci abbracciamo
MID_WU_S_2_HELLO_#006	mi sento veramente al sicuro.
