MID_GR_El_C_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0A\x04エル\x021\n\x0E\x03\x00\x0C\x06ミカヤ\x022\n\x0E\x03\x02\x08\x06ミカヤ\nL'affetto che provi per tuo fratello traspare da\nogni tuo gesto. Sento che andremo d'accordo.\x0E\x04\x00\x00
MID_GR_Selestia_C_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x12\x0Cセレスティア\x021\n\x0E\x03\x00\x0C\x06ミカヤ\x022\n\x0E\x03\x02\x0E\x0Cセレスティア\nHo sentito che prevedi il futuro, Micaiah. Che\nemozione! Spero che avremo molte occasioni\ndi parlare.\x0E\x04\x00\x00
MID_GR_Selestia_C_#002	\x0E\x03\x02\x08\x06ミカヤ\nAnch'io, Zelestia. In te... sento gentilezza e\ncompassione. Saranno sempre parte di te.\x0E\x04\x00\x00
MID_GR_Selestia_B_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x12\x0Cセレスティア\x021\n\x0E\x03\x00\x0C\x06ミカヤ\x022\n\x0E\x03\x02\x0E\x0Cセレスティア\nNon fraintendermi, ma mi sembri un po' troppo\nalla mano per essere una comandante di intere\narmate.\x0E\x04\x00\x00
MID_GR_Selestia_B_#002	\x0E\x03\x02\x08\x06ミカヤ\nNon sei la prima a dirmelo. Quella posizione mi\nfu assegnata un po' per caso.\x0E\x04\x00\x00
MID_GR_Selestia_A_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x12\x0Cセレスティア\x021\n\x0E\x03\x00\x0C\x06ミカヤ\x022\n\x0E\x03\x02\x0E\x0Cセレスティア\nQuindi ti trovasti nel tuo ruolo per caso.\nCom'era il tuo padrone?\x0E\x04\x00\x00
MID_GR_Selestia_A_#002	\x0E\x03\x02\x08\x06ミカヤ\nEra un re davvero gentile che metteva il popolo\nin cima a ogni cosa. Temevo persino che fosse\ntroppo poco severo.\x0E\x04\x00\x00
MID_GR_Selestia_A_#003	\x0E\x03\x02\x08\x06ミカヤ\nÈ lo svantaggio di mostrarsi gentili. In tempo di\npace, sarebbe sicuramente stato riverito per la\nsua saggezza.\x0E\x04\x00\x00
MID_GR_Selestia_A_#004	\x0E\x03\x02\x0E\x0Cセレスティア\nGrazie per avermi parlato di te, ma la prossima\nvolta parliamo di un argomento più leggero,\ncome il nostro cibo preferito.\x0E\x04\x00\x00
MID_GR_Gregory_C_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x10\nグレゴリー\x021\n\x0E\x03\x00\x0C\x06ミカヤ\x022\n\x0E\x03\x02\x08\x06ミカヤ\nApprezzo molto l'aiuto che mi hai dato in\nbattaglia, Gregory. D'ora in avanti, so di poter\ncontare su di te.\x0E\x04\x00\x00
MID_GR_Gregory_C_#002	\x0E\x03\x02\x0C\nグレゴリー\nMolto gentile da parte tua, ma... non dovresti\nsopravvalutarmi. Potresti rimanere delusa.\x0E\x04\x00\x00
MID_GR_Gregory_B_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x10\nグレゴリー\x021\n\x0E\x03\x00\x0C\x06ミカヤ\x022\n\x0E\x03\x02\x08\x06ミカヤ\nLa tua ritirata è stata una saggia decisione.\nSpero di riuscire a uguagliare presto la tua\nperspicacia in battaglia.\x0E\x04\x00\x00
MID_GR_Gregory_B_#002	\x0E\x03\x02\x0C\nグレゴリー\nSe continui con tutti questi complimenti, potrei\nquasi cominciare a crederti... Forse sto davvero\ndiventando più forte...\x0E\x04\x00\x00
MID_GR_Gregory_A_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x10\nグレゴリー\x021\n\x0E\x03\x00\x0C\x06ミカヤ\x022\n\x0E\x03\x02\x0C\nグレゴリー\nHo saputo che ti trovasti quasi costretta a\ncombattere, nel tuo mondo. Perché non\nfuggisti?\x0E\x04\x00\x00
MID_GR_Gregory_A_#002	\x0E\x03\x02\x08\x06ミカヤ\nNon avrei mai potuto, neanche volendo. La\ncosa strana è che più mi lanciavo in battaglie\nimpossibili...\x0E\x04\x00\x00
MID_GR_Gregory_A_#003	\x0E\x03\x02\x08\x06ミカヤ\n... più mi sentivo cambiare. Era l'unico modo\nper sopravvivere. Odiavo essere costretta a\ncombattere. Eppure, non mi fermavo.\x0E\x04\x00\x00
MID_GR_Gregory_A_#004	\x0E\x03\x02\x0C\nグレゴリー\nSembri tanto gentile, ma sei comunque una\nguerriera. Beh, sappi che se vuoi darti alla fuga,\nnon ti giudicherò.\x0E\x04\x00\x00
MID_GR_Madeline_C_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x10\nマデリーン\x021\n\x0E\x03\x00\x0C\x06ミカヤ\x022\n\x0E\x03\x02\x0C\nマデリーン\nHo saputo che prevedi il futuro. Con un potere\ndel genere, non avrai nessuna paura in battaglia!\x0E\x04\x00\x00
MID_GR_Madeline_C_#002	\x0E\x03\x02\x08\x06ミカヤ\nAh, mi spiace deluderti, ma non sono in grado\ndi prevedere il futuro così nei dettagli.\x0E\x04\x00\x00
MID_GR_Madeline_B_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x10\nマデリーン\x021\n\x0E\x03\x00\x0C\x06ミカヤ\x022\n\x0E\x03\x02\x08\x06ミカヤ\nMadeline, sono preoccupata... Come va la ferita?\nFammi vedere.\x0E\x04\x00\x00
MID_GR_Madeline_B_#002	\x0E\x03\x02\x0C\nマデリーン\nSto bene, non temere. Uau! Percepisco il calore\ndelle tue mani, anche se non mi possono\ntoccare.\x0E\x04\x00\x00
MID_GR_Madeline_A_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x10\nマデリーン\x021\n\x0E\x03\x00\x0C\x06ミカヤ\x022\n\x0E\x03\x02\x0C\nマデリーン\nDi recente non riesco ad allenarmi tanto quanto\nvorrei. Come posso diventare più forte?\x0E\x04\x00\x00
MID_GR_Madeline_A_#002	\x0E\x03\x02\x08\x06ミカヤ\nNon esistono scorciatoie per questo. Dovrai\ncontinuare a fare del tuo meglio, un giorno dopo\nl'altro.\x0E\x04\x00\x00
MID_GR_Madeline_A_#003	\x0E\x03\x02\x08\x06ミカヤ\nTi ho vista combattere per proteggere i tuoi\nalleati... Secondo me, sei già una splendida\ncavaliera.\x0E\x04\x00\x00
MID_GR_Madeline_A_#004	\x0E\x03\x02\x0C\nマデリーン\nL-Le tue parole sono fin troppo lusinghiere, ma\nmi fanno molto piacere. Continuerò su questa\nstrada!\x0E\x04\x00\x00
