MID_RELIANCE_C_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0E\x08リュール\x021\n\x0E\x03\x00\x0C\x06モーヴ\x022\n\x0E\x03\x02\x0A\x08リュール\nMauvier, sono curios\x0E\x0A\x00\x08\x02o\x02a. Quali sono le cose\nche preferisci?\x0E\x04\x00\x00
MID_RELIANCE_A_#005	\x0E\x03\x02\x08\x06モーヴ\nSiete proprio stran\x0E\x0A\x00\x08\x02o\x02a.\x0E\x04\x00\x00
MID_RELIANCE_A_#006	\x0E\x03\x02\x08\x06モーヴ\nPerché sentite di dover essere gentile con me?\x0E\x04\x00\x00
MID_RELIANCE_A_#007	\x0E\x03\x02\x0A\x08リュール\nDopo aver passato un po' di tempo insieme,\nho capito che abbiamo qualcosa in comune.\x0E\x04\x00\x00
MID_RELIANCE_A_#008	\x0E\x03\x02\x08\x06モーヴ\nImpossibile. Non avete mai commesso\nmalefatte.\x0E\x04\x00\x00
MID_RELIANCE_A_#009	\x0E\x03\x02\x0A\x08リュール\nTutti e due non sappiamo resistere alla\ntentazione di aiutare chi ha bisogno.\x0E\x04\x00\x00
MID_RELIANCE_A_#010	\x0E\x03\x02\x0A\x08リュール\nLa nostra unica differenza è che tu hai\ntemporaneamente deviato da quella strada...\nMa ora sei di nuovo a casa.\x0E\x04\x00\x00
MID_RELIANCE_A_#011	\x0E\x03\x02\x08\x06モーヴ\nState cercando di giustificare le mie azioni?\x0E\x04\x00\x00
MID_RELIANCE_A_#012	\x0E\x03\x02\x0A\x08リュール\nNon riesci a perdonare i tuoi sbagli passati\nproprio perché sei una brava persona.\x0E\x04\x00\x00
MID_RELIANCE_A_#013	\x0E\x03\x02\x0A\x08リュール\nL'unico difetto che vedo in te è che non\ncredi di poterlo essere.\x0E\x04\x00\x00
MID_RELIANCE_A_#014	\x0E\x03\x02\x0A\x08リュール\nNon devi portare tutta questa vergogna\nsulle tue spalle, non devi cercare espiazione...\x0E\x04\x00\x00
MID_RELIANCE_A_#015	\x0E\x03\x02\x0A\x08リュール\nDevi solo avere fiducia nei tuoi amici,\ne restare al loro fianco.\x0E\x04\x00\x00
MID_RELIANCE_A_#016	\x0E\x03\x02\x08\x06モーヴ\n...\x0E\x04\x00\x00
MID_RELIANCE_A_#017	\x0E\x03\x02\x0A\x08リュール\nFidati di me, Mauvier. Voglio solo aiutarti.\x0E\x04\x00\x00
MID_RELIANCE_A_#018	\x0E\x03\x02\x08\x06モーヴ\nHo commesso così tanti errori che ormai\nsento di non meritare più alcuna redenzione.\x0E\x04\x00\x00
MID_RELIANCE_A_#019	\x0E\x03\x02\x08\x06モーヴ\nEppure voi instillate in me il dubbio.\x0E\x04\x00\x00
MID_RELIANCE_A_#020	\x0E\x03\x02\x08\x06モーヴ\nChe il Drago Divino sappia chi sono meglio\ndi me?\x0E\x04\x00\x00
MID_RELIANCE_A_#021	\x0E\x03\x02\x0A\x08リュール\nNon credo.\x0E\x04\x00\x00
MID_RELIANCE_A_#022	\x0E\x03\x02\x08\x06モーヴ\nAccetto la vostra offerta di aiutarmi.\nSe ancora lo desiderate, ovviamente.\x0E\x04\x00\x00
MID_RELIANCE_A_#023	\x0E\x03\x02\x0A\x08リュール\nMettiamoci subito al lavoro.\x0E\x04\x00\x00
MID_RELIANCE_A_#024	\x0E\x03\x02\x08\x06モーヴ\nChe strana sensazione... Sento un calore\nnel petto.\x0E\x04\x00\x00
MID_RELIANCE_A_#025	\x0E\x03\x02\x0A\x08リュール\nQuella è la felicità. La felicità che meriti di\nprovare e che stai per donare a tanti altri.\x0E\x04\x00\x00
MID_RELIANCE_A_#026	\x0E\x03\x02\x08\x06モーヴ\nCon il Drago Divino accanto a me, tutto\nè possibile.\x0E\x04\x00\x00
MID_RELIANCE_A_#027	\x0E\x03\x02\x08\x06モーヴ\nGrazie, non avrei mai ritrovato la mia strada\nsenza di voi.\x0E\x04\x00\x00
MID_RELIANCE_S_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0E\x08リュール\x021\n\x0E\x03\x00\x0C\x06モーヴ\x022\n\x0E\x03\x02\x08\x06モーヴ\nVi ringrazio per avermi aiutato nei miei impegni\nquotidiani con i bisognosi.\x0E\x04\x00\x00
MID_RELIANCE_S_#002	\x0E\x03\x02\x0A\x08リュール\nNe abbiamo fatte di cose in un giorno.\nRisolto litigi, aiutato chi si era perso...\x0E\x04\x00\x00
MID_RELIANCE_S_#003	\x0E\x03\x02\x08\x06モーヴ\nSono stanco, ma ne vale la pena se vengo\nripagato dal sorriso della gente.\x0E\x04\x00\x00
MID_RELIANCE_S_#004	\x0E\x03\x02\x08\x06モーヴ\nPrima lo facevo solo per penitenza, ma ora\nè diverso. Mi piace rendere felici gli altri.\x0E\x04\x00\x00
MID_RELIANCE_S_#005	\x0E\x03\x02\x0A\x08リュール\nAnche tu sembri più allegro.\x0E\x04\x00\x00
MID_RELIANCE_S_#006	\x0E\x03\x02\x0A\x08リュール\nÈ bello vedere la tua anima guarire.\x0E\x04\x00\x00
MID_RELIANCE_S_#007	\x0E\x03\x02\x08\x06モーヴ\nOra riesco finalmente a fidarmi di me stesso...\ne anche degli altri. È la fiducia che mi ha fatto\nmettere l'animo in pace.\x0E\x04\x00\x00
MID_RELIANCE_S_#008	\x0E\x03\x02\x08\x06モーヴ\nTutto grazie a voi. Mi avete aperto gli occhi.\x0E\x04\x00\x00
MID_RELIANCE_S_#009	\x0E\x03\x02\x0A\x08リュール\n...\x0E\x04\x00\x00
MID_RELIANCE_S_#010	\x0E\x03\x02\x08\x06モーヴ\nCome mai mi guardate così? Ho detto qualcosa\nche non va?\x0E\x04\x00\x00
MID_RELIANCE_S_#011	\x0E\x03\x02\x0A\x08リュール\nOh, niente. Stavo solo pensando che mi fa\npiacere vederti finalmente contento.\x0E\x04\x00\x00
MID_RELIANCE_S_#012	\x0E\x03\x02\x0A\x08リュール\nVedi, pensavo... Niente. Non so se sia il caso.\x0E\x04\x00\x00
MID_RELIANCE_S_#013	\x0E\x03\x02\x08\x06モーヴ\nAvete nascosto qualcosa lì dietro?\x0E\x04\x00\x00
MID_RELIANCE_S_#014	\x0E\x03\x02\x0A\x08リュール\nNo, no... Non sto nascondendo proprio niente.\x0E\x04\x00\x00
MID_RELIANCE_S_#015	\x0E\x03\x02\x0A\x08リュール\nOh...\x0E\x04\x00\x00
MID_RELIANCE_S_#016	\x0E\x03\x02\x08\x06モーヴ\nL'anello del patto? Come mai portate in giro\nun oggetto così di valore?\x0E\x04\x00\x00
MID_RELIANCE_S_#017	\x0E\x03\x02\x0A\x08リュール\nAh! Io... ecco...\x0E\x04\x00\x00
MID_RELIANCE_S_#018	\x0E\x03\x02\x08\x06モーヴ\n...\x0E\x04\x00\x00
MID_RELIANCE_S_#019	\x0E\x03\x02\x08\x06モーヴ\nDrago Divino... volevate... darmi l'anello?\x0E\x04\x00\x00
MID_RELIANCE_S_#020	\x0E\x03\x02\x0A\x08リュール\nEh?! Ecco...\x0E\x04\x00\x00
MID_RELIANCE_S_#021	\x0E\x03\x02\x0A\x08リュール\nQuesto anello crea un legame inscindibile\ntra me e qualcuno che ritengo speciale.\x0E\x04\x00\x00
MID_RELIANCE_S_#022	\x0E\x03\x02\x0A\x08リュール\nChiedermi l'anello è come chiedermi di\ndiventare il mio compagno...\x0E\x04\x00\x00
MID_RELIANCE_S_#023	\x0E\x03\x02\x0A\x08リュール\nÈ questo che vuoi?\x0E\x04\x00\x00
MID_RELIANCE_S_#024	\x0E\x03\x02\x08\x06モーヴ\nSì.\x0E\x04\x00\x00
MID_RELIANCE_S_#025	\x0E\x03\x02\x08\x06モーヴ\nMi avete salvato, nell'anima e nel corpo.\x0E\x04\x00\x00
MID_RELIANCE_S_#026	\x0E\x03\x02\x08\x06モーヴ\nAll'inizio era solo gratitudine, ma ora sento che\nsiete diventat\x0E\x0A\x00\x08\x02o\x02a speciale per me.\x0E\x04\x00\x00
MID_RELIANCE_S_#027	\x0E\x03\x02\x08\x06モーヴ\nQuando ho visto l'anello del patto poco fa, tutto\nmi è stato chiaro.\x0E\x04\x00\x00
MID_RELIANCE_S_#028	\x0E\x03\x02\x08\x06モーヴ\nOra so che vorrei essere io la persona che vi sta\naccanto.\x0E\x04\x00\x00
MID_RELIANCE_S_#029	\x0E\x03\x02\x0A\x08リュール\nMauvier...\x0E\x04\x00\x00
MID_RELIANCE_S_#030	\x0E\x03\x02\x08\x06モーヴ\nSo bene di non meritare quell'anello ora come\nora.\x0E\x04\x00\x00
MID_RELIANCE_S_#031	\x0E\x03\x02\x08\x06モーヴ\nMa... un giorno lo meriterò. Vorreste\nriconsiderare questa conversazione in futuro?\x0E\x04\x00\x00
MID_RELIANCE_S_#032	\x0E\x03\x02\x0A\x08リュール\n...\x0E\x04\x00\x00
MID_RELIANCE_S_#033	\x0E\x03\x02\x0A\x08リュール\nSappi che questa non è la prima volta che ho\npensato di offrirti l'anello.\x0E\x04\x00\x00
MID_RELIANCE_S_#034	\x0E\x03\x02\x08\x06モーヴ\n...?!\x0E\x04\x00\x00
MID_RELIANCE_S_#035	\x0E\x03\x02\x0A\x08リュール\nSei coraggioso e premuroso, due qualità che\nammiro.\x0E\x04\x00\x00
MID_RELIANCE_S_#036	\x0E\x03\x02\x0A\x08リュール\nNon riuscivo a trovare il coraggio di offrirti\nl'anello, per me è un sollievo che abbia fatto\ntutto tu.\x0E\x04\x00\x00
MID_RELIANCE_S_#037	\x0E\x03\x02\x0A\x08リュール\nCosa direbbe Veyle di tutto questo?\x0E\x04\x00\x00
MID_RELIANCE_S_#038	\x0E\x03\x02\x08\x06モーヴ\nAbbiamo la sua benedizione. L'ho sentita dire\nche tiene a entrambi e alla nostra felicità.\x0E\x04\x00\x00
MID_RELIANCE_S_#039	\x0E\x03\x02\x0A\x08リュール\nAh, ha detto così? Si vede che sospettava\nciò che nessuno di noi aveva il coraggio di\nammettere.\x0E\x04\x00\x00
MID_RELIANCE_S_#040	\x0E\x03\x02\x0A\x08リュール\nBene, allora. Non ho più scusanti, devo farmi\ncoraggio.\x0E\x04\x00\x00
MID_RELIANCE_S_#041	\x0E\x03\x02\x0A\x08リュール\nMauvier, accetta questo anello e diventa il\nmio compagno.\x0E\x04\x00\x00
MID_RELIANCE_S_#042	\x0E\x03\x02\x08\x06モーヴ\nAccetto il patto e vi starò accanto con gioia.\x0E\x04\x00\x00
MID_RELIANCE_S_#043	\x0E\x03\x02\x0A\x08リュール\nSpero che questo anello e il legame che esso\nrappresenta ti saranno cari fino alla fine dei\nnostri giorni.\x0E\x04\x00\x00
MID_RELIANCE_S_#044	\x0E\x03\x02\x08\x06モーヴ\nLo prometto, Drago Divino \x0E\x06\x03\x00.\x0E\x04\x00\x00
MID_RELIANCE_S_#045	\x0E\x03\x02\x08\x06モーヴ\nNon credevo che avrei mai trovato la felicità,\neppure ora ne sono pervaso. Resterò al vostro\nfianco per sempre.\x0E\x04\x00\x00
