MID_RELIANCE_C_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0E\x08アイビー\x021\n\x0E\x03\x00\x0C\x06カゲツ\x022\n\x0E\x03\x02\x08\x06カゲツ\n...\x0E\x04\x00\x00
MID_RELIANCE_B_#006	\x0E\x03\x02\x08\x06カゲツ\nSe mi conoscerai meglio, non saremo più\nprincipessa e attendente, ma veri amici!\x0E\x04\x00\x00
MID_RELIANCE_B_#007	\x0E\x03\x02\x08\x06カゲツ\nTentar non nuoce.\x0E\x04\x00\x00
MID_RELIANCE_B_#008	\x0E\x03\x02\x0A\x08アイビー\nEheh...\x0E\x04\x00\x00
MID_RELIANCE_B_#009	\x0E\x03\x02\x08\x06カゲツ\nVediamo... ho un fratello e una sorella davvero\ncarini, entrambi più piccoli di me.\x0E\x04\x00\x00
MID_RELIANCE_B_#010	\x0E\x03\x02\x08\x06カゲツ\nMio padre è uno spadaccino abilissimo e mia\nmadre ha strani poteri, che forse ho ereditato.\x0E\x04\x00\x00
MID_RELIANCE_B_#011	\x0E\x03\x02\x08\x06カゲツ\nAmo la mia famiglia, ma ho sempre sentito\nil bisogno di esplorare il mondo.\x0E\x04\x00\x00
MID_RELIANCE_B_#012	\x0E\x03\x02\x08\x06カゲツ\nCosì un giorno lasciai un biglietto e partii in\nviaggio... Un viaggio che sto ancora facendo.\x0E\x04\x00\x00
MID_RELIANCE_B_#013	\x0E\x03\x02\x0A\x08アイビー\n...\x0E\x04\x00\x00
MID_RELIANCE_B_#014	\x0E\x03\x02\x08\x06カゲツ\nOh, no! Ho detto qualcosa di sbagliato?\x0E\x04\x00\x00
MID_RELIANCE_B_#015	\x0E\x03\x02\x08\x06カゲツ\nChe stupido sono! Come ho potuto pensare\nche la mia vita interessasse a lady Ivy?\x0E\x04\x00\x00
MID_RELIANCE_B_#016	\x0E\x03\x02\x08\x06カゲツ\nAvrei dovuto capirlo subito e smettere di\nparlare, principessa Ivy. Ti ho delusa.\x0E\x04\x00\x00
MID_RELIANCE_B_#017	\x0E\x03\x02\x0A\x08アイビー\nMa che dici? Al contrario, mi ha fatto piacere.\x0E\x04\x00\x00
MID_RELIANCE_B_#018	\x0E\x03\x02\x0A\x08アイビー\nÈ solo che non pensavo ci tenessi a essere\nmio amico.\x0E\x04\x00\x00
MID_RELIANCE_B_#019	\x0E\x03\x02\x0A\x08アイビー\nGrazie, Kagetsu.\x0E\x04\x00\x00
MID_RELIANCE_B_#020	\x0E\x03\x02\x08\x06カゲツ\nOh... sei troppo buona!\x0E\x04\x00\x00
MID_RELIANCE_B_#021	\x0E\x03\x02\x0A\x08アイビー\nE, Kagetsu, non è vero che non mi piaci.\x0E\x04\x00\x00
MID_RELIANCE_B_#022	\x0E\x03\x02\x0A\x08アイビー\nHo detto che sei un mistero per me, ed è vero\nche non mi piacciono i misteri. Ma non vuol\ndire che tu non mi piaccia come persona.\x0E\x04\x00\x00
MID_RELIANCE_B_#023	\x0E\x03\x02\x0A\x08アイビー\nE dopo la chiacchierata di oggi, l'opinione che\nho di te è anche migliorata.\x0E\x04\x00\x00
MID_RELIANCE_B_#024	\x0E\x03\x02\x08\x06カゲツ\nOooh! Allora un giorno potremmo davvero\ndiventare amici!\x0E\x04\x00\x00
MID_RELIANCE_B_#025	\x0E\x03\x02\x0A\x08アイビー\nNon è l'idea peggiore che tu abbia mai avuto.\x0E\x04\x00\x00
MID_RELIANCE_A_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0E\x08アイビー\x021\n\x0E\x03\x00\x0C\x06カゲツ\x022\n\x0E\x03\x02\x08\x06カゲツ\nCi siamo, principessa Ivy!\x0E\x04\x00\x00
MID_RELIANCE_A_#002	\x0E\x03\x02\x08\x06カゲツ\nÈ giunto il momento per noi di imbarcarci\nsulla nave chiamata "amicizia"!\x0E\x04\x00\x00
MID_RELIANCE_A_#003	\x0E\x03\x02\x0A\x08アイビー\n...\x0E\x04\x00\x00
MID_RELIANCE_A_#004	\x0E\x03\x02\x08\x06カゲツ\nUhm... a quanto pare non abbiamo fatto\nin tempo nemmeno a salpare.\x0E\x04\x00\x00
MID_RELIANCE_A_#005	\x0E\x03\x02\x08\x06カゲツ\nForse ho sbagliato con i tempi, era troppo\npresto.\x0E\x04\x00\x00
MID_RELIANCE_A_#006	\x0E\x03\x02\x0A\x08アイビー\nNon è quello, Kagetsu...\x0E\x04\x00\x00
MID_RELIANCE_A_#007	\x0E\x03\x02\x08\x06カゲツ\nEh?\x0E\x04\x00\x00
MID_RELIANCE_A_#008	\x0E\x03\x02\x0A\x08アイビー\nIl fatto è che... non ho molti amici.\x0E\x04\x00\x00
MID_RELIANCE_A_#009	\x0E\x03\x02\x0A\x08アイビー\nQuando ero piccola, gli adulti intorno a me\nnon facevano che tramare qualche intrigo.\x0E\x04\x00\x00
MID_RELIANCE_A_#010	\x0E\x03\x02\x0A\x08アイビー\nE pensavo che tutti gli adulti fossero così.\x0E\x04\x00\x00
MID_RELIANCE_A_#011	\x0E\x03\x02\x0A\x08アイビー\nC'è voluto tanto tempo per potermi fidare di\nqualcuno e chiamarlo amico.\x0E\x04\x00\x00
MID_RELIANCE_A_#012	\x0E\x03\x02\x08\x06カゲツ\nÈ normale che la principessa ereditaria entri\nin contatto solo con certe persone.\x0E\x04\x00\x00
MID_RELIANCE_A_#013	\x0E\x03\x02\x08\x06カゲツ\nPosso immaginare in che ambiente freddo\ne insensibile tu sia cresciuta.\x0E\x04\x00\x00
MID_RELIANCE_A_#014	\x0E\x03\x02\x0A\x08アイビー\n...\x0E\x04\x00\x00
MID_RELIANCE_A_#015	\x0E\x03\x02\x0A\x08アイビー\nSì, ed è per questo che ti trovo così\ndestabilizzante.\x0E\x04\x00\x00
MID_RELIANCE_A_#016	\x0E\x03\x02\x0A\x08アイビー\nQuando qualcuno vuole essere mio amico\nappena conosciuti, divento sospettosa.\x0E\x04\x00\x00
MID_RELIANCE_A_#017	\x0E\x03\x02\x0A\x08アイビー\nMa tu non cerchi di sfruttare la mia posizione.\nNon hai secondi fini.\x0E\x04\x00\x00
MID_RELIANCE_A_#018	\x0E\x03\x02\x08\x06カゲツ\nAhahah! Certo che no, sono troppo sempliciotto\nper gli intrighi!\x0E\x04\x00\x00
MID_RELIANCE_A_#019	\x0E\x03\x02\x0A\x08アイビー\nFino a poco tempo fa, non riuscivo a capire\nquesta tua... purezza.\x0E\x04\x00\x00
MID_RELIANCE_A_#020	\x0E\x03\x02\x0A\x08アイビー\nPer questo eri un mistero per me. Non riuscivo\na capire cosa fossi, al di là dell'apparenza.\x0E\x04\x00\x00
MID_RELIANCE_A_#021	\x0E\x03\x02\x0A\x08アイビー\nOra so che sei proprio come ti mostri...\ne questo è il tuo fascino.\x0E\x04\x00\x00
MID_RELIANCE_A_#022	\x0E\x03\x02\x08\x06カゲツ\nOooh, che belle parole!\x0E\x04\x00\x00
MID_RELIANCE_A_#023	\x0E\x03\x02\x0A\x08アイビー\nE per questo motivo, Kagetsu...\x0E\x04\x00\x00
MID_RELIANCE_A_#024	\x0E\x03\x02\x0A\x08アイビー\n... vorrei essere tua... amica.\x0E\x04\x00\x00
MID_RELIANCE_A_#025	\x0E\x03\x02\x08\x06カゲツ\nStai scherzando?! M-Ma certo, principessa Ivy!\nChe bello!\x0E\x04\x00\x00
MID_RELIANCE_A_#026	\x0E\x03\x02\x08\x06カゲツ\nSaremo amici fino alla fine del tempo!\x0E\x04\x00\x00
MID_RELIANCE_A_#027	\x0E\x03\x02\x0A\x08アイビー\nMh-mh! Proprio così, Kagetsu.\x0E\x04\x00\x00
