MID_RELIANCE_C_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x10\nヴァンドレ\x021\n\x0E\x03\x00\x12\x0Cゴルドマリー\x022\n\x0E\x03\x02\x0E\x0Cゴルドマリー\nAaaaah!\x0E\x04\x00\x00
MID_RELIANCE_A_#010	\x0E\x03\x02\x0C\nヴァンドレ\nSputa il rospo.\x0E\x04\x00\x00
MID_RELIANCE_A_#011	\x0E\x03\x02\x0E\x0Cゴルドマリー\nHai detto che lavori a maglia quando sei\nimmerso nei tuoi pensieri...\x0E\x04\x00\x00
MID_RELIANCE_A_#012	\x0E\x03\x02\x0E\x0Cゴルドマリー\nQuindi mi chiedevo se... potessi fare qualcosa\nper me, già che c'eri.\x0E\x04\x00\x00
MID_RELIANCE_A_#013	\x0E\x03\x02\x0C\nヴァンドレ\nCosa intendi?\x0E\x04\x00\x00
MID_RELIANCE_A_#014	\x0E\x03\x02\x0E\x0Cゴルドマリー\nMi piacerebbe che mi insegnassi a lavorare\na maglia.\x0E\x04\x00\x00
MID_RELIANCE_A_#015	\x0E\x03\x02\x0E\x0Cゴルドマリー\nSarebbe una graziosa aggiunta alla mia\nfolta schiera di talenti.\x0E\x04\x00\x00
MID_RELIANCE_A_#016	\x0E\x03\x02\x0C\nヴァンドレ\nChe pazienza che ci vuole... Non riesco a\ncredere che in passato tu mi sia sembrata\numile.\x0E\x04\x00\x00
MID_RELIANCE_A_#017	\x0E\x03\x02\x0E\x0Cゴルドマリー\nOh, scusa... forse ho esagerato?\x0E\x04\x00\x00
MID_RELIANCE_A_#018	\x0E\x03\x02\x0C\nヴァンドレ\nNo, va bene. Se vuoi imparare a lavorare a\nmaglia, te lo insegnerò. Vediamo un po'\ncosa sai fare.\x0E\x04\x00\x00
MID_RELIANCE_A_#019	\x0E\x03\x02\x0E\x0Cゴルドマリー\nGrazie, grazie davvero.\x0E\x04\x00\x00
MID_RELIANCE_A_#020	\x0E\x03\x02\x0E\x0Cゴルドマリー\nIn cambio potrai deliziarti con la mia piacevole\ncompagnia.\x0E\x04\x00\x00
MID_RELIANCE_A_#021	\x0E\x03\x02\x0E\x0Cゴルドマリー\nGrazie alle mie amabili conversazioni non\nti accorgerai neanche del tempo che passa,\nvedrai.\x0E\x04\x00\x00
MID_RELIANCE_A_#022	\x0E\x03\x02\x0C\nヴァンドレ\nAhahah! Ma sentila.\x0E\x04\x00\x00
MID_RELIANCE_A_#023	\x0E\x03\x02\x0C\nヴァンドレ\nChe sfacciata... dici tutto quello che ti passa\nper la testa.\x0E\x04\x00\x00
MID_RELIANCE_A_#024	\x0E\x03\x02\x0C\nヴァンドレ\nImmagino sia un'altra delle tue qualità. Con\nte non ci si annoia, questo è poco, ma sicuro.\x0E\x04\x00\x00
MID_RELIANCE_A_#025	\x0E\x03\x02\x0C\nヴァンドレ\nVa bene, non posso rifiutare una compagnia\ncosì simpatica... potrebbe essere divertente.\x0E\x04\x00\x00
MID_RELIANCE_A_#026	\x0E\x03\x02\x0E\x0Cゴルドマリー\nNon ho dubbi al riguardo.\x0E\x04\x00\x00
