MID_RELIANCE_C_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0C\x06クラン\x021\n\x0E\x03\x00\x0A\x04ルイ\x022\n\x0E\x03\x02\x08\x06クラン\nE... come state oggi... principe Alfred?\nVi ringrazio... infinitamente... per l'invito.\x0E\x04\x00\x00
MID_RELIANCE_A_#005	\x0E\x03\x02\x06\x04ルイ\nHo sentito tutto mentre vi osservavo.\x0E\x04\x00\x00
MID_RELIANCE_A_#006	\x0E\x03\x02\x08\x06クラン\nCosa?! Non ti ho proprio notato!\x0E\x04\x00\x00
MID_RELIANCE_A_#007	\x0E\x03\x02\x06\x04ルイ\nPassavo di lì, vi ho visti e sono rimasto un po'\nin disparte per farvi la guardia...\x0E\x04\x00\x00
MID_RELIANCE_A_#008	\x0E\x03\x02\x08\x06クラン\nHo capito... Beh, grazie.\x0E\x04\x00\x00
MID_RELIANCE_A_#009	\x0E\x03\x02\x06\x04ルイ\nIl vostro è un rapporto speciale.\x0E\x04\x00\x00
MID_RELIANCE_A_#010	\x0E\x03\x02\x06\x04ルイ\nIl fascino energico del principe di Firene\ncontrapposto alla grazia di un giovane del\nLythos... Impossibile non restarne colpiti.\x0E\x04\x00\x00
MID_RELIANCE_A_#011	\x0E\x03\x02\x06\x04ルイ\nQuelle scene di calore fraterno mi hanno\nscaldato il cuore.\x0E\x04\x00\x00
MID_RELIANCE_A_#012	\x0E\x03\x02\x06\x04ルイ\nDopo tutti gli anni che ho passato a osservare\nla gente, i vostri allenamenti mi hanno colpito\nin modo particolare.\x0E\x04\x00\x00
MID_RELIANCE_A_#013	\x0E\x03\x02\x08\x06クラン\nBeh, se ti interessa, il principe ha detto che\nora vuole dare lezioni anche ad altri.\x0E\x04\x00\x00
MID_RELIANCE_A_#014	\x0E\x03\x02\x06\x04ルイ\nDavvero?!\x0E\x04\x00\x00
MID_RELIANCE_A_#015	\x0E\x03\x02\x08\x06クラン\nSì. E anche io troverò qualcuno a cui insegnare\nciò che ho imparato dal principe.\x0E\x04\x00\x00
MID_RELIANCE_A_#016	\x0E\x03\x02\x06\x04ルイ\nMa allora non è ancora finito.\x0E\x04\x00\x00
MID_RELIANCE_A_#017	\x0E\x03\x02\x08\x06クラン\nMh?\x0E\x04\x00\x00
MID_RELIANCE_A_#018	\x0E\x03\x02\x06\x04ルイ\nCredevo fosse tutto finito, invece non è che\nl'inizio... E le persone da osservare saranno\nancora di più.\x0E\x04\x00\x00
MID_RELIANCE_A_#019	\x0E\x03\x02\x06\x04ルイ\nQuante voci parteciperanno a questo coro di\nmuscoli? Non ci è dato saperlo.\x0E\x04\x00\x00
MID_RELIANCE_A_#020	\x0E\x03\x02\x06\x04ルイ\nMa io assisterò a ogni scena... come umile\ntestimone della condizione umana... Sì, non\nvedo l'ora di poter svolgere il mio ruolo.\x0E\x04\x00\x00
MID_RELIANCE_A_#021	\x0E\x03\x02\x08\x06クラン\nUhm... Sicuro che è tutto a posto?\x0E\x04\x00\x00
MID_RELIANCE_A_#022	\x0E\x03\x02\x06\x04ルイ\nS-Sì! Tutto a posto!\x0E\x04\x00\x00
MID_RELIANCE_A_#023	\x0E\x03\x02\x06\x04ルイ\nMi piacerebbe sapere quando terrai il\ntuo prossimo allenamento, per favore.\x0E\x04\x00\x00
MID_RELIANCE_A_#024	\x0E\x03\x02\x06\x04ルイ\nQueste preziose attività hanno tutto il mio\nsupporto.\x0E\x04\x00\x00
MID_RELIANCE_A_#025	\x0E\x03\x02\x06\x04ルイ\nSpero di poter continuare ad assistervi.\x0E\x04\x00\x00
MID_RELIANCE_A_#026	\x0E\x03\x02\x08\x06クラン\nGrazie per il tuo sostegno, Louis!\x0E\x04\x00\x00
