MID_RELIANCE_C_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0C\x06メリン\x021\n\x0E\x03\x00\x0C\x06ユナカ\x022\n\x0E\x03\x02\x08\x06メリン\nYunaka, avresti un momento?\x0E\x04\x00\x00
MID_RELIANCE_A_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0C\x06メリン\x021\n\x0E\x03\x00\x0C\x06ユナカ\x022\n\x0E\x03\x02\x08\x06ユナカ\nEcco qua! Come nuovo.\x0E\x04\x00\x00
MID_RELIANCE_A_#002	\x0E\x03\x02\x08\x06メリン\nChe fai?\x0E\x04\x00\x00
MID_RELIANCE_A_#003	\x0E\x03\x02\x08\x06ユナカ\nOh, niente di che. Stavo solo lucidando questo\nmodellino di drago. Bello, eh?\x0E\x04\x00\x00
MID_RELIANCE_A_#004	\x0E\x03\x02\x08\x06メリン\nWoooh! Accidenti, sì! Drago, drago, drago!\nAdoro i draghi!\x0E\x04\x00\x00
MID_RELIANCE_A_#005	\x0E\x03\x02\x08\x06メリン\nChe razza è? Cosa mangia? Uah... troppo carino,\ne troppo tosto!\x0E\x04\x00\x00
MID_RELIANCE_A_#006	\x0E\x03\x02\x08\x06ユナカ\nQuanto entusiasmo... Se vi piace così tanto,\nforse potrei considerare l'idea di darvelo.\x0E\x04\x00\x00
MID_RELIANCE_A_#007	\x0E\x03\x02\x08\x06メリン\nDavvero? Oh, lo voglio, lo voglio! Ti scongiuro!\x0E\x04\x00\x00
MID_RELIANCE_A_#008	\x0E\x03\x02\x08\x06ユナカ\nA una condizione. Basta chiacchiere nel bel\nmezzo di un combattimento. E vale anche per\ngli allenamenti.\x0E\x04\x00\x00
MID_RELIANCE_A_#009	\x0E\x03\x02\x08\x06メリン\nAh, ora ho capito cosa cerchi di fare! Vuoi\nricattarmi!\x0E\x04\x00\x00
MID_RELIANCE_A_#010	\x0E\x03\x02\x08\x06ユナカ\nHo imparato da voi.\x0E\x04\x00\x00
MID_RELIANCE_A_#011	\x0E\x03\x02\x08\x06メリン\n...\x0E\x04\x00\x00
MID_RELIANCE_A_#012	\x0E\x03\x02\x08\x06メリン\n...\x0E\x04\x00\x00
MID_RELIANCE_A_#013	\x0E\x03\x02\x08\x06メリン\nTi va se chiudiamo qui questa inutile\ndiscussione?\x0E\x04\x00\x00
MID_RELIANCE_A_#014	\x0E\x03\x02\x08\x06メリン\nNon farò più i miei monologhi, promesso.\nE ora dammi il modellino, ti prego!\x0E\x04\x00\x00
MID_RELIANCE_A_#015	\x0E\x03\x02\x08\x06ユナカ\nMolto bene. Mi considero soddisfatta, se è vero\nche non lo farete più.\x0E\x04\x00\x00
MID_RELIANCE_A_#016	\x0E\x03\x02\x08\x06ユナカ\nE ora che la faccenda è risolta... Torniamo al\ndiscorso scimitarra.\x0E\x04\x00\x00
MID_RELIANCE_A_#017	\x0E\x03\x02\x08\x06メリン\nMa certo, uno scambio. La scimitarra in cambio\ndel modellino.\x0E\x04\x00\x00
MID_RELIANCE_A_#018	\x0E\x03\x02\x08\x06ユナカ\nAffare fatto!\x0E\x04\x00\x00
MID_RELIANCE_A_#019	\x0E\x03\x02\x08\x06メリン\nQua la mano! Ecco a te.\x0E\x04\x00\x00
MID_RELIANCE_A_#020	\x0E\x03\x02\x08\x06ユナカ\nSìììì! Ed ecco il vostro drago, abbiatene cura!\x0E\x04\x00\x00
MID_RELIANCE_A_#021	\x0E\x03\x02\x08\x06メリン\nIl mio dragooo! Carinissimo!\x0E\x04\x00\x00
MID_RELIANCE_A_#022	\x0E\x03\x02\x08\x06ユナカ\nAaah, che bei colori! E che profumo... Sniff...\nAppena oliata! Quasi non ci credo!\x0E\x04\x00\x00
MID_RELIANCE_A_#023	\x0E\x03\x02\x08\x06メリン\nMa dove l'hai trovato? Certo che ne hai di\ngusto! Quanto l'hai pagato? Voglio sapere\nogni dettaglio.\x0E\x04\x00\x00
MID_RELIANCE_A_#024	\x0E\x03\x02\x08\x06ユナカ\nDove avete trovato la scimitarra?! Da quale\nantiquario?! Costava tanto?! Devo sapere!\x0E\x04\x00\x00
MID_RELIANCE_A_#025	\x0E\x03\x02\x08\x06メリン\nHo chiesto prima io, forza rispondi!\x0E\x04\x00\x00
MID_RELIANCE_A_#026	\x0E\x03\x02\x08\x06ユナカ\nNon ho neanche sentito cosa avete detto!\nParlavate così veloce! Rispondete a me, prima!\x0E\x04\x00\x00
MID_RELIANCE_A_#027	\x0E\x03\x02\x08\x06メリン\nMa non è giusto!\x0E\x04\x00\x00
MID_RELIANCE_A_#028	\x0E\x03\x02\x08\x06ユナカ\nE perché no?!\x0E\x04\x00\x00
MID_RELIANCE_A_#029	\x0E\x03\x02\x08\x06メリン\nEheh.\x0E\x04\x00\x00
MID_RELIANCE_A_#030	\x0E\x03\x02\x08\x06メリン\nMa per caso ora... siamo amiche?\x0E\x04\x00\x00
MID_RELIANCE_A_#031	\x0E\x03\x02\x08\x06ユナカ\nEheh, ora che mi ci fate pensare...\x0E\x04\x00\x00
MID_RELIANCE_A_#032	\x0E\x03\x02\x08\x06ユナカ\nAbbiamo molte cose in comune. Siamo\nentrambe collezioniste sfegatate, tanto\nper cominciare.\x0E\x04\x00\x00
MID_RELIANCE_A_#033	\x0E\x03\x02\x08\x06メリン\nGià, proprio così! Su questo ci capiamo.\x0E\x04\x00\x00
MID_RELIANCE_A_#034	\x0E\x03\x02\x08\x06メリン\nAllora comincio io a rispondere. Ma potresti\nripetere le domande? Parlavi troppo\nvelocemente.\x0E\x04\x00\x00
MID_RELIANCE_A_#035	\x0E\x03\x02\x08\x06ユナカ\nVa bene, comincio dall'inizio. Una cosa per\nvolta: dove l'avete comprata di preciso?\x0E\x04\x00\x00
