MID_RELIANCE_C_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0E\x08セリーヌ\x021\n\x0E\x03\x00\x10\nフォガート\x022\n\x0E\x03\x02\x0C\nフォガート\nPrincipessa Céline! Hai fatto qualcosa ai capelli?\nSembrano persino più fluenti del solito.\x0E\x04\x00\x00
MID_RELIANCE_A_#012	\x0E\x03\x02\x0A\x08セリーヌ\nNon me ne stupisco.\x0E\x04\x00\x00
MID_RELIANCE_A_#013	\x0E\x03\x02\x0A\x08セリーヌ\nProprio come io ho affinato l'arte della spada\ne le abilità magiche per sostenere il mio\ncagionevole fratello.\x0E\x04\x00\x00
MID_RELIANCE_A_#014	\x0E\x03\x02\x0A\x08セリーヌ\nMa con mio grande stupore... proprio quando\nero diventata forte abbastanza...\x0E\x04\x00\x00
MID_RELIANCE_A_#015	\x0E\x03\x02\x0A\x08セリーヌ\n... mio fratello sembrò recuperare la sua salute.\x0E\x04\x00\x00
MID_RELIANCE_A_#016	\x0E\x03\x02\x0C\nフォガート\nEheh. E non sapevi se rallegrartene o metterti\na piangere, dico bene?\x0E\x04\x00\x00
MID_RELIANCE_A_#017	\x0E\x03\x02\x0C\nフォガート\nAbbiamo molto in comune.\x0E\x04\x00\x00
MID_RELIANCE_A_#018	\x0E\x03\x02\x0A\x08セリーヌ\nEntrambi amiamo i nostri fratelli quanto amiamo\nle nostre nazioni.\x0E\x04\x00\x00
MID_RELIANCE_A_#019	\x0E\x03\x02\x0C\nフォガート\nE saremmo disposti a tutto per proteggere ciò\nche amiamo.\x0E\x04\x00\x00
MID_RELIANCE_A_#020	\x0E\x03\x02\x0A\x08セリーヌ\nProprio così. Non esiteremmo a ricorrere a\nmezzi poco pacifici.\x0E\x04\x00\x00
MID_RELIANCE_A_#021	\x0E\x03\x02\x0C\nフォガート\nEheheh.\x0E\x04\x00\x00
MID_RELIANCE_A_#022	\x0E\x03\x02\x0A\x08セリーヌ\n...\x0E\x04\x00\x00
MID_RELIANCE_A_#023	\x0E\x03\x02\x0C\nフォガート\nBene. Ora sappiamo entrambi che razza di\nmostri possiamo diventare.\x0E\x04\x00\x00
MID_RELIANCE_A_#024	\x0E\x03\x02\x0A\x08セリーヌ\nPer questo vedo chiaramente tutti i rischi che\nnascerebbero da un conflitto con il Solm.\x0E\x04\x00\x00
MID_RELIANCE_A_#025	\x0E\x03\x02\x0C\nフォガート\nAllora, meglio restare amici.\x0E\x04\x00\x00
MID_RELIANCE_A_#026	\x0E\x03\x02\x0A\x08セリーヌ\nMi auguro di continuare questo cammino di\ncomprensione e alleanza.\x0E\x04\x00\x00
