MID_RELIANCE_C_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0E\x08ジェーデ\x021\n\x0E\x03\x00\x0C\x06カゲツ\x022\n\x0E\x03\x02\x08\x06カゲツ\nJade! Fatti sotto! Ti sfido a duello!\x0E\x04\x00\x00
MID_RELIANCE_B_#016	\x0E\x03\x02\x08\x06カゲツ\nNon avrei mai potuto invecchiare lì senza\nesplorare il mondo nella sua vastità.\x0E\x04\x00\x00
MID_RELIANCE_B_#017	\x0E\x03\x02\x0A\x08ジェーデ\n...\x0E\x04\x00\x00
MID_RELIANCE_B_#018	\x0E\x03\x02\x08\x06カゲツ\nÈ questa la ragione per cui me ne sono andato.\x0E\x04\x00\x00
MID_RELIANCE_B_#019	\x0E\x03\x02\x08\x06カゲツ\nHo lasciato un biglietto dove spiegavo le mie\nintenzioni e chiedevo di non essere cercato.\x0E\x04\x00\x00
MID_RELIANCE_B_#020	\x0E\x03\x02\x08\x06カゲツ\nPoi sono partito e ora sono qui.\x0E\x04\x00\x00
MID_RELIANCE_B_#021	\x0E\x03\x02\x0A\x08ジェーデ\nNon sapevo che avessi un passato così\ninteressante, Kagetsu. La tua vita sembra un\nromanzo che si scrive da solo.\x0E\x04\x00\x00
MID_RELIANCE_B_#022	\x0E\x03\x02\x08\x06カゲツ\nTutti hanno un loro passato.\x0E\x04\x00\x00
MID_RELIANCE_B_#023	\x0E\x03\x02\x08\x06カゲツ\nAllora, questo duello?\x0E\x04\x00\x00
MID_RELIANCE_B_#024	\x0E\x03\x02\x0A\x08ジェーデ\nE va bene, ogni promessa è debito e ho finito\nle domande. Sono pronta.\x0E\x04\x00\x00
MID_RELIANCE_A_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0E\x08ジェーデ\x021\n\x0E\x03\x00\x0C\x06カゲツ\x022\n\x0E\x03\x02\x08\x06カゲツ\nAccipicchia! Non avevo mai trovato un osso\ncosì duro!\x0E\x04\x00\x00
MID_RELIANCE_A_#002	\x0E\x03\x02\x0A\x08ジェーデ\nAnche tu non te la cavi male.\nDirei che abbiamo finito con un pareggio.\x0E\x04\x00\x00
MID_RELIANCE_A_#003	\x0E\x03\x02\x08\x06カゲツ\nNon mi capita spesso di godermi così un\nincontro alla pari.\x0E\x04\x00\x00
MID_RELIANCE_A_#004	\x0E\x03\x02\x0A\x08ジェーデ\nAnche a me è piaciuto.\x0E\x04\x00\x00
MID_RELIANCE_A_#005	\x0E\x03\x02\x08\x06カゲツ\nMa Jade, come fai a essere così forte? È una\ncosa di famiglia?\x0E\x04\x00\x00
MID_RELIANCE_A_#006	\x0E\x03\x02\x0A\x08ジェーデ\nNo. La mia era una famiglia tranquilla.\x0E\x04\x00\x00
MID_RELIANCE_A_#007	\x0E\x03\x02\x0A\x08ジェーデ\nMio padre studia le gemme e mia madre le\nusa per farne dei gioielli. Dovresti vederli...\x0E\x04\x00\x00
MID_RELIANCE_A_#008	\x0E\x03\x02\x08\x06カゲツ\nUhm. Una vita lontana dalle armi, vedo.\x0E\x04\x00\x00
MID_RELIANCE_A_#009	\x0E\x03\x02\x0A\x08ジェーデ\nEh, già, non sbagli. Da piccola avrei voluto\ndiventare l'assistente di mia madre.\x0E\x04\x00\x00
MID_RELIANCE_A_#010	\x0E\x03\x02\x0A\x08ジェーデ\nMa non ero fatta per quei lavoretti... così\ncominciai a lavorare alla miniera. Facevo\nla guardiana.\x0E\x04\x00\x00
MID_RELIANCE_A_#011	\x0E\x03\x02\x08\x06カゲツ\nChe cambiamento drastico.\x0E\x04\x00\x00
MID_RELIANCE_A_#012	\x0E\x03\x02\x0A\x08ジェーデ\nTrovi? Io non direi. Ho sempre amato i lavori\npiù fisici.\x0E\x04\x00\x00
MID_RELIANCE_A_#013	\x0E\x03\x02\x0A\x08ジェーデ\nLa miniera attirava molti ladri. Non mi\nmancavano certo le occasioni per fare un po'\ndi attività fisica, diciamo. Bei tempi.\x0E\x04\x00\x00
MID_RELIANCE_A_#014	\x0E\x03\x02\x08\x06カゲツ\nAh, ecco. Ora capisco.\x0E\x04\x00\x00
MID_RELIANCE_A_#015	\x0E\x03\x02\x0A\x08ジェーデ\nHo fatto la guardiana per alcuni anni. Il mio\nsoprannome era "Muro di Ferro".\x0E\x04\x00\x00
MID_RELIANCE_A_#016	\x0E\x03\x02\x0A\x08ジェーデ\nUna guardia reale, sentendo questa storia,\nmi suggerì di partecipare al torneo.\x0E\x04\x00\x00
MID_RELIANCE_A_#017	\x0E\x03\x02\x08\x06カゲツ\nE tu ti piazzasti prima, immagino.\x0E\x04\x00\x00
MID_RELIANCE_A_#018	\x0E\x03\x02\x0A\x08ジェーデ\nMi feci notare, incontrai il principe Diamant e\ndiventai la sua attendente.\x0E\x04\x00\x00
MID_RELIANCE_A_#019	\x0E\x03\x02\x0A\x08ジェーデ\nMa ho parlato solo io. Volevo ascoltare qualcuna\ndelle tue storie sul tuo passato...\x0E\x04\x00\x00
MID_RELIANCE_A_#020	\x0E\x03\x02\x0A\x08ジェーデ\nTutti abbiamo una nostra storia...\nAvevi ragione, Kagetsu.\x0E\x04\x00\x00
MID_RELIANCE_A_#021	\x0E\x03\x02\x08\x06カゲツ\nProprio così. E ora le nostre storie sono\ndiventate parte di una storia più grande.\x0E\x04\x00\x00
MID_RELIANCE_A_#022	\x0E\x03\x02\x0A\x08ジェーデ\nProprio come un romanzo, fatto di diversi\ncapitoli.\x0E\x04\x00\x00
MID_RELIANCE_A_#023	\x0E\x03\x02\x08\x06カゲツ\nProprio così. Ma dimmi, Jade... a quando il\nprossimo duello?\x0E\x04\x00\x00
MID_RELIANCE_A_#024	\x0E\x03\x02\x0A\x08ジェーデ\nQuando vuoi. Dimmi luogo e ora e ci sarò.\x0E\x04\x00\x00
MID_RELIANCE_A_#025	\x0E\x03\x02\x0A\x08ジェーデ\nQuesti duelli occuperanno delle pagine\nimportanti nella storia della mia vita.\x0E\x04\x00\x00
