MID_RELIANCE_C_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0C\x06クロエ\x021\n\x0E\x03\x00\x0C\x06ジャン\x022\n\x0E\x03\x02\x08\x06ジャン\nUhm... Chloé, disturbo?\x0E\x04\x00\x00
MID_RELIANCE_A_#005	\x0E\x03\x02\x08\x06ジャン\nHo paura di perdere qualcuno, Chloé.\x0E\x04\x00\x00
MID_RELIANCE_A_#006	\x0E\x03\x02\x08\x06ジャン\nSul campo di battaglia è facile rimanere feriti.\nA volte anche morire.\x0E\x04\x00\x00
MID_RELIANCE_A_#007	\x0E\x03\x02\x08\x06ジャン\nIn battaglia ho visto cose che a casa mia\nneanche immaginavo...\x0E\x04\x00\x00
MID_RELIANCE_A_#008	\x0E\x03\x02\x08\x06ジャン\nTu non hai paura?\x0E\x04\x00\x00
MID_RELIANCE_A_#009	\x0E\x03\x02\x08\x06クロエ\nCerto che ho paura. Tutti ne hanno.\x0E\x04\x00\x00
MID_RELIANCE_A_#010	\x0E\x03\x02\x08\x06クロエ\nMa per fare certe cose bisogna affrontare\nle nostre paure.\x0E\x04\x00\x00
MID_RELIANCE_A_#011	\x0E\x03\x02\x08\x06クロエ\nÈ questa determinazione che aiuta ad andare\navanti, giorno dopo giorno, almeno nel mio caso.\x0E\x04\x00\x00
MID_RELIANCE_A_#012	\x0E\x03\x02\x08\x06ジャン\nCi sono cose che vanno fatte anche se\nfanno paura, eh?\x0E\x04\x00\x00
MID_RELIANCE_A_#013	\x0E\x03\x02\x08\x06クロエ\nSono sicura che capita anche a te.\x0E\x04\x00\x00
MID_RELIANCE_A_#014	\x0E\x03\x02\x08\x06クロエ\nTi ho visto come sei sul campo di battaglia.\nNon ti tiri indietro dinanzi ai feriti o ai caduti.\x0E\x04\x00\x00
MID_RELIANCE_A_#015	\x0E\x03\x02\x08\x06ジャン\nForse hai ragione. Grazie, Chloé.\x0E\x04\x00\x00
MID_RELIANCE_A_#016	\x0E\x03\x02\x08\x06ジャン\nLe cose si faranno sempre più spaventose con\ntutta probabilità, ma so che non scapperò.\x0E\x04\x00\x00
MID_RELIANCE_A_#017	\x0E\x03\x02\x08\x06ジャン\nCon un'amica tenace come te, non ho nulla da\ntemere.\x0E\x04\x00\x00
MID_RELIANCE_A_#018	\x0E\x03\x02\x08\x06クロエ\n"Tenace"! Mi piace.\x0E\x04\x00\x00
MID_RELIANCE_A_#019	\x0E\x03\x02\x08\x06ジャン\nE poi hai uno stomaco di ferro, no? Con quello\nè impossibile ucciderti.\x0E\x04\x00\x00
MID_RELIANCE_A_#020	\x0E\x03\x02\x08\x06ジャン\nMa se hai mal di stomaco dopo che hai\nmangiato qualcosa di strano, corri da me.\x0E\x04\x00\x00
MID_RELIANCE_A_#021	\x0E\x03\x02\x08\x06クロエ\nAhah, quante premure.\x0E\x04\x00\x00
MID_RELIANCE_A_#022	\x0E\x03\x02\x08\x06ジャン\nDico sul serio!\x0E\x04\x00\x00
MID_RELIANCE_A_#023	\x0E\x03\x02\x08\x06クロエ\nNon ti preoccupare, Jean. Non mi succederà\nniente finché ci sarai tu al mio fianco.\x0E\x04\x00\x00
