MID_SYS_Difficulty_Normal	Normale
MID_KEYHELP_MAP_CANCEL_ORDERS	Annulla battaglia automatica
MID_KEYHELP_MAP_SKIP	Salta
MID_KEYHELP_GMAP_LOOK_OVER	Mondo
MID_KEYHELP_GMAP_MOVE_NEWEST	Prossimo capitolo
MID_KEYHELP_GMAP_FREE_CAMERA	Visuale libera
MID_KEYHELP_MAP_ACTION	Cambia mappa
MID_KEYHELP_DASH	Corri
MID_KEYHELP_MENU	Menu
MID_KEYHELP_MENU_ACTION	Cambia menu
MID_KEYHELP_CATEGORY_ACTION	Cambia categoria
MID_KEYHELP_TALK_AUTOPLAY	Riproduzione auto
MID_KEYHELP_TALK_AUTOPLAY_CANCEL	Ferma riproduzione
MID_KEYHELP_TALK_LOG	Dialoghi
MID_KEYHELP_TALK_LOG_VOICE	Audio voci
MID_KEYHELP_MENU_DECIDE	OK
MID_KEYHELP_MENU_SELECT	Seleziona
MID_KEYHELP_MENU_RETURN	Indietro
MID_KEYHELP_MENU_AUTO	Ottimizza tutto
MID_KEYHELP_MENU_TROOPLIST_CHANGE	Cambia unità
MID_KEYHELP_MENU_HELP	Dettagli
MID_KEYHELP_MENU_ASSISTINFO_CHANGE	Info aggiuntive
MID_KEYHELP_MENU_WEAPON_CHANGE	Cambia arma
MID_KEYHELP_MENU_UNIT_CHANGE	Cambia unità
MID_KEYHELP_MENU_CHARACTER_CHANGE	Cambia alleato
MID_KEYHELP_MENU_GOD_CHANGE	Cambia emblema
MID_KEYHELP_MENU_HELP_CHANGE	Cambia info
MID_KEYHELP_MENU_ABILITY	Effetti legame
MID_KEYHELP_MENU_BATTLE_START	Combatti!
MID_KEYHELP_MENU_TUTORIAL	Guida
MID_KEYHELP_MENU_COUNTRY_CHANGE	Cambia paese
MID_KEYHELP_MENU_ZOOM_PICTURE	Zoom +
MID_KEYHELP_MENU_UNIT_SELECT	Lista
MID_KEYHELP_MENU_LOOK_UNIT	Guarda
MID_KEYHELP_MENU_CAMERA_CHANGE	Zoom
MID_KEYHELP_MENU_CAMERA_IN_OUT	Asse verticale
MID_KEYHELP_MENU_CAMERA_OPERATION	Comandi visuale
MID_KEYHELP_MENU_BACK_CHANGE	Sfondo
MID_KEYHELP_MENU_UI_HIDE	Interfaccia
MID_KEYHELP_MENU_EYES	Direzione sguardo
MID_KEYHELP_MENU_RESET	Resetta impostazioni
MID_KEYHELP_MENU_SORT	Ordina
MID_KEYHELP_MENU_FISHING_CAST	Lancia
MID_KEYHELP_MENU_FISHING_CAST_STOP	Annulla
MID_KEYHELP_MENU_ACHIEVEMENT	Ritira ricompensa
MID_KEYHELP_MENU_ACHIEVEMENT_ALL	Ritira tutto
MID_KEYHELP_MOVIE_CAPTION	Sottotitoli
MID_KEYHELP_EDIT_TURN	Ruota
MID_KEYHELP_EDIT_PUT	Posiziona
MID_KEYHELP_EDIT_DELETE	Elimina
MID_KEYHELP_EDIT_TACTICS_CHANGE	Cambia strategia
MID_KEYHELP_EDIT_LIST	Elenco terreni
MID_KEYHELP_EDIT_OBJCHANGE	Cambia terreno
MID_KEYHELP_EDIT_UNDO	Annulla
MID_KEYHELP_NEXT	Avanti
MID_KEYHELP_ANIMAL_VIEW	Guarda
MID_KEYHELP_ANIMAL_ACTION	Azione
MID_KEYHELP_REWIND_TURN	Turni
MID_KEYHELP_REWIND_ACTION	Seleziona
MID_WEAPON_NAME_REFINE	\x0E\x01\x00\x00+\x0E\x01\x01\x00
MID_WEAPON_NAME_ENGRAVE	\x0E\x01\x00\x00\x0E\x01\x01\x00
MID_WEAPON_NAME_ENGRAVE_REFINE	\x0E\x01\x00\x00+\x0E\x01\x01\x00\x0E\x01\x02\x00
MID_RING_RANK_S	S
MID_RING_RANK_A	A
MID_RING_RANK_B	B
MID_RING_RANK_C	C
MID_LOCALIZE_COLON	
MID_LOCALIZE_HYPHEN	 - 
MID_LOCALIZE_CN_THIRD_M	他
MID_LOCALIZE_CN_THIRD_F	她
MID_LOCALIZE_TW_THIRD_M	他
MID_LOCALIZE_TW_THIRD_F	她
MID_LANGUAGE_JP_JAPANESE	Giapponese
MID_LANGUAGE_US_ENGLISH	Inglese (Nord America)
MID_LANGUAGE_US_FRENCH	Francese (Canada)
MID_LANGUAGE_US_SPANISH	Spagnolo (America Latina)
MID_LANGUAGE_EU_ENGLISH	Inglese (Europa)
MID_LANGUAGE_EU_FRENCH	Francese (Europa)
MID_LANGUAGE_EU_SPANISH	Spagnolo (Europa)
MID_LANGUAGE_EU_GERMAN	Tedesco
MID_LANGUAGE_EU_ITALIAN	Italiano
MID_LANGUAGE_CN_TRADITIONAL	Cinese tradizionale
MID_LANGUAGE_CN_SIMPLIFIED	Cinese semplificato
MID_LANGUAGE_KR_KOREAN	Coreano
MID_LANGUAGE_VOICE_JAPANESE	Giapponese
MID_LANGUAGE_VOICE_ENGLISH	Inglese
MID_MSG_GET_ITEM_FEH	Hai ricevuto un regalo speciale!
