MID_RELIANCE_C_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0E\x08リュール\x021\n\x0E\x03\x00\x0E\x08セリーヌ\x022\n\x0E\x03\x02\x0A\x08リュール\nMi sono divertit\x0E\x0A\x00\x08\x02o\x02a molto a prendere il tè insieme,\ngrazie per avermi invitat\x0E\x0A\x00\x08\x02o\x02a, Céline.\x0E\x04\x00\x00
MID_RELIANCE_B_#004	\x0E\x03\x02\x0A\x08リュール\nEra così buono, come posso dimenticarlo?\x0E\x04\x00\x00
MID_RELIANCE_B_#005	\x0E\x03\x02\x0A\x08セリーヌ\nSembra che i briganti abbiano preso di mira\ni carichi di quelle foglie.\x0E\x04\x00\x00
MID_RELIANCE_B_#006	\x0E\x03\x02\x0A\x08セリーヌ\nNon è servito a niente cambiare le rotte.\nOgni giorno ci sono nuove vittime.\x0E\x04\x00\x00
MID_RELIANCE_B_#007	\x0E\x03\x02\x0A\x08リュール\nMa è terribile.\x0E\x04\x00\x00
MID_RELIANCE_B_#008	\x0E\x03\x02\x0A\x08セリーヌ\nNormalmente non è responsabilità mia\nrisolvere queste situazioni.\x0E\x04\x00\x00
MID_RELIANCE_B_#009	\x0E\x03\x02\x0A\x08セリーヌ\nMa questa è un'emergenza e nessuno in Firene\nconosce il tè meglio di me.\x0E\x04\x00\x00
MID_RELIANCE_B_#010	\x0E\x03\x02\x0A\x08セリーヌ\nCosì mia madre ha chiesto a me di fare\nqualcosa.\x0E\x04\x00\x00
MID_RELIANCE_B_#011	\x0E\x03\x02\x0A\x08リュール\nCome ti fa sentire questa cosa?\x0E\x04\x00\x00
MID_RELIANCE_B_#012	\x0E\x03\x02\x0A\x08セリーヌ\nBeh, immagino che faccia parte della mia\neducazione.\x0E\x04\x00\x00
MID_RELIANCE_B_#013	\x0E\x03\x02\x0A\x08セリーヌ\nAnche se mio fratello è il primo in linea per\nil trono, resto sempre la principessa di Firene.\x0E\x04\x00\x00
MID_RELIANCE_B_#014	\x0E\x03\x02\x0A\x08リュール\nHai un piano per affrontare i banditi?\x0E\x04\x00\x00
MID_RELIANCE_B_#015	\x0E\x03\x02\x0A\x08セリーヌ\nPensavo di far loro paura con qualche dispetto.\x0E\x04\x00\x00
MID_RELIANCE_B_#016	\x0E\x03\x02\x0A\x08セリーヌ\nAaah... non sarebbe bello se tutto fosse facile\ncome nelle favole?\x0E\x04\x00\x00
MID_RELIANCE_B_#017	\x0E\x03\x02\x0A\x08セリーヌ\nMa la vita non è così... bucolica.\x0E\x04\x00\x00
MID_RELIANCE_B_#018	\x0E\x03\x02\x0A\x08リュール\nGià, non lo è.\x0E\x04\x00\x00
MID_RELIANCE_B_#019	\x0E\x03\x02\x0A\x08セリーヌ\nNon mostrerò alcuna pietà a chi fa soffrire\nil popolo di Firene.\x0E\x04\x00\x00
MID_RELIANCE_B_#020	\x0E\x03\x02\x0A\x08セリーヌ\nE farò qualsiasi cosa affinché la mia gente\npossa vivere nella pace a cui è abituata.\x0E\x04\x00\x00
MID_RELIANCE_B_#021	\x0E\x03\x02\x0A\x08リュール\n...\x0E\x04\x00\x00
MID_RELIANCE_B_#022	\x0E\x03\x02\x0A\x08セリーヌ\nNon guardatemi così, Drago Divino. È un\ndovere di cui mi faccio carico volentieri.\x0E\x04\x00\x00
MID_RELIANCE_B_#023	\x0E\x03\x02\x0A\x08セリーヌ\nE ora vi prego di scusarmi, ma bisogna agire...\nal più presto.\x0E\x04\x00\x00
MID_RELIANCE_A_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0E\x08リュール\x021\n\x0E\x03\x00\x0E\x08セリーヌ\x022\n\x0E\x03\x02\x0A\x08セリーヌ\nSe vi ho dato preoccupazioni l'altro giorno,\nDrago Divino, vi prego di scusarmi.\x0E\x04\x00\x00
MID_RELIANCE_A_#002	\x0E\x03\x02\x0A\x08リュール\nCom'è andata con i banditi che attaccavano\ni carichi?\x0E\x04\x00\x00
MID_RELIANCE_A_#003	\x0E\x03\x02\x0A\x08セリーヌ\nAbbiamo incrementato i fondi per la sicurezza\ndei trasporti.\x0E\x04\x00\x00
MID_RELIANCE_A_#004	\x0E\x03\x02\x0A\x08セリーヌ\nPoi abbiamo lasciato scappare i banditi e\nli abbiamo fatti seguire direttamente fino\nalla loro base.\x0E\x04\x00\x00
MID_RELIANCE_A_#005	\x0E\x03\x02\x0A\x08セリーヌ\nHo appena dato l'ordine di distruggerla\ncompletamente.\x0E\x04\x00\x00
MID_RELIANCE_A_#006	\x0E\x03\x02\x0A\x08リュール\nCapisco.\x0E\x04\x00\x00
MID_RELIANCE_A_#007	\x0E\x03\x02\x0A\x08セリーヌ\nAnche se sono banditi, restano cittadini firenesi.\nE ora forse alcuni di loro perderanno la vita\nper mia richiesta.\x0E\x04\x00\x00
MID_RELIANCE_A_#008	\x0E\x03\x02\x0A\x08セリーヌ\nMa lo farei di nuovo senza esitare.\x0E\x04\x00\x00
MID_RELIANCE_A_#009	\x0E\x03\x02\x0A\x08セリーヌ\nNessuno può compromettere la pace del Firene\nsenza pagarne le conseguenze.\x0E\x04\x00\x00
MID_RELIANCE_A_#010	\x0E\x03\x02\x0A\x08リュール\nDeve essere stata una scelta difficile.\x0E\x04\x00\x00
MID_RELIANCE_A_#011	\x0E\x03\x02\x0A\x08セリーヌ\nNo, a dire il vero.\x0E\x04\x00\x00
MID_RELIANCE_A_#012	\x0E\x03\x02\x0A\x08セリーヌ\nL'angoscia non è un privilegio concesso a\nchi si trova nella mia posizione.\x0E\x04\x00\x00
MID_RELIANCE_A_#013	\x0E\x03\x02\x0A\x08リュール\nUhm... Capisco che sia richiesta freddezza per\nquestioni del genere, ma so anche che il tuo\ncuore batte ancora.\x0E\x04\x00\x00
MID_RELIANCE_A_#014	\x0E\x03\x02\x0A\x08セリーヌ\nApprezzo la vostra comprensione.\x0E\x04\x00\x00
MID_RELIANCE_A_#015	\x0E\x03\x02\x0A\x08セリーヌ\nNon c'è niente che non farei per proteggere\nil mio regno.\x0E\x04\x00\x00
MID_RELIANCE_A_#016	\x0E\x03\x02\x0A\x08セリーヌ\nSono pronta a scendere in campo per la pace.\nMi sono preparata tutta la vita a tale scopo.\x0E\x04\x00\x00
MID_RELIANCE_A_#017	\x0E\x03\x02\x0A\x08セリーヌ\nEppure...\x0E\x04\x00\x00
MID_RELIANCE_A_#018	\x0E\x03\x02\x0A\x08セリーヌ\nNon trovo alcuna soddisfazione in ciò che deve\nessere fatto.\x0E\x04\x00\x00
MID_RELIANCE_A_#019	\x0E\x03\x02\x0A\x08セリーヌ\nTemo che sia un segno di debolezza.\x0E\x04\x00\x00
MID_RELIANCE_A_#020	\x0E\x03\x02\x0A\x08リュール\nNon è debolezza, ma gentilezza.\x0E\x04\x00\x00
MID_RELIANCE_A_#021	\x0E\x03\x02\x0A\x08リュール\nÈ il tipo di gentilezza che si vede in tutti\ni firenesi.\x0E\x04\x00\x00
MID_RELIANCE_A_#022	\x0E\x03\x02\x0A\x08セリーヌ\nSiete troppo generos\x0E\x0A\x00\x08\x02o\x02a, Drago Divino.\x0E\x04\x00\x00
MID_RELIANCE_S_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0E\x08リュール\x021\n\x0E\x03\x00\x0E\x08セリーヌ\x022\n\x0E\x03\x02\x0A\x08セリーヌ\nDrago Divino, potrei parlarvi?\x0E\x04\x00\x00
MID_RELIANCE_S_#002	\x0E\x03\x02\x0A\x08リュール\nMa certo, Céline.\x0E\x04\x00\x00
MID_RELIANCE_S_#003	\x0E\x03\x02\x0A\x08セリーヌ\nRiguarda il nostro discorso dell'altra volta.\x0E\x04\x00\x00
MID_RELIANCE_S_#004	\x0E\x03\x02\x0A\x08セリーヌ\nVi avevo detto di essere pronta a sguainare la\nspada per il bene della mia nazione.\x0E\x04\x00\x00
MID_RELIANCE_S_#005	\x0E\x03\x02\x0A\x08セリーヌ\nE di essere disposta a entrare in guerra,\nper assicurare la pace del mio popolo.\x0E\x04\x00\x00
MID_RELIANCE_S_#006	\x0E\x03\x02\x0A\x08リュール\nRicordo, sì.\x0E\x04\x00\x00
MID_RELIANCE_S_#007	\x0E\x03\x02\x0A\x08セリーヌ\nOra però non sono più tanto convinta delle mie\nparole.\x0E\x04\x00\x00
MID_RELIANCE_S_#008	\x0E\x03\x02\x0A\x08セリーヌ\nSarei davvero capace di essere spietata, nella\nmia ricerca della pace?\x0E\x04\x00\x00
MID_RELIANCE_S_#009	\x0E\x03\x02\x0A\x08リュール\nÈ comprensibile, detto da una persona come\nte, Céline. Hai l'animo gentile.\x0E\x04\x00\x00
MID_RELIANCE_S_#010	\x0E\x03\x02\x0A\x08セリーヌ\nNo, vi sbagliate. Non è gentilezza la mia, bensì\ncodardia.\x0E\x04\x00\x00
MID_RELIANCE_S_#011	\x0E\x03\x02\x0A\x08セリーヌ\nMi guida la paura di essere giudicata dagli altri.\nNon voglio che mi odiate.\x0E\x04\x00\x00
MID_RELIANCE_S_#012	\x0E\x03\x02\x0A\x08リュール\nAh...\x0E\x04\x00\x00
MID_RELIANCE_S_#013	\x0E\x03\x02\x0A\x08セリーヌ\nQuindi vi chiedo... di disprezzarmi.\x0E\x04\x00\x00
MID_RELIANCE_S_#014	\x0E\x03\x02\x0A\x08セリーヌ\nSono una sciocca a mettere i miei sentimenti\ndavanti ai miei obblighi di principessa.\x0E\x04\x00\x00
MID_RELIANCE_S_#015	\x0E\x03\x02\x0A\x08セリーヌ\nSe voi mi disprezzaste... potrei tornare a\ncombattere senza pietà per il mio paese.\x0E\x04\x00\x00
MID_RELIANCE_S_#016	\x0E\x03\x02\x0A\x08リュール\n...\x0E\x04\x00\x00
MID_RELIANCE_S_#017	\x0E\x03\x02\x0A\x08リュール\nAccetta questo dono, Céline.\x0E\x04\x00\x00
MID_RELIANCE_S_#018	\x0E\x03\x02\x0A\x08セリーヌ\nMa è... l'anello del patto?!\x0E\x04\x00\x00
MID_RELIANCE_S_#019	\x0E\x03\x02\x0A\x08リュール\nNon ti disprezzo, come vedi. Ti starò accanto\ne ti sosterrò in ogni tua decisione.\x0E\x04\x00\x00
MID_RELIANCE_S_#020	\x0E\x03\x02\x0A\x08リュール\nQualunque cosa ti spinga, che sia per te stessa\no per il tuo paese...\x0E\x04\x00\x00
MID_RELIANCE_S_#021	\x0E\x03\x02\x0A\x08リュール\n... io sarò accanto a te.\x0E\x04\x00\x00
MID_RELIANCE_S_#022	\x0E\x03\x02\x0A\x08セリーヌ\nMa... credevo che non vi piacesse questo\nlato spietato...\x0E\x04\x00\x00
MID_RELIANCE_S_#023	\x0E\x03\x02\x0A\x08リュール\nIo so cosa c'è nel tuo cuore, nonostante le\ndecisioni che sei costretta a prendere nella\nvita...\x0E\x04\x00\x00
MID_RELIANCE_S_#024	\x0E\x03\x02\x0A\x08リュール\nMa possiamo condividere il peso delle\nconseguenze. Non sentirti sola.\x0E\x04\x00\x00
MID_RELIANCE_S_#025	\x0E\x03\x02\x0A\x08セリーヌ\nDrago Divino, grazie...\x0E\x04\x00\x00
MID_RELIANCE_S_#026	\x0E\x03\x02\x0A\x08セリーヌ\nCon voi al mio fianco, non ho più ragione di\nessere codarda.\x0E\x04\x00\x00
MID_RELIANCE_S_#027	\x0E\x03\x02\x0A\x08セリーヌ\nTroverò solo felicità.\x0E\x04\x00\x00
MID_RELIANCE_S_#028	\x0E\x03\x02\x0A\x08セリーヌ\nDrago Divino, il vostro sostegno mi solleva\nda un peso enorme. Siete u\x0E\x0A\x00\x0A\x02n\x04na ver\x0E\x0A\x00\x08\x02o\x02a amic\x0E\x0A\x00\x08\x02o\x02a.\x0E\x04\x00\x00
