MID_RELIANCE_C_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0E\x08リュール\x021\n\x0E\x03\x00\x12\x0Cゴルドマリー\x022\n\x0E\x03\x02\x0E\x0Cゴルドマリー\nDrago Divino... Il pasto è stato di vostro\ngradimento?\x0E\x04\x00\x00
MID_RELIANCE_A_#014	\x0E\x03\x02\x0E\x0Cゴルドマリー\nGrazie. La vostre parole mi hanno tirato su\ndi morale.\x0E\x04\x00\x00
MID_RELIANCE_A_#015	\x0E\x03\x02\x0E\x0Cゴルドマリー\n...\x0E\x04\x00\x00
MID_RELIANCE_A_#016	\x0E\x03\x02\x0A\x08リュール\nSono lacrime di gioia, spero?\x0E\x04\x00\x00
MID_RELIANCE_A_#017	\x0E\x03\x02\x0E\x0Cゴルドマリー\nNon si vede? Sembrano la fresca rugiada\ndel mattino!\x0E\x04\x00\x00
MID_RELIANCE_A_#018	\x0E\x03\x02\x0E\x0Cゴルドマリー\nScusatemi... mi è impossibile trattenere\ni sentimenti che provo.\x0E\x04\x00\x00
MID_RELIANCE_A_#019	\x0E\x03\x02\x0E\x0Cゴルドマリー\nVi toccherà ammirarmi in tutta la mia\nmagnificenza.\x0E\x04\x00\x00
MID_RELIANCE_A_#020	\x0E\x03\x02\x0A\x08リュール\nVa bene. Resterò qui fino all'ultima lacrima.\x0E\x04\x00\x00
MID_RELIANCE_S_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0E\x08リュール\x021\n\x0E\x03\x00\x12\x0Cゴルドマリー\x022\n\x0E\x03\x02\x0E\x0Cゴルドマリー\nDrago Divino, vi stavo aspettando. Mi sono\npresa la briga di apparecchiare la tavola.\x0E\x04\x00\x00
MID_RELIANCE_S_#002	\x0E\x03\x02\x0A\x08リュール\nMa è incredibile... Hai cucinato tutto questo\nper me?\x0E\x04\x00\x00
MID_RELIANCE_S_#003	\x0E\x03\x02\x0E\x0Cゴルドマリー\nEsatto. Forse vi sembrerà poco elaborato\nrispetto al mio solito...\x0E\x04\x00\x00
MID_RELIANCE_S_#004	\x0E\x03\x02\x0E\x0Cゴルドマリー\nVi chiederete perché abbia fatto una cosa così\ninusuale per me, preparando un piatto banale.\x0E\x04\x00\x00
MID_RELIANCE_S_#005	\x0E\x03\x02\x0E\x0Cゴルドマリー\nMa questo piatto ha un posto speciale nel mio\ncuore.\x0E\x04\x00\x00
MID_RELIANCE_S_#006	\x0E\x03\x02\x0E\x0Cゴルドマリー\nDavanti a voi voglio essere me stessa e questo\npranzo esprime chi sono davvero.\x0E\x04\x00\x00
MID_RELIANCE_S_#007	\x0E\x03\x02\x0A\x08リュール\nGrazie, significa molto per me.\x0E\x04\x00\x00
MID_RELIANCE_S_#008	\x0E\x03\x02\x0E\x0Cゴルドマリー\nChe sollievo.\x0E\x04\x00\x00
MID_RELIANCE_S_#009	\x0E\x03\x02\x0E\x0Cゴルドマリー\nDrago Divino, se permettete...\x0E\x04\x00\x00
MID_RELIANCE_S_#010	\x0E\x03\x02\x0E\x0Cゴルドマリー\nAvrei qualcos'altro da dirvi.\x0E\x04\x00\x00
MID_RELIANCE_S_#011	\x0E\x03\x02\x0A\x08リュール\nAh, sì?\x0E\x04\x00\x00
MID_RELIANCE_S_#012	\x0E\x03\x02\x0E\x0Cゴルドマリー\nUn tempo avrei nascosto i miei sentimenti,\ninsistendo che foste voi a provare qualcosa\nper me.\x0E\x04\x00\x00
MID_RELIANCE_S_#013	\x0E\x03\x02\x0E\x0Cゴルドマリー\nMa ora non più. Grazie a voi ho il coraggio\ndi dire le cose come stanno.\x0E\x04\x00\x00
MID_RELIANCE_S_#014	\x0E\x03\x02\x0E\x0Cゴルドマリー\nMi sto innamorando di voi, \x0E\x06\x03\x00.\nOgni giorno di più...\x0E\x04\x00\x00
MID_RELIANCE_S_#015	\x0E\x03\x02\x0A\x08リュール\nDici sul serio?\x0E\x04\x00\x00
MID_RELIANCE_S_#016	\x0E\x03\x02\x0E\x0Cゴルドマリー\nDitemi che provate lo stesso per me.\x0E\x04\x00\x00
MID_RELIANCE_S_#017	\x0E\x03\x02\x0E\x0Cゴルドマリー\nPensate che sarei la compagna perfetta per voi?\x0E\x04\x00\x00
MID_RELIANCE_S_#018	\x0E\x03\x02\x0A\x08リュール\nLa compagna perfetta?\x0E\x04\x00\x00
MID_RELIANCE_S_#019	\x0E\x03\x02\x0A\x08リュール\nAhah. Sei sempre una perfezionista.\nTi trovo così tenera...\x0E\x04\x00\x00
MID_RELIANCE_S_#020	\x0E\x03\x02\x0A\x08リュール\nPerdonami se sono rimast\x0E\x0A\x00\x08\x02o\x02a senza parole,\nGoldmary... ma mi hai colt\x0E\x0A\x00\x08\x02o\x02a un po' di sorpresa.\x0E\x04\x00\x00
MID_RELIANCE_S_#021	\x0E\x03\x02\x0A\x08リュール\nSappi che non riuscirei a immaginare una\ncompagna più perfetta di te. A dire il vero\nvolevo darti questo.\x0E\x04\x00\x00
MID_RELIANCE_S_#022	\x0E\x03\x02\x0E\x0Cゴルドマリー\nL'anello del patto... Sogno o son desta?\x0E\x04\x00\x00
MID_RELIANCE_S_#023	\x0E\x03\x02\x0A\x08リュール\nNon stai sognando. Mettitelo al dito.\x0E\x04\x00\x00
MID_RELIANCE_S_#024	\x0E\x03\x02\x0E\x0Cゴルドマリー\nOh, wow! Mi sta benissimo! È perfetto per le\nmie dita affusolate!\x0E\x04\x00\x00
MID_RELIANCE_S_#025	\x0E\x03\x02\x0A\x08リュール\nGià, è proprio adatto a te.\x0E\x04\x00\x00
MID_RELIANCE_S_#026	\x0E\x03\x02\x0E\x0Cゴルドマリー\nSiete gentile. E ora mangiamo? Non vorrei che\nsi raffreddasse il pranzo.\x0E\x04\x00\x00
MID_RELIANCE_S_#027	\x0E\x03\x02\x0A\x08リュール\nGiusto. Buon appetito.\x0E\x04\x00\x00
MID_RELIANCE_S_#028	\x0E\x03\x02\x0E\x0Cゴルドマリー\nMi dispiace quasi per gli altri, ma oggi\nnessun altro potrà sentirsi più felice di me.\x0E\x04\x00\x00
MID_RELIANCE_S_#029	\x0E\x03\x02\x0E\x0Cゴルドマリー\nAnzi, facciamo un brindisi. Alla salute!\x0E\x04\x00\x00
MID_RELIANCE_S_#030	\x0E\x03\x02\x0E\x0Cゴルドマリー\nA noi due... il mondo ci invidierà.\nVoglio stare con voi per il resto della mia vita.\x0E\x04\x00\x00
